MDTU,|Tr(Lx)|,|Tr(Ly)|
1,0.0633063,0.0520728
2,0.0633063,0.0520728
3,0.0633063,0.0520728
4,0.0633063,0.0520728
5,0.0633063,0.0520728
6,0.0633063,0.0520728
7,0.0633063,0.0520728
8,0.0633063,0.0520728
9,0.0633063,0.0520728
10,0.0807741,0.0872392
11,0.0387963,0.0655066
12,0.0456785,0.0650522
13,0.0715909,0.0620936
14,0.0555645,0.0841901
15,0.0654911,0.0999628
16,0.0614532,0.0641424
17,0.070817,0.0667198
18,0.0719229,0.0609377
19,0.0719229,0.0609377
20,0.0673573,0.0613301
21,0.0809902,0.050029
22,0.0809902,0.050029
23,0.0453411,0.0917038
24,0.0737919,0.0808024
25,0.0753743,0.0422355
26,0.0666156,0.0390703
27,0.0599278,0.0736568
28,0.0445193,0.0790589
29,0.0445193,0.0790589
30,0.0445193,0.0790589
31,0.0696884,0.0316255
32,0.0761117,0.0359244
33,0.0490647,0.0251263
34,0.0486048,0.0451207
35,0.0486048,0.0451207
36,0.0398509,0.0137493
37,0.0398509,0.0137493
38,0.0123671,0.0356325
39,0.0123671,0.0356325
40,0.0123671,0.0356325
41,0.0123671,0.0356325
42,0.0188599,0.0495466
43,0.011701,0.0583225
44,0.0440279,0.0415476
45,0.0440279,0.0415476
46,0.035537,0.0627097
47,0.0453424,0.0378974
48,0.0586341,0.0329219
49,0.0568807,0.0290459
50,0.0235776,0.0310117
51,0.0383136,0.0571957
52,0.0383136,0.0571957
53,0.04075,0.0625215
54,0.0524287,0.0564131
55,0.0853046,0.040913
56,0.0753142,0.0198532
57,0.0753142,0.0198532
58,0.0409653,0.0223554
59,0.0409653,0.0223554
60,0.0409653,0.0223554
61,0.0822869,0.0153459
62,0.0690229,0.0241978
63,0.0411804,0.0201819
64,0.0162965,0.0997757
65,0.0277369,0.0655723
66,0.046173,0.0279003
67,0.046173,0.0279003
68,0.046173,0.0279003
69,0.046173,0.0279003
70,0.046173,0.0279003
71,0.046173,0.0279003
72,0.0193268,0.0129429
73,0.00994227,0.0406573
74,0.0578835,0.0329089
75,0.0292041,0.0330237
76,0.0165031,0.0104627
77,0.0130698,0.0158869
78,0.0224123,0.03196
79,0.0467617,0.0185886
80,0.05154,0.0146511
81,0.0271124,0.0343115
82,0.0271124,0.0343115
83,0.0306322,0.0642005
84,0.0653805,0.0408539
85,0.0653805,0.0408539
86,0.0653805,0.0408539
87,0.0653805,0.0408539
88,0.0653805,0.0408539
89,0.0653805,0.0408539
90,0.0653805,0.0408539
91,0.0521142,0.0105371
92,0.114038,0.0256198
93,0.0757086,0.0208143
94,0.0757086,0.0208143
95,0.0665562,0.0374919
96,0.0931253,0.0253578
97,0.0733902,0.0437603
98,0.0733902,0.0437603
99,0.0733902,0.0437603
100,0.0435859,0.0268547
101,0.0346409,0.0292885
102,0.0347396,0.049335
103,0.0154269,0.0653136
104,0.055079,0.0796951
105,0.0290004,0.106161
106,0.036793,0.069134
107,0.0237538,0.063928
108,0.0237538,0.063928
109,0.0237538,0.063928
110,0.0237538,0.063928
111,0.0420439,0.0678223
112,0.107752,0.0647259
113,0.0826842,0.0684579
114,0.0952078,0.099444
115,0.0952078,0.099444
116,0.0752499,0.0235008
117,0.0907925,0.0396817
118,0.0986289,0.046001
119,0.0986289,0.046001
120,0.0986289,0.046001
121,0.069097,0.0409084
122,0.0707864,0.0294244
123,0.0198065,0.0460552
124,0.0582262,0.0105656
125,0.0267078,0.0337951
126,0.0593081,0.0343633
127,0.0721506,0.044315
128,0.0567722,0.036471
129,0.0491328,0.0443889
130,0.0308462,0.0348978
131,0.0308462,0.0348978
132,0.0690871,0.0534006
133,0.00102046,0.0580844
134,0.0123867,0.0283418
135,0.0123867,0.0283418
136,0.0123867,0.0283418
137,0.0123867,0.0283418
138,0.0123867,0.0283418
139,0.0161782,0.0365542
140,0.0394387,0.05973
141,0.0292867,0.0512727
142,0.0252762,0.0302521
143,0.0609746,0.0278043
144,0.0633399,0.104547
145,0.0633399,0.104547
146,0.0633399,0.104547
147,0.0899486,0.118485
148,0.0714962,0.0871891
149,0.0898727,0.0988059
150,0.0850963,0.0763908
151,0.0850963,0.0763908
152,0.0850963,0.0763908
153,0.0850963,0.0763908
154,0.0248376,0.0564579
155,0.0793317,0.0669048
156,0.0548608,0.0796099
157,0.0548608,0.0796099
158,0.028281,0.0835149
159,0.0666307,0.0599294
160,0.0512957,0.0997183
161,0.0865031,0.0494495
162,0.0478967,0.0273353
163,0.0623133,0.0524159
164,0.0623133,0.0524159
165,0.0623133,0.0524159
166,0.00572061,0.0916792
167,0.0437799,0.0426239
168,0.0541378,0.0547963
169,0.0541378,0.0547963
170,0.0624787,0.0563405
171,0.0624787,0.0563405
172,0.0213577,0.0278618
173,0.0395928,0.0326584
174,0.0180969,0.0181718
175,0.0180969,0.0181718
176,0.0448319,0.0386259
