ReTr(Ly),ImTr(Ly)
-0.0183778,0.048722
-0.0183778,0.048722
-0.0183778,0.048722
-0.0183778,0.048722
-0.0183778,0.048722
-0.0183778,0.048722
-0.0183778,0.048722
-0.0183778,0.048722
-0.0183778,0.048722
0.0240453,0.08386
-0.00987749,0.0647576
0.000749454,0.0650479
-0.03773,0.049316
-0.0666695,0.0514115
-0.0655925,0.0754334
-0.0343082,0.0541959
-0.0479426,0.0464009
-0.0608584,0.003109
-0.0608584,0.003109
-0.0573446,0.0217481
-0.0468027,-0.017675
-0.0468027,-0.017675
-0.0905624,-0.0144235
-0.0748041,-0.030551
-0.0422251,0.000936877
-0.0384217,-0.00708934
-0.0709721,0.0197049
-0.0420419,0.0669536
-0.0420419,0.0669536
-0.0420419,0.0669536
-0.024907,-0.0194887
-0.0310819,-0.0180133
-0.00811925,-0.0237784
-0.0376426,-0.0248779
-0.0376426,-0.0248779
-0.00769861,-0.0113919
-0.00769861,-0.0113919
0.0110308,-0.0338821
0.0110308,-0.0338821
0.0110308,-0.0338821
0.0110308,-0.0338821
0.040318,-0.028798
0.0427187,-0.0397067
0.0166202,-0.0380785
0.0166202,-0.0380785
0.0586554,-0.0221823
0.0356347,0.0128988
0.032833,0.0024176
0.0205397,-0.0205374
0.0290316,0.0109038
0.0560206,-0.0115341
0.0560206,-0.0115341
0.0410509,-0.0471567
0.0416761,-0.0380202
0.0305335,-0.027232
0.0180734,-0.00821604
0.0180734,-0.00821604
0.0214188,-0.00640332
0.0214188,-0.00640332
0.0214188,-0.00640332
-0.00772829,-0.0132579
-0.0117146,0.0211731
-0.019437,0.00543246
-0.0997708,-0.000990517
-0.0618509,-0.021776
-0.0276004,0.00408028
-0.0276004,0.00408028
-0.0276004,0.00408028
-0.0276004,0.00408028
-0.0276004,0.00408028
-0.0276004,0.00408028
-0.0115193,-0.00590115
-0.0365405,-0.0178271
-0.0320919,0.00728739
-0.0165775,-0.0285614
0.00592161,-0.00862565
-0.00485472,-0.015127
-0.00996473,-0.0303669
0.00599601,-0.017595
0.0143059,-0.00316198
0.0155622,0.0305794
0.0155622,0.0305794
0.0056261,0.0639535
0.00124952,0.0408348
0.00124952,0.0408348
0.00124952,0.0408348
0.00124952,0.0408348
0.00124952,0.0408348
0.00124952,0.0408348
0.00124952,0.0408348
0.0105126,0.0007176
0.0180004,-0.0182308
-0.00399033,0.0204282
-0.00399033,0.0204282
-0.0179769,0.032901
-0.0252515,-0.00231961
0.00745464,-0.0431206
0.00745464,-0.0431206
0.00745464,-0.0431206
0.0220491,-0.01533
0.0265119,-0.0124474
0.00976406,-0.0483591
0.0561109,-0.0334281
0.0566258,-0.0560787
0.105901,-0.00742806
0.065705,-0.0215026
0.0637094,0.00528231
0.0637094,0.00528231
0.0637094,0.00528231
0.0637094,0.00528231
0.0504981,0.0452748
0.0433938,0.0480252
0.0087219,0.0679
-0.0528884,0.0842136
-0.0528884,0.0842136
-0.000960911,0.0234811
0.013394,0.0373529
0.0313367,0.0336764
0.0313367,0.0336764
0.0313367,0.0336764
0.00400755,0.0407116
0.0129105,0.0264407
0.0362685,0.0283845
-0.00904455,-0.00546148
0.0313647,0.0125842
0.0321043,0.0122536
0.0441269,-0.0040787
0.03463,-0.0114409
0.0432714,0.0098975
0.0348318,0.0021466
0.0348318,0.0021466
0.0533859,0.00125389
0.0512917,-0.0272571
0.0282372,-0.00243171
0.0282372,-0.00243171
0.0282372,-0.00243171
0.0282372,-0.00243171
0.0282372,-0.00243171
-0.00246376,-0.0364711
0.0206652,-0.0560413
0.00865843,-0.0505364
-0.0197234,-0.0229386
-0.0229695,-0.0156679
-0.0945641,-0.0445839
-0.0945641,-0.0445839
-0.0945641,-0.0445839
-0.0837383,-0.0838255
-0.0407833,-0.0770627
-0.0485013,-0.0860827
-0.0227746,-0.0729169
-0.0227746,-0.0729169
-0.0227746,-0.0729169
-0.0227746,-0.0729169
-0.0200681,-0.0527709
0.0213041,-0.0634222
-0.0441559,-0.066242
-0.0441559,-0.066242
-0.020068,-0.081068
-0.0345439,-0.048972
-0.073582,-0.067301
-0.0288434,-0.0401661
-0.0237831,-0.0134752
-0.0363939,-0.0377215
-0.0363939,-0.0377215
-0.0363939,-0.0377215
-0.0872829,-0.0280495
-0.0281719,0.0319866
0.0288919,0.0465606
0.0288919,0.0465606
-0.0215079,0.0520736
-0.0215079,0.0520736
0.00969628,0.0261201
0.0182782,0.0270643
0.00153325,0.018107
0.00153325,0.018107
0.0246985,0.0296975
0.0246985,0.0296975
0.0145296,0.026522
0.0145296,0.026522
0.0145296,0.026522
-0.000422596,0.017607
0.0121549,0.0145583
-0.0256196,0.00218898
0.018495,0.0327308
0.018495,0.0327308
0.018495,0.0327308
0.00262661,0.04707
0.0203659,0.0340739
0.0222208,0.00485031
0.0222208,0.00485031
-0.0170056,-0.0327239
-0.0170056,-0.0327239
0.0326559,-0.00628624
0.0252949,0.026434
0.0420903,0.059243
-0.00585536,0.0318489
-0.00585536,0.0318489
0.0712846,0.0324108
0.0712846,0.0324108
0.0712846,0.0324108
0.0712846,0.0324108
0.0082118,0.0135307
0.0582454,0.0113457
0.0121613,-0.0522164
0.0231991,-0.017646
0.0271531,-0.01739
0.0271531,-0.01739
0.0167302,-0.0352586
0.0167302,-0.0352586
0.0124412,0.00682356
0.00405581,0.014949
0.0249711,0.0424901
0.022566,0.0116704
0.022566,0.0116704
0.022566,0.0116704
0.022566,0.0116704
0.022566,0.0116704
0.022566,0.0116704
0.022566,0.0116704
-0.0474631,0.0604414
-0.0474631,0.0604414
-0.0474631,0.0604414
-0.0641279,0.041654
0.00110202,0.000674337
-0.00410645,0.0271587
-0.0179754,0.0247557
0.0167161,0.0706866
0.0136951,0.0462674
0.00442844,0.0485773
0.00442844,0.0485773
0.00442844,0.0485773
0.00442844,0.0485773
-3.93826e-05,0.0226671
0.0118082,0.00290293
0.0118082,0.00290293
0.0118082,0.00290293
0.0118082,0.00290293
0.0118082,0.00290293
0.0118082,0.00290293
0.0118082,0.00290293
0.0158304,0.0471546
0.0182362,0.0397557
0.0182362,0.0397557
-0.00255316,0.0139072
-0.0241747,0.0418146
-0.0172516,0.0259691
-0.0279745,0.0499451
-0.0279745,0.0499451
-0.0279745,0.0499451
0.00132526,0.0758211
-0.027135,0.0539663
-0.0160689,0.0346868
0.0271996,0.0175837
-0.0256579,-0.0223472
0.0314473,0.00521276
-0.00896464,0.0197921
-0.00896464,0.0197921
-0.0217445,0.0201452
-0.0217445,0.0201452
-0.0217445,0.0201452
-0.0217445,0.0201452
-0.0217445,0.0201452
-0.0217445,0.0201452
-0.0217445,0.0201452
-0.0349334,0.0320919
-0.0349334,0.0320919
0.023842,0.0516806
0.023842,0.0516806
0.023842,0.0516806
0.023842,0.0516806
0.00390085,0.0122403
0.024094,0.0292936
0.0202306,0.034048
0.0393952,0.0541428
0.0393952,0.0541428
0.055453,0.0110447
0.0290212,0.0452514
0.081928,0.0247172
0.081928,0.0247172
0.081928,0.0247172
0.0542416,0.0353235
0.0542416,0.0353235
0.0542416,0.0353235
0.0542416,0.0353235
0.0542416,0.0353235
0.0542416,0.0353235
0.0880269,0.0553559
0.0880269,0.0553559
0.0880269,0.0553559
0.0486656,0.0691854
0.08276,0.0352226
0.08276,0.0352226
0.061573,0.0400659
0.061573,0.0400659
0.0861703,0.0385194
0.0861703,0.0385194
0.0854785,-0.00749064
0.0854785,-0.00749064
0.0455781,0.0224171
0.0455781,0.0224171
0.0272386,0.0192501
0.0272386,0.0192501
0.0872089,0.0537066
0.0872089,0.0537066
0.0872089,0.0537066
0.0872089,0.0537066
0.0743937,0.0653491
0.0743937,0.0653491
0.0743937,0.0653491
0.0316826,0.0276549
0.0588111,0.0130211
0.0588111,0.0130211
0.0312151,-0.00073052
0.0312151,-0.00073052
0.0312151,-0.00073052
0.0312151,-0.00073052
0.0312151,-0.00073052
0.0386164,0.0127731
0.0396873,-0.00301981
0.0396873,-0.00301981
0.0396873,-0.00301981
0.0396873,-0.00301981
0.0419858,-0.0137859
0.0419858,-0.0137859
0.0322355,-0.0244695
0.038619,-0.022138
0.0205169,-0.020744
0.0619521,-0.0200808
0.048036,-0.0250595
0.0796441,-0.0400949
0.0155646,-0.0234017
-0.0603824,-0.0505242
-0.0603824,-0.0505242
-0.0603824,-0.0505242
-0.0603824,-0.0505242
-0.0603824,-0.0505242
-0.0603824,-0.0505242
-0.0603824,-0.0505242
-0.0603824,-0.0505242
-0.0603824,-0.0505242
0.0195568,-0.0503725
-0.00166239,-0.0467174
-0.0234999,-0.0668788
-0.0234999,-0.0668788
-0.0234999,-0.0668788
-0.043017,-0.0244364
-0.043017,-0.0244364
-0.043017,-0.0244364
-0.043017,-0.0244364
-0.0402831,-0.0086935
-0.0187144,0.011607
-0.0242221,0.0359639
0.0339275,0.0369916
-0.010411,0.022889
-0.00508014,0.0202676
-0.00689371,0.00354035
0.004693,0.0361015
-0.0178766,0.00527025
0.00820087,-0.0057958
0.00820087,-0.0057958
0.0133266,-0.0272981
0.0538184,0.000322642
0.0658456,0.0102255
0.0658456,0.0102255
0.0569024,-0.0332553
0.0569024,-0.0332553
0.0569024,-0.0332553
0.0569024,-0.0332553
0.0569024,-0.0332553
0.0544945,0.0422919
0.0933121,0.0573481
0.0933121,0.0573481
0.0933121,0.0573481
0.107493,0.0403437
0.107493,0.0403437
0.107493,0.0403437
0.107493,0.0403437
0.107493,0.0403437
0.107493,0.0403437
0.107493,0.0403437
0.107493,0.0403437
0.107493,0.0403437
0.107493,0.0403437
0.0481071,0.0310695
0.0188579,0.0255233
0.0197474,0.00755514
0.033004,0.0281157
0.0227999,0.0355492
0.0227999,0.0355492
0.0227999,0.0355492
0.0227999,0.0355492
0.0218035,0.0265775
0.0164645,0.0300359
0.0164645,0.0300359
0.0164645,0.0300359
0.0228305,0.0112459
0.0223453,0.0162385
0.0224949,-0.00315987
0.0138803,0.0084904
-0.0224967,0.0393932
-0.00538865,0.018914
-0.033514,0.0626615
-0.0611574,0.0748179
-0.0611574,0.0748179
-0.0611574,0.0748179
-0.0141845,0.0685796
-0.0110527,0.125128
-0.0397655,0.0624131
-0.0397655,0.0624131
-0.0397655,0.0624131
-0.0397655,0.0624131
-0.0397655,0.0624131
-0.0733328,0.0724445
-0.0733328,0.0724445
-0.0397412,0.0595939
-0.0397412,0.0595939
-0.0397412,0.0595939
-0.0397412,0.0595939
-0.0379479,0.0689859
0.00757521,0.0682954
0.00757521,0.0682954
0.00757521,0.0682954
0.00757521,0.0682954
-0.0261891,0.0961593
-0.0261891,0.0961593
-0.0261891,0.0961593
-0.0261891,0.0961593
-0.0261891,0.0961593
-0.0261891,0.0961593
-0.0562588,0.0602152
-0.0562588,0.0602152
-0.0562588,0.0602152
-0.0562588,0.0602152
-0.0562588,0.0602152
-0.041082,0.081123
-0.0157456,0.0424518
0.0428075,0.03775
-0.0112254,0.0541271
0.0404015,0.015583
0.0404015,0.015583
0.0360721,0.0555405
0.0360721,0.0555405
0.0629719,0.0334882
0.0629719,0.0334882
0.0847314,0.0373619
0.0847314,0.0373619
0.0748491,0.0402909
0.0669806,0.0723743
-0.0333707,0.0582045
-0.00756454,0.0308519
-0.00756454,0.0308519
-0.00756454,0.0308519
-0.00756454,0.0308519
0.020849,0.0216163
0.00807255,-0.0138606
0.00807255,-0.0138606
-0.0350619,-0.00796944
-0.0268243,0.0251916
-0.0818645,0.0415729
-0.026335,-0.00680458
-0.026335,-0.00680458
-0.0349386,0.0114474
-0.0659342,-0.0138598
-0.0591069,-0.0252099
-0.02713,-0.0516345
0.0136579,-0.0171733
-0.00226491,0.0208147
-0.00226491,0.0208147
0.00466264,0.0121263
0.00466264,0.0121263
-0.0182217,-0.0256371
-0.0233273,0.0362121
-0.0233273,0.0362121
-0.0233273,0.0362121
-0.0233273,0.0362121
-0.0233273,0.0362121
0.0162797,0.0422945
0.0162797,0.0422945
0.0162797,0.0422945
0.0233194,0.0524466
0.0233194,0.0524466
0.0233194,0.0524466
-0.0506929,-0.0106995
0.00838193,0.00591186
0.00838193,0.00591186
0.00838193,0.00591186
0.00838193,0.00591186
0.000737416,0.0175131
-0.00241015,-0.0276656
-0.00241015,-0.0276656
-0.00938709,-0.0118586
-0.00938709,-0.0118586
-0.00528184,0.0248149
-0.00528184,0.0248149
-0.0332584,-0.00590132
0.00799011,0.0267159
-0.0490839,-0.0163319
-0.0490839,-0.0163319
-0.0524544,0.00860845
-0.0524544,0.00860845
-0.0524544,0.00860845
-0.0408965,0.031614
-0.0400534,0.0186039
-0.0400534,0.0186039
-0.0400534,0.0186039
-0.0400534,0.0186039
-0.0400534,0.0186039
-0.0400534,0.0186039
-0.0132016,0.018868
-0.0132016,0.018868
-0.0429681,0.0123699
0.0375255,0.0134751
-0.0329241,0.0321716
-0.0878807,-0.00316512
-0.0662251,0.0228973
-0.0662251,0.0228973
-0.0662251,0.0228973
-0.0662251,0.0228973
-0.0662251,0.0228973
-0.0662251,0.0228973
-0.0662251,0.0228973
-0.0662251,0.0228973
-0.107778,-0.0278637
-0.107778,-0.0278637
-0.107778,-0.0278637
-0.0882949,0.0295539
-0.0962786,0.0706726
-0.0735466,0.0486824
-0.0735466,0.0486824
-0.0735466,0.0486824
-0.0824555,0.0601681
-0.0783334,0.033574
-0.0783334,0.033574
-0.0783334,0.033574
-0.0666446,0.0199224
-0.0396635,0.0289314
-0.048918,0.0313865
-0.048918,0.0313865
-0.048918,0.0313865
-0.0850894,0.0283904
-0.061735,0.0294734
-0.0817466,0.0254789
-0.0527372,-0.0121874
