ReTr(Lx),ImTr(Lx)
-0.0389391,-0.0428759
-0.0389391,-0.0428759
-0.0389391,-0.0428759
-0.0389391,-0.0428759
-0.0389391,-0.0428759
-0.0389391,-0.0428759
-0.0389391,-0.0428759
-0.0389391,-0.0428759
-0.0389391,-0.0428759
-0.0309946,-0.0200652
-0.0487151,-0.0434765
-0.0136885,-0.0357841
-0.0489866,-0.0228514
-0.0369535,-0.0572276
-0.0712297,-0.0475365
-0.0710986,-0.0574455
-0.0311111,-0.0261592
-0.0307683,-0.0470817
-0.0307683,-0.0470817
-0.0319196,-0.0564886
-0.0708584,-0.0793917
-0.0708584,-0.0793917
-0.0290627,-0.0249504
-0.0611665,-0.102262
0.00935725,-0.0927434
0.0202072,-0.0490297
0.0187038,-0.100344
0.0131001,-0.041674
0.0131001,-0.041674
0.0131001,-0.041674
0.00937139,-0.127722
-0.0322607,-0.0387313
-0.0657013,-0.0578684
-0.0148401,-0.0508356
-0.0148401,-0.0508356
0.025697,-0.00484384
0.025697,-0.00484384
-0.04863,0.0288746
-0.04863,0.0288746
-0.04863,0.0288746
-0.04863,0.0288746
-0.0041062,0.0355198
-0.0360596,-0.010785
-0.0188114,-0.00439821
-0.0188114,-0.00439821
0.00916305,0.047104
-0.0788386,-0.0104698
-0.0417493,-0.0635576
-0.073075,-0.0457999
-0.071875,-0.0152217
-0.0534403,0.0317835
-0.0534403,0.0317835
-0.0683676,0.0119057
-0.082971,0.00498876
-0.069622,-0.0322755
-0.0346315,-0.0367509
-0.0346315,-0.0367509
0.00985701,-0.038858
0.00985701,-0.038858
0.00985701,-0.038858
-0.0624383,-0.0282883
-0.0135096,-0.0985784
-0.0588181,-0.0695804
-0.0345336,-0.0672115
-0.0505465,-0.100512
-0.0520067,-0.096195
-0.0520067,-0.096195
-0.0520067,-0.096195
-0.0520067,-0.096195
-0.0520067,-0.096195
-0.0520067,-0.096195
-0.0107164,-0.0261549
-0.0754575,-0.0491229
