ReTr(Ly),ImTr(Ly)
0.0938578,0.092814
0.0938578,0.092814
0.0938578,0.092814
0.0938578,0.092814
0.0938578,0.092814
0.0938578,0.092814
0.0938578,0.092814
0.0938578,0.092814
0.0938578,0.092814
0.0831711,0.12067
0.0545599,0.122145
-0.0179853,0.08769
-0.0578492,0.0203956
-0.0432126,0.0730544
-0.0379721,0.0759161
-0.0563871,0.11528
-0.0817438,0.0874661
-0.0606937,0.0506154
-0.0606937,0.0506154
-0.0678206,-0.0173442
0.0143789,0.00960811
0.0143789,0.00960811
-0.121815,0.0526532
-0.0818798,0.0367105
-0.0804591,0.0291386
-0.0165383,0.0150524
-0.0721824,-0.0418215
-0.0312064,0.0416855
-0.0312064,0.0416855
-0.0312064,0.0416855
-0.040114,-0.018319
-0.0337688,-0.104345
0.0163723,-0.166104
-0.05397,-0.323466
-0.05397,-0.323466
-0.0211414,-0.109393
-0.0211414,-0.109393
-0.00624195,-0.127581
-0.00624195,-0.127581
-0.00624195,-0.127581
-0.00624195,-0.127581
0.0591901,-0.168579
0.0646755,-0.169513
0.0299552,-0.183464
0.0299552,-0.183464
0.0665521,-0.0399085
0.0239667,0.00134048
-0.0101658,-0.0279004
-0.0310281,-0.077665
0.00211009,-0.0341438
0.0351259,-0.0641949
0.0351259,-0.0641949
0.0709515,-0.0897881
0.0671244,-0.0934153
0.0663009,-0.0979684
0.0460524,-0.0266289
0.0460524,-0.0266289
0.055001,-0.0147555
0.055001,-0.0147555
0.055001,-0.0147555
-0.00198324,-0.0350707
-0.0495903,-0.0254088
-0.031131,-0.0114401
-0.0478283,-0.0271958
-0.0403079,-0.0475779
0.00649211,-0.0774887
0.00649211,-0.0774887
0.00649211,-0.0774887
0.00649211,-0.0774887
0.00649211,-0.0774887
0.00649211,-0.0774887
0.0605274,-0.032218
0.00353824,-0.0658969
0.0323276,0.0167736
0.0194232,-0.0717162
0.0219599,-0.0949994
-0.00941468,-0.0860082
-0.016557,-0.10488
-0.00422474,-0.0711139
-0.0144606,-0.0218315
-9.84824e-05,-0.0313301
-9.84824e-05,-0.0313301
0.0372534,-0.0104757
0.03916,0.0152818
0.03916,0.0152818
0.03916,0.0152818
0.03916,0.0152818
0.03916,0.0152818
0.03916,0.0152818
0.03916,0.0152818
0.0579579,-0.01467
0.0885886,-0.0358262
0.00536315,-0.00787535
0.00536315,-0.00787535
0.0280546,-0.020164
-0.00572924,-0.0316461
0.0528371,-0.0699396
0.0528371,-0.0699396
0.0528371,-0.0699396
0.0985127,-0.0590489
0.072709,-0.0462593
0.12902,-0.0683572
0.100192,-0.0229601
0.132793,-0.0934235
0.235942,-0.0499289
0.253454,-0.0458699
0.136971,-0.00782037
0.136971,-0.00782037
0.136971,-0.00782037
0.136971,-0.00782037
0.0861637,0.0155993
0.0687411,0.0365953
0.02661,0.0583321
-0.00353198,0.0767831
-0.00353198,0.0767831
-0.00760226,0.000522992
0.0159166,-0.0253724
0.0611406,-0.0203107
0.0611406,-0.0203107
0.0611406,-0.0203107
0.0255649,-0.00575596
0.0268444,0.0148005
0.0333932,-0.000804376
-0.030115,-0.00111457
0.00540435,0.0251365
0.011329,-0.0257843
0.0264791,-0.0278818
0.042855,-0.065823
0.135686,-0.066531
0.159535,-0.00445207
0.159535,-0.00445207
0.140539,-0.0579371
0.168304,-0.0359831
0.132156,-0.0249804
0.132156,-0.0249804
0.132156,-0.0249804
0.132156,-0.0249804
0.132156,-0.0249804
0.114854,-0.0720121
0.0877006,-0.0598658
0.0326281,-0.067083
0.000185926,-0.051174
-0.0418929,-0.0254328
-0.0835229,-0.045449
-0.0835229,-0.045449
-0.0835229,-0.045449
-0.104586,-0.0670089
-0.0906671,-0.0555073
-0.047866,-0.111305
-0.0835501,-0.116902
-0.0835501,-0.116902
-0.0835501,-0.116902
-0.0835501,-0.116902
-0.0218405,-0.083041
-0.0343115,-0.0991168
-0.0816885,-0.0857021
-0.0816885,-0.0857021
-0.0498585,-0.0828136
-0.092562,-0.00960109
-0.0869401,0.0166668
-0.0319616,-0.0188054
-0.00591312,-0.0362095
-0.0213752,0.0225945
-0.0213752,0.0225945
-0.0213752,0.0225945
-0.114678,-0.0721649
-0.0940364,0.0118814
-0.076863,-0.00583559
-0.076863,-0.00583559
-0.10493,-0.0382336
-0.10493,-0.0382336
-0.0130326,0.013663
-0.000962945,-0.0408316
0.0137158,-0.0633959
0.0137158,-0.0633959
-0.020294,-0.104964
-0.020294,-0.104964
0.023517,-0.0907761
0.023517,-0.0907761
0.023517,-0.0907761
-0.10686,-0.0849556
-0.0639543,-0.0442651
-0.0449539,-0.056305
-0.047071,0.00238124
-0.047071,0.00238124
-0.047071,0.00238124
-0.105978,0.0182331
