ReTr(L),ImTr(L)
1.39594,1.76205
1.39594,1.76205
1.39594,1.76205
1.39594,1.76205
1.39594,1.76205
1.39594,1.76205
1.39594,1.76205
1.39594,1.76205
1.39594,1.76205
1.4062,1.81781
1.3585,2.00046
1.39729,1.9811
1.24291,2.14485
1.40568,2.08266
1.39714,2.16091
1.3199,2.28832
1.40552,2.21995
1.38334,2.10756
1.38334,2.10756
1.42379,2.1911
1.42649,2.03112
1.42649,2.03112
1.43156,2.07566
1.34961,2.09564
1.41536,2.05986
1.54315,2.1374
1.40316,2.05535
1.48568,2.09386
1.48568,2.09386
1.48568,2.09386
1.54574,2.2639
1.54784,2.18329
1.60027,2.13705
1.53145,2.06456
1.53145,2.06456
1.56019,2.00485
1.56019,2.00485
1.54377,1.99076
1.54377,1.99076
1.54377,1.99076
1.54377,1.99076
1.7164,1.85373
1.73274,1.86304
1.91671,1.73794
1.91671,1.73794
1.93836,1.67569
1.93271,1.68335
1.96437,1.68169
1.89138,1.79701
1.9083,1.85545
1.99717,1.8405
1.99717,1.8405
1.98843,1.81339
1.94119,1.84131
1.95904,1.77299
1.84649,1.83971
1.84649,1.83971
1.93416,1.95936
1.93416,1.95936
1.93416,1.95936
1.84339,1.9067
1.86856,1.82026
1.77604,1.97896
1.83051,1.82777
1.81615,1.83621
1.72236,2.00727
1.72236,2.00727
1.72236,2.00727
1.72236,2.00727
1.72236,2.00727
1.72236,2.00727
1.67034,2.09786
1.68291,2.15481
1.60092,2.09849
1.51586,2.14515
1.59333,2.02691
1.55691,2.06014
1.6108,2.08889
1.4288,2.10855
1.26611,2.19537
1.11469,2.20527
1.11469,2.20527
0.985167,2.31386
0.999894,2.21934
0.999894,2.21934
0.999894,2.21934
0.999894,2.21934
0.999894,2.21934
0.999894,2.21934
0.999894,2.21934
1.03146,2.33679
0.892989,2.29359
0.965498,2.22587
0.965498,2.22587
0.950943,2.15624
0.94225,2.26092
0.8273,2.35275
0.8273,2.35275
0.8273,2.35275
0.825612,2.35616
0.791111,2.26472
0.700529,2.37674
0.682127,2.37684
0.567087,2.36264
0.539711,2.34594
0.577388,2.48235
0.782904,2.51864
0.782904,2.51864
0.782904,2.51864
0.782904,2.51864
0.888907,2.40509
0.875581,2.42298
0.935044,2.3699
0.803659,2.36334
0.803659,2.36334
0.851119,2.38863
0.968548,2.20621
1.13839,2.12464
1.13839,2.12464
1.13839,2.12464
1.18023,2.12947
1.14045,2.14228
1.16158,2.12091
1.18765,2.05172
1.30819,2.06141
1.11019,2.15229
1.07368,2.08133
1.02981,2.10301
