MDTU,|Tr(L)|,ReTr(L),ImTr(L)
1,0.677592,0.409336,0.539976
2,0.677592,0.409336,0.539976
3,0.677592,0.409336,0.539976
4,0.677592,0.409336,0.539976
5,0.677592,0.409336,0.539976
6,0.677592,0.409336,0.539976
7,0.677592,0.409336,0.539976
8,0.677592,0.409336,0.539976
9,0.677592,0.409336,0.539976
10,0.683289,0.407118,0.548761
11,0.68495,0.393706,0.560492
12,0.685415,0.390856,0.56305
13,0.676993,0.341681,0.584442
14,0.685699,0.372615,0.575623
15,0.698983,0.373739,0.590675
16,0.685526,0.35344,0.587389
17,0.695661,0.374005,0.58657
18,0.692448,0.377834,0.580281
19,0.692448,0.377834,0.580281
20,0.692111,0.375657,0.581291
21,0.683933,0.40302,0.552575
22,0.683933,0.40302,0.552575
23,0.690213,0.401181,0.561647
24,0.690169,0.393505,0.566999
25,0.672287,0.396214,0.543125
26,0.690728,0.407864,0.557451
27,0.681454,0.397967,0.553174
28,0.683832,0.398864,0.555459
29,0.683832,0.398864,0.555459
30,0.683832,0.398864,0.555459
31,0.690885,0.379524,0.577307
32,0.692903,0.382836,0.577539
33,0.68514,0.416649,0.543894
34,0.686977,0.427596,0.537679
35,0.686977,0.427596,0.537679
36,0.681642,0.429694,0.52915
37,0.681642,0.429694,0.52915
38,0.694089,0.432196,0.543107
39,0.694089,0.432196,0.543107
40,0.694089,0.432196,0.543107
41,0.694089,0.432196,0.543107
42,0.697012,0.479544,0.50583
43,0.693506,0.471355,0.508699
44,0.693003,0.506286,0.47321
45,0.693003,0.506286,0.47321
46,0.684823,0.504221,0.463404
47,0.692682,0.515105,0.463115
48,0.68128,0.499745,0.463031
49,0.677685,0.475481,0.482881
50,0.690862,0.487615,0.48941
51,0.693797,0.490505,0.490673
52,0.693797,0.490505,0.490673
53,0.694302,0.500367,0.48134
54,0.702828,0.505411,0.488391
55,0.688225,0.503596,0.469089
56,0.698882,0.507367,0.48064
57,0.698882,0.507367,0.48064
58,0.705217,0.503988,0.493283
59,0.705217,0.503988,0.493283
60,0.705217,0.503988,0.493283
61,0.689719,0.491397,0.483985
62,0.689026,0.478031,0.496229
63,0.69124,0.46615,0.510409
64,0.683478,0.473924,0.492481
65,0.68963,0.474168,0.500754
66,0.69665,0.457485,0.525384
67,0.69665,0.457485,0.525384
68,0.69665,0.457485,0.525384
69,0.69665,0.457485,0.525384
70,0.69665,0.457485,0.525384
71,0.69665,0.457485,0.525384
72,0.684025,0.42393,0.536817
73,0.687834,0.42485,0.540941
74,0.690307,0.413064,0.553084
75,0.691796,0.383748,0.575604
76,0.684896,0.411295,0.547649
77,0.697953,0.411067,0.564059
78,0.707555,0.414465,0.573457
79,0.689966,0.386394,0.571623
80,0.685384,0.34257,0.59363
81,0.689333,0.308004,0.616696
82,0.689333,0.308004,0.616696
83,0.695393,0.294668,0.629875
84,0.676425,0.296711,0.607876
85,0.676425,0.296711,0.607876
86,0.676425,0.296711,0.607876
87,0.676425,0.296711,0.607876
88,0.676425,0.296711,0.607876
89,0.676425,0.296711,0.607876
90,0.676425,0.296711,0.607876
91,0.690671,0.300234,0.622001
92,0.687801,0.249897,0.640798
93,0.683396,0.263514,0.630548
94,0.683396,0.263514,0.630548
95,0.682041,0.269232,0.626652
96,0.690869,0.242326,0.646976
97,0.698833,0.229362,0.660121
98,0.698833,0.229362,0.660121
99,0.698833,0.229362,0.660121
100,0.686196,0.229735,0.646596
101,0.680615,0.212711,0.646522
102,0.690007,0.199271,0.660606
103,0.688737,0.180712,0.664606
104,0.686236,0.159279,0.667495
105,0.687799,0.153809,0.670381
106,0.696314,0.176826,0.673488
107,0.704151,0.21761,0.669682
108,0.704151,0.21761,0.669682
109,0.704151,0.21761,0.669682
110,0.704151,0.21761,0.669682
111,0.694637,0.239297,0.652118
112,0.694314,0.24083,0.651209
113,0.695459,0.252469,0.648015
114,0.696066,0.221681,0.659822
115,0.696066,0.221681,0.659822
116,0.700406,0.250759,0.653979
117,0.693657,0.290007,0.630124
118,0.695659,0.326519,0.61427
119,0.695659,0.326519,0.61427
120,0.695659,0.326519,0.61427
121,0.695842,0.326522,0.614475
122,0.687863,0.303092,0.617487
123,0.687081,0.311415,0.612455
124,0.680273,0.31663,0.602094
125,0.687974,0.338666,0.598844
126,0.681576,0.310213,0.606889
127,0.690805,0.30986,0.617413
128,0.692865,0.303509,0.622851
129,0.698213,0.330207,0.615195
130,0.689837,0.354326,0.591885
131,0.689837,0.354326,0.591885
132,0.683249,0.320063,0.603646
133,0.684664,0.299354,0.615754
134,0.68962,0.319426,0.611181
135,0.68962,0.319426,0.611181
136,0.68962,0.319426,0.611181
137,0.68962,0.319426,0.611181
138,0.68962,0.319426,0.611181
139,0.676686,0.286254,0.613158
140,0.677811,0.317097,0.599064
141,0.702526,0.315601,0.627645
142,0.688042,0.338634,0.59894
143,0.686602,0.355015,0.587696
144,0.697435,0.378397,0.585859
145,0.697435,0.378397,0.585859
146,0.697435,0.378397,0.585859
147,0.690971,0.364252,0.587164
148,0.699924,0.398206,0.575609
149,0.679727,0.394814,0.553309
150,0.701216,0.433975,0.55079
151,0.701216,0.433975,0.55079
152,0.701216,0.433975,0.55079
153,0.701216,0.433975,0.55079
154,0.681249,0.381597,0.564344
155,0.68164,0.353054,0.583084
156,0.683268,0.308365,0.609726
157,0.683268,0.308365,0.609726
158,0.676045,0.300605,0.605536
159,0.69306,0.29244,0.62834
160,0.686973,0.271458,0.631065
161,0.687496,0.273714,0.63066
162,0.692422,0.310301,0.619
163,0.69587,0.30318,0.626352
164,0.69587,0.30318,0.626352
165,0.69587,0.30318,0.626352
166,0.685671,0.266802,0.631634
167,0.681302,0.273265,0.624099
168,0.675027,0.293378,0.60794
169,0.675027,0.293378,0.60794
170,0.688269,0.277506,0.629845
171,0.688269,0.277506,0.629845
172,0.677948,0.302276,0.60683
173,0.694272,0.338006,0.606436
174,0.693865,0.376871,0.582595
175,0.693865,0.376871,0.582595
176,0.692074,0.386223,0.574281
177,0.692074,0.386223,0.574281
178,0.670986,0.377981,0.554394
179,0.670986,0.377981,0.554394
180,0.670986,0.377981,0.554394
181,0.692781,0.38738,0.574354
182,0.674296,0.362211,0.568751
183,0.691134,0.327115,0.60882
184,0.677906,0.326969,0.593841
185,0.677906,0.326969,0.593841
186,0.677906,0.326969,0.593841
187,0.685623,0.309538,0.611773
188,0.688198,0.321178,0.608655
189,0.688142,0.338332,0.599225
190,0.688142,0.338332,0.599225
191,0.684334,0.28559,0.621894
192,0.684334,0.28559,0.621894
193,0.688213,0.242955,0.643903
194,0.695954,0.24186,0.652576
195,0.687325,0.254944,0.638294
196,0.683825,0.25422,0.634814
197,0.683825,0.25422,0.634814
198,0.687,0.26083,0.63556
199,0.687,0.26083,0.63556
200,0.687,0.26083,0.63556
201,0.687,0.26083,0.63556
202,0.688416,0.257383,0.638491
203,0.685211,0.254117,0.636347
204,0.671531,0.239985,0.627185
205,0.671818,0.237644,0.628382
206,0.681923,0.251436,0.633876
207,0.681923,0.251436,0.633876
208,0.681251,0.277892,0.621996
209,0.681251,0.277892,0.621996
210,0.687177,0.26763,0.632919
211,0.694091,0.297758,0.626979
212,0.687151,0.311195,0.612645
213,0.69118,0.292139,0.626406
214,0.69118,0.292139,0.626406
215,0.69118,0.292139,0.626406
216,0.69118,0.292139,0.626406
217,0.69118,0.292139,0.626406
218,0.69118,0.292139,0.626406
219,0.69118,0.292139,0.626406
220,0.690409,0.310964,0.616414
221,0.690409,0.310964,0.616414
222,0.690409,0.310964,0.616414
223,0.692012,0.344165,0.600359
224,0.689473,0.344255,0.597379
225,0.697574,0.348225,0.604441
226,0.688332,0.340888,0.597994
227,0.681989,0.328264,0.597789
228,0.672225,0.345394,0.576706
229,0.680607,0.320271,0.600544
230,0.680607,0.320271,0.600544
231,0.680607,0.320271,0.600544
232,0.680607,0.320271,0.600544
233,0.690557,0.335756,0.603437
234,0.671159,0.316171,0.592023
235,0.671159,0.316171,0.592023
236,0.671159,0.316171,0.592023
237,0.671159,0.316171,0.592023
238,0.671159,0.316171,0.592023
239,0.671159,0.316171,0.592023
240,0.671159,0.316171,0.592023
241,0.679758,0.309378,0.605274
242,0.699905,0.38766,0.582741
243,0.699905,0.38766,0.582741
244,0.698124,0.401801,0.570905
245,0.690607,0.419864,0.548318
246,0.688155,0.437117,0.531494
247,0.692306,0.429659,0.542845
248,0.692306,0.429659,0.542845
249,0.692306,0.429659,0.542845
250,0.685159,0.425509,0.537015
251,0.692482,0.432986,0.54042
252,0.687802,0.408645,0.553246
253,0.701503,0.413112,0.566961
254,0.685274,0.383291,0.568056
255,0.67706,0.397866,0.547825
256,0.686403,0.393359,0.56251
257,0.686403,0.393359,0.56251
258,0.67751,0.375105,0.564195
259,0.67751,0.375105,0.564195
260,0.67751,0.375105,0.564195
261,0.67751,0.375105,0.564195
262,0.67751,0.375105,0.564195
263,0.67751,0.375105,0.564195
264,0.67751,0.375105,0.564195
265,0.681001,0.370844,0.571171
266,0.681001,0.370844,0.571171
267,0.683981,0.369971,0.575284
268,0.683981,0.369971,0.575284
269,0.683981,0.369971,0.575284
270,0.683981,0.369971,0.575284
271,0.68197,0.374152,0.570169
272,0.683251,0.35131,0.586015
273,0.690439,0.371526,0.581958
274,0.69245,0.3787,0.579719
275,0.69245,0.3787,0.579719
276,0.686417,0.37352,0.575891
277,0.693019,0.394145,0.570022
278,0.687207,0.377841,0.574011
279,0.687207,0.377841,0.574011
280,0.687207,0.377841,0.574011
