ReTr(L),ImTr(L)
0.409336,0.539976
0.409336,0.539976
0.409336,0.539976
0.409336,0.539976
0.409336,0.539976
0.409336,0.539976
0.409336,0.539976
0.409336,0.539976
0.409336,0.539976
0.407118,0.548761
0.393706,0.560492
0.390856,0.56305
0.341681,0.584442
0.372615,0.575623
0.373739,0.590675
0.35344,0.587389
0.374005,0.58657
0.377834,0.580281
0.377834,0.580281
0.375657,0.581291
0.40302,0.552575
0.40302,0.552575
0.401181,0.561647
0.393505,0.566999
0.396214,0.543125
0.407864,0.557451
0.397967,0.553174
0.398864,0.555459
0.398864,0.555459
0.398864,0.555459
0.379524,0.577307
0.382836,0.577539
0.416649,0.543894
0.427596,0.537679
0.427596,0.537679
0.429694,0.52915
0.429694,0.52915
0.432196,0.543107
0.432196,0.543107
0.432196,0.543107
0.432196,0.543107
0.479544,0.50583
0.471355,0.508699
0.506286,0.47321
0.506286,0.47321
0.504221,0.463404
0.515105,0.463115
0.499745,0.463031
0.475481,0.482881
0.487615,0.48941
0.490505,0.490673
0.490505,0.490673
0.500367,0.48134
0.505411,0.488391
0.503596,0.469089
0.507367,0.48064
0.507367,0.48064
0.503988,0.493283
0.503988,0.493283
0.503988,0.493283
0.491397,0.483985
0.478031,0.496229
0.46615,0.510409
0.473924,0.492481
0.474168,0.500754
0.457485,0.525384
0.457485,0.525384
0.457485,0.525384
0.457485,0.525384
0.457485,0.525384
0.457485,0.525384
0.42393,0.536817
0.42485,0.540941
0.413064,0.553084
0.383748,0.575604
0.411295,0.547649
0.411067,0.564059
0.414465,0.573457
0.386394,0.571623
0.34257,0.59363
0.308004,0.616696
0.308004,0.616696
0.294668,0.629875
0.296711,0.607876
0.296711,0.607876
0.296711,0.607876
0.296711,0.607876
0.296711,0.607876
0.296711,0.607876
0.296711,0.607876
0.300234,0.622001
0.249897,0.640798
0.263514,0.630548
0.263514,0.630548
0.269232,0.626652
0.242326,0.646976
0.229362,0.660121
0.229362,0.660121
0.229362,0.660121
0.229735,0.646596
0.212711,0.646522
0.199271,0.660606
0.180712,0.664606
0.159279,0.667495
0.153809,0.670381
0.176826,0.673488
0.21761,0.669682
0.21761,0.669682
0.21761,0.669682
0.21761,0.669682
0.239297,0.652118
0.24083,0.651209
0.252469,0.648015
0.221681,0.659822
0.221681,0.659822
0.250759,0.653979
0.290007,0.630124
0.326519,0.61427
0.326519,0.61427
0.326519,0.61427
0.326522,0.614475
0.303092,0.617487
0.311415,0.612455
0.31663,0.602094
0.338666,0.598844
0.310213,0.606889
0.30986,0.617413
0.303509,0.622851
0.330207,0.615195
0.354326,0.591885
0.354326,0.591885
0.320063,0.603646
0.299354,0.615754
0.319426,0.611181
0.319426,0.611181
0.319426,0.611181
0.319426,0.611181
0.319426,0.611181
0.286254,0.613158
0.317097,0.599064
0.315601,0.627645
0.338634,0.59894
0.355015,0.587696
0.378397,0.585859
0.378397,0.585859
0.378397,0.585859
0.364252,0.587164
0.398206,0.575609
0.394814,0.553309
0.433975,0.55079
0.433975,0.55079
0.433975,0.55079
0.433975,0.55079
0.381597,0.564344
0.353054,0.583084
0.308365,0.609726
0.308365,0.609726
0.300605,0.605536
0.29244,0.62834
0.271458,0.631065
0.273714,0.63066
0.310301,0.619
0.30318,0.626352
0.30318,0.626352
0.30318,0.626352
0.266802,0.631634
0.273265,0.624099
0.293378,0.60794
0.293378,0.60794
0.277506,0.629845
0.277506,0.629845
0.302276,0.60683
0.338006,0.606436
0.376871,0.582595
0.376871,0.582595
0.386223,0.574281
0.386223,0.574281
0.377981,0.554394
0.377981,0.554394
0.377981,0.554394
0.38738,0.574354
0.362211,0.568751
0.327115,0.60882
0.326969,0.593841
0.326969,0.593841
0.326969,0.593841
0.309538,0.611773
0.321178,0.608655
0.338332,0.599225
0.338332,0.599225
0.28559,0.621894
0.28559,0.621894
0.242955,0.643903
0.24186,0.652576
0.254944,0.638294
0.25422,0.634814
0.25422,0.634814
0.26083,0.63556
0.26083,0.63556
0.26083,0.63556
0.26083,0.63556
0.257383,0.638491
0.254117,0.636347
0.239985,0.627185
0.237644,0.628382
0.251436,0.633876
0.251436,0.633876
0.277892,0.621996
0.277892,0.621996
0.26763,0.632919
0.297758,0.626979
0.311195,0.612645
0.292139,0.626406
0.292139,0.626406
0.292139,0.626406
0.292139,0.626406
0.292139,0.626406
0.292139,0.626406
0.292139,0.626406
0.310964,0.616414
0.310964,0.616414
0.310964,0.616414
0.344165,0.600359
0.344255,0.597379
0.348225,0.604441
0.340888,0.597994
0.328264,0.597789
0.345394,0.576706
0.320271,0.600544
0.320271,0.600544
0.320271,0.600544
0.320271,0.600544
0.335756,0.603437
0.316171,0.592023
0.316171,0.592023
0.316171,0.592023
0.316171,0.592023
0.316171,0.592023
0.316171,0.592023
0.316171,0.592023
0.309378,0.605274
0.38766,0.582741
0.38766,0.582741
0.401801,0.570905
0.419864,0.548318
0.437117,0.531494
0.429659,0.542845
0.429659,0.542845
0.429659,0.542845
0.425509,0.537015
0.432986,0.54042
0.408645,0.553246
0.413112,0.566961
0.383291,0.568056
0.397866,0.547825
0.393359,0.56251
0.393359,0.56251
0.375105,0.564195
0.375105,0.564195
0.375105,0.564195
0.375105,0.564195
0.375105,0.564195
0.375105,0.564195
0.375105,0.564195
0.370844,0.571171
0.370844,0.571171
0.369971,0.575284
0.369971,0.575284
0.369971,0.575284
0.369971,0.575284
0.374152,0.570169
0.35131,0.586015
0.371526,0.581958
0.3787,0.579719
0.3787,0.579719
0.37352,0.575891
0.394145,0.570022
0.377841,0.574011
0.377841,0.574011
0.377841,0.574011
0.360667,0.589117
0.360667,0.589117
0.360667,0.589117
0.360667,0.589117
0.360667,0.589117
0.360667,0.589117
0.359428,0.606041
0.359428,0.606041
0.359428,0.606041
0.339863,0.599908
0.311831,0.620586
0.311831,0.620586
0.291554,0.626549
0.291554,0.626549
0.289565,0.629829
0.289565,0.629829
0.297397,0.625821
