MDTU,plaq,Re(det),Im(det),link
1,3.80124,0.662347,0.288928,0.165025
2,3.80124,0.662347,0.288928,0.165025
3,3.80124,0.662347,0.288928,0.165025
4,3.80124,0.662347,0.288928,0.165025
5,3.80124,0.662347,0.288928,0.165025
6,3.80124,0.662347,0.288928,0.165025
7,3.80124,0.662347,0.288928,0.165025
8,3.80124,0.662347,0.288928,0.165025
9,3.80124,0.662347,0.288928,0.165025
10,3.73332,0.689731,0.296007,0.187848
11,3.73842,0.699308,0.293583,0.196274
12,3.73831,0.699807,0.288541,0.196254
13,3.73702,0.699754,0.291122,0.203866
14,3.73176,0.699555,0.285173,0.203788
15,3.74482,0.69857,0.293528,0.205402
16,3.74254,0.700187,0.305725,0.214215
17,3.72679,0.698608,0.295175,0.212853
18,3.73808,0.698592,0.293401,0.206412
19,3.73808,0.698592,0.293401,0.206412
20,3.75117,0.683098,0.290522,0.208856
21,3.73982,0.683239,0.289766,0.205942
22,3.73982,0.683239,0.289766,0.205942
23,3.74015,0.687588,0.289213,0.201284
24,3.74648,0.686276,0.289438,0.199443
25,3.73931,0.687133,0.286944,0.207047
26,3.75069,0.669081,0.286039,0.209491
27,3.75317,0.675312,0.282502,0.202076
28,3.7593,0.67434,0.280997,0.206832
29,3.7593,0.67434,0.280997,0.206832
30,3.7593,0.67434,0.280997,0.206832
31,3.761,0.652002,0.283367,0.212615
32,3.76258,0.660681,0.277057,0.209396
33,3.75882,0.659411,0.286305,0.213902
34,3.77214,0.662958,0.284261,0.204011
35,3.77214,0.662958,0.284261,0.204011
36,3.76264,0.663119,0.280693,0.202017
37,3.76264,0.663119,0.280693,0.202017
38,3.75126,0.678541,0.294715,0.200486
39,3.75126,0.678541,0.294715,0.200486
40,3.75126,0.678541,0.294715,0.200486
41,3.75126,0.678541,0.294715,0.200486
42,3.76838,0.662215,0.280853,0.198681
43,3.75193,0.673064,0.276781,0.202688
44,3.74667,0.674581,0.280341,0.206774
45,3.74667,0.674581,0.280341,0.206774
46,3.75375,0.667446,0.279031,0.204965
47,3.75048,0.680911,0.285803,0.206325
48,3.75321,0.671987,0.29023,0.204465
49,3.76897,0.655005,0.269179,0.203341
50,3.75544,0.648868,0.27251,0.20499
51,3.75362,0.660491,0.282301,0.212634
52,3.75362,0.660491,0.282301,0.212634
53,3.75136,0.662253,0.282032,0.208592
54,3.7643,0.663763,0.281154,0.201343
55,3.77823,0.662637,0.273757,0.199246
56,3.7569,0.669636,0.284553,0.201724
57,3.7569,0.669636,0.284553,0.201724
58,3.75704,0.675332,0.287597,0.208006
59,3.75704,0.675332,0.287597,0.208006
60,3.75704,0.675332,0.287597,0.208006
61,3.76773,0.659894,0.279206,0.206346
62,3.7582,0.659043,0.280166,0.206432
