MDTU,link
1,1.08825
2,1.1234
3,1.14106
4,1.14713
5,1.15349
6,1.15392
7,1.15178
8,1.14804
9,1.1472
10,1.144
11,1.14273
12,1.14253
13,1.14239
14,1.14121
15,1.14127
16,1.14363
17,1.14286
18,1.13908
19,1.14129
20,1.14082
21,1.13976
22,1.13695
23,1.13295
24,1.13289
25,1.1284
26,1.12787
27,1.12609
28,1.12346
29,1.12201
30,1.12193
31,1.11995
32,1.12112
33,1.11856
34,1.11835
35,1.11733
36,1.11779
37,1.11455
38,1.11361
39,1.11143
40,1.10991
41,1.10879
42,1.10818
43,1.10401
44,1.10077
45,1.10034
46,1.10034
47,1.09842
48,1.09718
49,1.09718
50,1.09718
51,1.0962
52,1.09746
53,1.09746
54,1.09528
55,1.09452
56,1.09268
57,1.0901
58,1.09063
59,1.0902
60,1.0883
61,1.08892
62,1.08853
63,1.08853
64,1.08853
65,1.08853
66,1.08853
67,1.08853
68,1.08853
69,1.08853
70,1.08853
71,1.08853
72,1.08769
73,1.08769
74,1.08769
75,1.08769
76,1.08769
77,1.08647
78,1.08508
79,1.08426
80,1.08479
81,1.08544
82,1.08544
83,1.08544
84,1.08544
85,1.08544
86,1.08544
87,1.08544
88,1.08544
89,1.08544
90,1.08544
91,1.08304
92,1.08304
93,1.08536
94,1.08308
95,1.08207
96,1.08146
97,1.08146
98,1.08386
99,1.08413
100,1.08531
101,1.08602
102,1.08602
103,1.08571
104,1.08418
105,1.08557
106,1.08557
107,1.08557
108,1.08557
109,1.08557
110,1.08557
111,1.08557
112,1.08455
113,1.08455
114,1.0836
115,1.08076
116,1.08301
117,1.08301
118,1.08356
119,1.08294
120,1.08419
121,1.08368
122,1.08368
123,1.08476
124,1.08476
125,1.08574
126,1.08574
127,1.0844
128,1.0844
129,1.0844
130,1.08323
131,1.08125
132,1.08125
133,1.08125
134,1.08238
135,1.08043
136,1.08075
137,1.0812
138,1.08041
139,1.08188
140,1.08188
141,1.08188
142,1.07997
143,1.08069
144,1.08246
145,1.08253
146,1.08297
147,1.08226
148,1.08142
149,1.08142
150,1.08142
151,1.08142
152,1.08113
153,1.08113
154,1.08281
155,1.08286
156,1.08278
157,1.08139
158,1.0819
159,1.08284
160,1.08359
161,1.08276
162,1.08307
163,1.08307
164,1.08481
165,1.08481
166,1.08481
167,1.08403
168,1.08227
169,1.08422
170,1.08376
171,1.08393
172,1.08393
173,1.08393
174,1.08238
175,1.08318
176,1.08274
177,1.08119
178,1.0817
179,1.07972
180,1.07972
181,1.0809
182,1.08145
183,1.08145
184,1.08217
185,1.08193
186,1.08339
187,1.08464
188,1.08464
189,1.08464
190,1.08464
191,1.08464
192,1.08464
193,1.08464
194,1.08189
195,1.08148
196,1.0825
197,1.0825
198,1.0825
199,1.0825
200,1.08271
201,1.08271
202,1.0831
203,1.0831
204,1.08326
205,1.08389
206,1.08475
207,1.08136
208,1.08136
209,1.08068
210,1.08068
211,1.08294
212,1.08612
213,1.08361
214,1.08361
215,1.08361
216,1.085
217,1.085
218,1.085
219,1.08419
220,1.08258
221,1.08487
222,1.08487
223,1.08487
224,1.08368
225,1.08368
226,1.083
227,1.08195
228,1.08234
229,1.08302
230,1.08261
231,1.08261
232,1.08195
233,1.08195
234,1.08112
235,1.08297
236,1.08158
237,1.08158
238,1.08158
239,1.08158
240,1.08238
241,1.08238
242,1.08238
243,1.08238
244,1.08238
245,1.08277
246,1.08216
247,1.08126
248,1.08041
249,1.08041
250,1.07951
251,1.08167
252,1.08167
253,1.08272
254,1.08272
255,1.08272
256,1.08387
257,1.08387
258,1.08387
259,1.08282
260,1.08282
261,1.08303
262,1.08274
263,1.08183
264,1.08183
265,1.08225
266,1.08225
267,1.08225
268,1.08222
269,1.08236
270,1.08157
271,1.08075
272,1.08103
273,1.08103
274,1.08408
275,1.08165
276,1.08302
277,1.08146
278,1.08146
279,1.08211
280,1.08238
281,1.0831
282,1.08131
283,1.08022
284,1.08022
285,1.08082
286,1.07989
287,1.07937
288,1.07912
289,1.07912
290,1.08065
291,1.08065
292,1.08099
293,1.08126
294,1.08076
295,1.08076
296,1.08076
297,1.08076
298,1.08076
299,1.08127
300,1.0807
301,1.08054
302,1.08054
303,1.08054
304,1.08054
305,1.08203
306,1.08155
307,1.08254
308,1.08282
309,1.0802
310,1.0807
311,1.0807
312,1.0807
313,1.08074
314,1.08112
315,1.08029
316,1.08079
317,1.08157
318,1.08157
319,1.08157
320,1.08157
321,1.08157
322,1.08157
323,1.08193
324,1.08174
325,1.08221
326,1.08221
327,1.07967
328,1.07958
329,1.07958
330,1.08132
331,1.08139
332,1.08139
333,1.08139
334,1.08139
335,1.08139
336,1.08139
337,1.08139
338,1.08155
339,1.08124
340,1.08124
341,1.08069
342,1.08165
343,1.08149
344,1.08149
345,1.08149
346,1.08149
347,1.08071
348,1.08071
349,1.08184
350,1.08065
351,1.08065
352,1.08252
353,1.08289
354,1.08171
355,1.08197
356,1.08231
357,1.08206
358,1.0822
359,1.08136
360,1.08205
361,1.08135
362,1.08135
363,1.08267
364,1.0816
365,1.08309
366,1.08306
367,1.08248
368,1.08248
369,1.08308
370,1.08288
371,1.08288
372,1.08283
373,1.08283
374,1.08248
375,1.08334
376,1.08536
377,1.08554
378,1.08408
379,1.08543
380,1.08487
381,1.08466
382,1.08572
383,1.08572
384,1.08572
385,1.08572
386,1.08572
387,1.08572
388,1.08572
389,1.08572
390,1.08572
391,1.08572
392,1.08474
393,1.08441
394,1.08441
395,1.08441
396,1.08273
397,1.08452
398,1.08263
399,1.08269
400,1.08369
401,1.08258
402,1.08182
403,1.08462
404,1.08462
405,1.08462
406,1.08472
407,1.08494
408,1.08494
409,1.0839
410,1.0839
411,1.0839
412,1.0839
413,1.07979
414,1.08064
415,1.08364
416,1.08274
417,1.08274
418,1.0805
419,1.0805
420,1.08016
421,1.08066
422,1.08272
423,1.08272
424,1.08476
425,1.08476
426,1.08476
427,1.08343
428,1.08214
429,1.08209
430,1.08209
431,1.08285
432,1.08285
433,1.08285
434,1.08228
435,1.08046
436,1.08298
437,1.08289
438,1.08056
439,1.08188
440,1.08333
441,1.08456
442,1.08456
443,1.08309
444,1.08283
445,1.08379
446,1.0837
447,1.08395
448,1.08395
449,1.08286
450,1.08492
451,1.08433
452,1.08348
453,1.08344
454,1.08476
455,1.08476
456,1.08476
457,1.08476
458,1.0838
459,1.08349
460,1.08337
461,1.08324
462,1.08317
463,1.08449
464,1.08475
465,1.08379
466,1.08379
467,1.08409
468,1.08409
469,1.08347
470,1.08409
471,1.08679
472,1.08512
473,1.08631
474,1.08566
475,1.08444
476,1.08362
477,1.08468
478,1.08383
479,1.08383
480,1.08383
481,1.08434
482,1.08519
483,1.08519
484,1.08684
485,1.08684
486,1.08684
487,1.08671
488,1.08617
489,1.08617
490,1.08554
491,1.08554
492,1.08554
493,1.08554
494,1.08421
495,1.08482
496,1.08367
497,1.08434
498,1.08369
499,1.08459
500,1.08459
501,1.08459
502,1.08459
503,1.08459
504,1.08459
505,1.08459
506,1.08459
507,1.08311
508,1.08446
509,1.08428
510,1.08428
511,1.08428
512,1.08661
513,1.08651
514,1.08651
515,1.08706
516,1.08706
517,1.08518
518,1.08425
519,1.08433
520,1.08433
521,1.0831
522,1.0831
523,1.08669
524,1.08654
525,1.087
526,1.087
527,1.087
528,1.087
529,1.08717
530,1.0858
531,1.085
532,1.08504
533,1.08472
534,1.08708
535,1.08708
536,1.0856
537,1.08477
538,1.08477
539,1.08477
540,1.08477
541,1.08477
542,1.08538
543,1.08404
544,1.08641
545,1.08478
546,1.08518
547,1.08515
548,1.0851
549,1.08586
550,1.08586
551,1.08586
552,1.08586
553,1.08586
554,1.08586
555,1.08586
556,1.08586
557,1.08282
558,1.08315
559,1.08266
560,1.08287
561,1.08287
562,1.08287
563,1.08449
564,1.08253
565,1.08434
566,1.08308
567,1.08308
568,1.08307
569,1.08336
570,1.08405
571,1.0833
572,1.08177
