MDTU,	Acceptance
10,	10
20,	10
30,	10
40,	10
50,	7
60,	9
70,	2
80,	5
90,	1
100,	8
110,	4
120,	7
130,	5
140,	7
150,	7
160,	8
170,	7
180,	7
190,	6
200,	4
210,	6
220,	6
230,	7
240,	5
250,	5
260,	5
270,	7
280,	8
290,	8
300,	5
310,	7
320,	5
330,	6
340,	3
350,	6
360,	9
370,	8
380,	8
390,	2
400,	7
410,	6
420,	6
430,	6
440,	8
450,	8
460,	7
470,	8
480,	8
490,	6
500,	6
510,	3
520,	6
530,	6
540,	6
550,	8
560,	4
570,	7
580,	7
590,	5
600,	4
610,	3
620,	6
630,	7
640,	8
650,	5
660,	5
670,	5
680,	10
690,	6
700,	9
710,	2
720,	6
730,	5
740,	4
750,	9
760,	5
770,	6
780,	10
790,	3
800,	4
810,	7
820,	5
830,	8
840,	9
850,	4
860,	7
870,	10
880,	9
890,	7
900,	4
910,	8
920,	7
930,	4
940,	8
950,	3
960,	7
970,	8
980,	7
990,	8
1000,	6
1010,	8
1020,	7
1030,	4
1040,	7
1050,	7
1060,	5
1070,	7
1080,	7
1090,	8
1100,	9
1110,	8
1120,	6
1130,	7
1140,	7
1150,	6
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
