MDTU,0,2,4,6,8,10
10,26.179194,25.449506,22.462214,21.826011,21.294842,21.236422
20,27.212565,23.866281,23.745575,23.689123,22.863026,22.631903
30,26.876154,25.726121,24.259025,24.140277,24.125821,24.010171
40,35.548,25.957866,25.089678,24.895071,23.50743,23.219779
50,26.597725,26.551248,25.243,25.14729,23.86862,23.784181
60,29.561916,28.360665,27.782786,26.765864,24.784717,24.646783
70,27.639181,26.169423,25.012922,23.936793,23.90436,23.605859
80,26.240525,25.07089,24.803931,24.46571,24.446392,24.357321
90,27.703174,27.535336,26.518762,25.918149,25.840622,25.674323
100,27.896314,26.495056,25.504644,25.177477,24.911497,24.581889
110,27.356007,26.776511,26.754503,25.056746,24.16606,23.517646
120,43.84031,26.623629,25.769158,24.390797,24.072612,23.856444
130,29.335471,29.186069,28.261828,27.542821,25.915049,25.446871
140,32.676822,28.531576,28.474554,28.376083,27.42535,27.33316
150,34.531552,33.470053,31.064741,29.47476,28.818414,27.172972
160,34.121932,29.064681,27.00517,25.937685,25.894076,25.364902
170,28.312082,27.594192,26.633449,25.341871,25.00234,24.670512
180,28.348163,27.73269,25.296507,24.76573,24.443233,24.428176
190,27.788359,26.507277,25.76236,25.608385,25.087226,24.681513
200,29.915119,27.799322,26.141042,25.637092,25.204769,24.739961
210,33.81151,31.352929,28.8319,27.575442,26.941936,26.181534
220,25.487958,24.450024,24.378958,24.344737,23.457693,23.425496
230,27.056886,25.655359,25.544946,24.718212,24.642774,24.49386
240,38.554917,30.462587,28.707621,28.677445,28.337882,28.307817
250,28.688426,27.870906,26.995969,26.539467,26.323815,25.630697
260,30.54332,30.039593,28.904059,27.630137,27.164856,26.810757
270,33.345869,27.897251,27.724577,27.512923,26.600375,24.94565
280,28.426395,28.108219,27.224114,27.122268,26.246823,25.478958
290,27.721843,27.545465,25.649598,24.337718,24.324751,24.264868
300,29.894329,28.815775,27.56728,27.257642,26.490351,25.316754
310,30.093699,29.529406,27.581119,26.256443,25.137569,25.017311
320,26.406498,26.021343,25.904291,25.820113,25.571925,25.275306
330,25.981812,25.098345,24.852042,24.725238,24.697677,24.226948
340,26.437887,25.799635,25.423213,25.226845,24.666906,24.344987
350,29.592931,26.027118,25.550405,24.220565,24.074312,23.780189
360,29.146273,28.7761,28.526707,26.859741,26.174036,25.947075
370,31.84463,26.840314,26.490626,26.064844,25.686271,25.520442
380,29.558466,29.375392,28.136679,25.546446,25.180978,24.674675
390,28.822721,27.097598,26.674194,25.980051,24.818117,24.676059
400,37.109237,29.442374,28.197819,27.956251,25.168996,24.897175
410,37.365314,28.643826,27.420804,26.955685,26.601084,26.576122
420,36.433274,32.448615,30.815905,27.825812,27.727991,27.137506
430,40.698325,30.910924,27.324345,27.128352,26.74697,26.398277
