ReTr(Lx),ImTr(Lx)
0.53927,0.0342535
0.410314,0.0518598
0.383093,0.0486896
0.425089,0.00063471
0.419165,-0.0363841
0.438,-0.0647355
0.428114,-0.0178617
0.377454,-0.086471
0.407691,-0.150182
0.377574,-0.159247
0.39349,-0.156376
0.350005,-0.0896653
0.300939,-0.102234
0.346976,-0.130826
0.30261,-0.111848
0.260864,-0.116588
0.223246,-0.143101
0.253651,-0.133076
0.258575,-0.142178
0.271037,-0.178686
0.227276,-0.2226
0.214145,-0.214353
0.141164,-0.191706
0.112116,-0.120789
0.0864088,-0.116857
0.10026,-0.062368
0.0920001,-0.11978
0.102255,-0.114953
0.0956495,-0.0788013
0.0868943,-0.0563348
0.0711201,-0.0480036
0.0748096,-0.0904786
0.0985719,-0.0878291
0.0542905,-0.0692764
0.0733901,-0.0998669
0.0556854,-0.100832
0.00950936,-0.0706617
0.0294084,-0.0144954
0.0326688,-0.0340912
0.0403229,-0.0646261
0.0526325,-0.0685874
0.0655065,-0.127056
0.0542229,-0.172006
0.0494514,-0.136439
-0.00147069,-0.106221
-0.00147069,-0.106221
0.00075212,-0.0965225
0.0569803,-0.12099
0.0569803,-0.12099
0.0569803,-0.12099
0.0490206,-0.111915
0.0622476,-0.0715674
0.0622476,-0.0715674
0.0636923,-0.0380271
0.104113,-0.0583994
0.112911,-0.0515939
0.050257,-0.0539738
0.0681402,-0.0666224
0.0613537,-0.0661174
0.0851859,-0.089558
0.0838899,-0.124261
0.0596636,-0.0789853
0.0596636,-0.0789853
0.0596636,-0.0789853
0.0596636,-0.0789853
0.0596636,-0.0789853
0.0596636,-0.0789853
0.0596636,-0.0789853
0.0596636,-0.0789853
0.0596636,-0.0789853
0.0596636,-0.0789853
0.0481345,-0.153236
0.0481345,-0.153236
0.0481345,-0.153236
0.0481345,-0.153236
0.0481345,-0.153236
0.00856102,-0.109154
0.013983,-0.0598361
-0.0114147,-0.0678634
-0.00309448,-0.0447666
-0.0112484,-0.0474885
-0.0112484,-0.0474885
-0.0112484,-0.0474885
-0.0112484,-0.0474885
-0.0112484,-0.0474885
-0.0112484,-0.0474885
-0.0112484,-0.0474885
-0.0112484,-0.0474885
-0.0112484,-0.0474885
-0.0112484,-0.0474885
-0.029361,-0.0355259
-0.029361,-0.0355259
-0.00843241,-0.0537714
-0.00596161,-0.0166989
0.0112299,-0.0623536
-0.0153352,-0.0233581
-0.0153352,-0.0233581
0.00463579,-0.0154785
0.0292558,-0.0219104
0.0384699,-0.0725421
0.031344,-0.0335856
0.031344,-0.0335856
0.0562395,-0.0193777
0.0317749,-0.0363319
0.0222553,0.0477597
0.0222553,0.0477597
0.0222553,0.0477597
0.0222553,0.0477597
0.0222553,0.0477597
0.0222553,0.0477597
0.0222553,0.0477597
0.0190202,0.0184176
0.0190202,0.0184176
0.016073,0.0631456
-0.0105375,0.0340577
-0.0147311,-0.0016098
-0.0147311,-0.0016098
-0.0402634,-0.0224851
-0.031516,0.00196729
-0.0443018,0.022027
-0.0431861,0.0258227
-0.0431861,0.0258227
-0.0193257,0.0136157
-0.0193257,0.0136157
0.0171935,0.0368574
0.0171935,0.0368574
0.00198964,0.0211626
0.00198964,0.0211626
0.00198964,0.0211626
0.0664705,0.0481521
0.0146678,0.032296
0.0146678,0.032296
0.0146678,0.032296
0.0294386,0.0591042
0.043449,0.0505286
0.0327436,0.0336454
0.0384064,0.0563925
0.00172211,0.0715694
0.0385246,0.0293451
0.0385246,0.0293451
0.0385246,0.0293451
0.0158327,0.00885691
0.0212206,0.0187467
0.0215449,-0.00812661
0.0266067,-0.0398766
0.018447,-0.0290409
0.0532149,-0.0254622
0.080243,-0.0169936
0.080243,-0.0169936
0.080243,-0.0169936
0.080243,-0.0169936
0.0786224,0.00609452
0.0786224,0.00609452
0.0537404,-0.024783
0.0541594,0.00556108
