MDTU,|Tr(L)|,ReTr(L),ImTr(L)
1,1.47834,1.47735,0.0541768
2,1.73486,1.72972,0.133371
3,1.81527,1.81491,0.0362629
4,1.91602,1.90762,-0.179144
5,1.93219,1.93037,-0.083689
6,1.93936,1.93336,-0.152396
7,1.85684,1.83841,-0.260984
8,1.86601,1.84706,-0.265214
9,1.90844,1.87205,-0.370885
10,2.0916,2.02062,-0.540257
11,2.09355,2.0169,-0.561294
12,2.1549,2.11757,-0.39936
13,2.12215,2.06677,-0.481626
14,2.31201,2.29323,-0.294158
15,2.35848,2.35539,-0.120797
16,2.47605,2.46551,-0.228166
17,2.43232,2.41211,-0.312865
18,2.25812,2.23166,-0.344666
19,2.47415,2.42694,-0.481013
20,2.33678,2.28844,-0.472846
21,2.50656,2.43241,-0.605169
22,2.56699,2.47986,-0.663096
23,2.42295,2.34921,-0.593199
24,2.41038,2.3315,-0.611572
25,2.50999,2.46917,-0.450794
26,2.59261,2.55005,-0.467848
27,2.53964,2.50082,-0.44229
28,2.60428,2.58878,-0.283739
29,2.65387,2.60069,-0.52863
30,2.40496,2.40083,-0.140907
31,2.39094,2.38594,-0.154614
32,2.50924,2.48228,-0.3669
33,2.42865,2.42195,-0.180214
34,2.38019,2.37576,-0.145139
35,2.35479,2.33841,-0.277203
36,2.38889,2.37114,-0.29068
37,2.36,2.34422,-0.272436
38,2.31639,2.29024,-0.347111
39,2.31202,2.27961,-0.38576
40,2.26334,2.21095,-0.484158
41,2.26511,2.21574,-0.470346
42,2.29255,2.23369,-0.516186
43,2.27883,2.21775,-0.524076
44,2.29078,2.22673,-0.53795
45,2.27598,2.21848,-0.50837
46,2.27598,2.21848,-0.50837
47,2.23503,2.09357,-0.782506
48,2.12671,2.06564,-0.506012
49,2.12671,2.06564,-0.506012
50,2.12671,2.06564,-0.506012
51,2.12497,2.03126,-0.624084
52,2.06404,1.97568,-0.597472
53,2.06404,1.97568,-0.597472
54,2.14466,2.03792,-0.668168
55,2.13708,2.02237,-0.690738
56,2.12789,2.03046,-0.6365
57,2.08968,1.99946,-0.607367
58,2.03014,1.98931,-0.40512
59,2.07267,2.03545,-0.391012
60,1.9783,1.96995,-0.181561
61,1.97811,1.95118,-0.325334
62,1.98555,1.96116,-0.310267
63,1.98555,1.96116,-0.310267
64,1.98555,1.96116,-0.310267
65,1.98555,1.96116,-0.310267
66,1.98555,1.96116,-0.310267
67,1.98555,1.96116,-0.310267
68,1.98555,1.96116,-0.310267
69,1.98555,1.96116,-0.310267
70,1.98555,1.96116,-0.310267
71,1.98555,1.96116,-0.310267
72,1.94964,1.91883,-0.34527
73,1.94964,1.91883,-0.34527
74,1.94964,1.91883,-0.34527
75,1.94964,1.91883,-0.34527
76,1.94964,1.91883,-0.34527
77,2.037,1.99919,-0.390647
78,2.08774,2.06296,-0.320715
79,2.09026,2.07834,-0.222947
80,2.07252,2.05725,-0.251116
81,2.16719,2.14594,-0.302744
82,2.16719,2.14594,-0.302744
83,2.16719,2.14594,-0.302744
84,2.16719,2.14594,-0.302744
85,2.16719,2.14594,-0.302744
86,2.16719,2.14594,-0.302744
87,2.16719,2.14594,-0.302744
88,2.16719,2.14594,-0.302744
89,2.16719,2.14594,-0.302744
90,2.16719,2.14594,-0.302744
91,2.09349,2.06861,-0.321781
92,2.09349,2.06861,-0.321781
93,2.10031,2.05935,-0.412793
94,2.05748,2.02891,-0.341664
95,2.13394,2.11459,-0.286712
96,2.11728,2.10824,-0.195476
97,2.11728,2.10824,-0.195476
