MDTU,link
1,1.08075
2,1.08355
3,1.08054
4,1.07627
5,1.07627
6,1.08012
7,1.08599
8,1.08266
9,1.08762
10,1.08631
11,1.08392
12,1.0838
13,1.0861
14,1.0861
15,1.08509
16,1.08509
17,1.08761
18,1.08881
19,1.08965
20,1.08965
21,1.0919
22,1.09046
23,1.09046
24,1.08813
25,1.09447
26,1.09117
27,1.0931
28,1.09473
29,1.09624
30,1.09421
31,1.09176
32,1.09179
33,1.08343
34,1.08343
35,1.0887
36,1.08518
37,1.08518
38,1.08518
39,1.0897
40,1.09256
41,1.0929
42,1.0929
43,1.09389
44,1.09607
45,1.08884
46,1.09269
47,1.09175
48,1.09378
49,1.09378
50,1.09378
51,1.09838
52,1.09806
53,1.09616
54,1.10019
55,1.10059
56,1.09785
57,1.09984
58,1.09953
59,1.09953
60,1.10817
61,1.10375
62,1.10375
63,1.10375
64,1.09831
65,1.10228
66,1.10228
67,1.10228
68,1.103
69,1.09962
70,1.10096
71,1.09996
72,1.09565
73,1.09769
74,1.09818
75,1.10537
76,1.10472
77,1.10483
78,1.107
79,1.10306
80,1.1077
81,1.1077
82,1.1077
83,1.11711
84,1.11829
85,1.11369
86,1.1183
87,1.12065
88,1.12889
89,1.13159
90,1.13607
91,1.13964
92,1.14259
93,1.14318
94,1.14638
95,1.15397
96,1.16085
97,1.16908
98,1.18747
99,1.19984
100,1.19984
101,1.22855
102,1.25522
103,1.25522
104,1.25522
105,1.25522
106,1.25522
107,1.25522
108,1.25522
109,1.25522
110,1.25522
111,1.25522
112,1.25522
113,1.28449
114,1.28449
115,1.28449
116,1.28449
117,1.28449
118,1.28449
119,1.28449
120,1.31246
121,1.31246
122,1.31246
123,1.31246
124,1.31246
125,1.31246
126,1.31246
127,1.31246
128,1.31246
129,1.31246
130,1.31246
131,1.31246
132,1.31246
133,1.34936
134,1.34936
135,1.34936
136,1.34936
137,1.34936
138,1.34936
139,1.34936
140,1.34936
141,1.34936
142,1.34936
143,1.34936
144,1.34936
145,1.34936
146,1.34936
147,1.34936
148,1.34936
149,1.34936
150,1.34936
151,1.34936
152,1.34936
153,1.34936
154,1.38233
155,1.38233
156,1.40538
157,1.40538
158,1.40538
159,1.40538
160,1.40538
161,1.40538
162,1.40538
163,1.43966
164,1.43966
165,1.46533
166,1.46533
167,1.46533
168,1.46533
169,1.46533
170,1.46533
171,1.46533
172,1.46533
173,1.46533
174,1.46533
175,1.46533
176,1.46533
177,1.46533
178,1.46533
179,1.46533
180,1.46533
181,1.46533
182,1.46533
183,1.49714
184,1.53053
185,1.53053
186,1.53053
187,1.53053
188,1.53053
189,1.53053
190,1.53053
191,1.53053
192,1.53053
193,1.54659
194,1.54659
195,1.58964
196,1.61068
197,1.61068
198,1.61068
199,1.61068
200,1.61068
201,1.61068
202,1.61068
203,1.61068
204,1.61068
205,1.61068
206,1.64224
207,1.64224
208,1.64224
209,1.64224
210,1.64224
211,1.64224
212,1.64224
213,1.67157
214,1.67157
215,1.69965
216,1.69965
217,1.73198
218,1.73198
219,1.73198
220,1.73198
221,1.76477
222,1.76477
223,1.76477
224,1.76477
225,1.76477
226,1.76477
227,1.76477
228,1.76477
229,1.76477
230,1.76477
231,1.78157
232,1.78157
233,1.78157
234,1.78157
235,1.78157
236,1.78157
237,1.78157
238,1.78157
239,1.78157
240,1.81323
241,1.81323
242,1.81323
243,1.81323
244,1.81323
245,1.81929
246,1.85587
247,1.874
248,1.874
249,1.874
250,1.874
251,1.874
252,1.89912
253,1.89912
254,1.89912
255,1.89912
256,1.90235
257,1.90235
258,1.90235
259,1.92062
260,1.92062
261,1.92062
262,1.92062
263,1.95483
264,1.95483
265,1.95483
266,1.95483
267,1.96438
268,1.99205
269,1.99865
270,2.01754
271,2.03758
272,2.03758
273,2.03758
274,2.05646
275,2.05646
276,2.07245
277,2.07499
278,2.07499
279,2.09053
280,2.0987
281,2.11007
282,2.11007
283,2.11007
284,2.11242
285,2.11242
286,2.11242
287,2.12555
288,2.12555
289,2.12555
290,2.14163
291,2.13579
292,2.15346
293,2.16095
294,2.16608
295,2.17182
296,2.18143
297,2.17422
298,2.17422
299,2.17422
300,2.18496
301,2.18496
302,2.18813
303,2.21565
304,2.21865
305,2.20966
306,2.2113
307,2.21426
308,2.21363
309,2.21007
310,2.21007
311,2.2102
312,2.21111
313,2.23407
314,2.22575
315,2.22575
316,2.23142
317,2.23853
318,2.23647
319,2.23533
320,2.23533
321,2.23533
322,2.24175
323,2.24334
324,2.24445
325,2.24081
326,2.24081
327,2.25067
328,2.25456
329,2.2608
330,2.26606
331,2.26211
332,2.26207
333,2.27143
334,2.27168
335,2.27032
336,2.27959
337,2.27959
338,2.27572
339,2.2675
340,2.27754
341,2.28311
342,2.27089
343,2.28211
344,2.28264
345,2.27834
346,2.28799
347,2.28822
348,2.29
349,2.29614
350,2.29293
351,2.29258
352,2.28638
353,2.29176
354,2.30433
355,2.30115
356,2.2934
357,2.29238
358,2.29614
359,2.29113
360,2.28762
361,2.28767
362,2.29733
363,2.29513
364,2.28954
365,2.28581
366,2.27896
367,2.27446
368,2.27446
369,2.27512
370,2.27512
371,2.2749
372,2.27433
373,2.26459
374,2.26289
375,2.26611
376,2.25593
377,2.26913
378,2.25102
379,2.25777
380,2.26726
381,2.26309
382,2.26075
383,2.26075
384,2.25386
385,2.24354
386,2.24354
387,2.24804
388,2.24287
389,2.24532
390,2.24532
391,2.241
392,2.24596
393,2.24711
394,2.25136
395,2.25981
396,2.25895
397,2.25581
398,2.25918
399,2.26334
400,2.26635
401,2.26652
402,2.28096
403,2.27138
404,2.27531
405,2.27531
406,2.28003
407,2.28194
408,2.28194
409,2.27411
410,2.27369
411,2.27589
412,2.26872
413,2.27299
414,2.26789
415,2.26845
416,2.26581
417,2.26581
418,2.27502
419,2.27502
420,2.28084
421,2.273
422,2.27652
423,2.28003
424,2.28405
425,2.27293
426,2.27381
427,2.28036
428,2.28656
429,2.28761
430,2.28761
431,2.28948
432,2.28948
433,2.28953
434,2.28859
435,2.2901
436,2.29517
437,2.28919
438,2.29259
439,2.29522
440,2.28189
441,2.28924
442,2.284
443,2.29226
444,2.29221
445,2.2923
446,2.29277
447,2.28703
448,2.28785
449,2.28364
450,2.28486
451,2.288
452,2.29057
453,2.28319
454,2.28319
455,2.29041
456,2.28716
457,2.28716
458,2.28341
459,2.28861
460,2.28861
461,2.28861
462,2.28927
463,2.28096
464,2.2815
465,2.27358
466,2.28713
467,2.28019
468,2.29156
469,2.28202
470,2.27752
471,2.27584
472,2.26869
473,2.27668
474,2.27185
475,2.27185
476,2.26453
477,2.26165
478,2.26277
479,2.26982
480,2.26702
481,2.26705
482,2.2608
483,2.2608
484,2.26985
485,2.26985
486,2.26658
487,2.26658
488,2.26658
489,2.2611
490,2.25894
491,2.25894
492,2.2628
493,2.2628
494,2.27709
495,2.2879
496,2.28869
497,2.28719
498,2.28558
499,2.28859
500,2.28605
501,2.29543
502,2.29543
503,2.29332
504,2.27745
505,2.28451
506,2.29128
507,2.28567
508,2.28567
509,2.29597
510,2.29556
511,2.29491
512,2.29488
513,2.29488
514,2.28265
515,2.28887
516,2.28335
517,2.28443
518,2.28443
519,2.28084
520,2.28084
521,2.29554
522,2.29554
523,2.29554
524,2.28604
525,2.29448
526,2.29539
527,2.29539
528,2.29052
529,2.2866
530,2.28117
531,2.27504
532,2.27726
533,2.27561
534,2.28479
535,2.28586
536,2.29028
537,2.2938
538,2.30425
539,2.29087
540,2.30622
541,2.30725
542,2.30696
543,2.30696
544,2.30265
545,2.30504
546,2.30004
547,2.30109
548,2.29766
549,2.29916
550,2.29916
551,2.30166
552,2.29042
553,2.29469
554,2.29684
555,2.28985
556,2.30887
557,2.31141
558,2.31045
559,2.31379
560,2.30861
561,2.31269
562,2.31308
563,2.31588
564,2.30958
565,2.31133
566,2.30099
567,2.29641
568,2.29137
569,2.30188
570,2.30637
571,2.30968
572,2.30894
573,2.31517
574,2.30772
575,2.29195
576,2.29195
577,2.29528
578,2.29754
579,2.29754
580,2.29264
581,2.29563
582,2.29563
583,2.2965
584,2.2965
585,2.30278
586,2.30234
587,2.30234
588,2.3027
589,2.3027
590,2.29736
591,2.29475
592,2.29271
593,2.28251
594,2.28104
595,2.27418
596,2.26981
597,2.2766
598,2.27265
599,2.26767
600,2.2619
601,2.2643
602,2.27422
603,2.27422
604,2.2706
605,2.2706
606,2.27866
607,2.28068
608,2.28068
609,2.28233
610,2.28084
611,2.28084
612,2.27894
613,2.27888
614,2.27281
615,2.26947
616,2.26947
617,2.28279
618,2.28667
619,2.29729
620,2.27807
621,2.27392
622,2.2696
623,2.26839
624,2.26839
625,2.2797
626,2.2783
627,2.2783
628,2.27814
629,2.27299
630,2.27668
631,2.27761
632,2.28043
633,2.28128
634,2.29654
635,2.28758
636,2.28758
637,2.28247
638,2.28182
639,2.28386
640,2.28417
641,2.28417
642,2.27879
643,2.28944
644,2.29335
645,2.2922
646,2.29407
647,2.29407
648,2.29268
649,2.29268
650,2.29268
651,2.2973
652,2.29511
653,2.291
654,2.28196
655,2.27798
656,2.27121
657,2.28399
658,2.28399
659,2.2756
660,2.2783
661,2.27804
662,2.27224
663,2.27512
664,2.27908
665,2.26368
666,2.26368
667,2.25564
668,2.27463
669,2.25452
670,2.24788
671,2.24916
672,2.25488
673,2.26141
674,2.26445
675,2.26248
676,2.27788
677,2.26853
678,2.26618
679,2.27634
680,2.27946
681,2.27316
682,2.27674
683,2.27287
684,2.27863
685,2.27863
686,2.27458
687,2.27399
688,2.27946
689,2.27556
690,2.27624
691,2.27171
692,2.27171
693,2.27569
694,2.27204
695,2.29695
696,2.29695
697,2.28363
698,2.28458
699,2.29874
700,2.29401
701,2.29616
702,2.30173
703,2.28803
704,2.3005
705,2.30764
706,2.31036
707,2.29539
708,2.30847
709,2.30324
710,2.30324
711,2.30685
712,2.29998
713,2.30728
714,2.2967
715,2.29205
716,2.29205
717,2.29185
718,2.29185
719,2.28881
720,2.28119
721,2.28987
722,2.28687
723,2.2824
724,2.28177
725,2.28177
726,2.28245
727,2.27189
728,2.27189
729,2.28495
730,2.28468
731,2.28515
732,2.28543
733,2.28115
734,2.2806
735,2.27625
736,2.28113
737,2.2823
738,2.27363
739,2.27201
740,2.2735
741,2.2692
742,2.26282
743,2.27116
744,2.27236
745,2.27028
746,2.27716
747,2.28624
748,2.2794
749,2.26933
750,2.27808
751,2.27808
752,2.27808
753,2.28105
754,2.28009
755,2.27521
756,2.2814
757,2.28039
758,2.28854
759,2.28755
760,2.28434
761,2.28434
762,2.29283
763,2.29283
764,2.29495
765,2.29122
766,2.27863
767,2.27675
768,2.28851
769,2.28109
770,2.28745
771,2.29656
772,2.27881
773,2.28534
774,2.28534
