MDTU ,delta_S
1,1.2
2,0.3278
3,-0.9938
4,-0.02156
5,1.551
6,-0.09236
7,0.8885
8,-0.2167
9,0.9505
10,0.5846
11,-0.2464
12,-0.1446
13,0.2955
14,0.8124
15,-0.1155
16,0.545
17,0.2063
18,0.02685
19,-0.4753
20,1.723
21,0.5173
22,-0.3263
23,0.1955
24,-0.124
25,0.6841
26,-0.8361
27,0.4475
28,0.1824
29,0.03421
30,0.2183
31,-0.6616
32,-0.7682
33,-1.803
34,0.1214
35,0.4961
36,-0.1733
37,0.3937
38,0.7699
39,0.9546
40,-0.0155
41,-0.01358
42,1.136
43,0.1799
44,-0.2255
45,-1.286
46,0.5476
47,-0.4514
48,0.5347
49,0.814
50,0.6989
51,0.3212
52,0.1255
53,-0.3851
54,0.1528
55,-0.168
56,-0.9587
57,-0.05368
58,-0.1991
59,0.2519
60,0.6095
61,-0.8933
62,1.114
63,0.4094
64,-0.9344
65,0.1388
66,0.9124
67,0.2066
68,0.01877
69,-0.9046
70,-0.4407
71,-0.2772
72,-0.8824
73,-0.3888
74,-0.2633
75,0.7687
76,-0.8388
77,-0.7104
78,-0.7641
79,-0.8896
80,0.4408
81,0.8959
82,0.5291
83,0.1119
84,-0.1682
85,-1.341
86,0.9354
87,-0.2513
88,0.6121
89,-0.5669
90,-0.7796
91,-0.2451
92,-0.7154
93,-0.6174
94,-1.792
95,-1.311
96,-1.38
97,-2.638
98,-1.719
99,-0.8505
100,1.325
101,0.7494
102,0.9859
103,2.326
104,2.654
105,1.751
106,2.147
107,2.978
108,1.945
109,2.113
110,2.156
111,2.418
112,2.267
113,1.203
114,2.828
115,2.692
116,2.498
117,2.551
118,3.028
119,2.03
120,2.499
121,2.785
122,2.08
123,4.213
124,2.86
125,2.949
126,3.443
127,3.187
128,3.157
129,2.126
130,2.955
131,3.39
132,3.695
133,3.985
134,2.906
135,2.789
136,3.509
137,2.764
138,1.989
139,3.996
140,2.069
141,3.151
142,2.373
143,2.901
144,2.489
145,2.913
146,2.631
147,3.156
148,2.583
149,3.31
150,2.4
151,2.653
152,2.489
153,2.925
154,2.765
155,1.28
156,1.945
157,3.581
158,2.648
159,2.515
160,3.808
161,2.662
162,2.638
163,2.974
164,2.157
165,1.744
166,2.387
167,3.325
168,3.197
169,2.248
170,1.593
171,3.234
172,2.23
173,2.254
174,2.499
175,2.874
176,2.909
177,3.173
178,2.606
179,2.315
180,2.202
181,3.476
182,2.741
183,2.314
184,2.494
185,2.479
186,1.544
187,2.349
188,2.004
189,2.282
190,2.472
191,2.259
192,2.805
193,1.239
194,2.706
195,2.252
196,1.656
197,2.287
198,2.24
199,2.427
200,1.894
201,2.331
202,1.999
203,1.651
204,2.45
205,2.087
206,1.519
207,1.57
208,2.697
209,1.759
210,2.142
211,2.021
212,1.347
213,1.644
214,2.499
215,1.227
216,1.713
217,1.863
218,1.88
219,1.531
220,2.535
221,2.282
222,1.552
223,0.7933
224,1.053
225,1.098
226,0.7722
227,1.922
228,1.517
229,2.041
230,0.8805
231,0.7273
232,1.365
233,2.343
234,2.24
235,0.7651
236,1.96
237,1.113
238,1.568
239,2.562
240,0.9691
241,0.5137
242,1.056
243,1.953
244,1.036
245,0.5519
246,1.738
247,0.4463
248,1.282
249,1.324
250,1.729
251,1.227
252,0.8741
253,1.143
254,0.5616
255,0.7495
256,-0.09095
257,1.286
258,1.142
259,0.6477
260,1.099
261,1.241
262,1.048
263,1.831
264,0.1808
265,0.9767
266,0.5129
267,0.6137
268,1.126
269,0.07614
270,1.205
271,0.7494
272,0.3358
273,1.08
274,0.6247
275,0.2406
276,0.3257
277,0.0696
278,0.8063
279,0.6634
280,-0.03004
281,0.5642
282,1.451
283,0.9525
284,0.03648
285,0.6736
286,0.7141
287,0.6014
288,0.7585
289,0.3774
290,0.7423
291,-0.114
292,0.6732
293,0.6955
294,0.6436
295,-0.3238
296,0.8193
297,-0.3704
298,0.5579
299,0.3686
300,0.8165
301,0.8557
302,0.8023
303,0.3263
304,0.3367
305,-0.8178
306,0.1231
307,0.1761
308,0.5712
309,-0.4773
310,0.9507
311,-0.2226
312,-0.314
313,0.5783
314,-0.2083
315,0.654
316,-0.5006
317,0.7581
318,-0.4292
319,0.03697
320,0.2349
321,0.7356
322,0.1714
323,0.4335
324,0.05189
325,-0.03396
326,0.5506
327,0.2934
328,-0.2777
329,-0.06996
330,0.5341
331,0.1943
332,-0.2516
333,0.1594
334,-0.04468
335,0.3022
336,0.1001
337,0.7126
338,-0.2528
339,-0.4954
340,0.5677
341,0.5344
342,-0.3281
343,-0.6799
344,0.6342
345,0.1421
346,0.185
347,0.247
348,0.007153
349,-0.1292
350,0.2438
351,0.3362
352,-0.05186
353,0.05532
354,0.6387
355,-0.2576
356,-0.1922
357,0.1611
358,-0.2826
359,-0.0741
360,0.5229
361,0.008196
362,0.3164
363,0.5756
364,-0.0633
365,-0.284
366,-0.4295
367,-0.2693
368,0.4236
369,-0.1773
370,0.3232
371,-0.0328
372,-0.4799
373,0.1157
374,-0.3988
375,-0.5957
376,-1.073
377,0.132
378,-0.2481
379,0.7141
380,0.007343
381,0.05812
382,-0.3249
383,0.5018
384,0.09794
385,-0.1545
386,0.5344
387,-0.01803
388,-0.02835
389,0.5946
390,0.988
391,-0.2858
392,0.06528
393,-0.4961
394,-0.2201
395,-0.07103
396,0.08171
397,-0.3685
398,-0.02296
399,-0.1803
400,0.7339
401,0.7879
402,0.5249
403,-0.4651
404,-0.04545
405,0.8577
406,-0.1093
407,-0.0357
408,1.068
409,0.258
410,-0.4109
411,-0.1646
412,0.1159
413,0.7445
414,-0.2845
415,-0.1686
416,-0.5763
417,0.3605
418,0.3226
419,1.332
420,-0.6535
421,0.1572
422,-0.05874
423,-0.1517
424,0.3708
425,-0.07003
426,-0.1047
427,0.2053
428,0.5953
429,0.2468
430,0.2044
431,0.3947
432,1.002
433,0.2251
434,-0.4382
435,0.2123
436,0.8198
437,0.2749
438,-0.08591
439,0.2389
440,0.5064
441,0.09518
442,-0.1044
443,0.645
444,-0.08682
445,-0.05431
446,0.6171
447,-0.08219
448,-0.2242
449,0.1378
450,0.2609
451,0.1123
452,-0.2192
453,-0.2374
454,0.07991
455,0.08734
456,-0.6021
457,0.7193
458,-0.08031
459,-0.07108
460,0.5382
461,0.3509
462,0.1279
463,0.2014
464,0.6279
465,-0.2268
466,0.07031
467,-0.3322
468,0.2125
469,0.262
470,0.4493
471,0.1637
472,-0.1415
473,0.2683
474,0.01853
475,0.2441
476,-0.3615
477,-0.8561
478,-1.033
479,0.2725
480,0.1287
481,0.1783
482,0.03694
483,1.169
484,0.5267
485,0.7511
486,0.1308
487,0.4285
488,0.8161
489,0.04287
490,-0.1628
491,0.4132
492,0.09641
493,0.4327
494,0.5098
495,0.6271
496,0.5348
497,0.1862
498,-0.2884
499,0.3672
500,-0.1852
501,0.06353
502,0.4969
503,-0.7671
504,-0.6776
505,0.1039
506,-0.0124
507,0.08155
508,0.008729
509,-0.1963
510,0.4678
511,-0.02338
512,0.4228
513,0.9164
514,-0.6104
515,0.4114
516,-0.1142
517,-0.1626
518,0.5694
519,-0.4479
520,1.078
521,-0.1015
522,0.5866
523,0.7885
524,-0.7337
525,0.6219
526,-0.51
527,0.7891
528,-0.2348
529,0.5612
530,-0.5336
531,-0.1331
532,-0.3041
533,-0.3945
534,0.4527
535,0.005186
536,0.6363
537,-1.367
538,0.1616
539,0.02946
540,-0.1379
541,0.1369
542,0.07265
543,0.6677
544,-0.07587
545,-0.06087
546,-0.0781
547,0.1495
548,0.0515
549,0.4256
550,0.8902
551,-0.5053
552,-0.9822
553,0.06731
554,0.4048
555,-0.1646
556,-0.09009
557,0.1722
558,-0.3843
559,0.02579
560,-0.08688
561,-0.173
562,-0.3407
563,-0.2897
564,-0.2711
565,0.1507
566,0.5177
567,0.1409
568,-0.5184
569,0.9256
570,0.2965
571,0.2125
572,-0.4436
573,0.3241
574,0.3889
575,-0.07668
576,0.1969
577,0.03933
578,-0.2304
579,0.3353
580,0.4375
581,0.6615
582,0.2174
583,0.2923
584,0.5935
585,0.04923
586,-0.1966
587,0.91
588,-0.3476
589,0.2724
590,0.2931
591,0.3946
592,-0.7495
593,-0.5415
594,-0.6154
595,-0.007849
596,0.3652
597,-0.1126
598,0.08269
599,-0.2207
600,-0.3816
601,-0.05046
602,0.2183
603,0.1636
604,0.06382
605,0.7685
606,0.3504
607,-0.2556
608,0.3618
609,0.05359
610,0.07945
611,0.522
612,-0.4037
613,0.3381
614,-0.1874
615,0.02465
616,0.3408
617,0.5083
618,-0.1464
619,0.2112
620,0.03494
621,-0.1988
622,-0.2556
623,0.09281
624,0.8411
625,0.06334
626,-0.6117
627,0.6219
628,0.04583
629,0.6182
630,-0.6155
631,0.1003
632,0.4423
633,0.1459
634,0.8856
635,-0.1309
636,-0.3169
637,-0.3205
638,-0.3272
639,0.004354
640,0.1304
641,0.5581
642,-0.466
643,0.0006976
644,0.4535
645,-0.361
646,-0.1768
647,0.8033
648,-0.5649
649,0.7205
650,0.7607
651,0.3265
652,-0.2607
653,-0.5238
654,-0.2479
655,-0.07429
656,0.1069
657,0.8081
658,0.6088
659,0.1698
660,0.2658
661,0.1816
662,0.1108
663,-0.03706
664,0.2843
665,0.7087
666,0.1634
667,-0.2108
668,-0.4656
669,-0.9246
670,-0.9959
671,0.2417
672,0.1126
673,0.5352
674,0.3316
675,0.3008
676,0.7749
677,0.1876
678,0.1602
679,0.7039
680,0.3148
681,0.3351
682,-0.2772
683,-0.07082
684,0.3734
685,0.3258
686,-0.2859
687,-0.1753
688,0.3741
689,0.2858
690,-0.1202
691,0.3135
692,0.6082
693,-0.02811
694,-0.5092
695,1.021
696,0.3257
697,-0.783
698,-0.1114
699,0.1941
700,-0.4599
701,-0.03191
702,-0.08317
703,-0.2207
704,0.4858
705,0.1314
706,-0.1088
707,-0.01038
708,0.6204
709,-0.2832
710,0.4388
711,-0.009504
712,0.08381
713,-0.2444
714,-0.6057
715,-0.0312
716,0.9018
717,0.2519
718,0.3235
719,0.08464
720,0.6027
721,-0.1904
722,-0.7668
723,0.4457
724,0.05742
725,0.1989
726,0.4635
727,0.2426
728,0.5896
729,-0.4557
730,0.2454
731,0.4624
732,0.6052
733,-0.1498
734,-0.2235
735,-0.483
736,-0.2649
737,0.08263
738,0.1232
739,-0.05302
740,-0.3538
741,0.4447
742,0.1221
743,0.8435
744,0.5112
745,0.1413
746,0.01443
747,1.25
748,-0.3773
749,0.3516
750,0.1596
751,1.163
752,0.5374
753,0.7994
754,-0.07752
755,-0.1854
756,0.3986
757,-0.1873
758,0.02432
759,-0.3866
760,-0.4972
761,0.1919
762,0.2377
763,0.5077
764,0.06174
765,-0.4832
766,-0.4753
767,-0.0787
768,0.5225
769,0.3852
770,0.131
771,0.3899
772,-1.049
773,0.1763
774,0.3921
775,-0.5828
776,-0.8618
777,-0.4167
778,0.3697
779,-0.1767
780,-0.3947
781,0.8902
782,-0.4512
783,0.4257
784,-0.2485
785,-0.3668
786,-0.6326
787,0.2201
788,0.1815
789,-0.02819
790,-0.4094
791,0.05016
792,-0.08446
793,-0.1807
794,-0.7587
795,-0.41
796,0.4644
797,-0.939
798,0.218
799,0.2072
800,0.02978
801,-0.1307
802,0.2032
803,-0.4772
804,-0.5246
805,-0.004071
806,0.5729
807,-0.222
808,0.08697
809,0.04971
810,0.176
811,0.7554
812,-0.09571
813,0.6533
814,0.8855
815,0.1394
816,0.2162
817,0.76
818,0.3898
819,-0.4284
820,-0.1118
821,0.4758
822,0.3476
823,0.2541
824,0.9713
825,-0.01071
826,-0.3369
827,-0.2509
828,0.2064
829,-0.8401
830,-0.187
831,0.3092
832,0.1473
833,-0.3647
834,-0.0794
