MDTU,|det-1|^2,1-Re(det),Im(det)
1,0.977134,0.001296,-0.00119706
2,1.42584,-0.10198,0.00777067
3,1.38198,-0.07206,0.00694124
4,1.22649,0.015125,-0.00270841
5,1.22649,0.015125,-0.00270841
6,1.26626,-0.01922,-0.00145083
7,1.55778,-0.12918,0.00105746
8,1.63863,-0.10803,-0.00382623
9,2.05863,-0.24405,-0.000620627
10,1.90804,-0.21615,0.00135018
11,1.91988,-0.20265,-0.00121038
12,1.7721,-0.16201,0.00544559
13,2.05817,-0.22813,-0.00135867
14,2.05817,-0.22813,-0.00135867
15,2.1422,-0.23083,0.00149618
16,2.1422,-0.23083,0.00149618
17,2.17498,-0.26101,0.00186528
18,2.56444,-0.32562,-0.00438148
19,2.29634,-0.32108,0.00232493
20,2.29634,-0.32108,0.00232493
21,2.77196,-0.41448,0.000264613
22,2.89475,-0.41282,0.00732008
23,2.89475,-0.41282,0.00732008
24,2.31888,-0.32351,0.000539047
25,2.95447,-0.45252,-0.00274381
26,3.08128,-0.45541,0.00197474
27,3.37578,-0.51297,0.00062527
28,3.66252,-0.57155,-0.0145427
29,3.67265,-0.5968,-0.0076159
30,3.8667,-0.57133,-0.00185135
31,3.57646,-0.50937,0.00283565
32,3.17427,-0.47009,0.00448801
33,1.92831,-0.23359,0.00240234
34,1.92831,-0.23359,0.00240234
35,3.01554,-0.40022,0.00290851
36,2.29,-0.27188,0.00305696
37,2.29,-0.27188,0.00305696
38,2.29,-0.27188,0.00305696
39,2.93496,-0.40207,-0.00642305
40,3.36251,-0.47355,0.0103369
41,3.93798,-0.51696,-0.00657295
42,3.93798,-0.51696,-0.00657295
43,3.48542,-0.47804,0.00379053
44,3.99436,-0.57782,0.00450735
45,2.47756,-0.30458,0.00231799
46,2.88292,-0.37752,0.00685043
47,2.65754,-0.3236,-0.00282962
48,2.92565,-0.37761,-0.00575895
49,2.92565,-0.37761,-0.00575895
50,2.92565,-0.37761,-0.00575895
51,3.76173,-0.51955,-0.00157674
52,3.75125,-0.5164,0.00122996
53,3.39841,-0.42763,0.00753802
54,3.67183,-0.49348,0.00125776
55,3.53517,-0.46696,-0.00165523
56,3.02005,-0.354,0.00225063
57,2.9705,-0.36037,0.0108013
58,2.5863,-0.27399,0.00318977
59,2.5863,-0.27399,0.00318977
60,3.41722,-0.48168,-0.00011478
61,2.88148,-0.33752,0.000980341
62,2.88148,-0.33752,0.000980341
63,2.88148,-0.33752,0.000980341
64,2.21634,-0.14883,0.0125309
65,2.44372,-0.20332,-0.00401551
66,2.44372,-0.20332,-0.00401551
67,2.44372,-0.20332,-0.00401551
68,2.38949,-0.21999,-0.012522
69,2.29833,-0.14661,0.00227414
70,2.28632,-0.11521,0.000774092
71,1.84925,-0.03022,0.00224973
72,1.52102,0.078325,0.000645399
73,1.48829,0.127949,0.00482789
74,1.66145,0.128292,0.00944983
75,1.4395,0.107851,-0.00124105
76,1.26703,0.189908,-0.000326987
77,1.36542,0.200178,0.0063409
78,1.13947,0.259919,-0.00277377
79,0.942327,0.351898,0.00164201
80,0.919119,0.360605,0.00429297
81,0.919119,0.360605,0.00429297
82,0.919119,0.360605,0.00429297
83,1.09391,0.324713,-0.00258234
84,0.962681,0.37895,-9.49636e-05
85,0.870134,0.477439,0.0014563
86,0.845816,0.523547,-0.000106707
87,0.810919,0.561105,0.00190711
88,0.74948,0.603328,-2.627e-05
89,0.828304,0.631466,-0.00307168
90,0.872952,0.65236,0.000126688
91,0.93844,0.706741,-0.000513782
92,0.885761,0.755675,0.000330373
93,0.887723,0.803131,0.00241481
94,0.872241,0.86758,-0.000756322
95,0.886875,0.900334,0.000280232
96,0.917151,0.942584,0.00103044
97,0.952283,0.971644,4.8965e-05
98,0.97373,0.983309,8.85583e-05
99,0.986727,0.992645,6.46821e-05
100,0.986727,0.992645,6.46821e-05
101,0.994227,0.99689,0.0001025
102,0.997032,0.99844,-0.00016024
103,0.997032,0.99844,-0.00016024
104,0.997032,0.99844,-0.00016024
105,0.997032,0.99844,-0.00016024
106,0.997032,0.99844,-0.00016024
107,0.997032,0.99844,-0.00016024
108,0.997032,0.99844,-0.00016024
109,0.997032,0.99844,-0.00016024
110,0.997032,0.99844,-0.00016024
111,0.997032,0.99844,-0.00016024
112,0.997032,0.99844,-0.00016024
113,0.997302,0.998592,-7.24179e-05
114,0.997302,0.998592,-7.24179e-05
115,0.997302,0.998592,-7.24179e-05
116,0.997302,0.998592,-7.24179e-05
117,0.997302,0.998592,-7.24179e-05
118,0.997302,0.998592,-7.24179e-05
119,0.997302,0.998592,-7.24179e-05
120,0.99821,0.999085,-5.9585e-05
121,0.99821,0.999085,-5.9585e-05
122,0.99821,0.999085,-5.9585e-05
123,0.99821,0.999085,-5.9585e-05
124,0.99821,0.999085,-5.9585e-05
125,0.99821,0.999085,-5.9585e-05
126,0.99821,0.999085,-5.9585e-05
127,0.99821,0.999085,-5.9585e-05
128,0.99821,0.999085,-5.9585e-05
129,0.99821,0.999085,-5.9585e-05
130,0.99821,0.999085,-5.9585e-05
131,0.99821,0.999085,-5.9585e-05
132,0.99821,0.999085,-5.9585e-05
133,0.998514,0.999244,-3.63844e-05
134,0.998514,0.999244,-3.63844e-05
135,0.998514,0.999244,-3.63844e-05
136,0.998514,0.999244,-3.63844e-05
137,0.998514,0.999244,-3.63844e-05
138,0.998514,0.999244,-3.63844e-05
139,0.998514,0.999244,-3.63844e-05
140,0.998514,0.999244,-3.63844e-05
141,0.998514,0.999244,-3.63844e-05
142,0.998514,0.999244,-3.63844e-05
143,0.998514,0.999244,-3.63844e-05
144,0.998514,0.999244,-3.63844e-05
145,0.998514,0.999244,-3.63844e-05
146,0.998514,0.999244,-3.63844e-05
147,0.998514,0.999244,-3.63844e-05
148,0.998514,0.999244,-3.63844e-05
149,0.998514,0.999244,-3.63844e-05
150,0.998514,0.999244,-3.63844e-05
151,0.998514,0.999244,-3.63844e-05
152,0.998514,0.999244,-3.63844e-05
153,0.998514,0.999244,-3.63844e-05
154,0.998389,0.999181,-4.0393e-05
155,0.998389,0.999181,-4.0393e-05
156,0.998433,0.999202,-1.45163e-05
157,0.998433,0.999202,-1.45163e-05
158,0.998433,0.999202,-1.45163e-05
159,0.998433,0.999202,-1.45163e-05
160,0.998433,0.999202,-1.45163e-05
161,0.998433,0.999202,-1.45163e-05
162,0.998433,0.999202,-1.45163e-05
163,0.998255,0.999113,2.60929e-05
164,0.998255,0.999113,2.60929e-05
165,0.998229,0.999091,-5.75977e-05
166,0.998229,0.999091,-5.75977e-05
167,0.998229,0.999091,-5.75977e-05
168,0.998229,0.999091,-5.75977e-05
169,0.998229,0.999091,-5.75977e-05
170,0.998229,0.999091,-5.75977e-05
171,0.998229,0.999091,-5.75977e-05
172,0.998229,0.999091,-5.75977e-05
173,0.998229,0.999091,-5.75977e-05
174,0.998229,0.999091,-5.75977e-05
175,0.998229,0.999091,-5.75977e-05
176,0.998229,0.999091,-5.75977e-05
177,0.998229,0.999091,-5.75977e-05
178,0.998229,0.999091,-5.75977e-05
179,0.998229,0.999091,-5.75977e-05
180,0.998229,0.999091,-5.75977e-05
181,0.998229,0.999091,-5.75977e-05
182,0.998229,0.999091,-5.75977e-05
183,0.99812,0.999024,-2.36076e-05
184,0.997404,0.998666,8.44406e-05
185,0.997404,0.998666,8.44406e-05
186,0.997404,0.998666,8.44406e-05
187,0.997404,0.998666,8.44406e-05
188,0.997404,0.998666,8.44406e-05
189,0.997404,0.998666,8.44406e-05
190,0.997404,0.998666,8.44406e-05
191,0.997404,0.998666,8.44406e-05
192,0.997404,0.998666,8.44406e-05
193,0.997684,0.998812,-1.38498e-05
194,0.997684,0.998812,-1.38498e-05
195,0.996967,0.998439,-1.36316e-05
196,0.997216,0.99855,-9.19212e-05
197,0.997216,0.99855,-9.19212e-05
198,0.997216,0.99855,-9.19212e-05
199,0.997216,0.99855,-9.19212e-05
200,0.997216,0.99855,-9.19212e-05
201,0.997216,0.99855,-9.19212e-05
202,0.997216,0.99855,-9.19212e-05
203,0.997216,0.99855,-9.19212e-05
204,0.997216,0.99855,-9.19212e-05
205,0.997216,0.99855,-9.19212e-05
206,0.99663,0.998259,0.000106017
207,0.99663,0.998259,0.000106017
208,0.99663,0.998259,0.000106017
209,0.99663,0.998259,0.000106017
210,0.99663,0.998259,0.000106017
211,0.99663,0.998259,0.000106017
212,0.99663,0.998259,0.000106017
213,0.995938,0.997894,3.30959e-05
214,0.995938,0.997894,3.30959e-05
215,0.995754,0.997702,6.09239e-05
216,0.995754,0.997702,6.09239e-05
217,0.994947,0.997345,-2.23896e-05
218,0.994947,0.997345,-2.23896e-05
219,0.994947,0.997345,-2.23896e-05
220,0.994947,0.997345,-2.23896e-05
221,0.994086,0.996843,-7.16789e-05
222,0.994086,0.996843,-7.16789e-05
223,0.994086,0.996843,-7.16789e-05
224,0.994086,0.996843,-7.16789e-05
225,0.994086,0.996843,-7.16789e-05
226,0.994086,0.996843,-7.16789e-05
227,0.994086,0.996843,-7.16789e-05
228,0.994086,0.996843,-7.16789e-05
229,0.994086,0.996843,-7.16789e-05
230,0.994086,0.996843,-7.16789e-05
231,0.992635,0.995973,0.000162835
232,0.992635,0.995973,0.000162835
233,0.992635,0.995973,0.000162835
234,0.992635,0.995973,0.000162835
235,0.992635,0.995973,0.000162835
236,0.992635,0.995973,0.000162835
237,0.992635,0.995973,0.000162835
238,0.992635,0.995973,0.000162835
239,0.992635,0.995973,0.000162835
240,0.992486,0.995946,-0.000163706
241,0.992486,0.995946,-0.000163706
242,0.992486,0.995946,-0.000163706
243,0.992486,0.995946,-0.000163706
244,0.992486,0.995946,-0.000163706
245,0.99199,0.995583,4.49996e-05
246,0.991517,0.995363,0.000302439
247,0.99117,0.995005,-0.000227861
248,0.99117,0.995005,-0.000227861
249,0.99117,0.995005,-0.000227861
250,0.99117,0.995005,-0.000227861
251,0.99117,0.995005,-0.000227861
252,0.989169,0.993871,-0.000268365
253,0.989169,0.993871,-0.000268365
254,0.989169,0.993871,-0.000268365
255,0.989169,0.993871,-0.000268365
256,0.990378,0.994708,-2.2871e-05
257,0.990378,0.994708,-2.2871e-05
258,0.990378,0.994708,-2.2871e-05
259,0.988177,0.993489,0.000250078
260,0.988177,0.993489,0.000250078
261,0.988177,0.993489,0.000250078
262,0.988177,0.993489,0.000250078
263,0.986449,0.992291,-0.000427417
264,0.986449,0.992291,-0.000427417
265,0.986449,0.992291,-0.000427417
266,0.986449,0.992291,-0.000427417
267,0.987846,0.992972,-0.00018196
268,0.984346,0.991106,-0.000172756
269,0.982475,0.989539,0.000182524
270,0.985011,0.991032,0.000101172
271,0.983902,0.989808,-0.000960834
272,0.983902,0.989808,-0.000960834
273,0.983902,0.989808,-0.000960834
274,0.982645,0.989049,0.000224796
275,0.982645,0.989049,0.000224796
276,0.980723,0.98794,0.000473541
277,0.981522,0.98894,-0.000486284
278,0.981522,0.98894,-0.000486284
279,0.98331,0.989936,-0.000806375
280,0.984334,0.990359,0.000328441
281,0.978772,0.986997,-0.00108621
282,0.978772,0.986997,-0.00108621
283,0.978772,0.986997,-0.00108621
284,0.981007,0.98877,-0.00073618
285,0.981007,0.98877,-0.00073618
286,0.981007,0.98877,-0.00073618
287,0.982291,0.989207,-0.000557149
288,0.982291,0.989207,-0.000557149
289,0.982291,0.989207,-0.000557149
290,0.98139,0.987948,-0.00027194
291,0.980811,0.987251,-0.000790922
292,0.98349,0.985985,0.000664283
293,0.978101,0.987225,-3.37986e-05
294,0.977988,0.986367,0.000535567
295,0.977401,0.986635,0.000312958
296,0.975944,0.984331,0.000398261
297,0.977761,0.985865,0.00047021
298,0.977761,0.985865,0.00047021
299,0.977761,0.985865,0.00047021
300,0.977863,0.986752,-0.000581899
301,0.977863,0.986752,-0.000581899
302,0.976466,0.982975,-0.000199928
303,0.97557,0.983239,0.000733005
304,0.972098,0.982312,-0.00037712
305,0.975535,0.984817,0.000185585
306,0.975177,0.984896,0.00054483
307,0.976369,0.985317,-0.000617195
308,0.978039,0.98427,-0.00025791
309,0.972918,0.983252,-8.75388e-05
310,0.972918,0.983252,-8.75388e-05
311,0.978921,0.986805,-0.000207544
312,0.975396,0.983474,-0.00137373
313,0.97003,0.979809,0.000789262
314,0.97683,0.984514,0.000192349
315,0.97683,0.984514,0.000192349
316,0.972958,0.981091,0.000743745
317,0.977197,0.981893,-4.50821e-05
318,0.973277,0.982437,-0.000740851
319,0.973744,0.981942,0.000185024
320,0.973744,0.981942,0.000185024
321,0.973744,0.981942,0.000185024
322,0.973677,0.983581,-0.000703659
323,0.976232,0.978546,0.000828073
324,0.984934,0.980351,0.0004507
325,0.974562,0.983373,0.000119788
326,0.974562,0.983373,0.000119788
327,0.972755,0.982025,0.000437612
328,0.971134,0.97954,-8.11201e-05
329,0.990162,0.977219,-0.0023827
330,0.967501,0.977832,0.000605096
331,0.969088,0.976991,5.26673e-05
332,0.972264,0.982433,9.92104e-05
333,0.972507,0.981671,-0.000196609
334,0.974015,0.981606,-0.000925316
335,0.9722,0.979885,-0.000233709
336,0.973498,0.978398,-0.00061286
337,0.973498,0.978398,-0.00061286
338,0.979018,0.975214,-0.000520116
339,0.971251,0.981745,-0.00112269
340,0.9746,0.980678,-0.000723562
341,0.971642,0.980958,0.00231824
342,0.970787,0.980625,-7.68717e-05
343,0.970538,0.979082,0.000251651
344,0.971936,0.981359,0.000810254
345,0.975701,0.978882,-0.000194044
346,0.971346,0.981526,-0.0015328
347,0.980995,0.975358,-0.000912482
348,0.990164,0.97517,-0.00041225
349,0.976109,0.979393,-0.00102026
350,0.971505,0.980014,-0.000216943
351,0.971026,0.981063,0.000332708
352,0.970245,0.980001,4.22225e-05
353,0.972041,0.982255,0.00133842
354,0.968094,0.976958,-0.000378356
355,0.971535,0.98048,-0.000641878
356,0.985389,0.977606,0.00126417
357,0.974807,0.978953,-0.00112405
358,0.971238,0.979961,-0.000190912
359,0.973013,0.98153,0.000800968
360,0.974168,0.980959,0.00057034
361,0.970261,0.977145,0.000299225
362,0.969575,0.978978,-4.19954e-05
363,1.00517,0.972111,9.43022e-05
364,0.972002,0.979313,0.00178906
365,0.97066,0.979723,0.00181212
366,0.970162,0.978814,0.00124042
367,0.975552,0.983757,0.000873617
368,0.975552,0.983757,0.000873617
369,0.970375,0.978765,-0.000574619
370,0.970375,0.978765,-0.000574619
371,0.971902,0.980693,0.00055807
372,0.97432,0.9821,-0.000159192
373,0.974353,0.983054,-0.000601865
374,0.970495,0.98136,-0.00041692
375,0.974208,0.984001,-0.000276999
376,0.972722,0.981579,-0.000734873
377,0.971753,0.981165,-0.000134399
378,0.973506,0.983512,0.000225992
379,0.975245,0.981959,-0.000280223
380,0.984622,0.979082,-0.000846206
381,0.975064,0.98464,7.55014e-05
382,0.974003,0.979227,-5.87958e-06
383,0.974003,0.979227,-5.87958e-06
384,0.968549,0.978131,0.000384887
385,0.97279,0.981369,0.000461294
386,0.97279,0.981369,0.000461294
387,0.971807,0.977315,-0.000418391
388,0.969791,0.980142,-0.000492196
389,0.9753,0.984001,-0.000562798
390,0.9753,0.984001,-0.000562798
391,0.974199,0.984275,-0.000369741
392,0.973334,0.97958,1.18746e-05
393,0.977225,0.98063,-0.00029917
394,0.973015,0.982395,0.00152847
395,0.972935,0.982386,0.000379309
396,0.971633,0.979748,0.00112176
397,0.968883,0.976949,-0.00078005
398,0.96902,0.97873,0.000155834
399,0.974931,0.982539,-0.000622256
400,0.974289,0.980726,0.000629854
401,0.969066,0.979067,-0.000306452
402,0.967835,0.974129,-0.000291526
403,0.970772,0.97996,-0.00137011
404,0.972045,0.981576,-5.83845e-05
405,0.972045,0.981576,-5.83845e-05
406,0.970847,0.979676,9.09237e-05
407,0.972569,0.97737,2.55014e-05
408,0.972569,0.97737,2.55014e-05
409,0.96999,0.980849,7.93423e-05
410,0.972684,0.981076,1.16126e-05
411,0.973112,0.981251,-0.000736993
412,0.975868,0.976948,0.000617071
413,0.975232,0.978909,0.000693606
414,0.974698,0.980051,0.000584279
415,0.971966,0.980048,0.000503332
416,0.97222,0.979032,-0.000188521
417,0.97222,0.979032,-0.000188521
418,0.972042,0.98115,0.00113603
419,0.972042,0.98115,0.00113603
420,0.970189,0.97795,0.00127111
421,0.97624,0.980622,-0.000380997
422,0.971219,0.981212,4.82949e-05
423,0.976097,0.981835,5.88511e-05
424,0.971265,0.976063,0.000818774
425,0.966808,0.977709,0.000300701
