t,e^(-dS)
1,0.301194
2,0.720507
3,2.70148
4,1.02179
5,0.212036
6,1.09676
7,0.411272
8,1.24197
9,0.386548
10,0.557329
11,1.27941
12,1.15558
13,0.744159
14,0.443792
15,1.12243
16,0.579842
17,0.813589
18,0.973507
19,1.6085
20,0.17853
21,0.596128
22,1.38583
23,0.822423
24,1.13202
25,0.504544
26,2.30735
27,0.639224
28,0.833268
29,0.966369
30,0.803884
31,1.93789
32,2.15588
33,6.06782
34,0.88568
35,0.608901
36,1.18922
37,0.674556
38,0.463059
39,0.384966
40,1.01562
41,1.01367
42,0.321101
43,0.835354
44,1.25295
45,3.61828
46,0.578336
47,1.57051
48,0.585845
49,0.443082
50,0.497132
51,0.725278
52,0.882056
53,1.46976
54,0.858301
55,1.18294
56,2.6083
57,1.05515
58,1.2203
59,0.777322
60,0.543623
61,2.44318
62,0.328243
63,0.664049
64,2.54569
65,0.870402
66,0.401559
67,0.813345
68,0.981405
69,2.47094
70,1.55379
71,1.31943
72,2.41669
73,1.47521
74,1.30122
75,0.463615
76,2.31359
77,2.03481
78,2.14706
79,2.43416
80,0.643521
81,0.40824
82,0.589135
83,0.894134
84,1.18317
85,3.82286
86,0.392429
87,1.2857
88,0.542211
89,1.76279
90,2.1806
91,1.27775
92,2.045
93,1.8541
94,6.00144
95,3.70988
96,3.9749
97,13.9852
98,5.57895
99,2.34082
100,0.265803
101,0.47265
102,0.373103
103,0.0976857
104,0.0703692
105,0.1736
106,0.116834
107,0.0508945
108,0.142987
109,0.120875
110,0.115787
111,0.0890996
112,0.103623
113,0.300292
114,0.059131
115,0.0677453
116,0.0822493
117,0.0780036
118,0.0484124
119,0.131336
120,0.0821671
121,0.0617291
122,0.12493
123,0.0148019
124,0.0572688
125,0.0523921
126,0.0319686
127,0.0412956
128,0.0425532
129,0.119314
130,0.0520787
131,0.0337087
132,0.0248475
133,0.0185924
134,0.0546941
135,0.0614827
136,0.0299268
137,0.0630391
138,0.136832
139,0.018389
140,0.126312
141,0.0428093
142,0.0932007
143,0.0549682
144,0.0829929
145,0.0543125
146,0.0720064
