T,G,F
1,0.01025,0.02159
2,0.0102,0.02158
3,0.01021,0.02161
4,0.0102,0.02164
5,0.01021,0.02166
6,0.01019,0.02166
7,0.01023,0.02164
8,0.01023,0.02163
9,0.01023,0.02159
10,0.01021,0.02159
11,0.01023,0.0216
12,0.01021,0.02168
13,0.01021,0.02157
14,0.01024,0.02155
15,0.01021,0.02163
16,0.01025,0.02158
17,0.01021,0.02162
18,0.01024,0.02156
19,0.01024,0.0215
20,0.01029,0.02151
21,0.01023,0.02155
22,0.01024,0.02155
23,0.01026,0.02155
24,0.01023,0.02156
25,0.01028,0.02156
26,0.01026,0.02153
27,0.01024,0.02152
28,0.01026,0.02151
29,0.01026,0.02149
30,0.01025,0.02151
31,0.01025,0.02156
32,0.01024,0.02157
33,0.01026,0.02167
34,0.01024,0.02167
35,0.01024,0.02166
36,0.01024,0.02168
37,0.01023,0.02171
38,0.01022,0.02166
39,0.01023,0.02163
40,0.01025,0.02163
41,0.01026,0.02156
42,0.0103,0.02162
43,0.01026,0.02161
44,0.01027,0.02164
45,0.01028,0.02166
46,0.01026,0.02168
47,0.01023,0.02169
48,0.01026,0.02167
49,0.01027,0.02167
50,0.01028,0.02164
51,0.01028,0.02163
52,0.01028,0.02164
53,0.01026,0.02164
54,0.01027,0.02167
55,0.01029,0.02163
56,0.01029,0.02169
57,0.01029,0.02166
58,0.01027,0.02171
59,0.01032,0.02168
60,0.01032,0.02178
61,0.01032,0.02171
62,0.01034,0.0217
63,0.01032,0.0217
64,0.0103,0.02174
65,0.01029,0.02174
66,0.01031,0.02173
67,0.0103,0.02172
68,0.01029,0.02176
69,0.0103,0.02178
70,0.01029,0.02177
71,0.01031,0.0218
72,0.0103,0.02191
73,0.01027,0.02189
74,0.0103,0.02188
75,0.01031,0.02192
76,0.01032,0.0219
77,0.01033,0.02187
78,0.01033,0.02194
79,0.01031,0.02198
80,0.01031,0.02198
81,0.01034,0.02197
82,0.01032,0.02195
83,0.01036,0.02194
84,0.01037,0.02197
85,0.01038,0.02206
86,0.01039,0.02199
87,0.01037,0.02199
88,0.01043,0.02204
89,0.01045,0.02208
90,0.01044,0.02207
91,0.01045,0.02209
92,0.01048,0.02215
93,0.01048,0.02229
94,0.0105,0.02232
95,0.01052,0.02242
96,0.01056,0.02247
97,0.01059,0.02254
98,0.01069,0.02263
99,0.01073,0.02263
100,0.01086,0.02267
101,0.01089,0.02267
102,0.01101,0.02253
103,0.0111,0.0224
104,0.01116,0.02239
105,0.01115,0.02244
106,0.01111,0.0224
107,0.01113,0.02239
108,0.01115,0.02241
109,0.01113,0.02243
110,0.01112,0.02242
111,0.01115,0.02241
112,0.01114,0.0224
113,0.01111,0.02237
114,0.01126,0.02224
115,0.01126,0.02226
116,0.01128,0.02224
117,0.01126,0.02223
118,0.01128,0.02222
119,0.01124,0.02227
120,0.01123,0.02224
121,0.01139,0.02211
122,0.01141,0.02211
123,0.0114,0.02208
124,0.01137,0.02208
125,0.0114,0.02213
126,0.01138,0.0221
127,0.01139,0.02205
128,0.01139,0.02206
129,0.01136,0.02206
130,0.01136,0.02209
131,0.01137,0.02209
132,0.0114,0.02211
133,0.01141,0.02207
134,0.01157,0.02183
135,0.01155,0.02184
136,0.01154,0.02183
137,0.01153,0.02183
138,0.01151,0.02177
139,0.01155,0.02181
140,0.01149,0.0218
141,0.01154,0.02183
142,0.0115,0.02179
143,0.01153,0.02179
144,0.01151,0.02184
145,0.01153,0.02189
146,0.0115,0.02187
147,0.01153,0.02184
148,0.01154,0.02183
149,0.01153,0.02185
150,0.01153,0.02178
151,0.01149,0.02181
152,0.01153,0.02184
153,0.01152,0.02181
154,0.01155,0.02184
155,0.01162,0.02161
156,0.0116,0.02153
157,0.01178,0.02137
158,0.01174,0.02149
159,0.01172,0.0214
160,0.01177,0.02144
161,0.01169,0.02142
162,0.01177,0.02144
163,0.01176,0.02145
164,0.01186,0.02119
165,0.01185,0.0212
166,0.01194,0.02101
167,0.01198,0.02102
168,0.01199,0.02105
169,0.01197,0.02101
170,0.01191,0.02102
171,0.01198,0.02105
172,0.01194,0.02101
173,0.01195,0.02105
174,0.01192,0.02103
175,0.012,0.02099
176,0.012,0.02101
177,0.01198,0.02104
178,0.01195,0.02102
179,0.01195,0.02102
180,0.01191,0.02105
181,0.01201,0.02101
182,0.01192,0.02101
183,0.01197,0.02102
184,0.0121,0.0208
