MDTU,|Tr(Lx)|,|Tr(Ly)|
1,0.115718,0.17166
2,0.0881558,0.163687
3,0.0464745,0.134546
4,0.0744488,0.108052
5,0.0744488,0.108052
6,0.122312,0.148037
7,0.122778,0.211366
8,0.116529,0.215837
9,0.0532317,0.232703
10,0.0595464,0.169709
11,0.0135149,0.199882
12,0.0677279,0.191728
13,0.0664761,0.114809
14,0.0664761,0.114809
15,0.082736,0.156011
16,0.082736,0.156011
17,0.0672279,0.150463
18,0.036933,0.122816
19,0.0238013,0.124302
20,0.0238013,0.124302
21,0.0242901,0.104219
22,0.0239294,0.0815404
23,0.0239294,0.0815404
24,0.0417951,0.0874286
25,0.0125567,0.0977407
26,0.0494254,0.0462742
27,0.00807154,0.0302243
28,0.010821,0.0436633
29,0.0171011,0.0362839
30,0.0289496,0.0326703
31,0.0106367,0.0193673
32,0.0324148,0.0116262
33,0.0107638,0.0446881
34,0.0107638,0.0446881
35,0.0208318,0.0288928
36,0.0357532,0.0302392
37,0.0357532,0.0302392
38,0.0357532,0.0302392
39,0.0390106,0.020449
40,0.0133563,0.029705
41,0.00784075,0.0802517
42,0.00784075,0.0802517
43,0.0324203,0.0495291
44,0.011947,0.0408649
45,0.0141963,0.0288999
46,0.0109358,0.0537404
47,0.011564,0.0168571
48,0.0115719,0.0264915
49,0.0115719,0.0264915
50,0.0115719,0.0264915
51,0.0157097,0.00447707
52,0.00693757,0.0222968
53,0.0149536,0.0278268
54,0.00723719,0.0178899
55,0.0131574,0.0101942
56,0.00323809,0.00444761
57,0.00968022,0.00329328
58,0.00843658,0.00756997
59,0.00843658,0.00756997
60,0.00606344,0.00830033
61,0.00649675,0.0125247
62,0.00649675,0.0125247
63,0.00649675,0.0125247
64,0.0122984,0.00269575
65,0.00299356,0.00944778
66,0.00299356,0.00944778
67,0.00299356,0.00944778
68,0.00669199,0.00495399
69,0.000562056,0.00907457
70,0.00463465,0.00634326
71,0.00192517,0.00482618
72,0.00227846,0.00316996
73,0.000763905,0.00976565
74,0.00130693,0.00541578
75,0.00168244,0.00444515
76,0.00349644,0.00539437
77,0.00143613,0.0053225
78,0.00109805,0.0016701
79,0.00218358,0.00392386
80,0.00107027,0.00208435
81,0.00107027,0.00208435
82,0.00107027,0.00208435
83,0.000370907,0.0037611
84,0.000845439,0.00216214
85,0.000910278,0.00170279
86,0.00107434,0.0017317
