MDTU,|Tr(Lx)|,|Tr(Ly)|
1,0.0928104,0.102375
2,0.0434948,0.098703
3,0.0528152,0.10689
4,0.0672436,0.117315
5,0.0672436,0.117315
6,0.0453542,0.109237
7,0.0647928,0.111235
8,0.0742749,0.152003
9,0.0280102,0.159012
10,0.0356351,0.138637
11,0.0211294,0.179491
12,0.0521197,0.177184
13,0.0478743,0.105527
14,0.0478743,0.105527
15,0.0561709,0.129771
16,0.0561709,0.129771
17,0.088336,0.111534
18,0.0664095,0.0832869
19,0.0518024,0.101064
20,0.0518024,0.101064
21,0.0481162,0.038785
22,0.0349194,0.0788101
23,0.0349194,0.0788101
24,0.0326087,0.0803086
25,0.041559,0.0957639
26,0.0479412,0.0431074
27,0.0503063,0.0288533
28,0.0245503,0.0298372
29,0.0328928,0.0437134
30,0.0235043,0.0665317
31,0.027957,0.0300547
32,0.0327487,0.0362146
33,0.0172592,0.042411
34,0.0172592,0.042411
35,0.00759573,0.0135835
36,0.00385273,0.00691672
37,0.00385273,0.00691672
38,0.00385273,0.00691672
39,0.0440796,0.0194265
40,0.00463718,0.00416672
41,0.0150303,0.0535207
42,0.0150303,0.0535207
43,0.00798053,0.0394846
44,0.0300244,0.0475171
45,0.0559686,0.00857522
46,0.0378718,0.0219183
47,0.0270709,0.0334999
48,0.0736995,0.0515093
49,0.0736995,0.0515093
50,0.0736995,0.0515093
51,0.0533694,0.0395934
52,0.0305799,0.0318669
53,0.0164505,0.0346888
54,0.031409,0.0221922
55,0.0220171,0.0258872
56,0.0228782,0.0513214
57,0.0238925,0.0168283
58,0.018005,0.0257283
59,0.018005,0.0257283
60,0.0366528,0.0198842
61,0.0548091,0.031065
62,0.0548091,0.031065
63,0.0548091,0.031065
64,0.0441687,0.0355841
65,0.0328018,0.0255582
66,0.0328018,0.0255582
67,0.0328018,0.0255582
68,0.0233793,0.0175568
69,0.0212399,0.0260745
70,0.0421691,0.0255081
71,0.0181937,0.0270682
72,0.0185305,0.0112077
73,0.0429937,0.0139339
74,0.0311561,0.0248619
75,0.0160159,0.0244142
76,0.0172466,0.0363074
77,0.027975,0.00748137
78,0.00812027,0.0429538
79,0.0151756,0.0525368
80,0.00549037,0.0312006
81,0.00549036,0.0312006
82,0.00549036,0.0312006
83,0.0145544,0.0302503
84,0.0158455,0.0342633
85,0.0248876,0.00845065
86,0.0310016,0.0131804
87,0.0340811,0.0211749
88,0.025459,0.0250468
89,0.0217475,0.0355429
90,0.0320879,0.0204699
91,0.0204742,0.00474988
92,0.00885734,0.0156154
93,0.00997972,0.0105301
94,0.0188519,0.0116341
95,0.00606282,0.0206952
96,0.0159882,0.0203965
97,0.0116167,0.0119242
98,0.0167851,0.0130132
99,0.0172864,0.0114317
100,0.0172864,0.0114317
101,0.00399271,0.00438611
102,0.00538652,0.00764122
103,0.00538652,0.00764122
104,0.00538652,0.00764122
105,0.00538652,0.00764122
106,0.00538652,0.00764122
107,0.00538652,0.00764122
108,0.00538652,0.00764122
109,0.00538652,0.00764122
110,0.00538652,0.00764122
111,0.00538652,0.00764122
112,0.00538652,0.00764122
113,0.0138813,0.00550947
114,0.0138813,0.00550947
115,0.0138813,0.00550947
116,0.0138813,0.00550947
117,0.0138813,0.00550947
118,0.0138813,0.00550947
119,0.0138813,0.00550947
120,0.0108562,0.0107587
121,0.0108562,0.0107587
122,0.0108562,0.0107587
123,0.0108562,0.0107587
124,0.0108562,0.0107587
125,0.0108562,0.0107587
126,0.0108562,0.0107587
127,0.0108562,0.0107587
128,0.0108562,0.0107587
129,0.0108562,0.0107587
130,0.0108562,0.0107587
131,0.0108562,0.0107587
132,0.0108562,0.0107587
133,0.0121106,0.0153368
134,0.0121106,0.0153368
135,0.0121106,0.0153368
136,0.0121106,0.0153368
137,0.0121106,0.0153368
138,0.0121106,0.0153368
139,0.0121106,0.0153368
140,0.0121106,0.0153368
141,0.0121106,0.0153368
142,0.0121106,0.0153368
143,0.0121106,0.0153368
144,0.0121106,0.0153368
145,0.0121106,0.0153368
146,0.0121106,0.0153368
147,0.0121106,0.0153368
148,0.0121106,0.0153368
149,0.0121106,0.0153368
150,0.0121106,0.0153368
151,0.0121106,0.0153368
152,0.0121106,0.0153368
153,0.0121106,0.0153368
154,0.00544292,0.014377
155,0.00544292,0.014377
156,0.00893937,0.0114301
157,0.00893937,0.0114301
158,0.00893937,0.0114301
159,0.00893937,0.0114301
160,0.00893937,0.0114301
