ReTr(Ly),ImTr(Ly)
0.0948453,-0.0385354
0.0985012,0.00630694
0.101616,0.0331613
0.100327,0.0608054
0.100327,0.0608054
0.0909729,0.060471
0.107638,0.0280571
0.146605,0.0401481
0.143717,0.0680449
0.0747468,0.116761
0.155919,0.0889179
0.164506,0.0658165
0.0847981,0.062811
0.0847981,0.062811
0.0989681,0.083939
0.0989681,0.083939
0.0971816,0.0547313
0.0489679,0.067371
0.0839307,0.0562998
0.0839307,0.0562998
0.0370192,0.0115694
0.0695811,0.0370067
0.0695811,0.0370067
0.0710196,0.0374925
0.0760159,0.0582435
0.0279216,-0.0328425
0.00695559,0.0280024
0.0213995,0.0207923
0.043032,0.00768818
0.0634312,0.0200734
0.00845638,0.0288405
-0.0312965,0.0182216
0.0325039,0.0272431
0.0325039,0.0272431
-0.00202293,0.013432
-0.00656572,0.00217537
-0.00656572,0.00217537
-0.00656572,0.00217537
0.00060074,-0.0194173
-0.00290569,-0.00298639
0.0298889,-0.0443972
0.0298889,-0.0443972
0.0107044,-0.0380059
0.0206409,-0.0427999
-0.00473095,0.0071521
-0.0094745,0.0197648
0.0162134,0.029315
0.0480405,0.0185827
0.0480405,0.0185827
0.0480405,0.0185827
0.0136948,0.0371496
-0.0131995,0.0290047
-0.0184967,0.0293459
0.0172593,0.0139504
0.00597695,0.0251877
0.00675724,0.0508746
0.00913126,0.0141355
0.0256658,-0.00179365
0.0256658,-0.00179365
0.0158049,0.012066
0.0294231,0.0099656
0.0294231,0.0099656
0.0294231,0.0099656
0.00906215,0.0344109
0.00875707,0.0240111
0.00875707,0.0240111
0.00875707,0.0240111
0.00378494,0.017144
-0.00034617,0.0260723
0.0254815,-0.00116384
0.0267216,0.00431774
0.00256889,-0.0109094
3.57853e-05,-0.0139339
-0.0248511,0.000730778
-0.00758761,-0.0232053
-0.0360219,0.0045446
0.00177349,0.00726813
-0.0294932,0.0312279
-0.042649,0.0306786
-0.0310283,0.00327501
-0.0310283,0.00327501
-0.0310283,0.00327501
-0.0283661,-0.0105093
-0.0127121,-0.0318179
0.00711456,-0.00456031
-0.0125469,0.00403714
0.000143605,0.0211744
