ReTr(Lx),ImTr(Lx)
-0.0923656,0.0697077
-0.0751031,0.0461624
-0.0373716,0.0276269
-0.0289491,0.0685899
-0.0289491,0.0685899
-0.0879105,0.0850404
-0.0277305,0.119606
-0.0674422,0.0950291
-0.0179631,0.0501093
-0.0221411,0.055277
-0.00355064,-0.0130401
-0.00540381,0.067512
-0.0210812,0.0630449
-0.0210812,0.0630449
-0.0796566,-0.0223621
-0.0796566,-0.0223621
-0.0667905,-0.00765655
-0.0368725,0.00211261
-0.0204395,-0.0121954
-0.0204395,-0.0121954
-0.0227815,0.00842691
0.0210814,-0.0113221
0.0210814,-0.0113221
-0.00415911,-0.0415876
0.0011428,-0.0125046
0.0491626,-0.00509002
0.00716491,0.00371669
0.0103223,-0.00324718
0.000143171,-0.0171005
0.0287878,0.00305695
-0.00518326,-0.00928829
-0.0324114,0.000473305
-0.00229124,-0.0105171
-0.00229124,-0.0105171
-0.0137431,0.0156554
-0.030877,0.0180251
-0.030877,0.0180251
-0.030877,0.0180251
-0.0235319,0.031114
0.00439145,0.0126137
0.00375243,0.00688452
0.00375243,0.00688452
0.0230911,-0.0227569
-0.00561241,-0.0105466
0.00427631,-0.0135369
-0.00432673,-0.0100435
-0.0109254,-0.00378968
-0.00234366,-0.011332
-0.00234366,-0.011332
-0.00234366,-0.011332
-0.00782023,-0.0136249
-0.00677356,-0.00149957
0.00142079,-0.014886
0.00688542,-0.00222886
-0.00104771,-0.0131156
-0.00303883,-0.00111837
-0.00947259,0.00199417
-0.00741899,-0.00401679
-0.00741899,-0.00401679
-0.00307775,-0.00522425
-0.00419406,-0.00496161
-0.00419406,-0.00496161
-0.00419406,-0.00496161
0.00307736,-0.0119072
0.00111291,-0.002779
0.00111291,-0.002779
0.00111291,-0.002779
-0.00636255,0.00207383
0.000217845,0.000518123
-0.00457761,-0.000724875
0.00108099,-0.00159303
-0.000709696,0.00216511
-0.000730951,-0.000221949
-0.00124467,-0.000398586
-0.00165792,0.000286145
-0.00281271,0.00207695
-0.00066891,0.00127084
0.00108604,-0.000161935
0.00184858,0.00116223
-0.000706894,-0.000803609
-0.000706894,-0.000803609
-0.000706894,-0.000803609
-5.48174e-05,0.000366834
5.92388e-05,0.000843361
0.000363996,0.000834334
0.000483944,0.000959174
-0.000396411,-6.76364e-05
-0.000109311,-0.000259931
0.000417208,-0.000479705
0.000562244,-0.000231106
0.000112289,9.88829e-05
5.38236e-05,1.28254e-07
0.000100674,0.000132513
-0.000123895,9.20927e-05
2.12421e-05,-6.74937e-05
6.16536e-07,3.42954e-05
-3.39846e-06,1.45779e-05
7.51987e-06,2.65687e-06
-3.2299e-06,1.90128e-07
-3.2299e-06,1.90128e-07
-3.97361e-06,-1.50743e-07
-3.87924e-06,2.1145e-06
-3.87924e-06,2.1145e-06
-3.87924e-06,2.1145e-06
-3.87924e-06,2.1145e-06
-3.87924e-06,2.1145e-06
-3.87924e-06,2.1145e-06
-3.87924e-06,2.1145e-06
-3.87924e-06,2.1145e-06
-3.87924e-06,2.1145e-06
-3.87924e-06,2.1145e-06
-3.87924e-06,2.1145e-06
-2.45476e-07,-1.5766e-07
-2.45476e-07,-1.5766e-07
-2.45476e-07,-1.5766e-07
-2.45476e-07,-1.5766e-07
-2.45476e-07,-1.5766e-07
-2.45476e-07,-1.5766e-07
-2.45476e-07,-1.5766e-07
-1.4411e-06,1.4368e-06
-1.4411e-06,1.43681e-06
-1.4411e-06,1.43681e-06
-1.4411e-06,1.43681e-06
-1.4411e-06,1.43681e-06
-1.4411e-06,1.43681e-06
-1.4411e-06,1.43681e-06
-1.4411e-06,1.43681e-06
-1.4411e-06,1.43681e-06
-1.4411e-06,1.43681e-06
-1.4411e-06,1.43681e-06
-1.4411e-06,1.43681e-06
-1.4411e-06,1.43681e-06
-9.13751e-07,8.52729e-07
-9.13751e-07,8.52729e-07
-9.13751e-07,8.52729e-07
-9.13751e-07,8.52729e-07
-9.13751e-07,8.52729e-07
-9.13751e-07,8.52729e-07
-9.13751e-07,8.52729e-07
-9.13751e-07,8.52729e-07
-9.1375e-07,8.52729e-07
-9.1375e-07,8.52729e-07
-9.1375e-07,8.52729e-07
-9.1375e-07,8.52729e-07
-9.1375e-07,8.52729e-07
-9.1375e-07,8.52729e-07
-9.1375e-07,8.52729e-07
-9.1375e-07,8.52729e-07
-9.1375e-07,8.52729e-07
-9.1375e-07,8.52729e-07
-9.1375e-07,8.52729e-07
-9.1375e-07,8.52729e-07
-9.1375e-07,8.52729e-07
-3.79862e-07,5.24296e-07
-3.79862e-07,5.24296e-07
-9.8493e-07,1.6304e-06
-9.8493e-07,1.6304e-06
-9.8493e-07,1.6304e-06
-9.8493e-07,1.6304e-06
-9.8493e-07,1.6304e-06
-9.8493e-07,1.6304e-06
-9.8493e-07,1.6304e-06
2.79565e-08,7.4711e-07
2.79565e-08,7.4711e-07
4.85188e-07,5.66351e-07
4.85188e-07,5.66351e-07
4.85188e-07,5.66351e-07
4.85188e-07,5.66351e-07
4.85188e-07,5.66351e-07
4.85188e-07,5.66351e-07
4.85188e-07,5.66351e-07
4.85188e-07,5.66351e-07
4.85188e-07,5.66351e-07
4.85188e-07,5.66351e-07
4.85188e-07,5.66351e-07
4.85188e-07,5.66351e-07
4.85188e-07,5.66351e-07
4.85188e-07,5.66351e-07
4.85188e-07,5.66351e-07
4.85188e-07,5.66351e-07
4.85188e-07,5.66351e-07
4.85188e-07,5.66351e-07
1.34661e-07,3.36645e-06
-7.77849e-07,-9.26516e-07
-7.77849e-07,-9.26516e-07
-7.77849e-07,-9.26516e-07
-7.77849e-07,-9.26516e-07
-7.77849e-07,-9.26516e-07
-7.77849e-07,-9.26516e-07
-7.77849e-07,-9.26516e-07
-7.77849e-07,-9.26516e-07
-7.77849e-07,-9.26516e-07
5.48849e-07,3.11996e-07
5.48849e-07,3.11996e-07
-3.05862e-07,-4.59346e-07
-8.23881e-07,-6.48765e-07
-8.23881e-07,-6.48765e-07
-8.23881e-07,-6.48765e-07
-8.23881e-07,-6.48765e-07
-8.23881e-07,-6.48765e-07
-8.23881e-07,-6.48765e-07
-8.23881e-07,-6.48765e-07
-8.23881e-07,-6.48765e-07
-8.23881e-07,-6.48765e-07
-8.23881e-07,-6.48765e-07
-8.42964e-07,-5.0306e-07
-8.42964e-07,-5.0306e-07
-8.42964e-07,-5.0306e-07
-8.42964e-07,-5.0306e-07
-8.42964e-07,-5.0306e-07
-8.42964e-07,-5.0306e-07
-8.42964e-07,-5.0306e-07
-2.81086e-07,2.1182e-08
-2.81086e-07,2.1182e-08
3.22423e-07,7.11303e-07
3.22423e-07,7.11303e-07
-1.6843e-06,1.76294e-06
-1.6843e-06,1.76294e-06
-1.6843e-06,1.76294e-06
-1.6843e-06,1.76294e-06
1.49641e-07,3.77208e-07
1.49641e-07,3.77208e-07
1.49641e-07,3.77208e-07
1.49641e-07,3.77208e-07
1.49641e-07,3.77208e-07
1.49641e-07,3.77208e-07
1.49641e-07,3.77208e-07
1.49641e-07,3.77208e-07
1.49641e-07,3.77208e-07
1.49641e-07,3.77208e-07
-3.72563e-07,-6.88516e-07
-3.72563e-07,-6.88516e-07
-3.72563e-07,-6.88516e-07
-3.72563e-07,-6.88516e-07
-3.72563e-07,-6.88516e-07
-3.72563e-07,-6.88516e-07
-3.72563e-07,-6.88516e-07
-3.72563e-07,-6.88516e-07
-3.72563e-07,-6.88516e-07
4.91008e-07,-1.50735e-07
4.91008e-07,-1.50735e-07
4.91008e-07,-1.50735e-07
4.91008e-07,-1.50735e-07
4.91008e-07,-1.50735e-07
-1.11498e-06,1.39135e-07
-1.37644e-07,2.51075e-07
-6.27897e-07,1.07039e-06
-6.27897e-07,1.07039e-06
-6.27897e-07,1.07039e-06
-6.27897e-07,1.07039e-06
-6.27897e-07,1.07039e-06
-1.68051e-07,6.69419e-07
-1.68051e-07,6.69419e-07
-1.68051e-07,6.69419e-07
-1.68051e-07,6.69419e-07
3.72657e-07,1.60467e-07
3.72657e-07,1.60467e-07
3.72657e-07,1.60467e-07
-3.17031e-07,-3.25522e-07
-3.17031e-07,-3.25522e-07
-3.17031e-07,-3.25522e-07
-3.17031e-07,-3.25522e-07
-6.92949e-08,-3.35867e-07
-6.92949e-08,-3.35867e-07
-6.92949e-08,-3.35867e-07
-6.92949e-08,-3.35867e-07
-1.16057e-07,2.42123e-07
-6.33783e-07,-9.36749e-08
2.62131e-07,4.18599e-07
7.37502e-07,-5.78551e-07
-4.81353e-07,2.1589e-08
-4.81353e-07,2.1589e-08
-4.81353e-07,2.1589e-08
-1.53072e-07,3.2292e-07
-1.53072e-07,3.2292e-07
6.37796e-07,-5.6143e-07
4.79988e-07,-1.91147e-07
4.79988e-07,-1.91147e-07
-4.55159e-07,-3.64675e-07
1.19753e-06,4.4606e-07
-3.52019e-07,2.17611e-07
-3.52019e-07,2.17611e-07
-3.52019e-07,2.17611e-07
5.43703e-07,-2.8949e-07
5.43703e-07,-2.8949e-07
5.43703e-07,-2.8949e-07
1.87554e-07,-5.10912e-07
