ReTr(Ly),ImTr(Ly)
0.075389,-0.15422
0.120792,-0.110465
0.134272,-0.00857935
0.071673,0.080859
0.071673,0.080859
0.0924386,0.115629
0.162222,0.135497
0.213724,0.0301314
0.227848,0.0472869
0.1344,0.103623
0.183714,0.0787526
0.188824,0.0332454
0.100858,0.0548522
0.100858,0.0548522
0.141715,0.0652406
0.141715,0.0652406
0.140264,0.0544524
0.0960499,0.0765384
0.118546,0.0373856
0.118546,0.0373856
0.0879535,-0.0559079
0.081375,-0.00519165
0.081375,-0.00519165
0.086458,0.0129916
0.0565236,0.0797391
0.0462702,0.000602164
0.0295706,0.0062519
0.0384014,0.0207803
0.0349191,0.00985766
0.0307165,-0.0111285
0.0154532,-0.0116743
-0.0108974,-0.00405164
0.044416,-0.00492375
0.044416,-0.00492375
0.0239625,-0.0161429
0.029796,-0.00515824
0.029796,-0.00515824
0.029796,-0.00515824
-0.00301356,-0.0202258
0.017246,-0.024186
0.0598291,-0.0534865
0.0598291,-0.0534865
0.0262509,-0.0420003
0.0325619,-0.0246914
-0.0167825,-0.0235276
-0.0447076,-0.0298204
0.00790889,-0.0148866
0.0241896,-0.0108011
0.0241896,-0.0108011
0.0241896,-0.0108011
-0.00360424,0.00265587
-0.00180664,0.0222235
-0.0141176,0.0239796
0.0147831,0.0100752
0.00891245,0.00494867
0.00172021,0.00410148
-0.00275984,0.00179694
0.00491616,0.00575638
0.00491616,0.00575638
-0.00217838,0.00800937
0.0065323,0.0106864
0.0065323,0.0106864
0.0065323,0.0106864
0.00227436,0.00144719
0.00940666,-0.000880528
0.00940666,-0.000880528
0.00940666,-0.000880528
-0.0007569,0.00489583
0.00484185,0.00767491
0.00306354,0.00555442
0.00291314,0.00384781
-0.000920389,0.0030334
0.00976551,5.23267e-05
0.000572991,0.00538539
0.00296931,-0.00330795
0.00201279,0.00500479
0.00200194,0.00493166
0.000237336,0.00165315
-0.00232774,0.00315885
-0.00208091,-0.000119607
-0.00208091,-0.000119607
-0.00208091,-0.000119607
0.0012847,-0.00353489
-0.00159312,0.00146179
-0.000240311,-0.00168575
-0.00156197,-0.000747686
-0.000956349,-0.00131365
0.000349205,-0.000163713
0.000817113,-0.00080957
-0.000247924,-0.000672884
-0.000210359,-0.000396614
6.39931e-05,0.000752839
0.00010985,0.00044207
-7.96946e-05,6.60615e-05
-0.000118536,0.000134664
0.000156675,7.13139e-05
8.7182e-05,4.31003e-05
3.88255e-05,5.70438e-05
-9.32857e-05,2.08791e-05
-9.32857e-05,2.08791e-05
-8.17973e-06,-6.06974e-05
1.7424e-05,-2.79515e-06
1.7424e-05,-2.79515e-06
1.7424e-05,-2.79515e-06
1.7424e-05,-2.79515e-06
1.7424e-05,-2.79515e-06
1.7424e-05,-2.79515e-06
1.7424e-05,-2.79515e-06
1.7424e-05,-2.79515e-06
1.7424e-05,-2.79515e-06
1.7424e-05,-2.79515e-06
1.7424e-05,-2.79515e-06
-1.50888e-05,3.21119e-06
-1.50888e-05,3.21119e-06
-1.50888e-05,3.21119e-06
-1.50888e-05,3.21119e-06
-1.50888e-05,3.21119e-06
-1.50888e-05,3.21119e-06
-1.50888e-05,3.21119e-06
8.97371e-06,5.18339e-07
8.97371e-06,5.18339e-07
8.97371e-06,5.18339e-07
8.97371e-06,5.18339e-07
8.97371e-06,5.18339e-07
8.97371e-06,5.18339e-07
8.97371e-06,5.18339e-07
8.97371e-06,5.18339e-07
8.97371e-06,5.18339e-07
8.97371e-06,5.18339e-07
8.97371e-06,5.18339e-07
8.97371e-06,5.18339e-07
8.97371e-06,5.18339e-07
-5.5963e-06,3.06711e-07
-5.5963e-06,3.06711e-07
-5.5963e-06,3.06711e-07
-5.5963e-06,3.06711e-07
-5.5963e-06,3.06711e-07
-5.5963e-06,3.06711e-07
-5.5963e-06,3.06711e-07
-5.5963e-06,3.06711e-07
-5.5963e-06,3.06711e-07
-5.5963e-06,3.06711e-07
-5.5963e-06,3.06711e-07
-5.5963e-06,3.06711e-07
-5.5963e-06,3.06711e-07
-5.5963e-06,3.06711e-07
-5.5963e-06,3.06711e-07
-5.5963e-06,3.06711e-07
-5.5963e-06,3.06711e-07
-5.5963e-06,3.06711e-07
-5.5963e-06,3.06711e-07
-5.5963e-06,3.06711e-07
-5.5963e-06,3.06711e-07
-7.26875e-06,3.95745e-06
-7.26875e-06,3.95745e-06
3.2258e-06,1.25925e-06
3.2258e-06,1.25925e-06
3.2258e-06,1.25925e-06
3.2258e-06,1.25925e-06
3.2258e-06,1.25925e-06
3.22579e-06,1.25925e-06
3.22579e-06,1.25925e-06
-2.70549e-06,4.02005e-06
-2.70549e-06,4.02005e-06
-2.02714e-06,-5.1523e-07
-2.02714e-06,-5.1523e-07
-2.02714e-06,-5.1523e-07
-2.02714e-06,-5.1523e-07
-2.02714e-06,-5.1523e-07
-2.02714e-06,-5.1523e-07
-2.02714e-06,-5.15231e-07
-2.02714e-06,-5.15231e-07
-2.02714e-06,-5.15231e-07
-2.02714e-06,-5.15231e-07
-2.02714e-06,-5.15231e-07
-2.02714e-06,-5.15231e-07
-2.02714e-06,-5.15231e-07
-2.02714e-06,-5.15231e-07
-2.02714e-06,-5.15231e-07
-2.02714e-06,-5.15231e-07
-2.02714e-06,-5.15231e-07
-2.02714e-06,-5.15231e-07
-1.44189e-06,3.9162e-07
4.87666e-07,5.9051e-07
4.87666e-07,5.9051e-07
4.87666e-07,5.9051e-07
4.87666e-07,5.9051e-07
4.87666e-07,5.9051e-07
4.87666e-07,5.9051e-07
4.87666e-07,5.9051e-07
4.87666e-07,5.9051e-07
4.87666e-07,5.9051e-07
1.23243e-06,-1.23892e-06
1.23243e-06,-1.23892e-06
-6.26188e-07,-9.36092e-08
-5.58169e-07,-5.10826e-07
-5.58169e-07,-5.10826e-07
-5.58169e-07,-5.10826e-07
-5.58169e-07,-5.10826e-07
-5.58169e-07,-5.10826e-07
-5.58169e-07,-5.10826e-07
-5.58169e-07,-5.10826e-07
-5.58169e-07,-5.10826e-07
-5.58169e-07,-5.10826e-07
-5.58169e-07,-5.10826e-07
-1.88535e-07,9.11846e-07
-1.88535e-07,9.11846e-07
-1.88535e-07,9.11846e-07
-1.88535e-07,9.11846e-07
-1.88535e-07,9.11846e-07
-1.88535e-07,9.11846e-07
-1.88535e-07,9.11846e-07
9.73926e-07,-3.65389e-07
9.73926e-07,-3.65389e-07
1.93107e-06,1.75244e-06
1.93107e-06,1.75244e-06
-9.66042e-07,1.5695e-08
-9.66042e-07,1.5695e-08
-9.66042e-07,1.5695e-08
-9.66042e-07,1.5695e-08
-6.44755e-07,-5.61789e-07
-6.44755e-07,-5.61789e-07
-6.44755e-07,-5.61789e-07
-6.44755e-07,-5.61789e-07
-6.44755e-07,-5.61789e-07
-6.44755e-07,-5.61789e-07
-6.44755e-07,-5.61789e-07
-6.44755e-07,-5.61789e-07
-6.44755e-07,-5.61789e-07
-6.44755e-07,-5.61789e-07
5.54096e-07,-1.73463e-07
5.54096e-07,-1.73463e-07
5.54096e-07,-1.73463e-07
5.54096e-07,-1.73463e-07
5.54096e-07,-1.73463e-07
5.54096e-07,-1.73463e-07
5.54096e-07,-1.73463e-07
5.54096e-07,-1.73463e-07
5.54096e-07,-1.73463e-07
1.86945e-06,6.01466e-08
1.86945e-06,6.01466e-08
1.86945e-06,6.01466e-08
1.86945e-06,6.01466e-08
1.86945e-06,6.01466e-08
9.57697e-08,-9.72559e-08
5.06273e-08,-3.79671e-07
5.32191e-07,3.84578e-07
5.32191e-07,3.84578e-07
5.32191e-07,3.84578e-07
5.32191e-07,3.84578e-07
5.32191e-07,3.84578e-07
7.3406e-08,-7.65044e-07
7.3406e-08,-7.65044e-07
7.3406e-08,-7.65044e-07
7.3406e-08,-7.65044e-07
1.1724e-06,-1.74813e-07
1.1724e-06,-1.74813e-07
1.1724e-06,-1.74813e-07
-4.50243e-08,-2.92586e-07
