ReTr(L),ImTr(L)
2.51469,-0.358698
2.51581,-0.399012
2.58284,-0.426396
2.66266,-0.249278
2.66266,-0.249278
2.67469,-0.386873
2.80262,-0.440766
2.76065,-0.393826
2.92537,-0.226882
3.06343,-0.122134
3.19378,-0.182661
3.21203,-0.176171
3.50659,0.043108
3.50659,0.043108
3.45539,-0.00644428
3.45539,-0.00644428
3.63394,0.12971
3.6263,0.0542505
3.80903,0.186204
3.80903,0.186204
3.92417,0.0911803
4.03486,0.211314
4.03486,0.211314
4.02919,-0.00722974
4.0817,0.289202
3.91407,0.463196
4.19412,0.561945
4.24574,0.789505
4.39244,0.544506
4.66331,0.0511085
4.64396,0.357415
4.85342,0.514164
4.7451,0.293502
4.7451,0.293502
4.81694,0.508683
4.89098,0.501911
4.89098,0.501911
4.89098,0.501911
5.24534,0.637434
5.39506,0.809326
5.39382,0.935646
5.39382,0.935646
5.59129,1.3225
5.92371,1.19788
5.89205,1.17271
6.08566,1.60405
6.22021,1.84525
6.39869,2.08803
6.39869,2.08803
6.39869,2.08803
6.69801,1.95685
6.70169,2.153
6.83595,2.23711
7.17964,2.68524
7.40463,3.00762
7.98958,2.92211
8.25434,2.53932
8.42681,2.88516
8.42681,2.88516
8.7637,3.47571
9.14256,3.46001
9.14256,3.46001
9.14256,3.46001
9.49496,3.48261
9.73521,3.52577
9.73521,3.52577
9.73521,3.52577
9.7893,3.49939
9.84284,3.9315
10.3227,4.18475
10.6273,4.37404
10.5282,4.46196
11.2585,4.73377
11.6656,5.10971
12.2609,5.89652
12.6985,6.00403
12.3574,7.2638
13.032,7.33547
13.4484,7.39384
14.6553,7.66758
14.6553,7.66758
14.6553,7.66758
16.4395,7.38333
16.6773,8.10168
17.2515,8.34394
18.4305,8.51591
19.3454,9.82029
20.9904,11.3019
22.1215,12.1594
24.5568,13.087
25.7579,13.9057
27.3739,15.6459
28.4869,18.8701
30.2346,20.9789
34.7082,23.2181
38.3336,25.9731
43.7227,29.2731
51.8204,37.3173
58.3627,45.3274
58.3627,45.3274
73.8136,53.3926
86.6977,62.8242
86.6977,62.8242
86.6977,62.8242
86.6977,62.8242
86.6977,62.8242
86.6977,62.8242
86.6977,62.8242
86.6977,62.8242
86.6977,62.8242
86.6977,62.8242
86.6977,62.8242
105.181,74.1499
105.181,74.1499
105.181,74.1499
105.181,74.1499
105.181,74.1499
105.181,74.1499
