MDTU,|Tr(L)|,ReTr(L),ImTr(L)
1,2.54014,2.51469,-0.358698
2,2.54726,2.51581,-0.399012
3,2.6178,2.58284,-0.426396
4,2.67431,2.66266,-0.249278
5,2.67431,2.66266,-0.249278
6,2.70252,2.67469,-0.386873
7,2.83707,2.80262,-0.440766
8,2.7886,2.76065,-0.393826
9,2.93416,2.92537,-0.226882
10,3.06586,3.06343,-0.122134
11,3.19899,3.19378,-0.182661
12,3.21685,3.21203,-0.176171
13,3.50685,3.50659,0.043108
14,3.50685,3.50659,0.043108
15,3.45539,3.45539,-0.00644428
16,3.45539,3.45539,-0.00644428
17,3.63625,3.63394,0.12971
18,3.62671,3.6263,0.0542505
19,3.81357,3.80903,0.186204
20,3.81357,3.80903,0.186204
21,3.92523,3.92417,0.0911803
22,4.04039,4.03486,0.211314
23,4.04039,4.03486,0.211314
24,4.02919,4.02919,-0.00722974
25,4.09193,4.0817,0.289202
26,3.94139,3.91407,0.463196
27,4.2316,4.19412,0.561945
28,4.31852,4.24574,0.789505
29,4.42606,4.39244,0.544506
30,4.66359,4.66331,0.0511085
31,4.6577,4.64396,0.357415
32,4.88058,4.85342,0.514164
33,4.75417,4.7451,0.293502
34,4.75417,4.7451,0.293502
35,4.84372,4.81694,0.508683
36,4.91666,4.89098,0.501911
37,4.91666,4.89098,0.501911
38,4.91666,4.89098,0.501911
39,5.28393,5.24534,0.637434
40,5.45543,5.39506,0.809326
41,5.47438,5.39382,0.935646
42,5.47438,5.39382,0.935646
43,5.74556,5.59129,1.3225
44,6.04362,5.92371,1.19788
45,6.00762,5.89205,1.17271
46,6.29351,6.08566,1.60405
47,6.48814,6.22021,1.84525
48,6.73075,6.39869,2.08803
49,6.73075,6.39869,2.08803
50,6.73075,6.39869,2.08803
51,6.97801,6.69801,1.95685
52,7.03904,6.70169,2.153
53,7.1927,6.83595,2.23711
54,7.66536,7.17964,2.68524
55,7.99214,7.40463,3.00762
56,8.50718,7.98958,2.92211
57,8.6361,8.25434,2.53932
58,8.90704,8.42681,2.88516
59,8.90704,8.42681,2.88516
60,9.42778,8.7637,3.47571
61,9.77538,9.14256,3.46001
62,9.77538,9.14256,3.46001
63,9.77538,9.14256,3.46001
64,10.1135,9.49496,3.48261
65,10.354,9.73521,3.52577
66,10.354,9.73521,3.52577
67,10.354,9.73521,3.52577
68,10.396,9.7893,3.49939
69,10.599,9.84284,3.9315
70,11.1387,10.3227,4.18475
71,11.4923,10.6273,4.37404
72,11.4346,10.5282,4.46196
73,12.2132,11.2585,4.73377
74,12.7356,11.6656,5.10971
75,13.6051,12.2609,5.89652
76,14.0464,12.6985,6.00403
77,14.3342,12.3574,7.2638
78,14.9547,13.032,7.33547
79,15.3469,13.4484,7.39384
80,16.5399,14.6553,7.66758
81,16.5399,14.6553,7.66758
82,16.5399,14.6553,7.66758
83,18.0214,16.4395,7.38333
84,18.541,16.6773,8.10168
85,19.1634,17.2515,8.34394
86,20.3028,18.4305,8.51591
87,21.6952,19.3454,9.82029
88,23.8396,20.9904,11.3019
89,25.2431,22.1215,12.1594
90,27.8263,24.5568,13.087
91,29.2718,25.7579,13.9057
92,31.5297,27.3739,15.6459
93,34.1699,28.4869,18.8701
94,36.8001,30.2346,20.9789
95,41.7582,34.7082,23.2181
96,46.3041,38.3336,25.9731
97,52.6174,43.7227,29.2731
98,63.8587,51.8204,37.3173
99,73.8971,58.3627,45.3274
100,73.8971,58.3627,45.3274
101,91.1001,73.8136,53.3926
102,107.067,86.6977,62.8242
103,107.067,86.6977,62.8242
104,107.067,86.6977,62.8242
105,107.067,86.6977,62.8242
106,107.067,86.6977,62.8242
107,107.067,86.6977,62.8242
108,107.067,86.6977,62.8242
109,107.067,86.6977,62.8242
110,107.067,86.6977,62.8242
111,107.067,86.6977,62.8242
112,107.067,86.6977,62.8242
113,128.691,105.181,74.1499
114,128.691,105.181,74.1499
115,128.691,105.181,74.1499
