MDTU,|Tr(L)|,ReTr(L),ImTr(L)
1,0.673287,0.668304,-0.0817662
2,0.661047,0.655586,-0.0847925
3,0.664092,0.658656,-0.0847912
4,0.668771,0.665883,-0.0620849
5,0.668771,0.665883,-0.0620849
6,0.675477,0.667349,-0.104476
7,0.677174,0.66833,-0.109085
8,0.673689,0.667979,-0.087528
9,0.685355,0.682732,-0.0599031
10,0.686788,0.68583,-0.0362609
11,0.692164,0.690999,-0.0401422
12,0.684915,0.684458,-0.0250189
13,0.686982,0.686979,0.00202601
14,0.686982,0.686979,0.00202601
15,0.686135,0.68613,-0.00261095
16,0.686135,0.68613,-0.00261095
17,0.69333,0.692334,0.0371558
18,0.682219,0.682116,0.0118605
19,0.699184,0.698632,0.027773
20,0.699184,0.698632,0.027773
21,0.691477,0.69118,0.0202541
22,0.69286,0.691738,0.0394255
23,0.69286,0.691738,0.0394255
24,0.699599,0.699599,0.000711235
25,0.699711,0.697638,0.053831
26,0.696527,0.692388,0.0758261
27,0.687025,0.6808,0.0922769
28,0.69692,0.686222,0.121641
29,0.698371,0.693049,0.0860568
30,0.689502,0.689101,0.0235005
31,0.69568,0.693886,0.0499245
32,0.703663,0.700836,0.0630126
33,0.698177,0.697566,0.0291935
34,0.698177,0.697566,0.0291935
35,0.7055,0.701059,0.0790391
36,0.701499,0.69819,0.068054
37,0.701499,0.69819,0.068054
38,0.701499,0.69819,0.068054
39,0.710415,0.706984,0.0697378
40,0.6972,0.690558,0.096012
41,0.691949,0.680294,0.126469
42,0.691949,0.680294,0.126469
43,0.700287,0.681466,0.161264
44,0.704085,0.689804,0.14109
45,0.698073,0.686725,0.125359
46,0.706211,0.687797,0.160216
47,0.703475,0.679052,0.183751
48,0.701546,0.670695,0.205756
49,0.701546,0.670695,0.205756
50,0.701546,0.670695,0.205756
51,0.711387,0.682177,0.201756
52,0.703331,0.665984,0.226142
53,0.698242,0.660276,0.227107
54,0.713783,0.670122,0.24581
55,0.70735,0.655226,0.266501
56,0.71663,0.672018,0.2489
57,0.699016,0.661177,0.226866
58,0.701745,0.664247,0.226321
59,0.701745,0.664247,0.226321
60,0.712208,0.666318,0.251518
61,0.716754,0.672345,0.248372
62,0.716754,0.672345,0.248372
63,0.716754,0.672345,0.248372
64,0.713379,0.663033,0.263245
