ReTr(L),ImTr(L)
0.668304,-0.0817662
0.655586,-0.0847925
0.658656,-0.0847912
0.665883,-0.0620849
0.665883,-0.0620849
0.667349,-0.104476
0.66833,-0.109085
0.667979,-0.087528
0.682732,-0.0599031
0.68583,-0.0362609
0.690999,-0.0401422
0.684458,-0.0250189
0.686979,0.00202601
0.686979,0.00202601
0.68613,-0.00261095
0.68613,-0.00261095
0.692334,0.0371558
0.682116,0.0118605
0.698632,0.027773
0.698632,0.027773
0.69118,0.0202541
0.691738,0.0394255
0.691738,0.0394255
0.699599,0.000711235
0.697638,0.053831
0.692388,0.0758261
0.6808,0.0922769
0.686222,0.121641
0.693049,0.0860568
0.689101,0.0235005
0.693886,0.0499245
0.700836,0.0630126
0.697566,0.0291935
0.697566,0.0291935
0.701059,0.0790391
0.69819,0.068054
0.69819,0.068054
0.69819,0.068054
0.706984,0.0697378
0.690558,0.096012
0.680294,0.126469
0.680294,0.126469
0.681466,0.161264
0.689804,0.14109
0.686725,0.125359
0.687797,0.160216
0.679052,0.183751
0.670695,0.205756
0.670695,0.205756
0.670695,0.205756
0.682177,0.201756
0.665984,0.226142
0.660276,0.227107
0.670122,0.24581
0.655226,0.266501
0.672018,0.2489
0.661177,0.226866
0.664247,0.226321
0.664247,0.226321
0.666318,0.251518
0.672345,0.248372
0.672345,0.248372
0.672345,0.248372
0.663033,0.263245
0.667221,0.24359
0.667221,0.24359
0.667221,0.24359
0.674119,0.224513
0.661787,0.264094
0.656271,0.28101
0.648809,0.282058
0.635652,0.285481
0.641559,0.276775
0.631672,0.303016
0.635532,0.327881
0.620379,0.320688
0.600989,0.371544
0.610714,0.34372
0.611369,0.342694
0.635302,0.336474
0.635302,0.336474
0.635302,0.336474
0.657186,0.294591
0.640824,0.313825
0.633524,0.315006
0.636196,0.296805
0.634009,0.316429
0.627419,0.34182
0.612925,0.3454
0.631159,0.337734
0.61207,0.343753
0.602336,0.354126
0.595466,0.376242
0.572998,0.395111
0.57859,0.39285
0.576685,0.386046
0.578102,0.378114
0.565914,0.40683
0.547526,0.414546
0.547526,0.414546
0.561211,0.412092
0.551771,0.405102
0.551771,0.405102
0.551771,0.405102
0.551771,0.405102
0.551771,0.405102
0.551771,0.405102
0.551771,0.405102
0.551771,0.405102
0.551771,0.405102
0.551771,0.405102
0.551771,0.405102
0.564575,0.39537
0.564575,0.39537
0.564575,0.39537
0.564575,0.39537
0.564575,0.39537
0.564575,0.39537
0.564575,0.39537
0.559384,0.426017
0.559384,0.426017
0.559384,0.426017
0.559384,0.426017
0.559384,0.426017
0.559384,0.426017
0.559384,0.426017
0.559384,0.426017
0.559384,0.426017
0.559384,0.426017
0.559384,0.426017
0.559384,0.426017
0.559384,0.426017
0.539576,0.451796
0.539576,0.451796
0.539576,0.451796
0.539576,0.451796
0.539576,0.451796
0.539576,0.451796
0.539576,0.451796
0.539576,0.451796
0.539576,0.451796
0.539576,0.451796
0.539576,0.451796
0.539576,0.451796
0.539576,0.451796
0.539576,0.451796
0.539576,0.451796
0.539576,0.451796
0.539576,0.451796
0.539576,0.451796
