MDTU,plaq,Re(det),Im(det),link
1,3.78437,0.650794,0.28118,0.192548
2,3.81203,0.763341,0.311371,0.1997
3,3.7886,0.748451,0.306933,0.203079
4,3.76149,0.697707,0.291165,0.20761
5,3.76149,0.697707,0.291165,0.20761
6,3.79365,0.718778,0.28509,0.203492
7,3.83821,0.786829,0.333145,0.212239
8,3.8119,0.79881,0.328349,0.216384
9,3.85228,0.891075,0.361544,0.222676
10,3.84761,0.866615,0.343466,0.228185
11,3.83167,0.860934,0.355206,0.243827
12,3.82522,0.832209,0.338729,0.242274
13,3.84372,0.888218,0.360072,0.25473
14,3.84372,0.888218,0.360072,0.25473
15,3.84276,0.903096,0.359485,0.256515
16,3.84276,0.903096,0.359485,0.256515
17,3.86219,0.909535,0.372467,0.256803
18,3.85942,0.971463,0.403492,0.264023
19,3.86191,0.93337,0.391535,0.271896
20,3.86191,0.93337,0.391535,0.271896
21,3.88001,1.01532,0.411487,0.281767
22,3.87409,1.0283,0.423165,0.288699
23,3.87409,1.0283,0.423165,0.288699
24,3.84468,0.939808,0.385848,0.288998
25,3.89548,1.03956,0.432769,0.289707
26,3.87614,1.06156,0.424363,0.29485
27,3.88869,1.10052,0.450937,0.309126
28,3.90353,1.14481,0.456939,0.311858
29,3.90657,1.14967,0.456773,0.313188
30,3.8841,1.16914,0.462269,0.329751
31,3.86819,1.12418,0.457963,0.328568
32,3.86414,1.07224,0.436028,0.334442
33,3.79796,0.871294,0.350051,0.335614
34,3.79796,0.871294,0.350051,0.335614
35,3.83544,1.04331,0.424078,0.341662
36,3.80138,0.925168,0.385483,0.346952
37,3.80138,0.925168,0.385483,0.346952
38,3.80138,0.925168,0.385483,0.346952
39,3.8309,1.0361,0.413893,0.358031
40,3.84828,1.09811,0.43774,0.373244
41,3.8483,1.16104,0.486257,0.376878
42,3.8483,1.16104,0.486257,0.376878
43,3.85992,1.10995,0.451482,0.37926
44,3.86722,1.17955,0.479164,0.394703
45,3.81121,0.961143,0.386064,0.401267
46,3.83599,1.01888,0.427176,0.412951
47,3.82023,0.980097,0.41612,0.418568
48,3.82491,1.01945,0.44066,0.426815
49,3.82491,1.01945,0.44066,0.426815
50,3.82491,1.01945,0.44066,0.426815
51,3.86181,1.14681,0.466115,0.437215
52,3.8598,1.14383,0.468963,0.437222
53,3.83086,1.09572,0.43826,0.452916
54,3.84895,1.13944,0.445602,0.461417
55,3.84501,1.11509,0.451235,0.473833
56,3.80514,1.03407,0.429095,0.488878
57,3.80441,1.03474,0.412449,0.5018
58,3.79858,0.969252,0.393393,0.508747
59,3.79858,0.969252,0.393393,0.508747
60,3.85748,1.09611,0.463824,0.520895
61,3.80797,1.01794,0.411989,0.532394
62,3.80797,1.01794,0.411989,0.532394
63,3.80797,1.01794,0.411989,0.532394
64,3.7459,0.890734,0.376823,0.543396
65,3.76773,0.932803,0.393279,0.549836
66,3.76773,0.932803,0.393279,0.549836
67,3.76773,0.932803,0.393279,0.549836
68,3.7677,0.927864,0.392354,0.555358
69,3.73836,0.905742,0.372517,0.558583
70,3.72451,0.894049,0.379166,0.570945
71,3.70866,0.808932,0.350732,0.58156
72,3.66098,0.735353,0.303501,0.591621
73,3.63743,0.710746,0.310021,0.610153
74,3.64457,0.740133,0.324446,0.61969
75,3.66864,0.708375,0.306119,0.636566
76,3.63629,0.651515,0.287454,0.653608
77,3.63175,0.669652,0.288976,0.658004
78,3.61871,0.605246,0.265085,0.674317
79,3.57339,0.524561,0.242057,0.680863
80,3.57158,0.516539,0.236146,0.699205
81,3.57158,0.516539,0.236146,0.699205
82,3.57158,0.516539,0.236146,0.699205
83,3.60039,0.574613,0.249245,0.72636
84,3.57574,0.522689,0.231337,0.739554
85,3.49727,0.454751,0.20785,0.754148
86,3.4908,0.425064,0.196231,0.773371
87,3.46261,0.392921,0.186784,0.793269
88,3.45557,0.348186,0.165687,0.82193
89,3.41237,0.359335,0.168123,0.846765
90,3.3909,0.361091,0.170898,0.870871
91,3.3403,0.350087,0.164884,0.898222
92,3.27403,0.293495,0.144261,0.926869
93,3.20297,0.255391,0.125401,0.950497
