MDTU ,delta_S
1,-38.01
2,-11.98
3,-2.004
4,1.996
5,0.6847
6,1.935
7,-0.404
8,2.837
9,1.67
10,0.01048
11,1.486
12,0.7134
13,1.787
14,0.5258
15,3.025
16,0.7861
17,2.657
18,1.574
19,1.496
20,0.5432
21,1.871
22,-0.7461
23,2.735
24,-0.4997
25,1.207
26,0.4353
27,2.474
28,2.573
29,1.067
30,1.103
31,0.9981
32,1.758
33,2.055
34,1.795
35,1.842
36,-0.07196
37,1.373
38,-0.07588
39,1.615
40,1.698
41,2.489
42,-0.1246
43,1.812
44,2.61
45,0.8859
46,1.907
47,0.05107
48,1.587
49,-0.04759
50,1.513
51,1.847
52,2.468
53,0.906
54,2.247
55,0.0882
56,0.02952
57,-0.2515
58,1.749
59,1.789
60,1.53
61,1.652
62,-1.701
63,1.709
64,1.491
65,1.989
66,3.465
67,0.3972
68,1.02
69,2.724
70,1.969
71,1.57
72,-0.05227
73,0.92
74,0.1923
75,3.028
76,1.131
77,1.888
78,1.762
79,-0.6423
80,-1.095
81,1.08
82,0.8348
83,1.087
84,0.6277
85,0.2106
86,-0.1488
87,0.8392
88,-0.03142
89,0.4517
90,2.917
91,1.255
92,1.714
93,0.2895
94,-0.04755
95,0.7192
96,-0.09067
97,-1.692
98,0.327
99,0.9686
100,0.07377
101,-0.04964
102,-0.2375
103,-0.2088
104,-0.3242
105,-1.081
106,-0.8312
107,-2.726
108,-2.547
109,-4.503
110,-2.404
111,-4.678
112,-3.059
113,0.2715
114,1.152
115,1.662
116,1.645
117,6.097
118,8.018
119,4.617
120,5.11
121,3.748
122,5.962
123,6.183
124,6.238
125,4.107
126,4.807
127,5.382
128,6.197
129,5.568
130,4.186
131,4.612
132,5.759
133,5.089
134,6.276
135,8.209
136,7.386
137,5.015
138,5.024
139,4.685
140,6.281
141,3.939
142,5.737
143,5.054
144,5.832
145,7.085
146,5.107
147,6.811
148,7.754
149,5.248
150,4.224
151,6.542
152,6.664
153,5.768
154,6.4
155,7.152
156,5.698
157,6.793
158,4.51
159,3.653
160,4.685
161,6.955
162,6.101
163,6.459
164,6.835
165,4.963
166,5.297
167,5.179
168,5.074
169,5.289
170,5.973
171,6.89
172,3.445
173,6.036
174,3.768
175,4.975
176,5.964
177,5.927
178,5.17
179,5.997
180,3.94
181,5.517
182,5.583
183,4.126
184,3.797
185,7.049
186,3.5
187,6.841
188,5.406
189,5.429
190,7.597
191,5.356
192,3.964
193,5.363
194,4.227
195,6.669
196,4.817
197,4.801
198,6.969
199,2.147
200,6.226
201,5.796
202,5.573
203,4.988
204,6.25
205,4.073
206,5.132
207,6.129
208,4.924
209,4.395
210,6.521
211,5.414
212,6.963
213,5.826
214,5.744
215,6.604
216,3.474
217,5.974
218,6.152
219,5.6
220,6.381
221,6.455
222,4.229
223,6.162
224,5.319
225,5.974
226,7.986
227,5.332
228,6.298
229,6.95
230,6.212
231,3.291
232,7.301
233,5.212
234,4.358
235,8.108
236,5.316
237,6.456
238,4.212
239,5.796
240,4.367
241,7.328
242,5.314
243,5.727
244,4.967
245,6.835
246,6.154
247,5.719
