t,e^(-dS)
1,32176089193894540
2,159532
3,7.41867
4,0.135878
5,0.504241
6,0.144424
7,1.4978
8,0.0586012
9,0.188247
10,0.989575
11,0.226276
12,0.489975
13,0.167462
14,0.591082
15,0.0485578
16,0.455618
17,0.0701584
18,0.207215
19,0.224024
20,0.580886
21,0.15397
22,2.10876
23,0.064894
24,1.64823
25,0.299093
26,0.647071
27,0.0842472
28,0.0763063
29,0.344039
30,0.331874
31,0.368579
32,0.172389
33,0.128093
34,0.166127
35,0.1585
36,1.07461
37,0.253346
38,1.07883
39,0.198891
40,0.183049
41,0.0829929
42,1.1327
43,0.163327
44,0.0735345
45,0.412343
46,0.148525
47,0.950212
48,0.204538
49,1.04874
50,0.220248
51,0.15771
52,0.0847542
53,0.404138
54,0.105716
55,0.915578
56,0.970911
57,1.28595
58,0.173948
59,0.167127
60,0.216536
61,0.191666
62,5.47942
63,0.181047
64,0.225147
65,0.136832
66,0.031273
67,0.6722
68,0.360595
69,0.0656118
70,0.139596
71,0.208045
72,1.05366
73,0.398519
74,0.825059
75,0.0484124
76,0.32271
77,0.151374
78,0.171701
79,1.90085
80,2.98918
81,0.339596
82,0.433961
83,0.337227
84,0.533818
85,0.810098
86,1.16044
87,0.432056
88,1.03192
89,0.636545
90,0.0540957
91,0.285076
92,0.180144
93,0.748638
94,1.0487
95,0.487142
96,1.09491
97,5.43033
98,0.721084
99,0.379614
100,0.928885
101,1.05089
102,1.26807
103,1.2322
104,1.38292
105,2.94763
106,2.29607
107,15.2717
108,12.7687
109,90.2876
110,11.0674
111,107.555
112,21.3062
113,0.762235
114,0.316004
115,0.189759
116,0.193013
117,0.00224961
118,0.000329478
119,0.0098824
120,0.00603608
121,0.0235648
122,0.00257476
123,0.00206423
124,0.00195376
125,0.0164571
126,0.00817234
127,0.00459862
128,0.00203553
129,0.00381811
130,0.015207
131,0.00993193
132,0.00315426
133,0.00616418
134,0.00188091
135,0.000272193
136,0.00061987
137,0.00663763
138,0.00657816
139,0.00923273
140,0.00187153
141,0.0194677
142,0.00322443
143,0.00638375
144,0.00293221
145,0.000837575
146,0.00605422
147,0.00110159
148,0.000429023
149,0.00525802
150,0.01464
151,0.0014416
152,0.00127603
153,0.003126
154,0.00166156
155,0.000783296
156,0.00335266
157,0.0011216
158,0.0109985
159,0.0259133
160,0.00923273
161,0.000953854
162,0.00224063
163,0.00156636
164,0.00107547
165,0.00699192
166,0.00500659
167,0.00563364
168,0.00625734
169,0.0050468
170,0.00254659
171,0.00101791
172,0.0319048
173,0.0023911
174,0.0230982
175,0.00690852
176,0.00256961
177,0.00266647
178,0.00568457
179,0.0024862
180,0.0194482
181,0.00401788
182,0.00376126
183,0.0161473
184,0.022438
185,0.000868277
186,0.0301974
187,0.00106903
188,0.00448956
189,0.00438748
190,0.000501955
191,0.00471975
192,0.018987
193,0.00468682
194,0.0145961
195,0.00126967
196,0.00809102
197,0.00822152
198,0.000940593
199,0.116834
200,0.00197735
201,0.00303969
202,0.00379907
203,0.00681929
204,0.00193045
205,0.0170262
206,0.00590474
207,0.00217876
208,0.00726999
209,0.0123389
210,0.0014722
211,0.00445379
212,0.000946254
213,0.00294985
214,0.00320193
215,0.00135494
216,0.0309928
217,0.00254404
218,0.00212922
219,0.00369786
220,0.00169343
221,0.00157264
222,0.014567
223,0.00210803
224,0.00489765
225,0.00254404
226,0.000340192
227,0.00483439
228,0.00183998
229,0.000958635
230,0.00200522
231,0.0372166
232,0.000674864
233,0.00545076
234,0.012804
235,0.000301121
236,0.00491236
237,0.00157107
238,0.0148167
239,0.00303969
240,0.0126893
241,0.000656886
242,0.0049222
243,0.00325683
244,0.00696401
245,0.00107547
246,0.00212496
247,0.00328299
248,0.00430921
249,0.0010637
250,0.00543443
251,0.00698493
252,0.00203756
253,0.0118907
254,0.000620491
255,0.0045211
256,0.0274607
257,0.0227316
258,0.00327643
259,0.00176783
260,0.0028427
261,0.00130964
262,0.00241997
263,0.00126207
264,0.00272578
265,0.040397
266,0.0383884
267,0.0127656
268,0.00444934
269,0.000460131
270,0.00333928
271,0.00837922
272,0.00308872
273,0.0135144
274,0.00215277
275,0.00362102
276,0.017935
277,0.00457568
278,0.00230195
279,0.0131019
280,0.00526855
281,0.00429201
282,0.00443158
283,0.00116854
284,0.0246495
285,0.0194677
286,0.0143788
287,0.0020725
288,0.00460322
289,0.00336947
290,0.00405826
291,0.00276698
292,0.0312417
293,0.000851084
294,0.00543443
295,0.00277529
296,0.0176327
297,0.00244185
298,0.00437871
299,0.0144364
300,0.00241272
301,0.00138924
302,0.0050721
303,0.00202133
304,0.00376503
305,0.00584014
306,0.00932553
307,0.00223839
308,0.00229735
309,0.0564726
310,0.0111312
311,0.051252
312,0.00538574
313,0.00118265
314,0.0174224
315,0.0176151
316,0.000365955
317,0.00487322
318,0.0050468
319,0.00263466
320,0.000249763
321,0.00353515
322,0.0121188
323,0.0026294
324,0.00247627
325,0.00338297
326,0.00334262
327,0.00176607
328,0.024773
329,0.00485862
330,0.0121673
331,0.00416516
332,0.00130572
333,0.00220066
334,0.00253389
335,0.016277
336,0.00436997
337,0.000757869
338,0.00112948
339,0.00551105
340,0.0107591
341,0.00116621
342,0.0286959
343,0.00743914
344,0.00289433
345,0.00478629
346,0.000400419
347,0.00170532
348,0.00556087
349,0.000819349
