MDTU,|Tr(L)|,ReTr(L),ImTr(L)
1,0.259479,-0.109863,0.235074
2,0.1753,-0.0896125,0.150664
3,0.168052,-0.0842958,0.145381
4,0.179446,-0.0840358,0.158553
5,0.201569,-0.09261,0.179035
6,0.201569,-0.09261,0.179035
7,0.219402,-0.107724,0.191135
8,0.219402,-0.107724,0.191135
9,0.219402,-0.107724,0.191135
10,0.241659,-0.112244,0.21401
11,0.260015,-0.135191,0.222106
12,0.260015,-0.135191,0.222106
13,0.282933,-0.151405,0.239014
14,0.31429,-0.172595,0.262657
15,0.31429,-0.172595,0.262657
16,0.326453,-0.171056,0.278049
17,0.326453,-0.171056,0.278049
18,0.326453,-0.171056,0.278049
19,0.326453,-0.171056,0.278049
20,0.326453,-0.171056,0.278049
21,0.326453,-0.171056,0.278049
22,0.359283,-0.180979,0.310372
23,0.359283,-0.180979,0.310372
24,0.388046,-0.220569,0.319264
25,0.388046,-0.220569,0.319264
26,0.430306,-0.249629,0.350498
27,0.430306,-0.249629,0.350498
28,0.430306,-0.249629,0.350498
29,0.430306,-0.249629,0.350498
30,0.474619,-0.297291,0.369975
31,0.474619,-0.297291,0.369975
32,0.474619,-0.297291,0.369975
33,0.474619,-0.297291,0.369975
34,0.474619,-0.297291,0.369975
35,0.474619,-0.297291,0.369975
36,0.474699,-0.32752,0.343612
37,0.474699,-0.32752,0.343612
38,0.507214,-0.304656,0.405525
39,0.507214,-0.304656,0.405525
40,0.507214,-0.304656,0.405525
41,0.507214,-0.304656,0.405525
42,0.546067,-0.333732,0.432217
43,0.546067,-0.333732,0.432217
44,0.546067,-0.333732,0.432217
45,0.546067,-0.333732,0.432217
46,0.546067,-0.333732,0.432217
47,0.577918,-0.342068,0.46581
48,0.603112,-0.386358,0.463111
49,0.631562,-0.367345,0.51374
50,0.631562,-0.367345,0.51374
51,0.667235,-0.400077,0.533985
52,0.667235,-0.400077,0.533985
53,0.719379,-0.393329,0.602328
54,0.719379,-0.393329,0.602328
55,0.753891,-0.448701,0.605821
56,0.787359,-0.477186,0.626281
57,0.822873,-0.494785,0.657501
58,0.822873,-0.494785,0.657501
59,0.822873,-0.494785,0.657501
60,0.822873,-0.494785,0.657501
61,0.822873,-0.494785,0.657501
62,0.850581,-0.546447,0.65183
63,0.850581,-0.546447,0.65183
64,0.850581,-0.546447,0.65183
65,0.911313,-0.603949,0.68245
66,0.911313,-0.603949,0.68245
67,0.976168,-0.670495,0.709465
68,0.976168,-0.670495,0.709465
69,0.976168,-0.670495,0.709465
70,0.976168,-0.670495,0.709465
71,0.976168,-0.670495,0.709465
72,1.03639,-0.696144,0.767776
73,1.03639,-0.696144,0.767776
74,1.11525,-0.744679,0.830209
75,1.11525,-0.744679,0.830209
76,1.11525,-0.744679,0.830209
77,1.11525,-0.744679,0.830209
78,1.11525,-0.744679,0.830209
79,1.15242,-0.754211,0.871337
80,1.25015,-0.814527,0.948379
81,1.25015,-0.814527,0.948379
82,1.33035,-0.901798,0.97806
83,1.33035,-0.901798,0.97806
84,1.33035,-0.901798,0.97806
85,1.42504,-0.962656,1.05073
86,1.53897,-1.04288,1.13173
87,1.53897,-1.04288,1.13173
88,1.60094,-1.02844,1.22692
89,1.60094,-1.02844,1.22692
90,1.60094,-1.02844,1.22692
91,1.80593,-1.2648,1.28906
92,1.80593,-1.2648,1.28906
93,1.96692,-1.36837,1.41291
94,2.10257,-1.43831,1.53364
95,2.29898,-1.61251,1.63864
