ReTr(L),ImTr(L)
-0.365548,0.692345
-0.433855,0.692667
-0.422556,0.698251
-0.392757,0.727684
-0.389161,0.729369
-0.389161,0.729369
-0.399639,0.72327
-0.399639,0.72327
-0.399639,0.72327
-0.392364,0.73957
-0.428024,0.716525
-0.428024,0.716525
-0.438031,0.709281
-0.466927,0.711932
-0.466927,0.711932
-0.446511,0.718328
-0.446511,0.718328
-0.446511,0.718328
-0.446511,0.718328
-0.446511,0.718328
-0.446511,0.718328
-0.42274,0.72791
-0.42274,0.72791
-0.493411,0.691201
-0.493411,0.691201
-0.483826,0.695865
-0.483826,0.695865
-0.483826,0.695865
-0.483826,0.695865
-0.536394,0.661981
-0.536394,0.661981
-0.536394,0.661981
-0.536394,0.661981
-0.536394,0.661981
-0.536394,0.661981
-0.571383,0.624055
-0.571383,0.624055
-0.507991,0.67871
-0.507991,0.67871
-0.507991,0.67871
-0.507991,0.67871
-0.514956,0.678934
-0.514956,0.678934
-0.514956,0.678934
-0.514956,0.678934
-0.514956,0.678934
-0.507021,0.690554
-0.549153,0.660977
-0.498966,0.693305
-0.498966,0.693305
-0.520689,0.686266
-0.520689,0.686266
-0.464434,0.722024
-0.464434,0.722024
-0.516864,0.694545
-0.531579,0.689734
-0.520378,0.691404
-0.520378,0.691404
-0.520378,0.691404
-0.520378,0.691404
-0.520378,0.691404
-0.553979,0.66743
-0.553979,0.66743
-0.553979,0.66743
-0.575204,0.645408
-0.575204,0.645408
-0.592468,0.624501
-0.592468,0.624501
-0.592468,0.624501
-0.592468,0.624501
-0.592468,0.624501
-0.582371,0.64118
-0.582371,0.64118
-0.576959,0.650543
-0.576959,0.650543
-0.576959,0.650543
-0.576959,0.650543
-0.576959,0.650543
-0.571464,0.653876
-0.565653,0.662505
-0.565653,0.662505
-0.594131,0.641108
-0.594131,0.641108
-0.594131,0.641108
-0.584879,0.642439
-0.588832,0.646029
-0.588832,0.646029
-0.55534,0.669309
-0.55534,0.669309
-0.55534,0.669309
-0.615434,0.626652
-0.615434,0.626652
-0.61267,0.632452
-0.595082,0.640215
-0.613474,0.628
-0.623794,0.614592
-0.634645,0.607618
-0.634645,0.607618
-0.634645,0.607618
-0.623354,0.624314
-0.629289,0.616849
-0.640259,0.604903
