ReTr(Lx),ImTr(Lx)
-0.179193,0.170124
-0.179193,0.170124
-0.1932,0.149591
-0.1932,0.149591
-0.228754,0.134206
-0.210723,0.0745324
-0.210723,0.0745324
-0.151129,0.0603736
-0.164623,0.034356
-0.175673,0.0808456
-0.175673,0.0808456
-0.182579,0.0513234
-0.141005,0.0937279
-0.141005,0.0937279
-0.141005,0.0937279
-0.141005,0.0937279
-0.141005,0.0937279
-0.141005,0.0937279
-0.128404,0.0757564
-0.128404,0.0757564
-0.000996233,0.0875335
0.0716679,0.0739254
0.0716679,0.0739254
0.0754823,0.0402789
0.0754823,0.0402789
0.0754823,0.0402789
0.0754823,0.0402789
0.0754823,0.0402789
0.016627,0.0212066
0.0324793,0.0597691
0.0309359,0.117617
0.0309359,0.117617
0.0309359,0.117617
-0.00454392,0.118753
-0.00454392,0.118753
-0.00454392,0.118753
-1.65467e-05,0.0534032
-0.0546401,0.0515536
-0.0546401,0.0515536
-0.0546401,0.0515536
-0.0546401,0.0515536
-0.0546401,0.0515536
0.000119846,-0.00286739
-0.00463659,0.0029604
0.0255846,0.0923139
0.0633487,0.1042
0.0633487,0.1042
0.0633487,0.1042
0.0633487,0.1042
0.0633487,0.1042
0.0645956,0.019238
0.0645956,0.019238
0.0383984,0.0828431
0.0383984,0.0828431
0.0434771,0.0259193
0.0434771,0.0259193
0.0434771,0.0259193
0.0341159,0.00313138
0.0341159,0.00313138
-0.0539556,-0.111331
-0.0539556,-0.111331
-0.0827509,-0.0711729
-0.0142723,-0.113704
-0.0142723,-0.113704
0.0143932,-0.092224
0.0254649,-0.172256
0.076129,-0.17334
0.076129,-0.17334
0.0841092,-0.178558
0.0841092,-0.178558
0.130532,-0.162938
0.130532,-0.162938
0.0955396,-0.211436
0.0416066,-0.245451
0.0416066,-0.245451
0.0416066,-0.245451
0.0416066,-0.245451
0.145537,-0.240182
0.177436,-0.169131
0.206698,-0.213609
0.206698,-0.213609
0.271915,-0.136529
0.271915,-0.136529
0.271915,-0.136529
0.271915,-0.136529
0.271915,-0.136529
0.271915,-0.136529
0.271915,-0.136529
0.302109,-0.0947198
0.302109,-0.0947198
0.281228,-0.152213
0.187166,-0.133224
0.187166,-0.133224
0.22041,-0.112918
0.22041,-0.112918
0.147258,-0.101942
0.147258,-0.101942
0.158005,-0.0898094
0.211025,-0.172479
0.171085,-0.101005
0.141156,-0.174283
0.141156,-0.174283
0.141156,-0.174283
0.106251,-0.146714
0.13742,-0.121508
0.13742,-0.121508
0.13742,-0.121508
0.187499,-0.141294
0.150969,-0.128954
0.120199,-0.138514
0.0859653,-0.143105
-0.00440296,-0.20204
0.00982634,-0.195275
0.0199801,-0.176571
0.0199801,-0.176571
0.0204823,-0.171609
0.0242024,-0.180881
0.0409077,-0.197579
0.0409077,-0.197579
-0.0596228,-0.188994
-0.0598305,-0.112396
-0.0896521,-0.123882
-0.0944573,-0.110216
-0.0618288,-0.142646
-0.0618288,-0.142646
-0.0618288,-0.142646
-0.0500245,-0.159195
-0.0126391,-0.208907
-0.0126391,-0.208907
-0.00224114,-0.161685
0.0529215,-0.243498
0.0529215,-0.243498
-0.0241729,-0.233456
-0.0241729,-0.233456
-0.0253694,-0.141189
0.05514,-0.217101
0.05514,-0.217101
0.0291192,-0.292864
0.02944,-0.241787
0.0665531,-0.204504
0.0326762,-0.2507
-0.00588945,-0.299741
0.0332252,-0.293046
0.0398145,-0.229679
-0.03655,-0.233074
-0.0212174,-0.199315
0.0239621,-0.257529
0.012293,-0.230575
0.012293,-0.230575
0.0345169,-0.277043
0.0345169,-0.277043
0.0345169,-0.277043
0.051942,-0.287627
0.066702,-0.245312
0.0306545,-0.245764
0.0288561,-0.325646
0.0288561,-0.325646
0.0288561,-0.325646
0.0288561,-0.325646
0.0540481,-0.28892
0.0950515,-0.255651
0.0510366,-0.212806
0.0589794,-0.1768
0.0589794,-0.1768
0.118538,-0.0596579
0.151794,-0.124344
0.151794,-0.124344
0.151794,-0.124344
0.0997006,-0.0515987
0.0997006,-0.0515987
0.0879733,-0.124225
0.0862726,-0.0842804
0.113524,-0.103868
0.102516,-0.0910953
0.102516,-0.0910953
0.0614536,-0.0422565
0.0465699,-0.0813581
0.101728,-0.0931938
0.131834,-0.142816
0.117027,-0.109927
0.126463,-0.0934944
0.126463,-0.0934944
0.148631,0.0310124
0.172774,0.0647056
0.172774,0.0647056
0.172774,0.0647056
0.172774,0.0647056
0.172774,0.0647056
0.254724,0.0533588
0.254724,0.0533588
0.21344,0.115116
0.195219,0.0694995
0.197069,0.0404636
0.237542,0.00896395
0.237542,0.00896395
0.257971,-0.0652418
0.31361,-0.0862246
0.31361,-0.0862246
0.26577,-0.185229
0.26577,-0.185229
0.26577,-0.185229
0.224469,-0.160084
0.225065,-0.0853123
0.225065,-0.0853123
0.199514,-0.0546512
0.199514,-0.0546512
0.199514,-0.0546512
0.185819,-0.0288659
0.17578,-0.05418
0.137019,-0.0238643
0.137019,-0.0238643
0.137019,-0.0238643
0.178012,-0.0547705
