ReTr(Lx),ImTr(Lx)
-0.0136559,0.017536
-0.0136559,0.017536
-0.020019,0.0074585
-0.020019,0.0074585
-0.0164201,0.0104091
-0.0154617,-0.00385738
-0.0154617,-0.00385738
-0.00898618,0.000739565
-0.00843549,0.00152146
-0.00737615,0.0050507
-0.00737615,0.0050507
-0.00559629,0.000619694
-0.00859474,0.00199186
-0.00859474,0.00199186
-0.00859474,0.00199186
-0.00859474,0.00199186
-0.00859474,0.00199186
-0.00859474,0.00199186
-0.00763033,0.00462964
-0.00763033,0.00462964
-0.00303294,0.00373531
-0.000475024,0.00173841
-0.000475024,0.00173841
0.00121736,-0.000539692
0.00121736,-0.000539692
0.00121736,-0.000539692
0.00121736,-0.000539692
0.00121736,-0.000539692
-0.00311692,-0.0033349
-0.00122307,0.00144122
-0.00160282,0.00643095
-0.00160282,0.00643095
-0.00160282,0.00643095
-0.00476884,0.0042514
-0.00476884,0.0042514
-0.00476884,0.0042514
-0.00227291,0.00239582
-0.00239481,0.00214104
-0.00239481,0.00214104
-0.00239481,0.00214104
-0.00239481,0.00214104
-0.00239481,0.00214104
0.000952501,-0.00235788
-0.00047427,-0.00574435
-0.00409258,-0.00181448
0.00444789,0.00149384
0.00444789,0.00149384
0.00444789,0.00149384
0.00444789,0.00149384
0.00444789,0.00149384
0.00712586,-0.00516687
0.00712586,-0.00516687
0.00597851,-0.00199598
0.00597851,-0.00199598
0.00792137,0.00141715
0.00792137,0.00141715
0.00792137,0.00141715
0.00535994,-0.00520754
0.00535994,-0.00520754
-0.00139277,-0.0170826
-0.00139277,-0.0170826
-0.0103264,-0.0105837
-0.0076707,-0.014283
-0.0076707,-0.014283
0.00129228,-0.012809
0.0110662,-0.031249
0.0113564,-0.0143829
0.0113564,-0.0143829
0.0091419,-0.0092624
0.0091419,-0.0092624
0.0119674,-0.00575159
0.0119674,-0.00575159
0.0116868,-0.018035
0.00992508,-0.0211144
0.00992508,-0.0211144
0.00992508,-0.0211144
0.00992508,-0.0211144
0.0157357,-0.0159863
0.0227852,-0.013382
0.022263,-0.0256359
0.022263,-0.0256359
0.0321072,-0.01472
0.0321072,-0.01472
0.0321072,-0.01472
0.0321072,-0.01472
0.0321072,-0.01472
0.0321072,-0.01472
0.0321072,-0.01472
0.0401504,-0.00951143
0.0401504,-0.00951143
0.0432686,-0.0187793
0.0248726,-0.0221536
0.0248726,-0.0221536
0.0241431,-0.019235
0.0241431,-0.019235
0.0204205,-0.0188984
0.0204205,-0.0188984
0.0296311,-0.00922152
0.0275456,-0.0197716
0.0189472,-0.0115925
0.0224745,-0.0145711
0.0224745,-0.0145711
0.0224745,-0.0145711
0.0153332,-0.0100694
0.0195676,-0.0147893
0.0195676,-0.0147893
0.0195676,-0.0147893
0.0134953,-0.0214299
0.0124916,-0.0222537
0.00458309,-0.0226789
0.00546549,-0.0262376
0.00193844,-0.032219
-0.00699314,-0.0378366
-0.00469665,-0.0443769
-0.00469665,-0.0443769
-0.00357543,-0.0337652
-0.00534961,-0.0436752
0.00607665,-0.0533443
0.00607665,-0.0533443
-0.0178073,-0.0493194
-0.0124324,-0.0346025
-0.0366817,-0.0438139
-0.0136986,-0.0307443
-0.00150801,-0.0252216
-0.00150801,-0.0252216
-0.00150801,-0.0252216
0.000399439,-0.0199859
0.0121784,-0.0444729
0.0121784,-0.0444729
0.00671059,-0.0351119
0.0185034,-0.0472438
0.0185034,-0.0472438
-0.00739125,-0.040377
-0.00739125,-0.040377
-0.00469121,-0.026933
0.0046632,-0.0407168
0.0046632,-0.0407168
0.000971516,-0.0477612
0.0062372,-0.0526965
0.0159782,-0.0351959
-0.00032886,-0.0482326
-0.0185544,-0.068898
-0.000255395,-0.0556306
0.00295515,-0.041002
-0.0179194,-0.0402822
-0.00827673,-0.0444964
-0.0161664,-0.0576444
0.0074708,-0.0519884
0.0074708,-0.0519884
0.00115542,-0.0668524
0.00115542,-0.0668524
0.00115542,-0.0668524
0.0119041,-0.0659315
0.00193899,-0.0404199
-0.0081357,-0.051218
-0.0107031,-0.0661485
-0.0107031,-0.0661485
-0.0107031,-0.0661485
-0.0107031,-0.0661485
-0.00910979,-0.064368
0.0297873,-0.0557405
0.0135349,-0.0290639
0.0181549,-0.0307039
0.0181549,-0.0307039
0.0112736,0.00454572
0.038234,-0.015313
0.038234,-0.015313
0.038234,-0.015313
0.0274828,0.0176091
0.0274828,0.0176091
0.0119059,-0.0194314
0.00878059,-0.0198016
0.0299879,-0.0189703
0.0379043,0.00871675
0.0379043,0.00871675
0.0277433,0.025682
0.016177,0.050001
0.028258,0.0234434
0.0284365,0.00362935
0.000126407,-0.00170272
0.028667,-0.00040765
0.028667,-0.00040765
0.0282241,0.0439126
0.0259015,0.0561818
0.0259015,0.0561818
0.0259015,0.0561818
0.0259015,0.0561818
0.0259015,0.0561818
0.0759828,0.0452523
0.0759828,0.0452523
0.0637999,0.0560426
0.0554712,0.0323353
0.0488649,0.0244165
0.0690971,0.0146147
0.0690971,0.0146147
0.079694,-0.0129464
0.0954989,-0.0132541
0.0954989,-0.0132541
0.0847586,-0.0571825
0.0847586,-0.0571825
0.0847586,-0.0571825
0.099874,-0.0435255
0.086986,0.00241281
0.086986,0.00241281
0.068714,-0.00265443
0.068714,-0.00265443
0.068714,-0.00265443
0.041361,0.0135059
0.0561901,0.0210112
0.0589831,-0.00317249
0.0589831,-0.00317249
0.0589831,-0.00317249
0.0768738,-0.0352801
0.0768738,-0.0352801
0.0557776,-0.0476545
0.028894,-0.0523723
-0.0116033,-0.0214618
0.0578194,-0.058048
0.117083,-0.0328603
0.117083,-0.0328603
0.11549,-0.0688906
0.11549,-0.0688906
0.112083,-0.00997977
0.132334,-0.0224678
0.111019,-0.061573
0.111019,-0.061573
0.13067,-0.0315785
0.13067,-0.0315785
0.147698,0.00325435
0.107557,-0.00602751
0.107557,-0.00602752
0.107557,-0.00602752
0.145413,0.00719707
0.155729,-0.0445082
0.180164,-0.00862979
0.18157,-0.03022
0.154529,-0.0189756
0.092255,0.0133411
0.092255,0.0133411
0.173432,0.0326945
0.184649,0.0113157
0.22334,0.0161542
0.22334,0.0161542
0.268477,-0.0396697
0.268477,-0.0396697
0.259271,-0.0281213
0.259271,-0.0281213
0.259271,-0.0281213
0.162332,-0.0706434
0.175969,-0.0584675
0.175969,-0.0584675
0.170996,-0.0242834
0.202698,-0.069323
0.204545,-0.0991048
0.144284,-0.0844684
0.144284,-0.0844684
0.206026,-0.086299
0.24908,-0.144061
0.153397,-0.177069
0.205441,-0.1482
0.24612,-0.17533
0.24612,-0.17533
0.283797,-0.119045
0.267426,-0.140449
0.212846,-0.119351
0.206164,-0.132551
0.205065,-0.130361
0.205065,-0.130361
0.20731,-0.137295
0.297869,-0.173779
0.297869,-0.173779
0.297869,-0.173779
0.196782,-0.230799
0.273844,-0.21396
0.319085,-0.263816
0.308361,-0.284552
0.308361,-0.284552
0.26475,-0.303959
0.26475,-0.303959
0.23964,-0.274687
0.23964,-0.274687
0.23964,-0.274687
0.178629,-0.27198
0.143219,-0.294575
0.143219,-0.294575
0.210716,-0.390824
0.0715703,-0.361369
0.167288,-0.40578
0.167288,-0.40578
0.129704,-0.276243
0.123919,-0.307426
0.110878,-0.302557
0.110878,-0.302557
0.127056,-0.276334
0.127056,-0.276334
0.127056,-0.276334
0.127056,-0.276334
0.0446629,-0.261259
0.0446629,-0.261259
0.136461,-0.251794
0.239705,-0.205343
0.239705,-0.205343
0.151816,-0.25083
0.118039,-0.320681
0.191701,-0.362712
0.361221,-0.337354
0.361221,-0.337354
0.361221,-0.337354
0.345108,-0.172957
0.367771,-0.148049
0.281793,-0.169948
0.362755,-0.124342
0.309769,-0.244349
0.309769,-0.244349
0.309769,-0.244349
0.349988,-0.208774
0.349988,-0.208774
0.469683,-0.174335
0.439586,-0.156194
0.339967,-0.0204651
0.336743,-0.150846
0.33373,-0.186291
0.325333,-0.13739
0.279288,-0.169217
0.279288,-0.169217
0.334065,-0.0609949
0.319304,0.00928342
0.290469,0.0518327
0.308859,0.0185351
0.243572,0.00434304
0.243572,0.00434304
0.281736,0.112039
0.251302,0.0465009
0.251302,0.0465009
0.297756,0.0746836
0.199093,0.0826859
0.234602,0.103476
0.234602,0.103476
0.207589,0.213294
0.250446,0.0435744
0.250446,0.0435744
0.262472,0.108512
0.180769,0.131084
0.221206,0.166878
0.161191,0.146856
0.161191,0.146856
0.161191,0.146856
0.161191,0.146856
0.228825,0.153745
0.267924,0.1002
0.267924,0.1002
0.258919,0.0943805
0.258919,0.0943805
0.258919,0.0943805
0.258919,0.0943805
0.22491,0.094422
0.273917,0.126059
0.216652,0.05517
0.247847,-0.00750559
0.230851,-0.116958
0.230851,-0.116958
0.264423,-0.0617297
0.264423,-0.0617297
0.261436,-0.118554
0.261436,-0.118554
0.260412,-0.0410715
0.170614,-0.0844229
0.231611,-0.155117
0.198077,-0.122895
0.252157,-0.101725
0.238803,-0.0364626
0.221303,-0.122838
0.183877,-0.135221
0.157365,-0.182839
0.157365,-0.182839
0.157365,-0.182839
0.0938436,-0.155213
0.0900949,-0.161404
0.0900949,-0.161404
0.0900949,-0.161404
0.199376,-0.23183
0.206012,-0.127976
0.186002,-0.124351
0.17026,-0.0931542
0.159293,-0.145453
0.287659,-0.132114
0.287659,-0.132114
0.235536,-0.13366
0.242643,-0.097058
0.224616,-0.0817111
0.175241,-0.112321
0.150354,-0.0571328
