MDTU,|det-1|^2,1-Re(det),Im(det)
1,0.992734,0.996353,-2.90017e-06
2,0.992701,0.996336,8.72721e-06
3,0.992701,0.996336,8.72721e-06
4,0.992701,0.996336,8.72721e-06
5,0.992701,0.996336,8.72721e-06
6,0.992701,0.996336,8.72721e-06
7,0.992701,0.996336,8.72721e-06
8,0.992701,0.996336,8.72721e-06
9,0.992701,0.996336,8.72721e-06
10,0.992701,0.996336,8.72721e-06
11,0.99217,0.996068,2.60554e-06
12,0.99217,0.996068,2.60554e-06
13,0.99217,0.996068,2.60554e-06
14,0.991686,0.995824,-2.05574e-05
15,0.991766,0.995864,-1.44953e-05
16,0.991766,0.995864,-1.44953e-05
17,0.991766,0.995864,-1.44953e-05
18,0.991766,0.995864,-1.44953e-05
19,0.991766,0.995864,-1.44953e-05
20,0.991766,0.995864,-1.44953e-05
21,0.991766,0.995864,-1.44953e-05
22,0.992263,0.996114,-8.72628e-07
23,0.992263,0.996114,-8.72628e-07
24,0.991706,0.995834,9.19643e-06
25,0.991706,0.995834,9.19643e-06
26,0.991706,0.995834,9.19643e-06
27,0.991015,0.995486,1.22026e-05
28,0.99041,0.99518,9.09947e-06
29,0.99041,0.99518,9.09947e-06
30,0.990092,0.995019,1.01898e-05
31,0.990092,0.995019,1.01898e-05
32,0.990092,0.995019,1.01898e-05
33,0.989084,0.994509,4.23954e-05
34,0.988697,0.994315,-3.59015e-06
35,0.988579,0.994256,-8.35328e-06
36,0.988579,0.994256,-8.35328e-06
37,0.988579,0.994256,-8.35328e-06
38,0.98735,0.993631,1.41011e-05
39,0.987119,0.993515,7.41186e-06
40,0.987119,0.993515,7.41186e-06
41,0.987119,0.993515,7.41186e-06
42,0.987119,0.993515,7.41186e-06
43,0.98689,0.993401,1.19812e-05
44,0.98689,0.993401,1.19812e-05
45,0.98689,0.993401,1.19812e-05
46,0.986466,0.993185,6.09448e-06
47,0.98555,0.992721,-9.00643e-06
48,0.984626,0.99225,-8.18828e-06
49,0.984626,0.99225,-8.18828e-06
50,0.984626,0.99225,-8.18828e-06
51,0.984626,0.99225,-8.18828e-06
52,0.984626,0.99225,-8.18828e-06
53,0.983661,0.99176,2.8066e-05
54,0.98145,0.990636,-7.12514e-06
55,0.981368,0.990595,2.90239e-05
56,0.980274,0.990033,1.85203e-05
57,0.978379,0.989068,2.94977e-05
58,0.978379,0.989068,2.94977e-05
59,0.978778,0.989271,7.57448e-06
60,0.978462,0.989109,3.42971e-05
61,0.975605,0.987644,2.7069e-05
62,0.975605,0.987644,2.7069e-05
63,0.975605,0.987644,2.7069e-05
64,0.975605,0.987644,2.7069e-05
65,0.97471,0.987189,9.60866e-05
66,0.97471,0.987189,9.60866e-05
67,0.975217,0.987451,6.68439e-06
68,0.975217,0.987451,6.68439e-06
69,0.970574,0.985061,-1.35157e-05
70,0.970574,0.985061,-1.35157e-05
71,0.973336,0.98648,-1.04053e-05
72,0.967273,0.983352,-4.92177e-05
73,0.967364,0.983397,-8.04971e-05
74,0.965436,0.982393,6.96237e-06
75,0.965436,0.982393,6.96237e-06
76,0.965436,0.982393,6.96237e-06
77,0.965436,0.982393,6.96237e-06
78,0.963621,0.981445,2.37721e-05
79,0.960092,0.97962,-6.53016e-05
80,0.958081,0.978573,-2.72938e-05
81,0.959303,0.9792,-9.38958e-05
82,0.960028,0.979584,-4.77134e-05
83,0.955623,0.977268,1.69079e-05
84,0.955623,0.977268,1.69079e-05
85,0.951567,0.975136,-2.19236e-05
86,0.950267,0.97443,7.79972e-05
87,0.947553,0.972989,7.04452e-05
88,0.945469,0.971928,2.31595e-05
89,0.943914,0.971074,3.9398e-06
90,0.946319,0.972347,2.62655e-05
91,0.946022,0.972159,-3.62198e-05
92,0.943856,0.971017,1.78723e-05
93,0.940967,0.969452,2.14486e-05
94,0.941712,0.969835,-6.4593e-05
95,0.941712,0.969835,-6.4593e-05
96,0.937945,0.967874,-9.08086e-06
97,0.937945,0.967874,-9.08086e-06
98,0.932715,0.964995,-6.03441e-05
99,0.92811,0.962406,-3.37019e-05
100,0.92811,0.962406,-3.37019e-05
101,0.92811,0.962406,-3.37019e-05
102,0.92811,0.962406,-3.37019e-05
103,0.92811,0.962406,-3.37019e-05
