T,G,F
1,0.01808,0.02847
2,0.01382,0.026
3,0.01377,0.02593
4,0.01377,0.02597
5,0.01376,0.02599
6,0.01376,0.02596
7,0.01378,0.02594
8,0.01375,0.02591
9,0.01375,0.02591
10,0.01379,0.02595
11,0.01375,0.02591
12,0.01377,0.0259
13,0.01375,0.02592
14,0.01376,0.0259
15,0.01377,0.02584
16,0.01374,0.02593
17,0.01381,0.02589
18,0.01382,0.02583
19,0.01382,0.02595
20,0.01377,0.02592
21,0.0138,0.02588
22,0.01375,0.02595
23,0.01376,0.02594
24,0.01376,0.02589
25,0.01384,0.02591
26,0.01377,0.02591
27,0.01378,0.02589
28,0.01382,0.02586
29,0.01383,0.02581
30,0.0138,0.02582
31,0.01386,0.02577
32,0.01386,0.02578
33,0.01383,0.02585
34,0.01386,0.02577
35,0.01388,0.02566
36,0.01392,0.02569
37,0.01392,0.02568
38,0.01391,0.02575
39,0.01395,0.02562
40,0.01395,0.0256
41,0.01395,0.02567
42,0.01395,0.02563
43,0.01394,0.02561
44,0.01393,0.02562
45,0.01393,0.02562
46,0.01392,0.02559
47,0.01393,0.02559
48,0.01395,0.02552
49,0.01401,0.02553
50,0.01404,0.02556
51,0.01399,0.02549
52,0.014,0.02552
53,0.01396,0.0255
54,0.01404,0.0255
55,0.01403,0.02538
56,0.01407,0.02537
57,0.0141,0.02528
58,0.01412,0.02532
59,0.01407,0.02535
60,0.01408,0.02534
61,0.01413,0.02533
62,0.01417,0.02523
63,0.01419,0.02519
64,0.01416,0.0252
65,0.01415,0.02523
66,0.01418,0.02522
67,0.01412,0.02515
68,0.01418,0.02523
69,0.01422,0.02524
70,0.01421,0.02507
71,0.01421,0.02514
72,0.01424,0.0252
73,0.01423,0.02501
74,0.01427,0.02502
75,0.01434,0.02499
76,0.01429,0.02494
77,0.0143,0.02499
78,0.0143,0.02497
79,0.01433,0.02493
80,0.01436,0.02489
81,0.01435,0.02489
82,0.01433,0.02486
83,0.01436,0.02488
84,0.0144,0.0248
85,0.01442,0.0248
86,0.01442,0.02477
87,0.01444,0.02479
88,0.01447,0.02466
89,0.01446,0.02466
90,0.01448,0.02464
91,0.01448,0.02468
92,0.01446,0.02465
93,0.01446,0.0246
94,0.01449,0.02457
95,0.01452,0.02458
96,0.01451,0.02461
97,0.01457,0.02459
98,0.01454,0.02457
99,0.01459,0.02456
100,0.01459,0.02445
101,0.01461,0.02449
102,0.01459,0.02453
103,0.01459,0.02447
104,0.0146,0.02454
105,0.01456,0.0245
106,0.01463,0.02446
107,0.01459,0.0246
108,0.01459,0.02457
109,0.01459,0.0246
110,0.01456,0.02453
111,0.01459,0.02453
112,0.01463,0.02455
113,0.0146,0.02456
