ReTr(Ly),ImTr(Ly)
0.097136,0.124518
0.108911,0.123894
0.108911,0.123894
0.108911,0.123894
0.108911,0.123894
0.108911,0.123894
0.108911,0.123894
0.108911,0.123894
0.108911,0.123894
0.108911,0.123894
0.110956,0.189281
0.110956,0.189281
0.110956,0.189281
0.0530549,0.171619
0.0633049,0.106997
0.0633049,0.106997
0.0633049,0.106997
0.0633049,0.106997
0.0633049,0.106997
0.0633049,0.106997
0.0633049,0.106997
0.0299835,0.0917711
0.0299835,0.0917711
0.0402376,0.0661998
0.0402376,0.0661998
0.0402376,0.0661998
0.00654719,0.0627466
-0.00275619,0.0218605
-0.00275619,0.0218605
0.0272468,0.0368767
0.0272468,0.0368767
0.0272468,0.0368767
0.0363472,-0.0262944
0.03681,-0.0168696
0.0192755,-0.0201136
0.0192755,-0.0201136
0.0192755,-0.0201136
0.0341271,-0.0341824
0.0837564,-0.0296745
0.0837564,-0.0296745
0.0837564,-0.0296745
0.0837564,-0.0296745
0.0874754,0.0670463
0.0874754,0.0670463
0.0874754,0.0670463
0.0495504,0.101429
0.0307928,0.0760875
0.00863606,0.0993524
0.00863606,0.0993524
0.00863606,0.0993524
0.00863606,0.0993524
0.00863606,0.0993524
-0.000119971,0.114922
-0.0566567,0.114726
-0.0491094,0.0908145
0.00355791,0.040365
-0.00907755,0.0511035
-0.00907755,0.0511035
-0.0177325,0.0344421
0.0144478,0.116567
-0.0803294,0.108922
-0.0803294,0.108922
-0.0803294,0.108922
-0.0803294,0.108922
-0.0950857,0.0750813
-0.0950857,0.0750813
-0.0663404,0.0710354
-0.0663404,0.0710354
-0.0544366,0.119612
-0.0544366,0.119612
-0.078118,0.0414811
-0.123221,0.0673347
-0.0992627,0.0648902
-0.0363417,0.0100296
-0.0363417,0.0100296
-0.0363417,0.0100296
-0.0363417,0.0100296
-0.0172695,0.0242539
0.0229803,-0.0159733
-0.00516618,0.020453
-0.0229474,-0.00422578
0.0256173,0.0153867
-0.005243,0.05859
-0.005243,0.05859
-0.0189011,0.04899
-0.0575226,0.00373531
-0.0579107,0.0306201
-0.0458566,-0.0394324
-0.016771,-0.01046
-0.0776287,0.0460166
-0.0361349,0.0246229
-0.0785732,-0.065418
-0.0446674,0.0552625
-0.050628,0.0479541
-0.050628,0.0479541
-0.0198868,-0.0587894
-0.0198868,-0.0587894
0.008906,-0.0607528
0.0362727,0.00350773
0.0362727,0.00350773
0.0362727,0.00350773
0.0362727,0.00350773
0.0362727,0.00350773
0.0362727,0.00350773
0.0587143,0.0218861
0.0587143,0.0218861
-0.0633612,0.0492718
-0.0682814,0.039921
-0.0682814,0.039921
-0.0399544,0.0168937
-0.077396,0.0335994
-0.043822,-0.010063
-0.043822,-0.010063
-0.043822,-0.010063
-0.043822,-0.010063
-0.0851296,-0.0236929
-0.0847509,-0.0200291
-0.0847509,-0.0200291
-0.0546274,0.027509
-0.0548245,0.0392402
-0.0511305,0.0510819
-0.0356964,0.063653
-0.0356964,0.063653
-0.0580495,0.00199112
-0.061542,-0.00807766
-0.05213,-0.033878
-0.0447111,-0.0344444
-0.100324,-0.0198705
-0.0927849,-0.00324334
-0.0442579,0.00808091
-0.0835435,0.02276
-0.0457129,-0.0567335
-0.0457129,-0.0567335
0.0100848,-0.056771
-0.0345227,-0.0307068
-0.0205365,0.0171175
-0.0494099,0.0149671
-0.0494099,0.0149671
-0.0494099,0.0149671
0.0198185,0.0330235
-0.00903825,0.00196422
0.0160533,0.00540758
-0.0223906,-0.000392194
0.0372292,-0.0118882
0.0372292,-0.0118882
0.0372292,-0.0118882
-0.0524563,-0.00619854
-0.0581119,-0.0207144
-0.0581119,-0.0207144
-0.00839919,-0.0150445
-0.0116823,-0.043446
-0.0307418,-0.000989076
-0.00696581,-0.0142948
0.0140559,0.0138956
0.0125596,0.0119555
0.0125596,0.0119555
0.0125596,0.0119555
0.0125596,0.0119555
-0.0597125,0.0152368
-0.0390469,0.0421941
-0.0306941,0.031994
-0.015804,0.0425986
0.00250641,0.0436851
0.027861,-0.0101902
0.00616619,-0.0157739
0.035523,-0.0738925
0.030626,-0.0308634
0.0412811,-0.01789
-0.0036589,-0.0554435
-0.0127744,-0.0134476
0.0150119,-0.0336779
0.00740921,-0.0356327
-0.0210725,0.01608
-0.0114228,-0.0163396
-0.00616,-0.0119559
-0.00135892,0.013843
0.00651528,-0.0127971
-0.0118064,0.000564375
-0.00332891,0.00569114
-0.00332891,0.00569114
-0.00332891,0.00569114
-0.00332891,0.00569114
-0.00332891,0.00569114
-0.00332891,0.00569114
-0.00332891,0.00569114
-0.00332891,0.00569114
-0.001169,4.89283e-05
-0.001169,4.89283e-05
-0.001169,4.89283e-05
-0.001169,4.89283e-05
-0.001169,4.89294e-05
0.00680507,0.0143421
0.00680507,0.0143421
0.00680507,0.0143421
0.00680507,0.0143421
0.00680507,0.0143421
0.00680507,0.0143421
0.00680507,0.0143421
0.00680507,0.0143421
0.00680507,0.0143421
0.00680507,0.0143421
0.00680507,0.0143421
0.00680507,0.0143421
0.00680507,0.0143421
0.00680507,0.0143421
0.00680507,0.0143421
0.00680507,0.0143421
0.00680507,0.0143421
0.00680507,0.0143421
0.00680507,0.0143421
0.00680507,0.0143421
0.00680507,0.0143421
0.00680507,0.0143421
0.00680507,0.0143421
0.00680507,0.0143421
0.00680507,0.0143421
0.00680507,0.0143421
0.00680507,0.0143421
0.00680507,0.0143421
0.00680507,0.0143421
0.00680507,0.0143421
0.00680507,0.0143421
0.00680507,0.0143421
0.00680507,0.0143421
0.00680507,0.0143421
0.00680507,0.0143421
0.00680507,0.0143421
0.00680507,0.0143421
