ReTr(Ly),ImTr(Ly)
0.0112966,0.00325098
0.00985088,0.00470879
0.00985088,0.00470879
0.00985088,0.00470879
0.00985088,0.00470879
0.00985088,0.00470879
0.00985088,0.00470879
0.00985088,0.00470879
0.00985088,0.00470879
0.00985088,0.00470879
0.00812161,0.00771694
0.00812161,0.00771694
0.00812161,0.00771694
0.00723993,0.0059782
0.00525137,0.00182953
0.00525137,0.00182953
0.00525137,0.00182953
0.00525137,0.00182953
0.00525137,0.00182953
0.00525137,0.00182953
0.00525137,0.00182953
0.00260001,0.000178119
0.00260001,0.000178119
0.0048929,-0.000981824
0.0048929,-0.000981824
0.0048929,-0.000981824
0.000213445,0.00195295
0.00206521,-3.0271e-05
0.00206521,-3.0271e-05
0.00432089,0.0019755
0.00432089,0.0019755
0.00432089,0.0019755
0.00673595,0.000108925
0.00526639,-0.00294089
0.00879923,-7.57253e-05
0.00879923,-7.57253e-05
0.00879923,-7.57253e-05
0.00994254,-0.000291049
0.00736598,-0.00326117
0.00736598,-0.00326117
0.00736598,-0.00326117
0.00736598,-0.00326117
0.00632103,0.00279709
0.00632103,0.00279709
0.00632103,0.00279709
0.00379016,0.00354536
0.00438931,0.00616581
0.000564278,0.00674459
0.000564278,0.00674459
0.000564278,0.00674459
0.000564278,0.00674459
0.000564278,0.00674459
0.00173285,0.00546361
-0.00163839,0.00339181
-0.00151839,0.00182289
4.142e-05,0.00225969
-0.000743156,0.0011769
-0.000743156,0.0011769
0.000693634,0.000795816
0.00184901,0.0030297
-0.000518124,0.00381655
-0.000518124,0.00381655
-0.000518124,0.00381655
-0.000518124,0.00381655
-0.00143481,0.00316477
-0.00143481,0.00316477
-0.00102617,0.0025167
-0.00102617,0.0025167
-0.000911254,0.00331126
-0.000911254,0.00331126
-0.000757484,0.00058768
-0.000797428,0.00294299
-0.00126669,0.00215987
0.000261341,0.000368226
0.000261341,0.000368226
0.000261341,0.000368226
0.000261341,0.000368226
-1.08436e-07,0.000593984
0.0021335,0.000500034
0.000905891,0.000121554
0.000110731,0.00039522
0.000101552,-0.000427032
0.00050013,0.000526862
0.00050013,0.000526862
1.07653e-05,-3.15493e-05
-0.00079594,-0.000431674
-0.00107906,0.00012485
5.74105e-05,-0.00131555
9.66661e-05,0.000244819
-0.000579578,0.000430711
-0.000422386,-6.19704e-05
-0.00096652,-0.000413969
-0.0012627,-0.000700669
-0.000989839,0.000107234
-0.000989839,0.000107234
-0.000818667,-0.0023122
-0.000818667,-0.0023122
0.000722155,-0.00175575
0.000513007,-0.000321208
0.000513007,-0.000321208
0.000513007,-0.000321208
0.000513007,-0.000321208
0.000513007,-0.000321208
0.000513007,-0.000321208
0.000403514,-0.000380184
0.000403514,-0.000380184
-9.54835e-06,0.000152808
-0.000169489,0.000540891
-0.000169489,0.000540891
0.000217649,0.000202994
-0.00042923,0.000848732
-0.00030809,0.000840542
-0.00030809,0.000840542
-0.00030809,0.000840542
-0.00030809,0.000840542
-0.00140535,0.0007466
-0.000880058,0.000253936
-0.000880058,0.000253936
-0.000743079,0.000267626
-0.000868012,0.000273751
-0.0016959,0.00100351
-0.0009573,0.000920986
-0.0009573,0.000920986
-6.92294e-05,-2.26967e-05
-0.000560896,-0.00026737
-0.00151859,-0.000756786
-0.000787189,-0.000240667
-0.0010411,-3.01395e-05
-0.0011629,-9.59779e-05
-0.000797711,0.000353697
-0.000536171,0.000406511
-0.00024972,-0.000403278
-0.00024972,-0.000403278
-0.000247299,-0.000869316
-0.000398051,-0.00029344
0.000191376,8.21624e-05
-0.000386379,-0.000184534
-0.000386379,-0.000184534
-0.000386379,-0.000184534
5.78376e-05,7.11911e-05
0.000121887,-9.89011e-06
0.000144365,2.23224e-05
-0.000264899,-0.000296865
-4.33048e-05,1.58591e-05
-4.33048e-05,1.58591e-05
-4.33048e-05,1.58591e-05
-0.000130361,-2.36789e-05
-4.07496e-05,6.36911e-05
-4.07496e-05,6.36911e-05
-3.65546e-06,-0.00024784
0.00021021,-0.000405641
-0.00011825,-1.43815e-06
-0.000152828,-0.000111488
1.8724e-05,3.28026e-05
0.00018615,8.19292e-05
0.00018615,8.19292e-05
0.00018615,8.19292e-05
0.00018615,8.19292e-05
-8.59288e-05,0.000265932
-0.000114936,0.000180212
-1.7333e-05,7.16449e-05
-9.59385e-06,0.000130587
-5.80715e-05,0.000209938
2.34031e-05,1.59085e-06
6.73309e-06,-5.64621e-05
9.05958e-06,-0.000121901
7.23698e-06,-2.46414e-05
3.57526e-05,-1.92031e-05
3.1665e-06,-1.68769e-05
2.12956e-06,-1.38398e-05
3.99454e-07,5.97934e-06
-4.82149e-06,-9.43576e-06
-1.26999e-06,-1.67024e-06
-3.50769e-06,2.98785e-07
6.94719e-07,-4.89754e-06
-6.12436e-07,-1.41551e-08
1.46366e-07,-6.39046e-07
1.34985e-07,4.16769e-08
-4.28166e-08,1.30103e-08
-4.28166e-08,1.30103e-08
-4.28166e-08,1.30103e-08
-4.28166e-08,1.30103e-08
-4.28166e-08,1.30103e-08
-4.28166e-08,1.30103e-08
-4.28166e-08,1.30103e-08
-4.28166e-08,1.30103e-08
-3.59457e-09,-1.52789e-08
-3.59457e-09,-1.52789e-08
-3.59457e-09,-1.52789e-08
-3.59457e-09,-1.52789e-08
-3.59457e-09,-1.52789e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
-1.70626e-08,3.82411e-08
8.98391e-09,-9.24827e-09
8.98391e-09,-9.24827e-09
8.98391e-09,-9.24827e-09
8.98393e-09,-9.24827e-09
8.98393e-09,-9.24827e-09
8.98393e-09,-9.24827e-09
8.98393e-09,-9.24827e-09
8.98393e-09,-9.24827e-09
8.98393e-09,-9.24827e-09
8.98393e-09,-9.24827e-09
8.98393e-09,-9.24827e-09
8.98393e-09,-9.24827e-09
8.98393e-09,-9.24827e-09
8.98393e-09,-9.24827e-09
1.36134e-08,-1.39245e-08
1.36134e-08,-1.39245e-08
1.36134e-08,-1.39245e-08
1.36134e-08,-1.39245e-08
1.36134e-08,-1.39245e-08
1.36134e-08,-1.39245e-08
1.36134e-08,-1.39245e-08
1.36134e-08,-1.39245e-08
1.36134e-08,-1.39245e-08
1.36134e-08,-1.39245e-08
1.36134e-08,-1.39245e-08
1.36134e-08,-1.39245e-08
1.36134e-08,-1.39245e-08
1.36134e-08,-1.39245e-08
1.36134e-08,-1.39245e-08
1.36134e-08,-1.39245e-08
1.36134e-08,-1.39245e-08
1.36134e-08,-1.39245e-08
-2.6889e-08,3.00099e-08
-2.6889e-08,3.00099e-08
-2.6889e-08,3.00099e-08
-2.6889e-08,3.00099e-08
-2.6889e-08,3.00099e-08
-2.6889e-08,3.00099e-08
-2.6889e-08,3.00099e-08
-2.6889e-08,3.00099e-08
-2.6889e-08,3.00099e-08
-2.6889e-08,3.00099e-08
-2.6889e-08,3.00099e-08
1.78754e-08,8.52901e-09
1.78754e-08,8.52901e-09
1.78754e-08,8.52901e-09
1.78754e-08,8.52901e-09
1.78754e-08,8.52901e-09
-2.7618e-08,-3.94461e-09
-2.7618e-08,-3.94461e-09
-2.7618e-08,-3.94461e-09
-2.7618e-08,-3.94461e-09
-2.7618e-08,-3.94461e-09
-2.7618e-08,-3.94461e-09
-2.7618e-08,-3.94461e-09
-2.7618e-08,-3.94461e-09
-2.7618e-08,-3.94461e-09
-2.7618e-08,-3.94461e-09
-2.7618e-08,-3.94461e-09
-2.7618e-08,-3.94461e-09
-2.7618e-08,-3.94461e-09
-2.7618e-08,-3.94461e-09
-2.7618e-08,-3.94461e-09
-1.65757e-08,-1.88205e-08
-1.65757e-08,-1.88205e-08
-1.65757e-08,-1.88205e-08
-1.65757e-08,-1.88205e-08
-1.65757e-08,-1.88205e-08
-1.65757e-08,-1.88205e-08
-1.65757e-08,-1.88205e-08
-1.65757e-08,-1.88205e-08
-1.65757e-08,-1.88205e-08
-1.65757e-08,-1.88205e-08
-1.65757e-08,-1.88205e-08
-1.65757e-08,-1.88205e-08
-1.65757e-08,-1.88205e-08
-1.65757e-08,-1.88205e-08
9.33695e-09,-1.70377e-08
9.33695e-09,-1.70377e-08
-2.93457e-08,-5.2447e-09
-2.93457e-08,-5.2447e-09
-2.93457e-08,-5.2447e-09
-2.93457e-08,-5.2447e-09
-2.93457e-08,-5.2447e-09
-2.93457e-08,-5.2447e-09
-2.93457e-08,-5.2447e-09
-2.93457e-08,-5.2447e-09
-2.93457e-08,-5.2447e-09
-2.93457e-08,-5.2447e-09
-2.93457e-08,-5.2447e-09
-2.93457e-08,-5.2447e-09
-2.93457e-08,-5.2447e-09
-2.93457e-08,-5.2447e-09
-2.93457e-08,-5.2447e-09
-2.93457e-08,-5.2447e-09
-2.93457e-08,-5.2447e-09
-2.93457e-08,-5.2447e-09
-2.93457e-08,-5.2447e-09
-2.03492e-08,-9.46427e-09
-3.07469e-08,1.13464e-08
-3.07469e-08,1.13464e-08
-1.29596e-09,1.50341e-08
-1.29596e-09,1.50341e-08
-1.29596e-09,1.50341e-08
-1.29596e-09,1.50341e-08
-1.29596e-09,1.50341e-08
-1.29596e-09,1.50341e-08
-1.29596e-09,1.50341e-08
-1.14875e-08,3.89845e-09
-1.14875e-08,3.89845e-09
-1.14875e-08,3.89845e-09
-1.14875e-08,3.89845e-09
-1.14875e-08,3.89845e-09
2.9924e-09,-4.14243e-08
2.9924e-09,-4.14243e-08
2.9924e-09,-4.14243e-08
2.9924e-09,-4.14243e-08
2.9924e-09,-4.14243e-08
2.9924e-09,-4.14243e-08
2.9924e-09,-4.14243e-08
2.9924e-09,-4.14243e-08
2.9924e-09,-4.14243e-08
-1.44452e-08,-1.64348e-08
6.48581e-10,3.15866e-09
6.48581e-10,3.15866e-09
6.48581e-10,3.15866e-09
6.48581e-10,3.15866e-09
6.48581e-10,3.15866e-09
6.48581e-10,3.15866e-09
6.48581e-10,3.15866e-09
6.48581e-10,3.15866e-09
6.48581e-10,3.15866e-09
6.48581e-10,3.15866e-09
6.48583e-10,3.15866e-09
6.48583e-10,3.15866e-09
6.48583e-10,3.15866e-09
1.00238e-08,-1.26607e-08
1.00238e-08,-1.26607e-08
1.00238e-08,-1.26607e-08
1.00238e-08,-1.26607e-08
-7.07191e-10,-6.42435e-09
-7.07191e-10,-6.42435e-09
-4.33846e-09,7.2336e-09
5.08921e-09,2.55886e-09
-8.81547e-10,1.00486e-08
8.11619e-09,-3.14525e-09
8.11619e-09,-3.14525e-09
8.11619e-09,-3.14525e-09
8.11619e-09,-3.14525e-09
8.11619e-09,-3.14525e-09
1.40276e-08,-6.69744e-09
1.40276e-08,-6.69744e-09
-6.33306e-09,-2.45712e-08
-2.0247e-08,8.99144e-09
-2.0247e-08,8.99144e-09
-7.07389e-09,-1.151e-08
-7.07389e-09,-1.151e-08
9.68996e-09,-1.35941e-09
9.68996e-09,-1.35941e-09
7.93404e-09,-1.05852e-08
5.9071e-09,3.6536e-09
2.96755e-09,-3.90375e-09
-4.85951e-09,-1.33901e-09
6.67465e-09,-1.11436e-09
6.67465e-09,-1.11436e-09
6.67465e-09,-1.11436e-09
4.77351e-09,-2.00651e-09
4.77351e-09,-2.00651e-09
4.77351e-09,-2.00651e-09
4.24461e-09,1.12175e-08
4.24461e-09,1.12175e-08
-1.01085e-08,-1.03847e-09
6.43686e-09,1.1331e-08
6.43686e-09,1.1331e-08
6.43686e-09,1.1331e-08
-3.22469e-09,-8.63873e-10
-3.22469e-09,-8.63873e-10
-3.22469e-09,-8.63873e-10
-6.97621e-09,3.3327e-09
-6.97621e-09,3.3327e-09
-1.10327e-08,-8.25329e-09
-1.10327e-08,-8.25329e-09
-1.10327e-08,-8.25329e-09
5.06385e-09,-1.46863e-08
-4.5544e-09,9.76801e-09
-4.5544e-09,9.76801e-09
-4.5544e-09,9.76801e-09
-4.5544e-09,9.76801e-09
1.16234e-09,4.99784e-09
1.16234e-09,4.99784e-09
-2.08719e-08,-3.3028e-09
-1.62271e-09,2.51378e-09
2.06406e-09,-4.04338e-10
1.53657e-08,-7.00426e-09
