MDTU,|Tr(Lx)|,|Tr(Ly)|
1,0.0686014,0.15936
2,0.0686014,0.15936
3,0.0686014,0.15936
4,0.0686014,0.15936
5,0.0686014,0.15936
6,0.105473,0.130152
7,0.105473,0.130152
8,0.105473,0.130152
9,0.134321,0.0790932
10,0.165436,0.120671
11,0.165436,0.120671
12,0.165436,0.120671
13,0.165436,0.120671
14,0.215701,0.115734
15,0.215701,0.115734
16,0.215701,0.115734
17,0.215701,0.115734
18,0.214399,0.0757429
19,0.214399,0.0757429
20,0.214399,0.0757429
21,0.214399,0.0757429
22,0.214399,0.0757429
23,0.214399,0.0757429
24,0.214399,0.0757429
25,0.214399,0.0757429
26,0.214399,0.0757429
27,0.18803,0.0213282
28,0.18803,0.0213282
29,0.18803,0.0213282
30,0.18803,0.0213282
31,0.18803,0.0213282
32,0.18803,0.0213282
33,0.193349,0.00352821
34,0.179987,0.00717281
35,0.179987,0.00717281
36,0.179987,0.00717281
37,0.179987,0.00717281
38,0.179987,0.00717281
39,0.179987,0.00717281
40,0.113426,0.0426436
41,0.113426,0.0426436
42,0.113426,0.0426436
43,0.113426,0.0426436
44,0.113426,0.0426436
45,0.113426,0.0426436
46,0.116593,0.0430531
47,0.116593,0.0430531
48,0.0703722,0.0775302
49,0.0703722,0.0775302
50,0.0278467,0.0898268
51,0.0444849,0.125345
52,0.0444849,0.125345
53,0.112286,0.0903679
54,0.112286,0.0903679
55,0.0891898,0.0944576
56,0.0422184,0.0654198
57,0.0436435,0.147334
58,0.0436435,0.147334
59,0.0251505,0.0686513
60,0.0519642,0.106853
61,0.0742135,0.0955278
62,0.0548249,0.124833
63,0.0548249,0.124833
64,0.0548249,0.124833
65,0.0548249,0.124833
66,0.0548249,0.124833
67,0.0548249,0.124833
68,0.0548249,0.124833
69,0.0548249,0.124833
70,0.0548249,0.124833
71,0.0547202,0.167581
72,0.0953595,0.0687297
73,0.0733738,0.00299719
74,0.0733738,0.00299719
75,0.0733738,0.00299719
76,0.108088,0.0445491
77,0.108088,0.0445491
78,0.0432001,0.0520228
79,0.0666807,0.0568016
80,0.077929,0.0537637
81,0.077929,0.0537637
82,0.103535,0.0606022
83,0.155178,0.0499303
84,0.0969502,0.0192959
85,0.0771921,0.0768368
86,0.0771921,0.0768368
87,0.0771921,0.0768368
88,0.0879168,0.110821
89,0.0879168,0.110821
90,0.0879168,0.110821
91,0.0899798,0.115223
92,0.0126004,0.107044
93,0.0797893,0.0873826
94,0.0707205,0.0862878
95,0.0707205,0.0862878
96,0.0924976,0.0867766
97,0.0924976,0.0867766
98,0.0705303,0.107852
99,0.0705303,0.107852
100,0.0705303,0.107852
101,0.0705303,0.107852
102,0.0705303,0.107852
103,0.0705303,0.107852
104,0.0705303,0.107852
105,0.0108719,0.10653
106,0.0108719,0.10653
107,0.0281103,0.0911086
108,0.0238851,0.045795
109,0.0380964,0.0850033
110,0.0873016,0.0461351
111,0.0676099,0.0661074
112,0.0755892,0.102224
113,0.0755892,0.102224
114,0.0755892,0.102224
115,0.0472154,0.0815484
116,0.065273,0.0816106
117,0.065273,0.0816106
118,0.065273,0.0816106
119,0.0898298,0.154946
120,0.0898298,0.154946
121,0.14105,0.0940706
122,0.126493,0.139995
123,0.126493,0.139995
124,0.126493,0.139995
125,0.182748,0.130004
126,0.182748,0.130004
127,0.125459,0.098324
128,0.125459,0.098324
129,0.0870213,0.0944586
130,0.0870213,0.0944586
131,0.100638,0.0600276
132,0.152753,0.0632771
133,0.152753,0.0632771
134,0.104007,0.0500566
135,0.113935,0.0297305
136,0.0788886,0.0126215
137,0.0788886,0.0126215
138,0.0788886,0.0126215
139,0.0788886,0.0126215
140,0.103808,0.0371157
141,0.100039,0.0205107
142,0.144283,0.0849798
143,0.184757,0.0169328
144,0.15402,0.0620021
145,0.15402,0.0620021
146,0.15402,0.0620021
147,0.199075,0.0665074
148,0.199075,0.0665074
149,0.195835,0.0770001
150,0.232321,0.0308989
151,0.232321,0.0308989
152,0.174928,0.0851645
153,0.174928,0.0851645
154,0.174928,0.0851645
155,0.193039,0.0452707
156,0.193039,0.0452707
157,0.193039,0.0452707
158,0.193039,0.0452707
159,0.193039,0.0452707
160,0.193039,0.0452707
161,0.132491,0.05199
162,0.132491,0.05199
163,0.132491,0.05199
164,0.165245,0.116373
165,0.184809,0.0247054
166,0.184809,0.0247054
167,0.173367,0.0789299
168,0.173367,0.0789299
169,0.217451,0.122424
170,0.226685,0.0956641
171,0.112228,0.138652
172,0.112228,0.138652
173,0.112228,0.138652
174,0.112228,0.138652
175,0.159584,0.161372
176,0.125916,0.210257
177,0.125916,0.210257
178,0.1028,0.198551
179,0.1028,0.198551
180,0.1028,0.198551
181,0.111986,0.15276
182,0.111986,0.15276
183,0.111986,0.15276
184,0.111986,0.15276
185,0.111986,0.15276
186,0.100622,0.122423
187,0.130095,0.0916077
188,0.0872308,0.101197
189,0.0744432,0.0735218
190,0.0744432,0.0735218
191,0.104883,0.0719316
192,0.0960618,0.0461049
193,0.131224,0.0447101
194,0.0872408,0.0588589
195,0.114491,0.0529661
196,0.114491,0.0529661
197,0.155096,0.0824123
198,0.197186,0.119143
199,0.165819,0.144694
200,0.217254,0.200425
201,0.217254,0.200425
202,0.172059,0.166407
203,0.136232,0.131258
204,0.125531,0.164995
205,0.125531,0.164995
206,0.125531,0.164995
207,0.0908678,0.101982
208,0.120867,0.153075
209,0.120867,0.153075
210,0.120867,0.153075
211,0.135763,0.0918504
212,0.135763,0.0918504
213,0.135763,0.0918504
214,0.135763,0.0918504
215,0.120234,0.139253
216,0.164801,0.101352
217,0.152633,0.187302
218,0.103613,0.16292
219,0.105253,0.154258
220,0.079767,0.188209
221,0.0756194,0.156701
222,0.0577608,0.138346
223,0.0577608,0.138346
224,0.110916,0.126917
225,0.113357,0.103343
226,0.0677199,0.101034
227,0.094672,0.107304
228,0.094672,0.107304
229,0.0938382,0.0980673
230,0.051313,0.0581499
231,0.051313,0.0581499
232,0.051313,0.0581499
233,0.0659395,0.178506
234,0.0658652,0.259519
235,0.0616252,0.241657
236,0.0145635,0.233898
237,0.0593676,0.256914
238,0.0593676,0.256914
239,0.0535193,0.274806
240,0.0314887,0.294436
241,0.051897,0.315786
242,0.051897,0.315786
243,0.0816577,0.177624
244,0.0816577,0.177624
245,0.0816577,0.177624
246,0.0816577,0.177624
247,0.0874653,0.219752
248,0.0874653,0.219752
249,0.0993787,0.195373
250,0.0993787,0.195373
251,0.0993787,0.195373
252,0.0993787,0.195373
253,0.0790093,0.182821
254,0.0790093,0.182821
255,0.0790093,0.182821
256,0.0722477,0.131396
257,0.0992769,0.162885
258,0.0666295,0.145488
259,0.0510682,0.169556
260,0.0310265,0.144332
261,0.0468149,0.168512
262,0.0375976,0.165448
263,0.0266546,0.228518
264,0.0266546,0.228518
265,0.0266546,0.228518
266,0.0639152,0.241945
267,0.0639152,0.241945
268,0.10025,0.198639
269,0.10025,0.198639
270,0.10025,0.198639
271,0.10025,0.198639
272,0.10025,0.198639
273,0.128155,0.174843
274,0.144311,0.225784
275,0.134156,0.273465
276,0.166153,0.220069
277,0.205773,0.214044
278,0.198766,0.249424
279,0.215919,0.23424
280,0.243908,0.235811
281,0.243908,0.235811
282,0.247894,0.178902
283,0.247894,0.178902
284,0.263687,0.18777
285,0.206378,0.205268
286,0.18516,0.264352
287,0.18516,0.264352
288,0.18516,0.264352
289,0.158475,0.293251
290,0.110172,0.286542
291,0.110172,0.286542
292,0.14101,0.19487
293,0.179813,0.232189
294,0.138925,0.264043
295,0.138925,0.264043
296,0.129364,0.283788
297,0.125446,0.258104
298,0.169238,0.228716
299,0.128856,0.260708
300,0.128856,0.260708
301,0.104532,0.355561
302,0.118443,0.358849
303,0.0307749,0.299198
304,0.0262467,0.288861
305,0.10105,0.27499
306,0.151962,0.242946
307,0.144503,0.272742
308,0.144503,0.272742
309,0.178507,0.24907
310,0.161166,0.190158
311,0.161165,0.190158
312,0.161165,0.190158
313,0.123905,0.134333
314,0.158526,0.148376
315,0.184281,0.149936
316,0.184281,0.149936
317,0.184281,0.149936
318,0.163575,0.154933
319,0.123246,0.16231
