MDTU,|Tr(Lx)|,|Tr(Ly)|
1,0.00182192,0.00890481
2,0.00182192,0.00890481
3,0.00851573,0.00192111
4,0.0112673,0.00214742
5,0.00975847,0.00216307
6,0.00431358,0.00624328
7,0.00431358,0.00624328
8,0.00431358,0.00624328
9,0.00431358,0.00624328
10,0.00431358,0.00624328
11,0.00431358,0.00624328
12,0.00431358,0.00624328
13,0.00431358,0.00624328
14,0.00431358,0.00624328
15,0.00431358,0.00624328
16,0.0112609,0.0112255
17,0.0132361,0.00361077
18,0.010511,0.00481599
19,0.013674,0.0103878
20,0.013674,0.0103878
21,0.013674,0.0103878
22,0.013674,0.0103878
23,0.013674,0.0103878
24,0.0139272,0.00947768
25,0.0139272,0.00947768
26,0.00929545,0.00620621
27,0.00929545,0.00620621
28,0.0156248,0.00791473
29,0.0134344,0.00443891
30,0.0120881,0.00512118
31,0.0120881,0.00512118
32,0.0120881,0.00512118
33,0.0120881,0.00512118
34,0.0120881,0.00512118
35,0.0120881,0.00512118
36,0.0202907,0.00811664
37,0.0202907,0.00811664
38,0.0202907,0.00811664
39,0.020023,0.0120929
40,0.00326101,0.00448628
41,0.00326101,0.00448628
42,0.00326101,0.00448628
43,0.00326101,0.00448628
44,0.00326101,0.00448628
45,0.00326101,0.00448628
46,0.0096881,0.00457222
47,0.0130587,0.00467957
48,0.0144343,0.00281381
49,0.00965568,0.00767725
50,0.0134927,0.00563257
51,0.00890244,0.00243149
52,0.00890244,0.00243149
53,0.00890244,0.00243149
54,0.00890244,0.00243149
55,0.00890244,0.00243149
56,0.00890244,0.00243149
57,0.00890244,0.00243149
58,0.0118704,0.00548938
59,0.00918901,0.00357134
60,0.0146879,0.00222652
61,0.00707154,0.00226909
62,0.00707154,0.00226909
63,0.00707154,0.00226909
64,0.00707154,0.00226909
65,0.0132177,0.00138038
66,0.0132177,0.00138038
67,0.0132177,0.00138038
68,0.00564947,0.00665043
69,0.00564947,0.00665043
70,0.00569633,0.00297591
71,0.00569633,0.00297591
72,0.00715033,0.00243566
73,0.00715033,0.00243566
