MDTU,|Tr(L)|,ReTr(L),ImTr(L)
1,0.658802,-0.653552,0.0830031
2,0.658802,-0.653552,0.0830031
3,0.691654,-0.681485,0.11817
4,0.698245,-0.67939,0.161167
5,0.688889,-0.670264,0.159108
6,0.707472,-0.687061,0.16871
7,0.707472,-0.687061,0.16871
8,0.707472,-0.687061,0.16871
9,0.707472,-0.687061,0.16871
10,0.707472,-0.687061,0.16871
11,0.707472,-0.687061,0.16871
12,0.707472,-0.687061,0.16871
13,0.707472,-0.687061,0.16871
14,0.707472,-0.687061,0.16871
15,0.707472,-0.687061,0.16871
16,0.708464,-0.679558,0.200307
17,0.696969,-0.66968,0.193119
18,0.710434,-0.676673,0.216405
19,0.709441,-0.678976,0.205665
20,0.709441,-0.678976,0.205665
21,0.709441,-0.678976,0.205665
22,0.709441,-0.678976,0.205665
23,0.709441,-0.678976,0.205665
24,0.711844,-0.687609,0.184165
25,0.711844,-0.687609,0.184165
26,0.71571,-0.676785,0.232814
27,0.71571,-0.676785,0.232814
28,0.713711,-0.687045,0.193268
29,0.71379,-0.690623,0.180381
30,0.716166,-0.699206,0.154934
31,0.716166,-0.699206,0.154934
32,0.716166,-0.699206,0.154934
33,0.716166,-0.699206,0.154934
34,0.716166,-0.699206,0.154934
35,0.716166,-0.699206,0.154934
36,0.720854,-0.692899,0.1988
37,0.720854,-0.692899,0.1988
38,0.720854,-0.692899,0.1988
39,0.722991,-0.693156,0.205547
40,0.717745,-0.688242,0.203665
41,0.717745,-0.688242,0.203665
42,0.717745,-0.688242,0.203665
43,0.717745,-0.688242,0.203665
44,0.717745,-0.688242,0.203665
45,0.717745,-0.688242,0.203665
46,0.727674,-0.69766,0.206833
47,0.729198,-0.701292,0.199797
48,0.725441,-0.689854,0.224426
49,0.719273,-0.685509,0.217789
50,0.723452,-0.692619,0.208956
51,0.734181,-0.705527,0.203107
52,0.734181,-0.705527,0.203107
53,0.734181,-0.705527,0.203107
54,0.734181,-0.705527,0.203107
55,0.734181,-0.705527,0.203107
56,0.734181,-0.705527,0.203107
57,0.734181,-0.705527,0.203107
58,0.722992,-0.686342,0.22727
59,0.730945,-0.681693,0.263773
60,0.743363,-0.691944,0.271666
61,0.734817,-0.669921,0.301929
62,0.734817,-0.669921,0.301929
63,0.734817,-0.669921,0.301929
64,0.734817,-0.669921,0.301929
65,0.74071,-0.679459,0.294935
66,0.74071,-0.679459,0.294935
67,0.74071,-0.679459,0.294935
68,0.738252,-0.668271,0.313735
69,0.738252,-0.668271,0.313735
70,0.742579,-0.677643,0.303685
71,0.742579,-0.677643,0.303685
72,0.73021,-0.655754,0.321238
73,0.73021,-0.655754,0.321238
74,0.73021,-0.655754,0.321238
75,0.736753,-0.665914,0.31522
76,0.736753,-0.665914,0.31522
77,0.736753,-0.665914,0.31522
78,0.736753,-0.665914,0.31522
79,0.73429,-0.64595,0.349186
80,0.73429,-0.64595,0.349186
81,0.73429,-0.64595,0.349186
82,0.746775,-0.680125,0.308389
83,0.746775,-0.680125,0.308389
84,0.738758,-0.651572,0.348161
85,0.738937,-0.658741,0.334795
86,0.736601,-0.659311,0.328466
87,0.736601,-0.659311,0.328466
88,0.753367,-0.673924,0.336731
89,0.748136,-0.654909,0.361666
90,0.748136,-0.654909,0.361666
91,0.73176,-0.641641,0.351807
92,0.73176,-0.641641,0.351807
93,0.74551,-0.653552,0.358684
94,0.748201,-0.653104,0.365048
95,0.740216,-0.64881,0.356321
96,0.74447,-0.679682,0.303756
97,0.74447,-0.679682,0.303756
98,0.747564,-0.681076,0.308199
99,0.744628,-0.699495,0.255299
100,0.746187,-0.695497,0.270329
101,0.746187,-0.695497,0.270329
102,0.742391,-0.687983,0.278971
103,0.745767,-0.688983,0.285431
104,0.751892,-0.682068,0.316425
105,0.758167,-0.661105,0.371156
106,0.758167,-0.661105,0.371156
107,0.758167,-0.661105,0.371156
108,0.739909,-0.654358,0.345371
109,0.739909,-0.654358,0.345371
110,0.739909,-0.654358,0.345371
111,0.739909,-0.654358,0.345371
112,0.739909,-0.654358,0.345371
113,0.739909,-0.654358,0.345371
114,0.739909,-0.654358,0.345371
115,0.739909,-0.654358,0.345371
116,0.739909,-0.654358,0.345371
117,0.739909,-0.654358,0.345371
118,0.742101,-0.650968,0.356309
119,0.764535,-0.662386,0.381783
120,0.764535,-0.662386,0.381783
121,0.744444,-0.626955,0.401402
122,0.752205,-0.620672,0.424945
123,0.752774,-0.630652,0.41103
124,0.760299,-0.643877,0.404321
125,0.766618,-0.652378,0.402625
126,0.76012,-0.665724,0.366871
127,0.757524,-0.664186,0.36428
128,0.757524,-0.664186,0.36428
129,0.756036,-0.67029,0.349716
130,0.769452,-0.703905,0.310765
131,0.769452,-0.703905,0.310765
132,0.767476,-0.723721,0.255434
133,0.767476,-0.723721,0.255434
134,0.767476,-0.723721,0.255434
135,0.762467,-0.737812,0.192324
136,0.763246,-0.730059,0.222616
137,0.763642,-0.739659,0.189879
138,0.763642,-0.739659,0.189879
139,0.763642,-0.739659,0.189879
140,0.769207,-0.739785,0.210706
141,0.776887,-0.747246,0.212546
142,0.775686,-0.749959,0.198116
143,0.775686,-0.749959,0.198116
144,0.775686,-0.749959,0.198116
145,0.775686,-0.749959,0.198116
146,0.775686,-0.749959,0.198116
147,0.757596,-0.736618,0.177047
148,0.768101,-0.721124,0.264497
149,0.768101,-0.721124,0.264497
150,0.768101,-0.721124,0.264497
151,0.768101,-0.721124,0.264497
152,0.769576,-0.725814,0.255815
153,0.77181,-0.726199,0.261393
154,0.77181,-0.726199,0.261393
155,0.77531,-0.747162,0.207012
156,0.771681,-0.737869,0.225922
157,0.771681,-0.737869,0.225922
158,0.76069,-0.71046,0.271839
159,0.770595,-0.700429,0.321273
160,0.764758,-0.696134,0.316628
161,0.770011,-0.699995,0.320819
162,0.770011,-0.699995,0.320819
163,0.765613,-0.708611,0.289885
164,0.765613,-0.708611,0.289885
165,0.765613,-0.708611,0.289885
166,0.765613,-0.708611,0.289885
167,0.765613,-0.708611,0.289885
168,0.772738,-0.722205,0.274852
169,0.772738,-0.722205,0.274852
170,0.770937,-0.710066,0.300249
171,0.788172,-0.717961,0.325186
172,0.767732,-0.716439,0.275913
173,0.765335,-0.702435,0.303847
174,0.774738,-0.684545,0.36279
175,0.769645,-0.691669,0.337562
176,0.779464,-0.683157,0.375312
177,0.772738,-0.691492,0.344909
178,0.780057,-0.703369,0.337286
179,0.780057,-0.703369,0.337286
180,0.780057,-0.703369,0.337286
181,0.780057,-0.703369,0.337286
182,0.777793,-0.721944,0.289413
183,0.765363,-0.708154,0.290344
184,0.774161,-0.707206,0.314935
185,0.779406,-0.697377,0.348049
186,0.76758,-0.705796,0.301714
187,0.76758,-0.705796,0.301714
188,0.767774,-0.707789,0.29751
189,0.767774,-0.707789,0.29751
190,0.77817,-0.72053,0.293914
191,0.77817,-0.72053,0.293914
192,0.77817,-0.72053,0.293914
193,0.77817,-0.72053,0.293914
194,0.77013,-0.724661,0.260703
195,0.771116,-0.723119,0.267805
196,0.781842,-0.733006,0.27199
197,0.780947,-0.718895,0.30507
198,0.780947,-0.718895,0.30507
199,0.764507,-0.698411,0.310955
200,0.76326,-0.683869,0.338954
201,0.768682,-0.69015,0.338474
202,0.768682,-0.69015,0.338474
203,0.768682,-0.69015,0.338474
204,0.76664,-0.684824,0.344606
205,0.771094,-0.687063,0.350045
206,0.771094,-0.687063,0.350045
207,0.771094,-0.687063,0.350045
208,0.785498,-0.710951,0.333999
209,0.771687,-0.684603,0.356117
210,0.773889,-0.690311,0.349821
211,0.773889,-0.690311,0.349821
212,0.770739,-0.666899,0.386374
213,0.770739,-0.666899,0.386374
214,0.777424,-0.657977,0.41407
215,0.771596,-0.670477,0.381864
216,0.771596,-0.670477,0.381864
217,0.770241,-0.671605,0.377117
218,0.769626,-0.685594,0.349693
219,0.778245,-0.68406,0.371116
220,0.785717,-0.69921,0.358409
221,0.775561,-0.687099,0.359708
222,0.775561,-0.687099,0.359708
223,0.785716,-0.724616,0.303779
224,0.78159,-0.742506,0.244065
225,0.783094,-0.753241,0.214158
226,0.786918,-0.758451,0.209742
227,0.786918,-0.758451,0.209742
228,0.787627,-0.765669,0.184684
229,0.783283,-0.774685,0.11574
230,0.787543,-0.767633,0.175966
231,0.783362,-0.763845,0.173771
232,0.78422,-0.773327,0.130251
233,0.778663,-0.76887,0.123108
234,0.776103,-0.765945,0.125159
235,0.776697,-0.767515,0.119074
236,0.776697,-0.767515,0.119074
237,0.776697,-0.767515,0.119074
238,0.79378,-0.780596,0.144067
239,0.79378,-0.780596,0.144067
240,0.790896,-0.780244,0.129371
241,0.772661,-0.765687,0.103575
242,0.781116,-0.779802,0.0452827
243,0.784467,-0.783061,0.0469482
244,0.770989,-0.766332,0.0846101
245,0.781271,-0.773563,0.109481
246,0.781271,-0.773563,0.109481
247,0.773592,-0.768676,0.0870756
248,0.773592,-0.768676,0.0870756
249,0.770138,-0.765915,0.0805449
250,0.775556,-0.77352,0.0561625
251,0.776496,-0.776482,-0.00463304
