MDTU,link
1,0.846201
2,0.843095
3,0.839745
4,0.844207
5,0.844207
6,0.845283
7,0.845283
8,0.845354
9,0.845354
10,0.853478
11,0.858451
12,0.858451
13,0.859567
14,0.859567
15,0.859567
16,0.865664
17,0.868562
18,0.868562
19,0.868562
20,0.868562
21,0.868562
22,0.873384
23,0.873384
24,0.873384
25,0.876207
26,0.876207
27,0.876207
28,0.876207
29,0.876207
30,0.877133
31,0.877639
32,0.877639
33,0.877639
34,0.87991
35,0.886234
36,0.886234
37,0.885945
38,0.888078
39,0.888078
40,0.888078
41,0.888078
42,0.888078
43,0.888078
44,0.894233
45,0.896519
46,0.899751
47,0.899751
48,0.899751
49,0.901667
50,0.902584
51,0.902584
52,0.902578
53,0.898474
54,0.898474
55,0.898474
56,0.898167
57,0.898167
58,0.897374
59,0.899791
60,0.901986
61,0.90605
62,0.90897
63,0.90877
64,0.90877
65,0.90877
66,0.910859
67,0.911161
68,0.91801
69,0.91801
70,0.91801
71,0.91801
72,0.914195
73,0.914195
74,0.914195
75,0.915015
76,0.915015
77,0.912606
78,0.912606
79,0.913959
80,0.920404
81,0.919808
82,0.924301
83,0.924301
84,0.924881
85,0.924881
86,0.924881
87,0.924881
88,0.924881
89,0.924881
90,0.924557
91,0.924557
92,0.924557
93,0.924557
94,0.924557
95,0.925815
96,0.929897
97,0.929384
98,0.928356
99,0.928356
100,0.928356
101,0.934195
102,0.935193
103,0.942491
104,0.940951
105,0.941281
106,0.943996
107,0.94579
108,0.945833
109,0.945833
110,0.945835
111,0.948893
112,0.948893
113,0.947384
114,0.95081
115,0.95081
116,0.954795
117,0.959922
118,0.959922
119,0.959361
120,0.962832
121,0.95968
122,0.95968
123,0.962643
124,0.962643
125,0.959962
126,0.959188
127,0.955807
128,0.958474
129,0.958474
130,0.958474
131,0.957029
132,0.958249
133,0.958249
134,0.958249
135,0.959711
136,0.960811
137,0.9611
138,0.9611
139,0.956551
140,0.956551
141,0.960166
142,0.960698
143,0.960698
144,0.961036
145,0.957418
146,0.952486
147,0.957919
148,0.961401
149,0.961401
150,0.959561
151,0.964102
152,0.963131
153,0.962469
154,0.962469
155,0.963413
156,0.963745
157,0.963745
158,0.958828
159,0.954667
160,0.955539
161,0.955539
162,0.951896
163,0.95365
164,0.954564
165,0.954564
166,0.954564
167,0.954872
168,0.954872
169,0.954872
170,0.954872
171,0.954938
172,0.9585
173,0.9585
174,0.960273
175,0.961096
176,0.963711
177,0.968665
178,0.968665
179,0.968665
180,0.968665
181,0.96935
182,0.973659
183,0.973659
184,0.973104
185,0.976631
186,0.97752
187,0.97752
188,0.97752
189,0.97752
190,0.978043
191,0.978043
192,0.98119
193,0.980551
194,0.980717
195,0.977391
196,0.977561
197,0.977561
198,0.979219
199,0.980092
200,0.980092
201,0.980092
202,0.986832
203,0.984196
204,0.98751
205,0.987636
206,0.987961
207,0.987961
208,0.987961
209,0.992498
210,0.992498
211,0.988296
212,0.987637
213,0.991768
214,0.993557
215,0.994324
216,0.997245
217,0.995447
218,0.995447
219,0.997758
220,0.997255
221,0.997255
222,0.997445
223,0.993529
224,0.994477
225,0.999805
226,0.998345
227,0.998211
228,1.00005
229,0.998812
230,0.998812
231,0.995399
232,0.993263
233,0.993776
234,0.998393
235,0.998393
236,0.995586
237,1.00118
238,0.997978
239,0.996803
240,0.99881
241,0.99881
242,1.0003
243,1.00129
244,1.00188
245,1.00471
246,1.00211
247,0.998605
248,1.00118
249,0.997707
250,0.9998
251,1.00175
252,1.0042
253,1.0042
254,1.00208
255,1.00208
256,1.00072
257,0.995875
258,1.00541
259,1.00541
260,1.00072
261,1.00072
262,1.00598
263,1.00376
264,1.00376
265,1.00376
266,1.00376
267,1.00807
268,1.01281
269,1.01117
270,1.01449
271,1.01796
272,1.01796
273,1.01796
274,1.00717
275,1.00717
276,1.00717
277,1.01129
278,1.00751
279,1.00141
280,1.00124
281,1.00363
282,0.997752
283,0.997752
284,0.997752
285,0.999749
286,1.00412
287,1.00289
288,0.999228
289,0.996344
290,1.00095
291,0.998389
292,0.998412
293,0.998412
294,0.998254
295,0.99787
296,1.00177
297,1.00177
298,0.996424
299,0.997124
300,1.00015
301,1.00015
302,0.999093
303,0.999093
304,1.00091
305,1.00091
306,1.00062
307,1.00062
308,0.999578
309,0.995571
310,0.995972
311,0.999057
312,0.993519
313,0.991537
314,0.992765
315,0.988253
316,0.989729
317,0.98882
318,0.986415
319,0.98722
320,0.98722
321,0.991263
322,0.991263
323,0.991153
324,0.991045
325,0.98809
326,0.98809
327,0.993635
328,0.993635
329,0.993203
330,0.993511
331,0.999259
332,0.996459
333,0.993007
334,0.997011
335,0.991754
336,0.991754
337,0.991754
338,1.00041
339,0.9982
340,0.9982
341,0.9982
342,0.996929
343,0.997458
344,0.994541
345,0.998234
346,0.994933
347,1.00336
348,1.00051
349,1.00079
350,1.00294
351,0.997797
352,0.997797
353,0.99828
354,1.00337
355,0.999802
356,1.00232
357,1.00326
358,1.00425
359,1.00775
360,1.00892
361,1.00892
362,1.00694
363,1.00242
364,1.0059
365,1.0059
366,1.0059
367,1.00875
368,1.00826
369,1.00332
370,1.00359
371,1.00275
372,1.00275
373,1.00281
374,0.997334
375,1.0016
376,1.0016
377,1.0016
378,1.00235
379,1.00235
380,1.00348
381,1.00016
382,0.99876
383,1.0022
384,1.00231
385,1.00155
386,1.00051
387,0.999875
388,0.999817
389,0.992399
390,0.996613
391,0.992005
392,0.995568
393,0.994678
394,0.997704
395,0.997704
396,0.996619
397,0.996619
398,0.996325
399,0.997103
400,0.997103
401,1.00102
402,1.00102
403,1.00375
404,1.00375
405,1.00375
406,1.00377
407,1.00404
408,1.00477
409,1.01097
410,1.00802
411,1.00446
412,1.00446
413,1.00446
414,1.00134
415,1.00723
416,1.00291
417,1.00193
418,1.00193
419,1.00384
420,1.00548
421,1.00339
422,1.00339
423,1.00641
424,1.00279
425,1.00511
426,1.00511
427,1.00422
428,1.00065
429,1.00694
430,1.00612
431,1.00612
432,1.00612
433,1.00557
434,1.00409
435,1.00409
436,1.0023
437,0.998881
438,1.00058
439,1.0019
440,1.0018
441,1.00034
442,1.00142
443,1.00432
444,1.00196
445,1.0011
446,1.00495
447,1.00321
448,1.00569
449,1.00569
450,1.00647
451,1.00895
452,1.00594
453,1.00485
454,1.00534
455,0.998118
456,0.998118
457,1.00069
458,1.00069
459,1.0016
460,1.00198
461,0.999327
462,0.995223
463,0.995223
464,0.997802
465,0.997802
466,1.0027
467,1.00211
468,1.00646
469,1.00406
470,1.00109
471,0.995967
472,0.995967
473,0.99541
474,0.99541
475,0.99949
476,1.00152
477,1.00419
478,1.00419
479,1.00419
480,1.00419
481,1.00419
482,1.00274
483,0.997799
484,0.997799
485,0.997799
486,0.997799
487,0.997799
488,0.996809
489,1.00128
490,0.998008
491,0.999455
492,0.998546
493,1.00174
494,0.995803
495,0.995803
496,0.995139
497,0.995139
498,0.995902
499,0.995727
500,0.998897
501,0.995271
502,0.992563
503,0.989331
504,0.995849
505,0.992555
506,0.991382
507,0.992299
508,0.993734
509,0.992966
510,0.993989
511,0.990655
512,0.989908
513,0.995329
514,0.992825
515,0.998974
516,0.992948
517,0.992948
518,0.992948
519,0.994417
520,0.994417
521,0.994921
522,0.990245
523,0.992109
524,0.988703
525,0.988703
526,0.988703
527,0.988703
528,0.99256
529,0.993434
530,0.993434
531,0.986441
532,0.987364
533,0.989746
534,0.986926
535,0.996273
536,1.0009
537,0.994279
538,0.99433
539,0.992684
540,0.998263
541,0.998263
542,0.998263
543,1.00047
544,1.0012
545,1.0043
546,1.0043
547,1.00275
548,1.00743
549,1.01153
550,1.01314
551,1.01314
552,1.01452
553,1.012
554,1.01382
555,1.01236
556,1.01492
557,1.01141
558,1.01141
559,1.01265
560,1.01114
561,1.01114
562,1.01114
563,1.00812
564,1.0078
565,1.01659
566,1.01385
567,1.01385
568,1.01128
569,1.01018
570,1.0052
571,1.0045
572,0.998968
573,0.999736
574,0.999736
575,0.999736
576,0.999736
577,1.00497
578,1.00375
579,1.00375
580,1.00547
581,1.01181
582,1.00767
583,1.00663
584,1.00231
585,1.00186
586,1.0033
587,0.99868
588,0.99868
589,0.999218
590,0.997495
591,1.00179
592,0.99572
593,0.999455
594,0.99467
595,0.99467
596,0.99467
597,0.998605
598,0.997264
599,0.99855
600,0.99855
601,0.997254
602,1.00312
603,1.00312
604,1.00103
605,0.997332
606,1.0006
607,1.00285
608,1.00285
609,1.00285
610,1.00654
611,1.00652
612,1.00533
613,1.00642
614,1.00642
615,1.00489
616,1.00309
617,1.00329
618,1.01021
619,1.00773
620,1.0045
621,1.00423
622,1.00423
623,1.00423
624,1.00423
625,1.00423
626,1.00785
627,1.00581
628,1.01008
629,1.00831
630,1.00831
631,1.00773
632,1.01041
633,1.00967
634,1.01467
635,1.00906
636,1.00906
637,1.01935
638,1.01283
639,1.01523
640,1.01462
641,1.01462
642,1.0143
643,1.01469
644,1.01469
645,1.01623
646,1.01259
647,1.0161
648,1.01264
649,1.01221
650,1.00836
651,1.00898
652,1.00859
653,1.00545
