ReTr(L),ImTr(L)
-0.349328,-0.448079
-0.344161,-0.482195
-0.325081,-0.46726
-0.34567,-0.505966
-0.34567,-0.505966
-0.356401,-0.563512
-0.356401,-0.563512
-0.371106,-0.510426
-0.371106,-0.510426
-0.349822,-0.553856
-0.394172,-0.523585
-0.394172,-0.523585
-0.430556,-0.530769
-0.430556,-0.530769
-0.430556,-0.530769
-0.477785,-0.556005
-0.42929,-0.5736
-0.42929,-0.5736
-0.42929,-0.5736
-0.42929,-0.5736
-0.42929,-0.5736
-0.521437,-0.570404
-0.521437,-0.570404
-0.521437,-0.570404
-0.54423,-0.542172
-0.54423,-0.542172
-0.54423,-0.542172
-0.54423,-0.542172
-0.54423,-0.542172
-0.582109,-0.54771
-0.58669,-0.505565
-0.58669,-0.505565
-0.58669,-0.505565
-0.673975,-0.510281
-0.700558,-0.589929
-0.700558,-0.589929
-0.674589,-0.61626
-0.654706,-0.69463
-0.654706,-0.69463
-0.654706,-0.69463
-0.654706,-0.69463
-0.654706,-0.69463
-0.654706,-0.69463
-0.74049,-0.715329
-0.696277,-0.783901
-0.649884,-0.797782
-0.649884,-0.797782
-0.649884,-0.797782
-0.69353,-0.774346
-0.734396,-0.695026
-0.734396,-0.695026
-0.747463,-0.697081
-0.738314,-0.701016
-0.738314,-0.701016
-0.738314,-0.701016
-0.705581,-0.63702
-0.705581,-0.63702
-0.688829,-0.621478
-0.639258,-0.682829
-0.699034,-0.633675
-0.762173,-0.66725
-0.793249,-0.6509
-0.91462,-0.678503
-0.91462,-0.678503
-0.91462,-0.678503
-0.860055,-0.741244
-0.892615,-0.803274
-0.900811,-0.839754
-0.900811,-0.839754
-0.900811,-0.839754
-0.900811,-0.839754
-0.941369,-0.806995
-0.941369,-0.806995
-0.941369,-0.806995
-0.949255,-0.84412
-0.949255,-0.84412
-0.900756,-0.816519
-0.900756,-0.816519
-0.884769,-0.836115
-0.94476,-0.854071
-0.893549,-0.889816
-0.943002,-0.900092
-0.943002,-0.900092
-0.902919,-0.919928
-0.902919,-0.919928
-0.902919,-0.919928
-0.902919,-0.919928
-0.902919,-0.919928
-0.902919,-0.919928
-0.929239,-0.830736
-0.929239,-0.830736
-0.929239,-0.830736
-0.929239,-0.830736
-0.929239,-0.830736
-0.884496,-0.830721
-0.883019,-0.870579
-0.902655,-0.75557
-0.871941,-0.793852
-0.871941,-0.793852
-0.871941,-0.793852
-0.897085,-0.817506
-0.829715,-0.860762
-0.944835,-0.909454
-0.81266,-0.903361
-0.83133,-0.950861
-0.839394,-0.96319
-0.78899,-0.942322
-0.838539,-0.880657
-0.838539,-0.880657
-0.868556,-0.920673
-0.822175,-0.973625
-0.822175,-0.973625
-0.849875,-1.01134
-0.806057,-1.04638
-0.806057,-1.04638
-0.729849,-1.20483
-0.751818,-1.23136
-0.751818,-1.23136
-0.81405,-1.14067
-0.856311,-1.13657
-0.817034,-1.10565
-0.817034,-1.10565
-0.87577,-1.09441
-0.87577,-1.09441
-0.821396,-1.00098
-0.920863,-0.997803
-0.839712,-1.02945
-0.90075,-1.10384
-0.90075,-1.10384
-0.90075,-1.10384
-0.790025,-1.14841
-0.78667,-1.09214
-0.78667,-1.09214
-0.78667,-1.09214
-0.751816,-1.10722
-0.779654,-1.03097
-0.786461,-1.01393
-0.786461,-1.01393
-0.709331,-0.928736
-0.709331,-0.928736
-0.800746,-0.915543
-0.704531,-0.938052
-0.704531,-0.938052
-0.728129,-0.9892
-0.67837,-0.95001
-0.715234,-0.912265
-0.68426,-0.981777
-0.674106,-1.0336
-0.674106,-1.0336
-0.640939,-0.99002
-0.619965,-1.10612
-0.574099,-1.072
-0.674935,-1.05008
-0.674935,-1.05008
-0.617884,-1.07397
-0.666393,-1.06474
-0.666393,-1.06474
-0.697816,-1.04026
-0.69857,-0.980917
-0.663493,-0.921027
-0.663493,-0.921027
-0.627927,-0.888948
-0.700309,-0.927004
-0.744024,-0.992945
-0.744024,-0.992945
-0.744024,-0.992945
-0.738141,-0.908186
-0.738141,-0.908186
-0.738141,-0.908186
-0.738141,-0.908186
-0.790485,-0.853044
-0.777376,-0.889968
-0.777376,-0.889968
-0.75473,-0.88268
-0.676036,-0.909365
-0.737759,-0.964688
-0.770851,-0.971479
-0.770851,-0.971479
-0.770851,-0.971479
-0.770851,-0.971479
-0.619244,-1.07862
-0.737073,-1.06947
-0.737073,-1.06947
-0.762378,-1.03991
-0.766478,-1.02468
-0.826534,-1.15784
-0.826534,-1.15784
-0.826534,-1.15784
-0.826534,-1.15784
-0.8638,-1.07027
-0.8638,-1.07027
-0.943196,-1.05651
-0.988603,-0.956886
-0.912549,-1.01537
-0.923172,-0.954155
-0.839,-0.96823
-0.839,-0.96823
-0.983738,-0.893134
-0.975644,-0.847314
-0.975644,-0.847314
-0.975644,-0.847314
-0.977579,-0.888942
-1.00044,-0.939765
-0.99718,-0.956965
-1.06555,-0.974289
-1.02384,-0.941943
-1.02384,-0.941943
-1.02384,-0.941943
-1.00433,-0.999639
-1.00433,-0.999639
-1.02986,-1.07317
-0.964435,-0.983481
-1.09171,-1.10465
-0.969703,-1.20852
-1.02626,-1.17044
-0.920265,-1.30396
-0.972016,-1.20699
-0.972016,-1.20699
-1.0288,-1.16289
-1.09552,-1.08306
-1.09552,-1.08306
-1.11193,-1.10601
-1.06905,-1.06097
-1.07072,-1.05464
-1.03041,-1.11615
-0.92216,-1.03397
-0.888019,-1.13725
-0.861774,-1.16539
-0.81043,-1.23783
-0.81043,-1.23783
-0.947956,-1.21921
-0.924614,-1.21398
-0.949005,-1.12796
-0.972195,-1.11501
-0.972195,-1.11501
-0.917809,-1.08624
-0.986401,-1.14085
-0.864344,-1.08123
-0.851829,-1.0798
-0.970526,-1.0925
-0.970526,-1.0925
-0.90709,-1.15068
-1.00702,-1.00096
-1.09217,-1.02805
-1.18151,-0.98473
-1.09976,-1.01652
-1.02751,-1.04086
-1.0555,-1.10707
-0.947224,-1.12408
-0.877854,-1.1858
-0.930879,-1.20046
-0.979715,-1.09487
-0.979715,-1.09487
-1.02577,-1.02909
-1.02577,-1.02909
-0.987245,-0.995748
-1.04299,-1.06677
-1.10695,-1.01115
-1.10695,-1.01115
-1.12992,-0.969732
-1.12992,-0.969732
-1.20433,-0.949706
-1.11511,-0.865721
-1.11511,-0.865721
-1.11511,-0.865721
-1.11511,-0.865721
-1.14954,-0.979024
-1.13031,-1.1087
-1.00021,-1.15505
-1.03921,-1.2143
-1.0058,-1.20254
-1.0058,-1.20254
-1.0058,-1.20254
-0.856383,-1.27624
-0.856383,-1.27624
-0.856383,-1.27624
-0.86709,-1.30364
-0.793725,-1.30464
-0.753324,-1.25166
-0.747839,-1.27473
-0.646364,-1.40479
-0.584129,-1.39837
-0.584129,-1.39837
-0.584129,-1.39837
-0.520395,-1.34288
-0.529474,-1.39952
-0.478098,-1.39189
-0.5654,-1.38754
-0.520109,-1.30976
-0.513915,-1.29091
-0.634061,-1.27265
-0.696202,-1.2153
-0.696202,-1.2153
-0.62799,-1.26582
-0.672886,-1.2309
-0.768701,-1.2346
-0.768701,-1.2346
-0.772564,-1.23201
-0.83542,-1.18179
-0.840904,-1.1869
-0.840904,-1.1869
-0.91433,-1.13755
-0.91433,-1.13755
-0.916485,-1.20735
-0.916485,-1.20735
-0.845109,-1.20153
-0.845109,-1.20153
-0.842499,-1.21376
-0.8544,-1.21142
-0.859721,-1.2018
-0.849704,-1.30258
-0.795901,-1.26026
-0.718215,-1.27431
-0.690635,-1.35644
-0.732714,-1.30199
-0.69266,-1.26149
-0.67309,-1.2579
-0.649003,-1.30365
-0.601869,-1.28117
-0.601869,-1.28117
-0.562617,-1.31674
-0.562617,-1.31674
-0.458298,-1.29259
-0.439121,-1.37062
-0.355045,-1.37281
-0.355045,-1.37281
-0.337374,-1.32865
-0.337374,-1.32865
-0.354449,-1.35145
-0.50691,-1.27598
-0.46667,-1.36906
-0.479541,-1.35617
-0.443965,-1.28721
-0.428196,-1.33664
-0.399296,-1.24141
-0.399296,-1.24141
-0.399296,-1.24141
-0.423013,-1.20588
-0.457825,-1.22016
-0.457825,-1.22016
-0.457825,-1.22016
-0.416355,-1.21682
-0.400611,-1.1494
-0.474044,-1.19455
-0.611189,-1.20508
-0.577606,-1.20706
-0.614784,-1.24962
-0.689682,-1.26022
-0.689146,-1.25581
-0.740169,-1.20886
-0.699337,-1.22752
-0.699337,-1.22752
-0.66346,-1.16309
-0.69694,-1.23995
-0.625733,-1.20665
-0.634604,-1.30131
-0.66211,-1.31365
-0.651535,-1.29985
-0.660623,-1.44024
-0.616892,-1.51408
-0.616892,-1.51408
-0.606656,-1.49285
-0.606574,-1.4121
-0.508973,-1.49143
-0.508973,-1.49143
-0.508973,-1.49143
-0.64264,-1.6685
-0.727605,-1.60949
-0.596486,-1.51703
-0.682061,-1.56685
-0.605004,-1.52876
-0.605004,-1.52876
-0.582847,-1.48799
-0.601754,-1.53982
-0.575029,-1.58896
-0.575029,-1.58896
-0.575029,-1.58896
-0.567821,-1.60882
-0.567821,-1.60882
-0.707036,-1.57199
-0.650284,-1.57101
-0.59227,-1.52811
-0.436547,-1.62845
-0.53616,-1.65702
-0.398926,-1.60262
-0.334965,-1.64456
-0.296739,-1.56644
-0.374174,-1.54965
-0.504741,-1.477
-0.563079,-1.48561
-0.572226,-1.39155
-0.597636,-1.38088
-0.5756,-1.35616
-0.588542,-1.40873
-0.588542,-1.40873
-0.50726,-1.39562
-0.50726,-1.39562
-0.630085,-1.42186
-0.546789,-1.36458
-0.546789,-1.36458
-0.529691,-1.49824
-0.529691,-1.49824
-0.526409,-1.51354
-0.526409,-1.51354
-0.526409,-1.51354
-0.537594,-1.42465
-0.489465,-1.5167
-0.559099,-1.55204
-0.578031,-1.47433
-0.504401,-1.40869
-0.554014,-1.39668
-0.554014,-1.39668
-0.554014,-1.39668
-0.501774,-1.436
-0.560288,-1.48917
-0.548226,-1.45318
-0.526254,-1.33488
-0.526254,-1.33488
-0.493159,-1.33705
-0.620126,-1.34943
-0.615698,-1.37739
-0.615698,-1.37739
-0.551219,-1.50341
-0.469549,-1.41294
-0.514219,-1.42231
-0.514219,-1.42231
-0.589635,-1.31514
-0.537427,-1.23369
-0.526705,-1.26408
-0.452203,-1.45001
-0.452203,-1.45001
-0.452203,-1.45001
-0.550474,-1.31685
-0.539051,-1.32945
-0.539051,-1.32945
-0.551519,-1.36363
-0.530929,-1.3287
-0.606525,-1.36265
-0.547131,-1.38542
-0.520397,-1.37447
-0.444009,-1.35661
-0.428256,-1.356
-0.495306,-1.35086
-0.50264,-1.22736
-0.541462,-1.23142
-0.569599,-1.23631
-0.645033,-1.20201
-0.658332,-1.27262
-0.658332,-1.27262
-0.681199,-1.35364
-0.667125,-1.28266
-0.652717,-1.24673
-0.738834,-1.26602
-0.814031,-1.32882
-0.749184,-1.29398
-0.749184,-1.29398
-0.757243,-1.27125
-0.757243,-1.27125
-0.815825,-1.23827
-0.763054,-1.29695
-0.835627,-1.21527
-0.784105,-1.1526
-0.784105,-1.1526
-0.754995,-1.27087
-0.754995,-1.27087
-0.759186,-1.27346
-0.913264,-1.23805
-0.792561,-1.34726
-0.846838,-1.27303
-0.784284,-1.29814
-0.883075,-1.25652
-0.883075,-1.25652
-0.812245,-1.38466
-0.812245,-1.38466
-0.731884,-1.34864
-0.788144,-1.37745
-0.680779,-1.44764
-0.680779,-1.44764
-0.680779,-1.44764
-0.680779,-1.44764
-0.680779,-1.44764
-0.755995,-1.43788
-0.829327,-1.41845
-0.829327,-1.41845
-0.829327,-1.41845
-0.829327,-1.41845
-0.829327,-1.41845
-0.832314,-1.31826
-0.941362,-1.32231
-0.903655,-1.3253
-0.930684,-1.38044
-0.843709,-1.32359
-0.822863,-1.34262
-0.811095,-1.27137
-0.811095,-1.27137
-0.781954,-1.28714
-0.781954,-1.28714
-0.725384,-1.25704
-0.806136,-1.24399
-0.738223,-1.30441
-0.728466,-1.30596
-0.8527,-1.27136
-0.830761,-1.18475
-0.872173,-1.21209
-0.801976,-1.16766
-0.849084,-1.19186
-0.92657,-1.18463
-0.914637,-1.22009
-0.789647,-1.23039
-0.87143,-1.17895
-0.822299,-1.14017
-0.876625,-1.10241
-0.829309,-1.13835
-0.783373,-1.17897
-0.887436,-1.12342
-0.937106,-1.12357
-0.937106,-1.12357
-0.937106,-1.12357
-1.00482,-1.16739
-1.00482,-1.16739
-0.997826,-1.0528
-0.915671,-1.00888
-0.96566,-0.985935
-0.913273,-1.00179
-0.913273,-1.00179
-0.913273,-1.00179
-0.913273,-1.00179
-0.935207,-1.00748
-0.885726,-1.01813
-0.885726,-1.01813
-0.883025,-0.920364
-0.816474,-0.927259
-0.888984,-0.898092
-0.944156,-0.892692
-0.999634,-0.855111
-0.993785,-0.8956
-0.965647,-0.866186
-0.971344,-0.89668
-0.988824,-1.00843
-1.02945,-1.03432
-1.02945,-1.03432
-1.02945,-1.03432
-0.997844,-1.15106
-0.897474,-1.20931
-0.895874,-1.15274
-0.895874,-1.15274
-0.924835,-1.17624
-0.876957,-1.12566
-0.898388,-1.17092
-0.776969,-1.24723
-0.776969,-1.24723
-0.786651,-1.36379
-0.716895,-1.33799
-0.700215,-1.24805
-0.772371,-1.21651
-0.805936,-1.20758
-0.793455,-1.17338
-0.793455,-1.17338
-0.891674,-1.15497
-0.831724,-1.20936
-0.831724,-1.20936
-0.831724,-1.20936
-0.727849,-1.23517
-0.728024,-1.22176
-0.776711,-1.28784
-0.703181,-1.37345
-0.703181,-1.37345
-0.756699,-1.34482
-0.811541,-1.30872
-0.741448,-1.4242
-0.858694,-1.42769
-0.741569,-1.40635
-0.675505,-1.32174
-0.675505,-1.32174
-0.675505,-1.32174
-0.675505,-1.32174
-0.761875,-1.41195
-0.670244,-1.4175
-0.670244,-1.4175
-0.56221,-1.57045
-0.462375,-1.64565
-0.378439,-1.67562
-0.392597,-1.75125
-0.238836,-1.63344
-0.301752,-1.68516
-0.182929,-1.63366
-0.154794,-1.56836
-0.154794,-1.56836
-0.195211,-1.53195
-0.167887,-1.54655
-0.178301,-1.63194
-0.165829,-1.62078
-0.251441,-1.58496
-0.220746,-1.52935
-0.220746,-1.52935
-0.220746,-1.52935
-0.286334,-1.6599
-0.192776,-1.47986
-0.183514,-1.46831
-0.183514,-1.46831
-0.123998,-1.52477
-0.072487,-1.50476
-0.072487,-1.50476
-0.0387482,-1.49886
-0.0407489,-1.53796
0.0145126,-1.54435
-0.0771069,-1.53944
-0.0771069,-1.53944
-0.0771069,-1.53944
-0.129454,-1.5834
-0.0888059,-1.58601
-0.106495,-1.57354
-0.0725379,-1.54971
-0.0725379,-1.54971
-0.164705,-1.49391
-0.194074,-1.56266
-0.278502,-1.54705
-0.164011,-1.65332
-0.0676749,-1.5699
-0.0017001,-1.56139
0.0187724,-1.50737
0.0187724,-1.50737
0.0187724,-1.50737
0.0187724,-1.50737
0.0187724,-1.50737
-0.0331586,-1.55879
-0.0673015,-1.55284
0.0881177,-1.58371
-0.0510429,-1.55846
-0.0510429,-1.55846
0.096733,-1.56599
0.164311,-1.59549
0.137649,-1.5395
0.180706,-1.59341
0.0856196,-1.56068
0.0856196,-1.56068
0.0202081,-1.71168
-0.0367499,-1.59449
-0.0787351,-1.62779
-0.0597984,-1.63806
-0.0597984,-1.63806
-0.0690353,-1.6288
-0.161449,-1.63132
-0.161449,-1.63132
-0.176703,-1.66237
-0.24433,-1.64285
-0.236129,-1.65803
0.00107582,-1.62528
0.0740841,-1.64637
0.0861107,-1.60635
0.0383921,-1.65712
-0.0315132,-1.58777
-0.0267265,-1.68403
-0.0958885,-1.65461
-0.157353,-1.68702
-0.237165,-1.70402
-0.208588,-1.67529
-0.124101,-1.71005
-0.0821522,-1.60502
-0.0151386,-1.71694
-0.0151386,-1.71694
0.129477,-1.68875
0.129477,-1.68875
0.0964317,-1.7261
0.182803,-1.6553
0.247817,-1.69774
0.247817,-1.69774
0.3358,-1.661
0.3358,-1.661
0.348755,-1.63363
0.247055,-1.66746
0.2184,-1.67535
0.192045,-1.70319
0.192045,-1.70319
0.172508,-1.81648
0.0619287,-1.73972
0.0619287,-1.73972
0.0380809,-1.76812
0.0267916,-1.67761
0.00771014,-1.67101
0.0388021,-1.72857
0.031059,-1.59537
0.0315628,-1.62793
0.0701456,-1.59652
0.179476,-1.6271
0.0841482,-1.71319
0.0841482,-1.71319
0.0819123,-1.70283
0.0932446,-1.65574
0.115518,-1.72255
0.115518,-1.72255
0.106416,-1.76014
0.198399,-1.66899
0.190296,-1.75772
0.216324,-1.7554
0.328646,-1.7454
0.30069,-1.72479
0.238001,-1.65738
0.220084,-1.73076
0.220084,-1.73076
0.203884,-1.69465
0.296822,-1.672
0.190534,-1.56947
0.237891,-1.52684
0.349641,-1.49225
0.396975,-1.45111
0.288125,-1.51277
0.300164,-1.4609
0.286435,-1.51687
0.28661,-1.45164
0.267596,-1.61636
0.186834,-1.60075
0.238435,-1.58347
0.238435,-1.58347
0.238435,-1.58347
0.238435,-1.58347
0.238435,-1.58347
0.238435,-1.58347
0.214927,-1.58931
0.195765,-1.61363
0.250396,-1.56081
0.250396,-1.56081
0.274211,-1.6441
0.197497,-1.70362
0.0803949,-1.61354
0.0836891,-1.66566
0.0376361,-1.60405
-0.0122385,-1.61274
0.0336359,-1.56898
0.0849043,-1.59712
-0.0336379,-1.61315
-0.0604484,-1.6472
-0.0825949,-1.63725
-0.127095,-1.63833
-0.11913,-1.60969
-0.120587,-1.56474
-0.078171,-1.67748
-0.078171,-1.67748
-0.078171,-1.67748
-0.078171,-1.67748
-0.078171,-1.67748
-0.132981,-1.68289
-0.171906,-1.7095
-0.154195,-1.66694
-0.154195,-1.66694
-0.154195,-1.66694
-0.154195,-1.66694
-0.154195,-1.66694
-0.248615,-1.72164
-0.179674,-1.76785
-0.179674,-1.76785
-0.197131,-1.7284
-0.207425,-1.73477
-0.105246,-1.71208
-0.158791,-1.64535
-0.12901,-1.65461
-0.122558,-1.65521
-0.0248611,-1.63324
-0.0076475,-1.61955
0.0694969,-1.72479
0.164997,-1.54834
0.195135,-1.60219
0.123554,-1.56347
0.123554,-1.56347
0.123554,-1.56347
0.123554,-1.56347
0.136944,-1.58351
0.0734082,-1.54086
0.124883,-1.48664
0.124883,-1.48664
0.178647,-1.58196
0.199694,-1.6343
0.140699,-1.62864
0.1247,-1.63282
0.174344,-1.72453
0.240465,-1.70178
0.182501,-1.705
0.136834,-1.73047
-0.0861536,-1.65661
-0.171096,-1.63025
-0.209715,-1.55713
-0.209715,-1.55713
-0.095385,-1.59856
0.0247994,-1.59901
0.00657506,-1.58218
0.0439182,-1.5757
0.00492955,-1.49624
0.0550434,-1.46243
0.0574236,-1.44643
0.0574236,-1.44643
0.0574236,-1.44643
0.0115096,-1.47751
0.0115096,-1.47751
0.00652539,-1.41315
0.00652539,-1.41315
-0.0261051,-1.47857
-0.0958359,-1.40886
-0.0958359,-1.40886
-0.0263839,-1.38514
-0.075053,-1.38976
-0.120074,-1.35934
-0.0727444,-1.35609
0.00703153,-1.40871
0.0589838,-1.31832
0.149695,-1.33751
0.158855,-1.40332
0.158855,-1.40332
0.158855,-1.40332
0.189129,-1.36179
0.243025,-1.39744
0.234868,-1.33733
0.254557,-1.36475
0.376177,-1.35452
0.251936,-1.35878
0.301056,-1.34484
0.251389,-1.29449
0.273371,-1.31244
0.27377,-1.35157
0.207382,-1.3171
0.256767,-1.38559
0.256767,-1.38559
0.165947,-1.36841
0.23369,-1.35945
0.288875,-1.37969
0.275474,-1.36736
0.281675,-1.42951
0.281675,-1.42951
0.298201,-1.38825
0.329409,-1.40938
0.440961,-1.42214
0.469608,-1.42699
0.469608,-1.42699
0.369865,-1.45589
0.462716,-1.39104
0.462716,-1.39104
0.462716,-1.39104
0.437475,-1.46689
0.415371,-1.3774
0.415371,-1.3774
0.415058,-1.38853
0.359476,-1.36722
0.359476,-1.36722
0.264331,-1.37643
0.256589,-1.49642
0.228467,-1.55984
0.344828,-1.61308
0.28107,-1.61143
0.248531,-1.59695
0.239267,-1.61495
0.239267,-1.61495
0.239267,-1.61495
0.20948,-1.66109
0.24534,-1.61488
0.15338,-1.64017
0.15338,-1.64017
0.110306,-1.63114
0.159389,-1.62806
0.257861,-1.61806
0.300274,-1.61739
0.213541,-1.58081
0.213541,-1.58081
0.226056,-1.60369
0.268686,-1.55069
0.264757,-1.58061
0.365158,-1.54894
0.29985,-1.53826
0.429173,-1.56679
0.429173,-1.56679
0.315859,-1.59809
0.348631,-1.6007
0.301893,-1.61679
0.419577,-1.64836
0.327273,-1.65434
0.327273,-1.65434
0.427789,-1.54737
0.436,-1.62385
0.38711,-1.66866
0.38711,-1.66866
0.411521,-1.62112
0.366685,-1.60128
0.357384,-1.61704
0.309649,-1.66982
0.336499,-1.70944
0.388371,-1.7913
0.329304,-1.73671
0.329304,-1.73671
0.275622,-1.7473
0.341179,-1.64983
0.443387,-1.60684
0.47613,-1.57878
0.47613,-1.57878
0.48004,-1.47923
0.498226,-1.4902
0.588846,-1.43413
0.588846,-1.43413
0.599409,-1.44576
0.53841,-1.51258
0.445936,-1.48144
0.445936,-1.48144
0.445936,-1.48144
0.478004,-1.43934
0.53078,-1.40365
0.543515,-1.40867
0.535364,-1.43309
0.522426,-1.41875
0.522426,-1.41875
0.385912,-1.50639
0.376918,-1.55481
0.539732,-1.61478
0.446342,-1.65534
0.446342,-1.65534
0.41103,-1.51059
0.41103,-1.51059
0.41103,-1.51059
0.41103,-1.51059
0.41103,-1.51059
0.380884,-1.45372
0.380884,-1.45372
0.380884,-1.45372
0.327686,-1.34865
0.325619,-1.48283
0.250134,-1.49716
0.242115,-1.43904
0.30832,-1.42839
0.388483,-1.35619
0.520983,-1.38613
0.459942,-1.39983
0.496347,-1.36235
0.548408,-1.38544
0.591216,-1.31163
0.508358,-1.33743
0.573366,-1.33986
0.530007,-1.40004
0.530007,-1.40004
0.575986,-1.46194
0.583184,-1.44528
0.566004,-1.38387
0.611746,-1.26471
0.523998,-1.25955
0.522801,-1.15321
0.579004,-1.20664
0.518205,-1.18073
0.487144,-1.16937
0.533174,-1.21874
0.607217,-1.11363
0.607217,-1.11363
0.537699,-1.18197
0.475019,-1.1518
0.472641,-1.23063
0.588098,-1.27576
0.570841,-1.25257
0.570841,-1.25257
0.690263,-1.19289
0.613191,-1.22241
0.613191,-1.22241
0.677333,-1.24054
0.612605,-1.21735
0.612605,-1.21735
0.612605,-1.21735
0.621756,-1.17308
0.588676,-1.26903
0.567691,-1.24883
0.611364,-1.32549
0.611364,-1.32549
0.611364,-1.32549
0.546447,-1.38199
0.536192,-1.40613
0.421071,-1.48291
0.421071,-1.48291
0.351265,-1.36854
0.392487,-1.36535
0.390246,-1.35817
0.390246,-1.35817
0.390246,-1.35817
0.390246,-1.35817
0.306733,-1.39668
0.306733,-1.39668
0.363189,-1.43896
0.384041,-1.33981
0.416361,-1.27475
0.364762,-1.32797
0.465454,-1.34514
0.445356,-1.34574
0.445356,-1.34574
0.51649,-1.32551
0.395987,-1.3943
0.395987,-1.3943
0.33288,-1.37479
0.33288,-1.37479
0.33288,-1.37479
0.33288,-1.37479
0.243479,-1.40695
0.303084,-1.42176
0.367733,-1.4037
0.385085,-1.42991
0.385085,-1.42991
0.385085,-1.42991
0.385085,-1.42991
0.3868,-1.50609
0.392838,-1.46364
0.380835,-1.35285
0.388555,-1.34823
0.388555,-1.34823
0.490946,-1.36366
0.538323,-1.33684
0.522447,-1.42675
0.443409,-1.43454
0.443409,-1.43454
0.45765,-1.41631
0.45765,-1.41631
0.416421,-1.41475
0.393419,-1.45384
0.42974,-1.42801
0.467069,-1.36865
0.511115,-1.34691
0.510151,-1.29266
0.510151,-1.29266
0.580744,-1.23279
0.626715,-1.23082
0.565277,-1.30629
0.642849,-1.20891
0.669693,-1.149
0.762499,-1.19118
0.6324,-1.17058
0.6324,-1.17058
0.6324,-1.17058
0.692078,-1.23354
0.692078,-1.23354
0.752686,-1.2327
0.827865,-1.18217
0.861471,-1.12732
0.872776,-1.08244
0.86573,-1.04776
0.895953,-1.01978
0.976214,-0.937539
0.976214,-0.937539
0.916061,-1.02585
0.928608,-1.00077
0.928608,-1.00077
0.85981,-1.09619
0.881885,-1.11232
0.841801,-1.1132
0.818209,-1.1016
0.847264,-1.036
0.876896,-0.999548
0.800711,-1.03103
0.768516,-1.07984
0.768516,-1.07984
0.864775,-1.04382
0.855082,-1.13717
0.855082,-1.13717
0.855082,-1.13717
0.855082,-1.13717
0.842969,-1.2467
0.842969,-1.2467
0.842969,-1.2467
0.842969,-1.2467
0.849688,-1.22968
0.884251,-1.2272
0.884251,-1.2272
0.884251,-1.2272
0.866536,-1.30313
0.89374,-1.23095
0.89374,-1.23095
0.975724,-1.2799
0.831245,-1.43227
0.790296,-1.39474
0.790296,-1.39474
0.824539,-1.37443
0.824539,-1.37443
0.900211,-1.35909
0.918368,-1.31671
0.923324,-1.2423
0.843226,-1.29401
0.826093,-1.29715
0.870692,-1.31482
0.882601,-1.30739
0.808383,-1.3518
0.769584,-1.32319
0.745554,-1.37616
0.693774,-1.29329
0.69246,-1.35488
0.776149,-1.38159
0.725186,-1.22574
0.714921,-1.24598
0.714921,-1.24598
0.777903,-1.19301
0.662377,-1.27256
0.662377,-1.27256
0.662377,-1.27256
0.662377,-1.27256
0.662377,-1.27256
0.662377,-1.27256
0.611495,-1.33406
