MDTU,plaq,Re(det),Im(det),link
1,2.31955,0.0103211,0.00445999,0.079666
2,2.29748,0.00976269,0.00410942,0.0851726
3,2.28551,0.00920477,0.00385247,0.0836066
4,2.31079,0.0103377,0.00438785,0.0857192
5,2.31079,0.0103377,0.00438785,0.0857192
6,2.31453,0.0106259,0.00461141,0.0959967
7,2.31453,0.0106259,0.00461141,0.0959967
8,2.31848,0.0111286,0.0045868,0.0930733
9,2.31848,0.0111286,0.0045868,0.0930733
10,2.36754,0.0125681,0.00514495,0.0884683
11,2.39982,0.0143831,0.0060487,0.0907705
12,2.39982,0.0143831,0.0060487,0.0907705
13,2.40349,0.0148638,0.00609145,0.0929401
14,2.40349,0.0148638,0.00609145,0.0929401
15,2.40349,0.0148638,0.00609145,0.0929401
16,2.44371,0.018172,0.0075941,0.0989597
17,2.46763,0.0187983,0.00764349,0.0968388
18,2.46763,0.0187983,0.00764349,0.0968388
19,2.46763,0.0187983,0.00764349,0.0968388
20,2.46763,0.0187983,0.00764349,0.0968388
21,2.46763,0.0187983,0.00764349,0.0968388
22,2.49717,0.0217832,0.0089045,0.103469
23,2.49717,0.0217832,0.0089045,0.103469
24,2.49717,0.0217832,0.0089045,0.103469
25,2.5148,0.0227871,0.00940238,0.101606
26,2.5148,0.0227871,0.00940238,0.101606
27,2.5148,0.0227871,0.00940238,0.101606
28,2.5148,0.0227871,0.00940238,0.101606
29,2.5148,0.0227871,0.00940238,0.101606
30,2.5246,0.0233577,0.00921597,0.104596
31,2.53113,0.0228626,0.00933248,0.0988961
32,2.53113,0.0228626,0.00933248,0.0988961
33,2.53113,0.0228626,0.00933248,0.0988961
34,2.5442,0.0252815,0.00989681,0.109268
35,2.58669,0.0295201,0.0118612,0.1173
36,2.58669,0.0295201,0.0118612,0.1173
37,2.57822,0.0305824,0.0118652,0.123017
38,2.59236,0.0326305,0.0126018,0.129385
39,2.59236,0.0326305,0.0126018,0.129385
40,2.59236,0.0326305,0.0126018,0.129385
41,2.59236,0.0326305,0.0126018,0.129385
42,2.59236,0.0326305,0.0126018,0.129385
43,2.59236,0.0326305,0.0126018,0.129385
44,2.62971,0.0371597,0.0142477,0.133863
45,2.64508,0.0391507,0.0152808,0.13007
46,2.66954,0.041808,0.0160488,0.129557
47,2.66954,0.041808,0.0160488,0.129557
48,2.66954,0.041808,0.0160488,0.129557
49,2.6813,0.044435,0.0170492,0.132094
50,2.6883,0.0427014,0.017139,0.126479
51,2.6883,0.0427014,0.017139,0.126479
52,2.68409,0.0427413,0.0165979,0.126553
53,2.659,0.0400276,0.0158604,0.130354
54,2.659,0.0400276,0.0158604,0.130354
55,2.659,0.0400276,0.0158604,0.130354
56,2.65894,0.0380196,0.0150598,0.120608
57,2.65894,0.0380196,0.0150598,0.120608
58,2.6543,0.0372099,0.0145811,0.115361
59,2.66848,0.0383167,0.0145334,0.113967
60,2.68367,0.0403423,0.0153294,0.113397
61,2.70981,0.0449395,0.017114,0.122962
62,2.72665,0.0477376,0.017637,0.11941
63,2.72766,0.0510583,0.0197523,0.137588
64,2.72766,0.0510583,0.0197523,0.137588
65,2.72766,0.0510583,0.0197523,0.137588
66,2.74257,0.0527578,0.019353,0.134918
67,2.74839,0.0550294,0.0205712,0.14281
68,2.79537,0.0632412,0.0239193,0.148554
69,2.79537,0.0632412,0.0239193,0.148554
70,2.79537,0.0632412,0.0239193,0.148554
71,2.79537,0.0632412,0.0239193,0.148554
72,2.76812,0.0574562,0.021082,0.146365
73,2.76812,0.0574562,0.021082,0.146365
74,2.76812,0.0574562,0.021082,0.146365
75,2.77352,0.0628974,0.0233148,0.151962
76,2.77352,0.0628974,0.0233148,0.151962
77,2.76084,0.0555819,0.0214882,0.147363
78,2.76084,0.0555819,0.0214882,0.147363
79,2.76652,0.0585297,0.02218,0.149149
80,2.8067,0.0665747,0.0250721,0.1501
81,2.80458,0.0695971,0.0262682,0.150465
82,2.83331,0.0762952,0.0276209,0.152333
83,2.83331,0.0762952,0.0276209,0.152333
84,2.83842,0.0751694,0.0277483,0.151183
85,2.83842,0.0751694,0.0277483,0.151183
86,2.83842,0.0751694,0.0277483,0.151183
87,2.83842,0.0751694,0.0277483,0.151183
88,2.83842,0.0751694,0.0277483,0.151183
89,2.83842,0.0751694,0.0277483,0.151183
90,2.8365,0.0723483,0.0270719,0.145553
91,2.8365,0.0723483,0.0270719,0.145553
92,2.8365,0.0723483,0.0270719,0.145553
93,2.8365,0.0723483,0.0270719,0.145553
94,2.8365,0.0723483,0.0270719,0.145553
95,2.84439,0.0709951,0.0260001,0.141319
96,2.8705,0.0800765,0.0294988,0.13953
97,2.86626,0.0780396,0.028679,0.135638
98,2.86342,0.073798,0.027158,0.133558
99,2.86342,0.073798,0.027158,0.133558
100,2.86342,0.073798,0.027158,0.133558
101,2.90111,0.0866847,0.0320269,0.13495
102,2.90736,0.0832954,0.0302735,0.132689
103,2.95882,0.099684,0.0362333,0.140905
104,2.94849,0.0977294,0.0354304,0.132911
105,2.94688,0.0979896,0.0353307,0.135074
106,2.97001,0.101447,0.0369495,0.135912
107,2.98506,0.106961,0.0370769,0.131564
108,2.9804,0.105774,0.0391906,0.130695
109,2.9804,0.105774,0.0391906,0.130695
110,2.97914,0.103611,0.0382454,0.134493
111,3.00229,0.112378,0.0409245,0.136804
112,3.00229,0.112378,0.0409245,0.136804
113,2.99499,0.10984,0.0410799,0.140191
114,3.01949,0.122484,0.0433036,0.144358
115,3.01949,0.122484,0.0433036,0.144358
116,3.04663,0.133607,0.0483774,0.146745
117,3.07814,0.139527,0.049809,0.146846
118,3.07814,0.139527,0.049809,0.146846
119,3.07918,0.13746,0.0492502,0.143862
120,3.10451,0.14678,0.0531563,0.146256
121,3.08084,0.135539,0.0483432,0.140782
122,3.08084,0.135539,0.0483432,0.140782
123,3.10061,0.143582,0.051206,0.141132
124,3.10061,0.143582,0.051206,0.141132
125,3.08094,0.134725,0.0488504,0.131798
126,3.06917,0.135698,0.0479385,0.140195
127,3.05423,0.131349,0.0469825,0.139697
128,3.07153,0.13555,0.0495094,0.146937
129,3.07153,0.13555,0.0495094,0.146937
130,3.07153,0.13555,0.0495094,0.146937
131,3.06418,0.131682,0.0478546,0.143697
132,3.07231,0.13284,0.046941,0.135322
133,3.07231,0.13284,0.046941,0.135322
134,3.07231,0.13284,0.046941,0.135322
135,3.0805,0.129569,0.0468147,0.13079
136,3.08244,0.133323,0.048798,0.12862
137,3.08795,0.131924,0.0467291,0.124678
138,3.08795,0.131924,0.0467291,0.124678
139,3.05604,0.119539,0.043372,0.116378
140,3.05604,0.119539,0.043372,0.116378
141,3.07628,0.127031,0.0462768,0.115721
142,3.07843,0.121879,0.04442,0.106785
143,3.07843,0.121879,0.04442,0.106785
144,3.0823,0.127066,0.0450076,0.115555
145,3.05802,0.118615,0.0425849,0.112309
146,3.02731,0.1087,0.03974,0.11529
