ReTr(Lx),ReTr(Ly),ImTr(Lx),ImTr(Ly)
2.80689, 2.36866, -0.13147, -0.179966
6.06478, 3.40185, 0.559026, 0.92629
8.85872, 4.55675, 1.08491, 1.41694
9.83873, 4.49781, -0.261927, 0.848309
11.303, 4.21799, -0.144264, 1.55947
12.5711, 3.20414, 0.576592, 2.62708
11.7402, 2.37553, -0.450591, 2.54319
8.45317, 3.11234, -1.00351, 1.42805
10.3334, 2.30751, -2.41518, 1.83596
8.65545, 2.35476, -2.61151, 1.1187
10.5942, 1.63085, -2.89834, 0.503578
10.0885, 1.28313, -2.63739, 0.357755
10.9948, 1.27354, -1.48483, 0.345056
9.9029, 1.10139, -2.43487, 0.393161
7.46209, 1.11556, -2.25425, 0.46429
7.75675, 1.10752, -4.5933, 0.117896
8.17529, 0.985657, -5.50535, 0.440231
9.30147, 1.03913, -3.10915, 0.62627
7.80739, 0.741912, -2.80294, 0.790606
6.18891, 0.887294, -7.02805, 0.439352
6.01509, 0.583165, -6.68796, 0.440131
4.48562, 0.695795, -7.62325, 0.200643
2.88575, 0.154669, -6.93199, 0.327635
2.24255, 0.315661, -6.88455, -0.0364654
1.00782, 0.392876, -5.22199, -0.209189
1.95271, 0.431185, -4.09225, 0.168906
0.862589, 0.496385, -5.81119, 0.135325
0.408587, 0.433104, -4.8261, -0.0396204
0.101955, 0.467356, -4.88574, -0.0729343
-0.846561, 0.530346, -4.36055, -0.126936
-0.733726, 0.346423, -3.48319, -0.109947
-0.788699, 0.264696, -3.83641, 0.0383634
-0.812009, 0.211996, -3.41507, -0.169393
-0.703086, 0.215309, -2.76951, -0.0110864
-0.502047, -0.0175502, -2.65431, -0.128885
-0.255641, 0.0343486, -2.05085, -0.214211
-0.55544, -0.0122065, -2.89109, -0.0900828
-0.159036, 0.109892, -2.19659, -0.20319
-0.16817, 0.0173285, -1.96981, -0.203198
-0.302026, 0.0658568, -2.48821, -0.282712
-0.763634, 0.165415, -1.95463, -0.15288
-0.21608, 0.206052, -1.3672, -0.150874
-0.0777421, 0.17002, -1.50218, -0.304619
-0.108388, 0.100055, -0.967575, -0.17045
-0.655613, 0.0926888, -0.674044, -0.13851
-0.655613, 0.0926888, -0.674044, -0.13851
-0.444869, 0.0720246, -0.487724, -0.263138
-0.0542916, 0.169095, -0.157005, -0.20187
-0.0542916, 0.169095, -0.157005, -0.20187
-0.0542916, 0.169095, -0.157005, -0.20187
-0.041577, 0.0872365, -0.0944919, -0.191785
0.184231, 0.0203921, 0.422716, -0.287825
0.184231, 0.0203921, 0.422716, -0.287825
0.252069, 0.0139017, 0.36067, -0.15283
0.485504, 0.0441659, 0.343542, -0.189799
0.339018, 0.0133396, 0.199654, -0.172101
0.131795, -0.0415759, 0.177975, -0.0962069
0.244096, -0.02795, 0.007772, -0.00638793
0.0930992, -0.168895, -0.275967, 0.0231584
0.23808, -0.0983121, -0.254408, -0.0381904
0.20404, 0.0365399, -0.255421, 0.0231079
0.192565, -0.0217232, -0.203143, -0.106619
0.192565, -0.0217232, -0.203143, -0.106619
0.192565, -0.0217232, -0.203143, -0.106619
0.192565, -0.0217232, -0.203143, -0.106619
0.192565, -0.0217232, -0.203143, -0.106619
0.192565, -0.0217232, -0.203143, -0.106619
