MDTU,|Tr(Lx)|,|Tr(Ly)|
1,2.80996,2.37549
2,6.09048,3.52571
3,8.92491,4.77197
4,9.84221,4.57711
5,11.304,4.49704
6,12.5843,4.14343
7,11.7488,3.48007
8,8.51253,3.42432
9,10.6119,2.94879
10,9.04084,2.60699
11,10.9835,1.70683
12,10.4276,1.33207
13,11.0946,1.31946
14,10.1978,1.16946
15,7.79515,1.20833
16,9.01474,1.11377
17,9.85618,1.0795
18,9.80736,1.21326
19,8.29529,1.0842
20,9.36462,0.990112
21,8.99501,0.730614
22,8.84504,0.724146
23,7.50866,0.362308
24,7.24058,0.317761
25,5.31835,0.445097
26,4.53427,0.463087
27,5.87486,0.514501
28,4.84337,0.434912
29,4.8868,0.473013
30,4.44197,0.545326
31,3.55963,0.363451
32,3.91664,0.267462
33,3.51028,0.27136
34,2.85736,0.215594
35,2.70137,0.130074
36,2.06672,0.216948
37,2.94396,0.090906
38,2.20234,0.231003
39,1.97698,0.203935
40,2.50648,0.290282
41,2.0985,0.225243
42,1.38417,0.255383
43,1.50419,0.348854
44,0.973627,0.197647
45,0.940299,0.166662
46,0.940299,0.166662
47,0.660138,0.272817
48,0.166127,0.263334
49,0.166127,0.263334
50,0.166127,0.263334
51,0.103234,0.210693
52,0.461118,0.288546
53,0.461118,0.288546
54,0.440024,0.153461
55,0.594757,0.19487
56,0.393439,0.172617
57,0.221461,0.104806
58,0.24422,0.0286707
59,0.291248,0.170475
60,0.348433,0.105469
61,0.326913,0.0432335
62,0.279907,0.10881
63,0.279907,0.10881
64,0.279907,0.10881
65,0.279907,0.10881
66,0.279907,0.10881
67,0.279907,0.10881
68,0.279907,0.10881
69,0.279907,0.10881
70,0.279907,0.10881
71,0.279907,0.10881
72,0.340286,0.173311
73,0.340286,0.173311
74,0.340286,0.173311
75,0.340286,0.173311
76,0.340286,0.173311
77,0.258627,0.226369
78,0.16463,0.216548
79,0.0859726,0.221436
80,0.185878,0.174371
81,0.10996,0.181557
82,0.10996,0.181557
83,0.10996,0.181557
84,0.10996,0.181557
85,0.10996,0.181557
86,0.10996,0.181557
87,0.10996,0.181557
88,0.10996,0.181557
89,0.10996,0.181557
90,0.10996,0.181557
91,0.0678193,0.165104
92,0.0678193,0.165104
93,0.0710318,0.167719
94,0.0778287,0.140741
95,0.0804977,0.028578
96,0.0442498,0.0638079
97,0.0442498,0.0638079
98,0.0922935,0.107415
99,0.0227215,0.147306
100,0.0216576,0.211009
101,0.0533332,0.0600535
102,0.0533332,0.0600535
103,0.0519226,0.00799396
104,0.0728611,0.0918616
105,0.0842911,0.0739256
106,0.0842911,0.0739256
107,0.0842911,0.0739256
108,0.0842911,0.0739256
109,0.0842911,0.0739256
110,0.0842911,0.0739256
111,0.0842911,0.0739256
112,0.115981,0.111048
113,0.115981,0.111048
114,0.0810474,0.0459722
115,0.0535255,0.0877897
116,0.073152,0.0410838
117,0.073152,0.0410838
118,0.0645686,0.102626
119,0.0459126,0.0548233
120,0.0427849,0.0204497
121,0.0219719,0.0848587
122,0.0219719,0.0848587
123,0.0642086,0.0710019
124,0.0642086,0.0710019
125,0.096596,0.0947456
126,0.096596,0.0947456
127,0.082282,0.0637212
128,0.082282,0.0637212
129,0.082282,0.0637212
130,0.103908,0.0277863
131,0.0396145,0.0327054
132,0.0396145,0.0327054
133,0.0396145,0.0327054
134,0.0299561,0.0994902
135,0.0624769,0.0703133
136,0.0757353,0.183881
137,0.098345,0.138514
138,0.0820259,0.0534303
139,0.0860789,0.0687014
140,0.0860789,0.0687014
141,0.0860789,0.0687014
142,0.0440556,0.0386583
143,0.0935353,0.0577442
144,0.12352,0.0198093
145,0.0895925,0.126104
146,0.0430986,0.0491539
147,0.121729,0.0785899
148,0.108941,0.0961727
149,0.108941,0.0961727
150,0.108941,0.0961727
151,0.108941,0.0961727
152,0.0927439,0.117697
153,0.0927439,0.117697
154,0.0808327,0.163606
155,0.0150555,0.178746
156,0.0856312,0.281009
157,0.0646158,0.334012
158,0.0410986,0.290715
159,0.0753308,0.26372
160,0.0645506,0.312903
161,0.0797041,0.127014
162,0.0618611,0.122244
163,0.0618611,0.122244
164,0.119945,0.0533921
165,0.119945,0.0533921
166,0.119945,0.0533921
167,0.077988,0.0802459
168,0.07339,0.131068
169,0.126484,0.11546
170,0.0646554,0.0703614
171,0.0638039,0.0740292
172,0.0638039,0.0740292
173,0.0638039,0.0740292
174,0.0546672,0.035308
175,0.0632865,0.012992
176,0.0408984,0.0371461
177,0.087984,0.025085
178,0.0488645,0.0756239
179,0.0190612,0.0683231
180,0.0190612,0.0683231
181,0.0583311,0.0216709
182,0.117239,0.0529029
183,0.117239,0.0529029
184,0.044109,0.0178241
185,0.145958,0.0645986
186,0.1937,0.091564
187,0.157617,0.100084
188,0.157617,0.100084
189,0.157617,0.100084
190,0.157617,0.100084
191,0.157617,0.100084
192,0.157617,0.100084
193,0.157617,0.100084
194,0.100871,0.0733586
195,0.134014,0.113012
196,0.159821,0.105236
197,0.159821,0.105236
198,0.159821,0.105236
199,0.159821,0.105236
200,0.141506,0.0460563
201,0.141506,0.0460563
202,0.12752,0.086589
203,0.12752,0.086589
204,0.131326,0.066276
205,0.0841053,0.14367
206,0.0556669,0.130732
207,0.0670376,0.168931
208,0.0670376,0.168931
209,0.0731802,0.128014
210,0.0731802,0.128014
211,0.0409763,0.173342
212,0.0939268,0.138079
213,0.165571,0.100225
214,0.165571,0.100225
215,0.165571,0.100225
216,0.13534,0.111074
217,0.13534,0.111074
218,0.13534,0.111074
219,0.104702,0.0787495
220,0.0647084,0.105406
221,0.0936447,0.168169
222,0.0936447,0.168169
223,0.0936447,0.168169
224,0.166062,0.145903
225,0.166062,0.145903
226,0.136883,0.137931
227,0.0383393,0.203503
228,0.0790644,0.154238
229,0.0573104,0.1248
230,0.0582585,0.148259
231,0.0582585,0.148259
232,0.12383,0.12448
233,0.12383,0.12448
234,0.175226,0.146637
235,0.138484,0.110981
236,0.0701424,0.0898049
237,0.0701424,0.0898049
238,0.0701424,0.0898049
239,0.0701424,0.0898049
240,0.114468,0.111027
241,0.114468,0.111027
242,0.114468,0.111027
243,0.114468,0.111027
244,0.114468,0.111027
245,0.0803999,0.122839
246,0.128941,0.103431
247,0.0453092,0.169669
248,0.0876666,0.153487
249,0.0876666,0.153487
250,0.119824,0.222616
251,0.0666469,0.181442
252,0.152891,0.158494
253,0.166789,0.167011
254,0.166789,0.167011
255,0.166789,0.167011
256,0.142142,0.174211
257,0.142142,0.174211
258,0.142142,0.174211
259,0.216461,0.0470523
260,0.216461,0.0470523
261,0.243631,0.115463
262,0.234531,0.0984059
263,0.242062,0.0732952
264,0.242062,0.0732952
265,0.0460592,0.119198
266,0.0460592,0.119198
267,0.0460592,0.119198
268,0.0865801,0.148034
269,0.146269,0.0912882
270,0.135516,0.109096
271,0.146329,0.126179
272,0.0457012,0.0655951
273,0.0457012,0.0655951
274,0.0257367,0.0703331
275,0.0226635,0.0552782
276,0.0920963,0.0535154
277,0.0241503,0.0458895
278,0.0241503,0.0458895
279,0.0316401,0.0572898
280,0.0455768,0.0236204
281,0.10154,0.0228613
282,0.0216907,0.0225399
283,0.240794,0.0568834
284,0.240794,0.0568834
285,0.133556,0.0352683
286,0.118164,0.0809036
287,0.162646,0.0451133
288,0.0854371,0.072772
289,0.0854371,0.072772
290,0.121091,0.0444793
291,0.121091,0.0444793
292,0.140487,0.0987581
293,0.0615679,0.141508
294,0.0357936,0.0903911
295,0.0357936,0.0903911
296,0.0357936,0.0903911
297,0.0357936,0.0903911
298,0.0357936,0.0903911
299,0.0454361,0.0670536
300,0.127826,0.0341175
301,0.0210206,0.0947429
302,0.0210206,0.0947429
303,0.0210206,0.0947429
