ReTr(Lx),ReTr(Ly),ImTr(Lx),ImTr(Ly)
0.53927,0.552966,0.0342535,-0.0216316
0.410314,0.43406,0.0518598,-0.00545484
0.383093,0.39793,0.0486896,0.00578516
0.425089,0.4345,0.00063471,0.00352934
0.419165,0.431984,-0.0363841,0.0494944
0.438,0.381819,-0.0647355,0.0583127
0.428114,0.36791,-0.0178617,0.086416
0.377454,0.379368,-0.086471,0.0343311
0.407691,0.365214,-0.150182,0.0804913
0.377574,0.366627,-0.159247,-0.0352431
0.39349,0.33333,-0.156376,-0.0437526
0.350005,0.279751,-0.0896653,-0.0757469
0.300939,0.275732,-0.102234,-0.0555133
0.346976,0.251277,-0.130826,-0.0889412
0.30261,0.248699,-0.111848,-0.0776504
0.260864,0.280913,-0.116588,-0.0732287
0.223246,0.26117,-0.143101,-0.0480674
0.253651,0.242849,-0.133076,-0.0353034
0.258575,0.245221,-0.142178,-0.0401264
0.271037,0.218667,-0.178686,-0.0502976
0.227276,0.194607,-0.2226,-0.051334
0.214145,0.165673,-0.214353,-0.0523205
0.141164,0.134392,-0.191706,-0.0772321
0.112116,0.119608,-0.120789,-0.115413
0.0864088,0.119917,-0.116857,-0.114415
0.10026,0.0979111,-0.062368,-0.0908719
0.0920001,0.163717,-0.11978,-0.0787729
0.102255,0.15833,-0.114953,-0.0925469
0.0956495,0.178854,-0.0788013,-0.085625
0.0868943,0.182113,-0.0563348,-0.085806
0.0711201,0.154836,-0.0480036,-0.0717715
0.0748096,0.126779,-0.0904786,-0.0708946
0.0985719,0.149131,-0.0878291,-0.090349
0.0542905,0.090472,-0.0692764,-0.0923041
0.0733901,0.0793829,-0.0998669,-0.0889195
0.0556854,0.0622197,-0.100832,-0.12157
0.00950936,0.063808,-0.0706617,-0.0869771
0.0294084,0.072141,-0.0144954,-0.121264
0.0326688,0.0412791,-0.0340912,-0.0805753
0.0403229,0.028708,-0.0646261,-0.0627234
0.0526325,0.0629658,-0.0685874,-0.0708732
0.0655065,0.0703653,-0.127056,-0.02302
0.0542229,0.0533197,-0.172006,-0.0437872
0.0494514,0.0119775,-0.136439,-0.0258124
-0.00147069,-0.0268779,-0.106221,-0.0466898
-0.00147069,-0.0268779,-0.106221,-0.0466898
0.00075212,-0.0148258,-0.0965225,-0.0659926
0.0569803,0.0158796,-0.12099,-0.0549739
0.0569803,0.0158796,-0.12099,-0.0549739
0.0569803,0.0158796,-0.12099,-0.0549739
0.0490206,-0.0263304,-0.111915,-0.0825977
0.0622476,-0.0204529,-0.0715674,-0.091305
0.0622476,-0.0204529,-0.0715674,-0.091305
0.0636923,-0.0127859,-0.0380271,-0.0888454
0.104113,-0.0532166,-0.0583994,-0.0971864
0.112911,-0.0884797,-0.0515939,-0.0740462
0.050257,-0.065955,-0.0539738,-0.0195614
0.0681402,-0.0721482,-0.0666224,-0.0118345
0.0613537,-0.0955498,-0.0661174,0.00154912
0.0851859,-0.0760915,-0.089558,-0.0282369
0.0838899,-0.0376504,-0.124261,-0.000608846
0.0596636,-0.0699565,-0.0789853,-0.00840336
0.0596636,-0.0699565,-0.0789853,-0.00840336
0.0596636,-0.0699565,-0.0789853,-0.00840336
0.0596636,-0.0699565,-0.0789853,-0.00840336
0.0596636,-0.0699565,-0.0789853,-0.00840336
0.0596636,-0.0699565,-0.0789853,-0.00840336
0.0596636,-0.0699565,-0.0789853,-0.00840336
0.0596636,-0.0699565,-0.0789853,-0.00840336
0.0596636,-0.0699565,-0.0789853,-0.00840336
0.0596636,-0.0699565,-0.0789853,-0.00840336
0.0481345,-0.0278729,-0.153236,-0.0163522
0.0481345,-0.0278729,-0.153236,-0.0163522
0.0481345,-0.0278729,-0.153236,-0.0163522
0.0481345,-0.0278729,-0.153236,-0.0163522
0.0481345,-0.0278729,-0.153236,-0.0163522
0.00856102,-0.0394041,-0.109154,-0.038286
0.013983,-0.052652,-0.0598361,-0.0143521
-0.0114147,-0.0744325,-0.0678634,-0.058871
-0.00309448,-0.0645618,-0.0447666,-0.0684166
-0.0112484,-0.031293,-0.0474885,-0.0625737
-0.0112484,-0.031293,-0.0474885,-0.0625737
-0.0112484,-0.031293,-0.0474885,-0.0625737
-0.0112484,-0.031293,-0.0474885,-0.0625737
-0.0112484,-0.031293,-0.0474885,-0.0625737
-0.0112484,-0.031293,-0.0474885,-0.0625737
-0.0112484,-0.031293,-0.0474885,-0.0625737
-0.0112484,-0.031293,-0.0474885,-0.0625737
-0.0112484,-0.031293,-0.0474885,-0.0625737
-0.0112484,-0.031293,-0.0474885,-0.0625737
-0.029361,-0.0504939,-0.0355259,-0.0834509
-0.029361,-0.0504939,-0.0355259,-0.0834509
-0.00843241,-0.0250304,-0.0537714,-0.0414288
-0.00596161,-0.0117716,-0.0166989,-0.028558
0.0112299,-0.0517236,-0.0623536,-0.0123901
-0.0153352,0.014453,-0.0233581,-0.00903784
-0.0153352,0.014453,-0.0233581,-0.00903784
0.00463579,0.000246815,-0.0154785,0.0139064
0.0292558,-0.0226431,-0.0219104,-0.0240606
0.0384699,-0.00614157,-0.0725421,-0.0212524
0.031344,-0.016031,-0.0335856,-0.00518229
0.031344,-0.016031,-0.0335856,-0.00518229
0.0562395,-0.00417111,-0.0193777,0.0296634
0.0317749,-0.0126434,-0.0363319,0.0115573
0.0222553,-0.043159,0.0477597,0.0317156
