ReTr(L),ImTr(L)
1.47735,0.0541768
1.72972,0.133371
1.81491,0.0362629
1.90762,-0.179144
1.93037,-0.083689
1.93336,-0.152396
1.83841,-0.260984
1.84706,-0.265214
1.87205,-0.370885
2.02062,-0.540257
2.0169,-0.561294
2.11757,-0.39936
2.06677,-0.481626
2.29323,-0.294158
2.35539,-0.120797
2.46551,-0.228166
2.41211,-0.312865
2.23166,-0.344666
2.42694,-0.481013
2.28844,-0.472846
2.43241,-0.605169
2.47986,-0.663096
2.34921,-0.593199
2.3315,-0.611572
2.46917,-0.450794
2.55005,-0.467848
2.50082,-0.44229
2.58878,-0.283739
2.60069,-0.52863
2.40083,-0.140907
2.38594,-0.154614
2.48228,-0.3669
2.42195,-0.180214
2.37576,-0.145139
2.33841,-0.277203
2.37114,-0.29068
2.34422,-0.272436
2.29024,-0.347111
2.27961,-0.38576
2.21095,-0.484158
2.21574,-0.470346
2.23369,-0.516186
2.21775,-0.524076
2.22673,-0.53795
2.21848,-0.50837
2.21848,-0.50837
2.09357,-0.782506
2.06564,-0.506012
2.06564,-0.506012
2.06564,-0.506012
2.03126,-0.624084
1.97568,-0.597472
1.97568,-0.597472
2.03792,-0.668168
2.02237,-0.690738
2.03046,-0.6365
1.99946,-0.607367
1.98931,-0.40512
2.03545,-0.391012
1.96995,-0.181561
1.95118,-0.325334
1.96116,-0.310267
1.96116,-0.310267
1.96116,-0.310267
1.96116,-0.310267
1.96116,-0.310267
1.96116,-0.310267
1.96116,-0.310267
1.96116,-0.310267
1.96116,-0.310267
1.96116,-0.310267
1.91883,-0.34527
1.91883,-0.34527
1.91883,-0.34527
1.91883,-0.34527
1.91883,-0.34527
1.99919,-0.390647
2.06296,-0.320715
2.07834,-0.222947
2.05725,-0.251116
2.14594,-0.302744
2.14594,-0.302744
2.14594,-0.302744
2.14594,-0.302744
2.14594,-0.302744
2.14594,-0.302744
2.14594,-0.302744
2.14594,-0.302744
2.14594,-0.302744
2.14594,-0.302744
2.06861,-0.321781
2.06861,-0.321781
2.05935,-0.412793
2.02891,-0.341664
2.11459,-0.286712
2.10824,-0.195476
2.10824,-0.195476
2.01759,-0.267889
1.9339,-0.218654
2.07274,-0.099279
2.11636,-0.238036
2.11636,-0.238036
2.12611,-0.114173
2.21775,-0.164453
2.2288,-0.201159
2.2288,-0.201159
2.2288,-0.201159
2.2288,-0.201159
2.2288,-0.201159
2.2288,-0.201159
2.2288,-0.201159
2.10853,-0.27598
2.10853,-0.27598
2.12111,-0.24759
2.21964,-0.17403
2.26574,-0.179255
2.26574,-0.179255
2.2411,-0.065942
2.24135,-0.119536
2.27079,-0.160857
2.298,-0.31099
2.298,-0.31099
2.13088,-0.228382
2.13088,-0.228382
2.19306,-0.295541
2.19306,-0.295541
2.30328,-0.250377
2.30328,-0.250377
