MDTU,|Tr(L)|,ReTr(L),ImTr(L)
1,0.763687,0.763328, 0.0234241
2,0.750973,0.749988, 0.0384637
3,0.724877,0.724669, 0.0173549
4,0.707048,0.706989, -0.00913633
5,0.705164,0.705154, -0.00387076
6,0.712153,0.711997, -0.0148884
7,0.699058,0.693723, -0.0862031
8,0.70198,0.701069, -0.0357594
9,0.694844,0.690961, -0.0733516
10,0.701531,0.693568, -0.105402
11,0.684279,0.677154, -0.0984931
12,0.694729,0.691031, -0.0715849
13,0.680712,0.673899, -0.0960724
14,0.689592,0.688152, -0.0445289
15,0.691449,0.691353, 0.0115567
16,0.684724,0.684628, 0.0114776
17,0.673265,0.673161, -0.0118006
18,0.687943,0.687743, -0.0166079
19,0.682865,0.682095, -0.0324226
20,0.673405,0.672405, -0.0366854
21,0.66659,0.663242, -0.066717
22,0.676814,0.671318, -0.0860807
23,0.697782,0.686735, -0.123671
24,0.684408,0.667345, -0.151871
25,0.684283,0.670339, -0.137439
26,0.694288,0.680774, -0.136319
27,0.691502,0.678435, -0.133794
28,0.697958,0.69033, -0.102909
29,0.702646,0.688254, -0.141484
30,0.693688,0.691406, -0.0562218
31,0.684781,0.682411, -0.0569195
32,0.699324,0.691745, -0.102675
33,0.685777,0.68055, -0.0845105
34,0.693618,0.686444, -0.0995058
35,0.693553,0.682125, -0.125385
36,0.686576,0.673315, -0.134289
37,0.69416,0.677948, -0.149147
38,0.680733,0.66672, -0.137411
39,0.693684,0.677438, -0.149253
40,0.697716,0.676184, -0.171997
41,0.684445,0.665356, -0.160519
42,0.67936,0.655736, -0.177595
43,0.687626,0.66379, -0.179479
44,0.688936,0.67177, -0.152834
45,0.6952,0.679205, -0.148267
46,0.6952,0.679205, -0.148267
47,0.690243,0.653419, -0.22244
48,0.680128,0.661525, -0.157984
49,0.680128,0.661525, -0.157984
50,0.680128,0.661525, -0.157984
51,0.680557,0.654185, -0.187616
52,0.666248,0.638485, -0.190325
53,0.666248,0.638485, -0.190325
54,0.680116,0.650385, -0.19889
55,0.681369,0.656038, -0.184062
56,0.680524,0.660766, -0.162791
57,0.687575,0.661811, -0.186456
58,0.678571,0.66454, -0.137277
59,0.688661,0.677414, -0.123955
60,0.682747,0.677743, -0.0825101
61,0.668561,0.658412, -0.116049
62,0.654301,0.644158, -0.114766
63,0.654301,0.644158, -0.114766
64,0.654301,0.644158, -0.114766
65,0.654301,0.644158, -0.114766
66,0.654301,0.644158, -0.114766
67,0.654301,0.644158, -0.114766
68,0.654301,0.644158, -0.114766
69,0.654301,0.644158, -0.114766
70,0.654301,0.644158, -0.114766
71,0.654301,0.644158, -0.114766
72,0.654366,0.644208, -0.114855
73,0.654366,0.644208, -0.114855
74,0.654366,0.644208, -0.114855
75,0.654366,0.644208, -0.114855
76,0.654366,0.644208, -0.114855
77,0.658552,0.648209, -0.11626
78,0.661343,0.654525, -0.094715
79,0.655625,0.651012, -0.077631
80,0.661859,0.65717, -0.0786414
81,0.68302,0.679545, -0.068807
82,0.68302,0.679545, -0.068807
83,0.68302,0.679545, -0.068807
84,0.68302,0.679545, -0.068807
85,0.68302,0.679545, -0.068807
86,0.68302,0.679545, -0.068807
87,0.68302,0.679545, -0.068807
88,0.68302,0.679545, -0.068807
89,0.68302,0.679545, -0.068807
90,0.68302,0.679545, -0.068807
91,0.670347,0.662643, -0.101339
92,0.670347,0.662643, -0.101339
93,0.677959,0.664121, -0.136279
94,0.669534,0.659075, -0.11788
95,0.669414,0.660566, -0.108477
96,0.675671,0.673554, -0.0534418
97,0.675671,0.673554, -0.0534418
98,0.667949,0.664885, -0.0639025
99,0.665326,0.662771, -0.0582512
100,0.67864,0.677715, -0.0354291
101,0.675773,0.672432, -0.0671139
102,0.675773,0.672432, -0.0671139
103,0.674175,0.670482, -0.0704656
104,0.68267,0.680392, -0.0557135
105,0.684726,0.680604, -0.0750214
106,0.684726,0.680604, -0.0750214
107,0.684726,0.680604, -0.0750214
108,0.684726,0.680604, -0.0750214
109,0.684726,0.680604, -0.0750214
110,0.684726,0.680604, -0.0750214
111,0.684726,0.680604, -0.0750214
112,0.665881,0.659544, -0.0916478
113,0.665881,0.659544, -0.0916478
114,0.663915,0.656181, -0.10104
115,0.659032,0.657139, -0.0499234
116,0.675071,0.672269, -0.0614449
117,0.675071,0.672269, -0.0614449
118,0.680478,0.679996, -0.025607
119,0.676862,0.675368, -0.044949
120,0.678101,0.67609, -0.0521889
121,0.679332,0.671304, -0.104131
122,0.679332,0.671304, -0.104131
123,0.673665,0.668411, -0.0839696
124,0.673665,0.668411, -0.0839696
125,0.664744,0.659965, -0.0795649
126,0.664744,0.659965, -0.0795649
127,0.668049,0.66349, -0.077913
128,0.668049,0.66349, -0.077913
129,0.668049,0.66349, -0.077913
130,0.672932,0.67172, -0.0403652
131,0.65518,0.653974, -0.0397345
132,0.65518,0.653974, -0.0397345
133,0.65518,0.653974, -0.0397345
134,0.67145,0.670591, -0.0339566
135,0.676239,0.671027, -0.0837943
136,0.673776,0.671898, -0.0502838
137,0.674999,0.673421, -0.0461274
138,0.669364,0.667911, -0.0440793
139,0.673722,0.673717, -0.00243716
140,0.673722,0.673717, -0.00243716
141,0.673722,0.673717, -0.00243716
142,0.667802,0.667175, 0.028925
143,0.674196,0.672725, 0.044505
144,0.669563,0.667651, 0.0505566
145,0.679061,0.678834, 0.0175609
146,0.678409,0.677832, 0.0279536
147,0.672372,0.672334, 0.00714755
148,0.67134,0.671021, 0.0206904
149,0.67134,0.671021, 0.0206904
150,0.67134,0.671021, 0.0206904
151,0.67134,0.671021, 0.0206904
152,0.661233,0.660268, 0.0357269
153,0.661233,0.660268, 0.0357269
154,0.670361,0.67029, 0.00974629
155,0.664906,0.664892, -0.00417801
156,0.663154,0.662911, -0.0179239
157,0.657911,0.657798, 0.0122132
158,0.669876,0.669845, -0.00646501
159,0.669692,0.669253, 0.0242506
160,0.670858,0.668482, 0.0564015
161,0.662911,0.66018, 0.0601124
162,0.654948,0.652186, 0.0600842
163,0.654948,0.652186, 0.0600842
164,0.674654,0.6679, 0.0952209
165,0.674654,0.6679, 0.0952209
166,0.674654,0.6679, 0.0952209
167,0.676265,0.671839, 0.0772453
168,0.659907,0.64903, 0.119319
169,0.660572,0.652748, 0.101369
170,0.6647,0.658156, 0.093039
171,0.65426,0.648012, 0.090203
172,0.65426,0.648012, 0.090203
173,0.65426,0.648012, 0.090203
174,0.661951,0.657119, 0.0798405
175,0.663705,0.66205, 0.0468457
176,0.668655,0.657679, 0.120657
177,0.676997,0.667299, 0.114178
178,0.675557,0.660416, 0.142225
179,0.652851,0.632555, 0.16152
180,0.652851,0.632555, 0.16152
181,0.669796,0.650724, 0.158697
182,0.672691,0.65948, 0.132662
183,0.672691,0.65948, 0.132662
184,0.679053,0.667699, 0.12366
185,0.685757,0.668764, 0.151714
186,0.668955,0.658609, 0.117195
187,0.669573,0.656985, 0.129222
188,0.669573,0.656985, 0.129222
189,0.669573,0.656985, 0.129222
190,0.669573,0.656985, 0.129222
191,0.669573,0.656985, 0.129222
192,0.669573,0.656985, 0.129222
193,0.669573,0.656985, 0.129222
194,0.663134,0.652144, 0.12023
195,0.672972,0.662599, 0.117702
196,0.676651,0.671056, 0.0868366
197,0.676651,0.671056, 0.0868366
198,0.676651,0.671056, 0.0868366
199,0.676651,0.671056, 0.0868366
200,0.665752,0.660606, 0.0826145
201,0.665752,0.660606, 0.0826145
202,0.678462,0.673414, 0.0826131
203,0.678462,0.673414, 0.0826131
204,0.673509,0.662885, 0.119157
205,0.670811,0.655719, 0.141495
206,0.668199,0.659909, 0.104929
207,0.682949,0.67351, 0.113153
208,0.682949,0.67351, 0.113153
209,0.678263,0.664606, 0.135421
210,0.678263,0.664606, 0.135421
211,0.655331,0.643879, 0.121979
212,0.660681,0.651903, 0.107343
213,0.669146,0.66485, 0.075703
214,0.669146,0.66485, 0.075703
215,0.669146,0.66485, 0.075703
216,0.664667,0.662473, 0.0539629
217,0.664667,0.662473, 0.0539629
218,0.664667,0.662473, 0.0539629
219,0.679179,0.675442, 0.0711454
220,0.679593,0.677514, 0.0531223
221,0.682212,0.678675, 0.0693803
222,0.682212,0.678675, 0.0693803
223,0.682212,0.678675, 0.0693803
224,0.673529,0.671881, 0.0470863
225,0.673529,0.671881, 0.0470863
226,0.667389,0.664756, 0.0592222
227,0.659322,0.659259, -0.00914709
228,0.677773,0.677262, 0.0263114
229,0.681118,0.680658, 0.0250506
230,0.671923,0.671861, -0.00909139
231,0.671923,0.671861, -0.00909139
232,0.674898,0.674655, 0.0181031
233,0.674898,0.674655, 0.0181031
234,0.668365,0.665476, 0.0620735
235,0.676058,0.675195, 0.0341574
236,0.660027,0.65336, 0.093576
237,0.660027,0.65336, 0.093576
238,0.660027,0.65336, 0.093576
239,0.660027,0.65336, 0.093576
240,0.662063,0.651048, 0.120267
241,0.662063,0.651048, 0.120267
242,0.662063,0.651048, 0.120267
243,0.662063,0.651048, 0.120267
244,0.662063,0.651048, 0.120267
245,0.67948,0.6704, 0.110714
246,0.666101,0.648839, 0.150663
247,0.667898,0.646156, 0.169027
248,0.681778,0.659419, 0.173171
249,0.681778,0.659419, 0.173171
250,0.668967,0.649455, 0.160391
251,0.68228,0.666898, 0.144063
252,0.675973,0.653355, 0.173396
253,0.686596,0.65242, 0.21392
254,0.686596,0.65242, 0.21392
255,0.686596,0.65242, 0.21392
256,0.687393,0.653382, 0.213544
257,0.687393,0.653382, 0.213544
258,0.687393,0.653382, 0.213544
259,0.68417,0.638451, 0.245905
260,0.68417,0.638451, 0.245905
261,0.666445,0.623136, 0.236325
262,0.67756,0.609209, 0.296567
263,0.681735,0.622304, 0.278389
264,0.681735,0.622304, 0.278389
265,0.678033,0.609489, 0.297073
266,0.678033,0.609489, 0.297073
267,0.678033,0.609489, 0.297073
268,0.683943,0.592096, 0.342345
269,0.679497,0.589919, 0.337211
270,0.672653,0.57691, 0.345886
271,0.685749,0.57093, 0.379856
272,0.682342,0.580017, 0.359403
273,0.682342,0.580017, 0.359403
274,0.662305,0.58167, 0.316714
275,0.671164,0.607685, 0.284921
276,0.677049,0.613066, 0.287306
277,0.673107,0.583498, 0.335565
278,0.673107,0.583498, 0.335565
279,0.68874,0.595311, 0.346364
280,0.67777,0.587595, 0.337794
281,0.673447,0.596867, 0.311897
282,0.678927,0.599939, 0.31783
283,0.674523,0.590115, 0.32672
284,0.674523,0.590115, 0.32672
285,0.669912,0.584619, 0.327114
286,0.679532,0.590439, 0.336371
287,0.675835,0.597896, 0.315076
288,0.682381,0.608926, 0.307982
289,0.682381,0.608926, 0.307982
290,0.676778,0.604899, 0.303522
291,0.676778,0.604899, 0.303522
292,0.682921,0.632698, 0.25705
293,0.669338,0.641459, 0.191166
294,0.665257,0.646919, 0.155122
295,0.665257,0.646919, 0.155122
296,0.665257,0.646919, 0.155122
297,0.665257,0.646919, 0.155122
298,0.665257,0.646919, 0.155122
299,0.675246,0.654229, 0.167157
300,0.673747,0.666475, 0.0987256
301,0.674627,0.666162, 0.106531
302,0.674627,0.666162, 0.106531
303,0.674627,0.666162, 0.106531
304,0.674627,0.666162, 0.106531
305,0.683978,0.675327, 0.108435
306,0.668914,0.666077, 0.0615384
307,0.668948,0.666136, 0.0612731
308,0.677369,0.674471, 0.0625919
309,0.671141,0.66896, 0.0540674
310,0.67401,0.672574, 0.0439795
311,0.67401,0.672574, 0.0439795
312,0.67401,0.672574, 0.0439795
313,0.679947,0.676955, 0.0637122
314,0.669631,0.667354, 0.0551784
315,0.671623,0.671523, 0.011616
316,0.669334,0.668957, 0.0224464
317,0.674978,0.672635, 0.0561907
318,0.674978,0.672635, 0.0561907
319,0.674978,0.672635, 0.0561907
320,0.674978,0.672635, 0.0561907
321,0.674978,0.672635, 0.0561907
322,0.674978,0.672635, 0.0561907
323,0.678312,0.67594, 0.0566781
324,0.679432,0.675035, 0.0771744
325,0.66865,0.662189, 0.0927315
326,0.66865,0.662189, 0.0927315
327,0.674145,0.670161, 0.0731816
328,0.665413,0.65926, 0.0902805
329,0.665413,0.65926, 0.0902805
330,0.684283,0.67894, 0.0853412
331,0.673247,0.668532, 0.0795325
332,0.673247,0.668532, 0.0795325
333,0.673247,0.668532, 0.0795325
334,0.673247,0.668532, 0.0795325
335,0.673247,0.668532, 0.0795325
336,0.673247,0.668532, 0.0795325
337,0.673247,0.668532, 0.0795325
338,0.674051,0.662385, 0.124862
339,0.671928,0.655305, 0.148535
340,0.671928,0.655305, 0.148535
341,0.679101,0.662118, 0.150927
342,0.678979,0.663107, 0.145948
343,0.663673,0.640138, 0.175174
344,0.663673,0.640138, 0.175174
345,0.663673,0.640138, 0.175174
346,0.663673,0.640138, 0.175174
347,0.673954,0.64807, 0.184986
348,0.673954,0.64807, 0.184986
349,0.676458,0.644211, 0.206368
350,0.667152,0.650459, 0.148306
351,0.667152,0.650459, 0.148306
352,0.671289,0.657646, 0.134651
353,0.670691,0.652003, 0.157222
354,0.676435,0.658256, 0.155766
355,0.669505,0.647975, 0.168419
356,0.676022,0.665679, 0.117805
357,0.666839,0.651362, 0.142831
358,0.666941,0.650388, 0.147669
359,0.668082,0.653591, 0.138391
360,0.662188,0.647839, 0.137104
361,0.662748,0.641423, 0.166769
362,0.662748,0.641423, 0.166769
363,0.66819,0.636496, 0.203347
364,0.666124,0.601788, 0.28561
365,0.668787,0.595213, 0.304955
366,0.674227,0.584741, 0.335649
367,0.667079,0.555869, 0.368787
368,0.667079,0.555869, 0.368787
369,0.664921,0.568101, 0.345515
370,0.677013,0.564551, 0.373669
371,0.677013,0.564551, 0.373669
372,0.676167,0.583255, 0.342075
373,0.676167,0.583255, 0.342075
374,0.677442,0.578758, 0.35209
375,0.682658,0.595592, 0.333604
376,0.66912,0.578022, 0.337062
377,0.674533,0.577804, 0.348048
378,0.677733,0.566071, 0.372674
379,0.676678,0.563081, 0.375276
380,0.670583,0.557593, 0.372521
381,0.663431,0.533406, 0.394485
382,0.682564,0.534355, 0.424686
383,0.682564,0.534355, 0.424686
384,0.682564,0.534355, 0.424686
385,0.682564,0.534355, 0.424686
386,0.682564,0.534355, 0.424686
387,0.682564,0.534355, 0.424686
388,0.682564,0.534355, 0.424686
389,0.682564,0.534355, 0.424686
390,0.682564,0.534355, 0.424686
391,0.682564,0.534355, 0.424686
392,0.67583,0.508491, 0.445178
393,0.676341,0.532025, 0.417596
394,0.676341,0.532025, 0.417596
395,0.676341,0.532025, 0.417596
396,0.673611,0.56463, 0.367347
397,0.667884,0.563245, 0.35892
398,0.671668,0.557139, 0.375146
399,0.671434,0.573499, 0.349175
400,0.682392,0.570666, 0.374165
401,0.675712,0.537616, 0.409335
402,0.680166,0.532072, 0.423704
403,0.671363,0.51303, 0.433045
404,0.671363,0.51303, 0.433045
405,0.671363,0.51303, 0.433045
406,0.670561,0.523772, 0.418705
407,0.670733,0.52058, 0.422941
408,0.670733,0.52058, 0.422941
409,0.662592,0.509665, 0.423403
410,0.662592,0.509665, 0.423403
411,0.662592,0.509665, 0.423403
412,0.662592,0.509665, 0.423403
413,0.669131,0.50843, 0.435011
414,0.675323,0.509599, 0.443138
415,0.671331,0.507126, 0.439896
416,0.660681,0.516436, 0.412059
417,0.660681,0.516436, 0.412059
418,0.670171,0.535556, 0.402876
419,0.670171,0.535556, 0.402876
420,0.662147,0.520188, 0.409687
421,0.668391,0.53613, 0.399139
422,0.668985,0.535229, 0.401336
423,0.668985,0.535229, 0.401336
424,0.677,0.533714, 0.416507
425,0.677,0.533714, 0.416507
426,0.677,0.533714, 0.416507
427,0.690893,0.557489, 0.408093
428,0.672741,0.556415, 0.37813
429,0.680698,0.549599, 0.40161
430,0.680698,0.549599, 0.40161
431,0.671374,0.506173, 0.441059
432,0.671374,0.506173, 0.441059
433,0.671374,0.506173, 0.441059
434,0.680286,0.534084, 0.421359
435,0.673018,0.566401, 0.363514
436,0.680419,0.562087, 0.383441
437,0.655964,0.535526, 0.378814
438,0.666485,0.544203, 0.384767
439,0.679053,0.547418, 0.401805
440,0.674019,0.561153, 0.373376
441,0.671855,0.551538, 0.38366
442,0.671855,0.551538, 0.38366
