MDTU,abs_delta_S
1,0.06189
2,0.5476
3,0.1153
4,0.01813
5,1.254
6,0.6223
7,0.472
8,0.4981
9,1.119
10,0.3611
11,0.03488
12,0.9399
13,0.05375
14,0.6967
15,0.0205
16,0.6946
17,0.3503
18,0.3808
19,0.2104
20,0.02651
21,0.628
22,0.1897
23,0.7272
24,0.1665
25,0.6665
26,0.6788
27,0.5767
28,0.4576
29,0.3212
30,0.5253
31,0.1357
32,0.973
33,0.4615
34,0.3124
35,0.2564
36,0.3091
37,1.175
38,0.6718
39,1.034
40,0.2015
41,0.2523
42,0.4627
43,0.9712
44,0.4842
45,1.923
46,0.4182
47,0.4943
48,0.6774
49,0.3108
50,0.3037
51,0.3639
52,0.02409
53,0.3345
54,0.09837
55,0.4821
56,0.4756
57,0.4003
58,0.5227
59,0.5606
60,0.3199
61,0.7862
62,1.604
63,0.7053
64,0.7141
65,0.4985
66,0.1086
67,0.08817
68,1.006
69,1.768
70,0.9123
71,0.8604
72,0.7489
73,0.7067
74,0.7216
75,0.5667
76,0.5051
77,0.35
78,0.5684
79,0.5998
80,0.6899
81,0.3168
82,0.0183
83,0.4581
84,0.6909
85,0.6929
86,0.04304
87,0.6853
88,0.2307
89,0.3646
90,0.09071
91,0.9784
92,0.02658
93,0.9676
94,0.4798
95,0.6949
96,0.3181
97,0.7146
98,1.454
99,0.1576
100,0.7527
101,0.9118
102,1
103,0.1381
104,0.8389
105,0.6809
106,0.7765
107,0.3293
108,0.07727
109,0.9964
110,0.8263
111,0.2292
112,1.144
113,0.1615
114,0.03726
115,0.1738
116,0.02488
117,1.069
118,0.4675
119,0.5024
120,0.9199
121,0.8975
122,0.3571
123,0.255
124,0.6545
125,0.2046
126,0.2009
127,0.5784
128,0.279
129,0.3438
130,0.2012
131,0.8464
132,0.6528
133,0.1295
134,1.016
135,0.1534
136,0.00594
137,0.2835
138,0.5075
139,0.4027
140,0.1781
141,0.3985
142,0.9618
143,0.2026
144,0.2018
145,0.9851
146,0.0132
147,0.002086
148,0.1145
149,0.2738
150,0.6353
151,0.2451
152,0.2929
153,0.09774
154,0.1743
155,0.9747
156,0.4364
157,0.2033
158,0.6413
159,1.003
160,0.4759
161,0.4596
162,0.02954
163,0.05238
164,0.9307
165,0.861
166,0.7622
167,0.05045
168,0.9735
169,0.08474
170,0.2299
171,0.2214
172,0.2687
173,0.1584
174,0.6914
175,0.7813
176,0.2386
177,0.7632
178,0.1183
179,0.754
180,0.2586
181,0.8645
182,0.2994
183,0.7947
184,0.9932
185,0.03854
186,0.2736
187,0.3484
188,0.9302
189,0.9202
190,1.765
191,0.3837
192,0.6997
193,0.4235
194,0.9189
195,0.6646
196,0.07553
197,0.5845
198,0.2665
199,0.2407
200,0.1186
201,0.1322
202,0.5091
203,0.775
204,0.8516
205,0.5337
206,1.125
207,0.9772
208,0.5041
209,0.5098
210,0.06255
211,0.05558
212,0.9114
213,0.4632
214,1.606
215,0.1378
216,0.5139
217,1.093
218,0.6872
219,0.2404
220,0.8297
221,0.1661
222,0.07808
223,0.7062
224,0.5174
225,0.05994
226,0.2772
227,0.3097
228,0.3186
229,0.4478
230,0.6985
