MDTU,S_B
1,0.519425
2,0.695524
3,0.796644
4,0.857065
5,0.906548
6,0.930285
7,0.96179
8,0.970651
9,0.980207
10,0.984962
11,0.999851
12,0.999851
13,0.999851
14,0.99445
15,0.9924
16,0.998354
17,0.997151
18,0.993787
19,0.99757
20,0.99135
21,0.997604
22,0.998414
23,0.997577
24,1.00036
25,1.0001
26,0.996133
27,1.00287
28,0.995692
29,0.999603
30,1.00106
31,1.00106
32,1.00106
33,1.00106
34,1.00058
35,0.996277
36,0.990693
37,0.991249
38,0.991335
39,0.989713
40,0.986649
41,0.993602
42,0.999161
43,0.993235
44,1.00139
45,0.999817
46,1.00159
47,0.998297
48,1.00006
49,1.00005
50,0.996754
51,1.00593
52,0.995859
53,1.00525
54,1.00572
55,1.00528
56,1.00342
57,1.00526
58,1.00471
59,1.00301
60,1.00278
61,1.00538
62,0.992292
63,1.00507
64,1.00629
65,1.00442
66,1.0084
67,1.0119
68,1.00856
69,1.00337
70,1.00143
71,1.00348
72,0.997307
73,1.00638
74,1.00638
75,0.998564
76,1.00123
77,1.00134
78,1.00535
79,1.0066
80,1.00398
81,0.995652
82,0.999917
83,0.987286
84,0.999142
85,1.00604
86,1.00344
87,0.992843
88,1.00093
89,0.99389
90,1.00119
91,1.00119
92,1.00586
93,1.00586
94,0.99427
95,1.00486
96,1.00175
97,1.00318
98,1.00019
99,1.01033
100,1.00297
101,1.00423
102,1.00582
103,1.0108
104,1.00367
105,1.00201
106,1.00095
107,1.00486
108,1.00532
109,1.0044
110,0.999821
111,0.993265
112,0.997008
113,1.00206
114,1.00549
115,1.00017
116,0.995735
117,1.00941
118,1.00176
119,1.00176
120,0.997342
121,0.998125
122,0.994921
123,0.997831
124,1.00602
125,1.00296
126,0.998763
127,1.00379
128,0.998433
129,1.00045
130,1.00703
131,0.990703
132,0.996959
133,1.00541
134,0.997262
135,0.996788
136,0.996291
137,1.00179
138,1.00359
139,1.00571
140,1.00454
141,1.01218
142,1.00476
143,1.00365
144,0.999645
145,0.997087
146,0.994149
147,0.999215
148,0.999215
149,1.00388
150,0.999499
151,1.00051
152,1.00011
153,1.00468
154,0.99948
155,1.00172
156,1.00122
157,1.00122
158,0.990807
159,0.99783
160,0.990468
161,0.998764
162,0.998764
163,0.998096
164,1.00521
165,1.00852
166,1.01172
167,1.00183
168,1.00063
169,1.00437
170,1.00435
171,1.00128
172,0.999645
173,0.994245
174,0.987368
175,0.99334
176,0.998587
177,0.990922
178,0.992268
179,1.00051
180,0.995147
181,0.997108
182,1.00688
183,1.00549
184,0.996786
185,0.996786
186,0.99622
187,1.00397
188,0.996831
189,0.997748
190,0.997004
191,0.997004
192,0.99793
193,0.999897
194,0.999704
195,0.999643
196,1.00319
197,0.998859
198,1.00059
199,0.993813
200,1.00125
201,1.00125
202,1.0071
203,1.00089
204,0.999392
205,0.995307
206,0.992595
207,1.00174
208,0.999868
209,1.00186
210,0.998176
211,0.998729
212,1.00055
213,1.00389
214,1.00689
215,1.01168
216,1.00318
217,0.999706
218,1.00299
219,1.00041
220,0.999264
221,0.999469
222,0.999782
223,0.996734
224,1.00608
225,1.00171
226,1.00653
227,1.00248
228,1.00936
229,1.00065
230,1.00149
231,0.99727
232,1.00488
233,1.00064
234,0.999929
235,0.997791
236,0.996334
237,0.995797
238,1.00625
239,1.00891
240,0.999035
241,0.999035
242,0.996819
243,0.997699
244,0.997699
245,0.990731
246,0.994711
247,0.993582
248,0.986792
249,0.989942
250,0.997018
251,1.00049
252,0.990608
253,0.996896
254,0.997095
255,0.997095
256,1.0021
257,0.996222
258,1.0012
259,1.0007
260,0.99987
261,1.00454
262,0.993682
263,0.99926
264,0.997326
265,0.994365
266,0.994739
267,0.992493
268,0.991353
269,0.990431
270,0.997853
271,1.0003
272,0.995222
273,0.997108
274,0.996924
275,1.00076
276,0.995541
277,1.00185
278,0.995069
279,1.00124
280,0.991821
281,0.995295
282,0.995574
283,1.0014
284,0.99784
285,0.999541
286,1.00045
287,0.999401
288,0.995514
289,0.996293
290,0.995526
291,0.997065
292,0.993857
293,0.994162
294,0.993259
295,0.990005
296,0.995333
297,0.998835
298,0.997028
299,1.00003
300,0.992876
301,1.00175
302,1.00175
303,0.998033
304,0.995196
305,0.997994
306,0.996918
307,0.999638
308,0.996374
309,1.00047
310,1.00249
311,1.0026
312,0.997241
313,0.992847
314,0.996395
315,0.997113
316,1.00361
317,1.00361
318,1.00451
319,1.00451
320,0.999434
321,1.00096
322,1.00186
323,0.997598
324,1.01005
325,0.99368
326,1.00599
327,0.993338
328,0.997588
329,0.996833
330,0.993794
331,0.99385
332,0.992169
333,0.998518
334,0.993881
335,0.996336
336,0.996749
337,0.995777
338,0.994907
339,1.0018
340,1.00602
341,1.00174
342,1.00047
343,1.00648
344,0.996046
345,1.0037
346,0.991679
347,1.00172
348,0.990379
349,1.00514
350,1.00056
351,1.00228
352,0.995264
353,1.00135
354,0.994276
355,0.992444
356,0.997904
357,0.99581
358,0.994809
359,0.991791
360,0.990905
361,1.00103
362,0.998942
363,1.00378
364,0.999591
365,1.00046
366,0.995946
367,1.00268
368,1.00168
369,0.995638
370,1.00477
371,0.997205
372,1.00297
373,0.998705
374,1.00392
375,1.00173
376,1.00173
377,1.00145
378,0.993948
379,0.997133
380,0.998642
381,1.00466
382,1.00529
383,0.996761
384,0.994205
385,0.996123
386,0.999814
387,0.997365
388,0.99204
389,1.00592
390,1.00856
391,1.01057
392,1.00262
393,0.998684
394,1.00525
395,1.01046
396,1.00425
397,0.996823
398,0.998728
399,0.99422
400,0.998557
401,0.996151
402,0.992161
403,0.992161
404,0.998762
405,1.00369
406,0.993747
407,0.993747
408,0.995887
409,0.988221
410,1.00832
411,1.00538
412,1.00538
413,1.00538
414,0.995098
415,1.00596
416,1.00181
417,1.00157
418,0.997943
419,1.00807
420,1.00227
421,1.00232
422,1.00232
423,1.00526
424,1.00574
425,0.994952
426,0.996447
427,0.990314
428,0.994391
429,0.995714
430,0.995978
431,1.00029
432,1.00295
433,1.00226
434,0.99631
435,1.00203
436,1.00203
437,1.00201
438,0.998466
439,1.0057
440,1.01029
441,1.007
442,1.00117
443,0.999521
444,0.985653
445,0.996883
446,0.996598
447,1.00011
448,1.00459
449,1.00056
450,1.00309
451,0.992585
452,1.00304
453,0.997753
454,0.999741
455,0.999095
456,0.999467
457,0.998883
458,1.00602
459,1.00226
460,1.00769
461,1.00196
462,1.00196
463,0.996657
464,0.995207
465,0.998583
466,1.00017
467,0.99543
468,0.994479
469,0.995698
470,0.990325
471,1.00145
472,1.00145
473,0.994168
474,0.990496
475,0.997443
476,0.995996
477,0.997488
478,0.993849
479,1.00416
480,1.00773
481,1.00249
482,1.00702
483,1.01047
484,1.00077
485,1.00077
486,0.994048
487,0.999674
488,1.00291
489,1.00324
490,1.00162
491,0.999657
492,1.00478
493,1.00478
494,0.998071
495,0.99967
496,0.994279
497,0.995751
498,0.995751
499,1.00624
500,1.00585
501,1.00158
502,1.00374
503,0.998218
504,0.998218
505,0.996288
506,0.995079
507,0.992581
508,0.98824
509,0.990861
510,0.990861
511,0.986614
512,0.991467
513,0.992306
514,0.997983
515,1.00139
516,1.00475
517,1.00881
518,1.0065
519,1.01218
520,1.00641
521,1.00364
522,1.00657
523,1.00657
524,1.00657
525,1.00415
526,1.00494
527,1.00496
528,1.00479
529,1.00583
530,0.995914
531,1.00357
532,1.00022
533,0.998838
534,0.993277
535,0.993277
536,1.00501
537,1.00285
538,1.00385
539,1.00385
540,1.00385
541,0.996293
542,0.992107
543,0.995232
544,0.991483
545,0.992913
546,0.998628
547,0.998628
548,0.997283
549,0.997283
550,0.997283
551,0.991613
552,0.992801
553,0.985199
554,0.988714
555,0.998493
556,1.00508
557,1.00496
558,1.0019
559,1.0019
560,1.00283
561,1.00344
562,1.00113
563,1.00113
564,0.989905
565,1.00487
566,0.995093
567,0.997872
568,1.00517
569,0.99144
570,0.994634
571,0.993119
572,0.99374
573,1.00411
574,1.00544
575,1.00544
576,1.0057
577,0.999273
578,0.990543
579,0.993905
580,1.00067
581,0.996523
582,0.996749
583,1.0058
584,1.00241
585,1.00082
586,1.001
587,1.00571
588,0.999145
589,1.0015
590,0.999456
591,1.00068
592,1.00843
593,0.99677
594,1.00612
595,1.00232
596,1.00079
597,0.995317
598,0.990824
599,0.994743
600,0.992721
601,0.995495
602,1.00305
603,1.00296
604,1.00296
605,0.996413
606,0.996131
607,0.994551
608,0.998049
609,1.00429
610,1.00439
611,1.00439
612,0.999307
613,1.00294
614,1.00095
615,1.00042
616,0.997167
617,1.00411
618,1.01
619,1.00137
620,0.999372
621,1.00654
622,0.995332
623,0.993774
624,0.994059
625,0.996765
626,0.993875
627,1.0009
628,0.998005
629,1.00266
630,1.00049
631,0.995236
632,0.993908
633,0.998393
634,0.998104
635,1.00712
636,0.996741
637,1.00315
638,0.998523
639,1.00416
640,1.00416
641,1.00503
642,1.00464
643,1.00716
644,1.00716
645,1.00141
646,1.00541
647,1.00248
648,0.993215
649,1.00082
650,0.999782
651,1.00234
652,1.00763
653,0.995864
654,0.998172
655,0.994025
656,0.999528
657,0.995178
658,0.996903
659,0.993919
660,1.0003
661,0.999759
662,0.993197
663,0.999711
664,0.995653
665,0.998562
666,0.994387
667,0.995291
668,0.995291
669,0.997456
670,0.992648
671,0.995646
672,0.998561
673,0.997184
674,1.00107
675,0.997877
676,0.998284
677,0.997695
678,0.997695
679,0.993308
680,0.991137
681,0.993499
682,0.999143
683,0.999143
684,0.999183
685,0.997805
686,1.00036
687,1.00057
688,1.00057
689,1.01196
690,1.00188
691,1.00188
692,1.00226
693,0.998878
694,1.00307
695,1.00318
696,0.995645
697,0.997248
698,0.99847
699,1.00184
700,0.993087
701,0.994237
702,0.994474
703,1.0002
704,1.00249
705,1.00482
706,0.997247
707,0.998051
708,1.00024
709,1.00254
710,0.9979
711,0.994887
712,1.00505
713,0.998321
714,0.994474
715,0.988147
716,0.997535
717,0.999862
718,0.99475
719,0.999942
720,0.999563
721,0.997351
722,0.996232
723,1.00103
724,1.00082
725,0.999081
726,0.99908
727,1.00036
728,1.00268
729,0.998937
730,0.994493
731,0.989606
732,0.990269
733,0.994033
734,1.00526
735,0.993823
736,0.999722
737,1.00133
738,0.995237
739,0.994675
740,0.995428
741,0.998777
742,1.00318
743,0.996178
744,1.00347
745,1.00215
746,1.00215
747,1.0031
748,0.995706
749,0.995706
750,1.00568
751,0.99225
752,0.989292
753,0.995804
754,0.994832
755,0.993748
756,0.998421
757,1.00387
758,1.00649
759,1.00373
760,1.00373
761,1.0003
762,1.0017
763,1.00034
764,1.00442
765,0.994947
766,1.00121
767,0.998499
768,0.997539
769,0.995904
770,1.00278
771,1.0016
772,1.0016
773,0.992325
774,0.999463
775,1.00035
776,1.00551
777,1.00551
778,0.995872
779,0.997478
780,0.997478
781,0.995763
782,0.995763
783,0.996622
784,1.00405
785,1.00141
786,1.00141
787,0.99323
788,0.991857
789,0.98566
790,1.00166
791,0.996445
792,0.99737
793,0.996909
794,0.997816
795,0.995622
796,0.993143
797,0.995945
798,1.00589
799,1.00737
800,1.00302
801,1.00341
802,1.00341
803,1.01188
804,1.00217
805,1.00156
806,1.00148
807,1.00632
808,1.00206
809,1.00367
810,1.00063
811,0.989623
812,1.00408
813,1.00408
814,1.00459
815,1.0023
816,1.00046
817,1.00653
818,0.997612
819,1.00086
820,0.996027
821,0.996936
822,0.999185
823,0.990803
824,0.990735
825,1.00029
826,0.994392
827,0.990752
828,0.993941
829,0.994114
830,0.993013
831,0.993013
832,0.993013
833,0.996727
834,0.997336
835,0.998145
836,1.00285
837,1.00274
838,0.997007
839,0.993462
840,0.985229
841,0.982692
842,0.987426
843,0.996047
844,0.995824
845,0.99858
846,0.996088
847,0.997261
848,0.990141
849,0.999729
850,0.996457
851,0.991494
852,0.99529
853,1.00263
854,1.00145
855,1.00077
856,1.00077
857,1.00305
858,0.99747
859,1.00558
860,0.997266
861,0.997266
862,1.00153
863,1.00408
864,1.00011
865,0.995372
866,0.998634
867,0.998328
868,1.00112
869,0.994033
870,1.00325
871,1.00325
872,0.997142
873,0.999218
874,0.994989
875,0.994566
876,0.99778
877,0.990255
878,0.998153
879,0.990081
880,0.995901
881,0.99979
882,1.00062
883,1.00084
884,1.00085
885,1.00085
886,1.00578
887,1.00578
888,0.999851
889,1.00159
890,0.997707
891,0.997707
892,0.99776
893,1.00191
894,1.00576
895,1.00423
896,1.00423
897,1.00216
898,1.00249
899,0.996838
