MDTU,susyTrans,Im(bilin)
10,-0.0780291,0.000750928
20,-0.092999,-0.00101643
30,0.0331787,-0.000449262
40,-0.046151,-0.00360553
50,-0.0354622,0.000632553
60,0.0277062,0.00505065
70,-0.0176741,0.00300112
80,-0.0175537,-0.000380394
90,0.0446396,0.0007576
100,0.0231066,-0.00326203
110,-0.00544082,-0.00410492
120,-0.0264994,-0.00308071
130,0.0530218,0.000256279
140,-0.0457399,0.0024679
150,-0.0812039,-0.00248917
160,-0.0172058,-0.000202098
170,0.0470979,-0.00045547
180,-0.0163759,0.000766878
190,-0.0504804,0.00111001
200,0.0101119,-0.000777292
210,-0.0490748,-0.000391501
220,-0.0454068,-0.00184453
230,-0.107471,0.000432107
240,-0.00129952,-0.0011806
250,-0.0185035,-6.10172e-05
260,-0.0251737,0.001178
270,-0.0179722,-0.00119509
280,0.0344969,0.00362917
290,-0.0725818,0.000788141
300,-0.0136864,-0.00109801
310,-0.0775452,-0.00355353
320,0.0771675,0.00137537
330,0.0275117,-0.00389092
340,-0.0343651,-0.000402744
350,-0.0347256,0.00041065
360,0.00505309,0.000931392
370,-0.0368285,0.00346967
380,0.000609335,0.00469212
390,0.0207662,0.00179196
400,-0.000931696,0.000204724
410,-0.0121892,-0.00144716
420,0.0556441,-0.000516759
430,-0.022249,0.00311537
440,-0.0765375,-0.00143976
450,-0.0346402,0.00038969
460,0.130354,0.00163832
470,0.00753039,-0.000642401
480,-0.0487915,-0.000432388
490,-0.048227,0.00051151
500,0.0974141,0.000953306
510,0.0503252,-0.00354196
520,-0.0216447,0.00264769
530,0.00698232,0.000574185
540,0.0792178,-0.00368651
550,-0.0330216,-3.15564e-05
560,-0.0164804,-0.00389017
570,-0.014127,0.000830728
580,-0.0978934,-0.00134582
590,0.0850023,0.000176588
600,0.0272235,-0.00115662
610,0.0147078,0.00121473
620,-0.00624816,0.00559184
630,-0.029608,-0.00151846
640,0.0515896,-0.000245698
650,0.0286618,-0.000366315
660,0.0786209,0.000448174
670,-0.0208538,0.000479987
680,-0.0692421,-0.00413407
690,0.0138018,-0.00147137
700,-0.00338381,-2.60622e-05
710,-0.0280119,-0.00225926
720,0.0393848,0.00230061
730,-0.0766516,0.00285084
740,0.0281417,-0.00077374
750,0.033286,-0.000210257
760,-0.022934,-0.00256172
770,-0.00272332,-0.000550232
780,-0.0241774,0.00259002
790,0.0257592,-0.00334928
800,-0.0784401,0.00123017
810,-0.00705725,-0.00090992
820,0.00884686,-0.00578142
830,0.00559478,0.00421855
840,0.00233094,0.000787485
850,-0.0789327,0.00550601
860,0.0290674,-0.00689897
870,0.0150957,-0.00168005
880,-0.0878216,0.00127805
890,0.0229096,-0.00286789
900,0.0496254,0.00538959
910,0.0191245,0.00274651
920,-0.0366892,0.00336166
930,-0.0618052,0.00456638
940,0.00865754,-0.00230611
950,-0.0325163,-0.0024661
960,0.0843439,0.00115897
970,0.036658,-0.000512628
980,-0.0339867,-0.000858373
990,-0.00724686,0.00099919
1000,0.0159945,0.00415472
1010,-0.0563328,0.00231948
1020,-0.0481141,0.0031587
1030,-0.067524,-0.00166539
1040,0.0291494,-0.00334213
1050,0.0906636,0.00186224
1060,0.0262546,0.00534812
1070,-0.00960907,0.000278267
1080,0.0711396,0.000288025
1090,0.0307365,-0.00174786
1100,8.06736e-05,-0.000911266
1110,-0.0301389,0.000960972
1120,-0.0623805,5.41906e-05
