t,cg_iters
1,5009
2,7065
3,7788
4,8315
5,8527
6,9129
7,8750
8,8168
9,7877
10,8486
11,6632
12,6396
13,6265
14,6364
15,5967
16,5780
17,5852
18,6036
19,5842
20,5324
21,5696
22,5889
23,5834
24,6087
25,5739
26,5602
27,5519
28,5467
29,5286
30,5349
31,5269
32,5446
33,5758
34,5675
35,5433
36,5271
37,5345
38,5424
39,5221
40,5360
41,5718
42,5674
43,5737
44,5902
45,5992
46,5880
47,5762
48,5762
49,5087
50,5100
51,5467
52,5609
53,5410
54,5110
55,4887
56,5301
57,4964
58,4837
59,4904
60,5022
61,5031
62,4804
63,5087
64,5254
65,5296
66,5086
67,5274
68,5185
69,4907
70,4885
71,5128
72,5155
73,5021
74,4883
75,4935
76,5307
77,5665
78,5477
79,5377
80,5282
81,5126
82,5066
83,5218
84,5767
85,5901
86,5991
87,5889
88,5427
89,5602
90,5466
91,5125
92,4959
93,5243
94,5045
95,5314
96,5478
97,5553
98,5246
99,5081
100,4945
101,4887
102,5028
103,5198
104,4977
105,5274
106,5364
107,5162
108,5178
109,5115
110,5364
111,5534
112,5459
113,5588
114,5453
115,5302
116,5158
117,5223
118,4901
119,5120
120,4893
121,4988
122,5035
123,4922
124,5160
125,5375
126,5304
127,5429
128,5284
129,5386
130,5240
131,5106
132,5363
133,5885
134,6141
135,6190
136,5799
137,5149
138,5171
139,5292
140,5034
141,4763
142,4902
143,4812
144,4850
145,4813
146,4795
147,4890
148,4730
149,4643
150,4910
151,5145
152,4931
153,4904
154,4857
155,4719
156,4689
157,4704
158,4871
159,4614
160,4680
161,4672
162,4516
163,4618
164,4639
165,4676
166,4541
167,4426
168,4447
169,4653
170,4662
171,4646
172,4640
173,4587
174,4583
175,4502
176,4543
177,4645
178,4667
179,4550
180,4492
181,4589
182,4712
183,4825
184,4827
185,4652
186,4719
187,4827
188,4697
189,4642
190,4789
191,5067
192,5106
193,5220
194,5249
195,4930
196,4908
197,4869
198,4724
199,4702
200,4809
201,4717
202,4795
203,4843
204,4671
205,4627
206,4646
207,4556
208,4733
209,4699
210,4659
211,4539
212,4453
213,4553
214,4564
215,4678
216,4633
217,4622
218,4638
219,4640
220,4612
221,4659
222,4608
223,4623
224,4595
225,4449
226,4573
227,4605
228,4577
229,4637
230,4582
231,4536
232,4596
233,4683
234,4620
235,4612
236,4572
237,4586
238,4659
