MDTU,link
1,1.09328
2,1.11177
3,1.09946
4,1.10235
5,1.10027
6,1.08862
7,1.10037
8,1.09107
9,1.0988
10,1.08801
11,1.10069
12,1.10069
13,1.10069
14,1.08798
15,1.091
16,1.09553
17,1.08821
18,1.09209
19,1.09345
20,1.0866
21,1.09202
22,1.09335
23,1.08999
24,1.09669
25,1.09069
26,1.08885
27,1.09048
28,1.09134
29,1.09055
30,1.09446
31,1.09446
32,1.09446
33,1.09446
34,1.08789
35,1.09227
36,1.09308
37,1.0941
38,1.0935
39,1.0949
40,1.08843
41,1.09606
42,1.09364
43,1.08802
44,1.09436
45,1.09224
46,1.08919
47,1.09499
48,1.09318
49,1.08899
50,1.09122
51,1.09548
52,1.09102
53,1.08888
54,1.09187
55,1.09299
56,1.08986
57,1.09683
58,1.08809
59,1.09578
60,1.09604
61,1.09077
62,1.09546
63,1.09112
64,1.09862
65,1.08946
66,1.09726
67,1.08865
68,1.09682
69,1.09237
70,1.09435
71,1.09146
72,1.09588
73,1.09588
74,1.08942
75,1.09553
76,1.0915
77,1.09582
78,1.0909
79,1.09371
80,1.09431
81,1.09486
82,1.09486
83,1.09438
84,1.09597
85,1.09344
86,1.09447
87,1.09183
88,1.09781
89,1.09135
90,1.09604
91,1.08884
92,1.10261
93,1.09113
94,1.09493
95,1.09232
96,1.08855
97,1.09725
98,1.08899
99,1.09452
100,1.09211
101,1.08794
102,1.08861
103,1.09414
104,1.09291
105,1.08706
106,1.09475
107,1.09217
108,1.09823
109,1.09796
110,1.09182
111,1.09624
112,1.10171
113,1.10173
114,1.10285
115,1.10892
116,1.10365
117,1.10671
118,1.10454
119,1.10454
120,1.10355
121,1.10813
122,1.09634
123,1.10337
124,1.1038
125,1.0984
126,1.10729
127,1.0987
128,1.10256
129,1.0874
130,1.10536
131,1.10069
132,1.09977
133,1.10423
134,1.10058
135,1.09595
136,1.10094
137,1.09363
138,1.09203
139,1.09634
140,1.08922
141,1.09139
142,1.09345
143,1.09274
144,1.09983
145,1.08947
146,1.08947
147,1.09931
148,1.09034
