MDTU,0,2,4,6,8,10
10,15.7759,15.7091,15.6258,15.5588,15.4971,15.3943
20,15.4271,15.3474,15.3384,15.278,15.1173,15.1051
30,15.7268,15.5545,15.232,15.2184,15.2036,15.1948
40,15.4551,15.3316,15.0575,14.9812,14.962,14.9341
50,15.4867,15.2221,15.1098,15.0061,14.9536,14.9113
60,15.5314,15.4351,15.2152,15.1665,15.063,14.9496
70,15.4485,15.3469,14.8793,14.8172,14.8101,14.7835
80,15.3155,15.203,15.17,15.1259,15.1183,15.0546
90,15.6125,15.3724,15.3143,15.204,15.0614,14.9982
100,15.3709,15.3179,15.1926,15.1486,15.1013,15.0773
110,15.5384,15.5049,15.4506,15.426,15.4062,15.3913
120,15.7511,15.6813,15.648,15.564,15.4664,15.4386
130,15.5738,15.4141,15.2767,15.2686,15.2211,15.1856
140,15.2637,15.1317,15.095,15.005,14.9977,14.8341
150,15.2554,15.1688,15.0788,15.031,14.9221,14.8769
160,15.5661,15.4843,15.4436,15.2649,15.2155,15.0975
170,15.8048,15.6856,15.4413,15.3936,15.3651,15.3105
180,15.7647,15.7359,15.4345,15.3305,15.272,15.2146
190,15.9898,15.9348,15.6383,15.6155,15.5851,15.5736
200,15.9467,15.8933,15.6581,15.6188,15.4829,15.4233
210,15.9542,15.9034,15.8367,15.6587,15.6426,15.6108
220,15.421,15.3549,15.2454,15.2151,15.1688,15.1168
230,15.8385,15.7775,15.7125,15.6621,15.5995,15.5919
240,16.3,16.1682,15.829,15.7375,15.5815,15.5514
250,16.1013,15.9975,15.5324,15.5158,15.3833,15.3458
260,16.0908,15.7599,15.3661,15.2687,15.2438,15.2236
270,16.6077,16.2045,16.0069,16.002,15.8994,15.775
280,15.93,15.8478,15.6386,15.5509,15.4595,15.4332
290,15.2073,15.1205,15.1102,15.0716,15.0658,15.0541
300,15.2918,15.2062,15.1641,15.1105,15.0759,14.9731
310,15.7996,15.7132,15.4651,15.3567,15.2587,15.1879
320,14.8888,14.881,14.8362,14.8176,14.7886,14.775
330,15.2871,15.1788,15.0263,14.9694,14.9148,14.9041
340,15.6608,15.5036,15.4403,15.3915,15.364,15.2873
350,15.8482,15.7405,15.4919,15.3755,15.3391,15.2172
360,15.544,15.454,15.1212,15.0457,14.9501,14.9329
370,15.3542,15.2535,15.1783,15.1646,15.1299,15.1155
380,15.5729,15.431,15.2128,15.1792,15.1466,15.084
390,15.5418,15.4516,15.3235,15.3016,15.1967,15.1714
400,15.8549,15.756,15.7249,15.6965,15.6311,15.5976
410,16.15,16.097,15.9235,15.8486,15.8443,15.7855
420,16.1453,16.0574,15.7086,15.6932,15.6573,15.6228
430,17.06,16.8861,16.3589,16.2468,16.1664,16.064
440,16.426,16.3736,16.2511,16.1609,16.1197,16.1086
450,16.7437,16.6724,16.4401,16.3651,16.3032,16.2814
460,16.9035,16.8369,16.7776,16.7276,16.5267,16.4558
470,16.997,16.8798,16.7957,16.7088,16.6177,16.5888
480,17.3105,17.2493,17.1575,17.1195,16.91,16.868
490,17.6108,17.5349,17.2278,17.1556,17.1321,17.0864
500,17.4768,17.4187,17.3758,17.2772,17.143,17.104
510,17.3315,17.2156,17.1646,17.1216,17.1162,16.9749
520,17.7095,17.5965,17.5534,17.5101,17.4107,17.378
530,17.5666,17.3443,16.9823,16.9073,16.798,16.7861
540,17.5523,17.3547,17.2748,17.1257,17.0095,16.8305
550,16.5044,16.4716,16.4283,16.4008,16.3921,16.3201
560,16.3084,16.1928,16.1191,16.0778,16.0485,16.0164
570,15.8629,15.8568,15.8396,15.7347,15.6809,15.6753
580,16.4329,16.2903,16.1293,16.1069,16.0869,16.0599
590,16.4502,16.2468,16.2021,16.1036,16.0917,16.0338
600,16.1339,16.0447,16.0156,15.9318,15.8941,15.8563
610,16.5958,16.5478,16.4731,16.4664,16.2466,16.1984
620,16.585,16.5365,16.3157,16.3056,16.2837,16.2822
630,16.2483,16.2053,16.1546,16.1103,15.9609,15.8991
640,15.7845,15.7712,15.7158,15.6892,15.6791,15.6677
650,16.0199,15.9833,15.911,15.8127,15.5361,15.4306
660,15.491,15.4278,15.2236,15.2064,15.1802,15.1667
670,15.1793,15.1314,15.0518,14.9977,14.9856,14.9577
680,15.8067,15.7388,15.3895,15.3801,15.3569,15.2955
690,15.9078,15.6353,15.4482,15.4171,15.3289,15.2544
700,15.1273,15.044,14.9804,14.9498,14.9364,14.9267
710,15.2652,15.2632,15.136,15.088,14.9635,14.9267
720,15.0933,15.0737,15.0181,15.0049,14.9591,14.9341
730,16.1344,15.9756,15.7047,15.5921,15.473,15.3692
740,15.3322,15.2132,15.1961,15.135,15.1314,15.0707
750,15.6662,15.5702,15.2501,15.1335,15.1019,15.072
760,15.6003,15.4445,15.3719,15.2927,15.2343,15.078
770,15.4577,15.3961,15.2102,15.156,15.1249,15.067
780,16.3794,16.272,15.9816,15.9479,15.8776,15.8505
790,15.5466,15.5215,15.4941,15.4363,15.3843,15.3783
800,15.8534,15.6378,15.6112,15.4184,15.3937,15.3703
810,15.4543,15.3373,15.2246,15.0963,15.0868,15.0481
