MDTU,|det-1|^2,1-Re(det),Im(det)
1,0.267124,-0.1799,-0.000306232
2,0.383386,-0.19772,0.000377245
3,0.360888,-0.1032,-0.00140601
4,0.41291,-0.09938,0.000314809
5,0.411327,-0.06522,-0.00173659
6,0.396786,-0.01366,-0.00208498
7,0.409707,-0.04229,-0.0024421
8,0.372705,-0.00083,-0.0010569
9,0.393644,-0.03524,-0.000647947
10,0.386445,0.014002,-0.00158543
11,0.411998,-0.03314,-0.00190239
12,0.411998,-0.03314,-0.00190239
13,0.411998,-0.03314,-0.00190239
14,0.382351,0.010633,-0.00236251
15,0.41027,-0.00023,-0.000324021
16,0.402062,-0.01694,0.00049043
17,0.379593,0.014779,0.00198058
18,0.388139,-0.00068,0.00126613
19,0.409653,-0.00353,0.00323862
20,0.377961,0.025635,0.00219993
21,0.411917,-0.00088,0.00196088
22,0.430657,-0.00478,0.000800757
23,0.44491,0.009078,0.00236337
24,0.450347,-0.01765,0.00149534
25,0.421074,0.010572,-0.00152236
26,0.427784,0.008583,-9.64833e-05
27,0.436673,0.007866,0.00172628
28,0.408481,0.002135,0.000140103
29,0.41248,0.004576,0.000621996
30,0.411072,-0.00922,-0.00282807
31,0.411072,-0.00922,-0.00282807
32,0.411072,-0.00922,-0.00282807
33,0.411072,-0.00922,-0.00282807
34,0.403181,0.014489,-5.32947e-05
35,0.395819,-0.00596,0.000633637
36,0.405268,-0.00396,-3.01527e-05
37,0.401411,-0.008,-0.00433125
38,0.408997,-0.00508,-0.00108678
39,0.404128,-0.00754,0.00179744
40,0.394717,0.010097,0.000877487
41,0.399713,-0.01775,-0.00142578
42,0.39059,0.001133,-4.72799e-06
43,0.373606,0.019738,-0.000782352
44,0.403572,-0.01086,0.000718438
45,0.402346,0.004457,0.00103022
46,0.395895,0.019875,9.84109e-05
47,0.405355,-0.00821,0.00071014
48,0.391009,-0.00265,0.000953603
49,0.395928,0.010208,0.00153626
50,0.417583,0.001557,0.000497748
51,0.443068,-0.0126,-0.00192296
52,0.410647,0.005819,0.00149776
53,0.430136,0.012418,-0.00211038
54,0.43315,0.004166,-0.00127512
55,0.438067,0.008761,-0.00122916
56,0.421468,0.030688,0.00154759
57,0.428363,-0.00305,-0.00222207
58,0.39454,0.030375,0.000358349
59,0.415647,-0.00149,-0.000749513
60,0.425307,-0.00622,0.0014636
61,0.42079,0.008907,0.00109994
62,0.409762,0.001261,0.0013174
63,0.385245,0.021383,-0.000148289
64,0.428809,-0.01121,0.00134933
65,0.397483,0.033599,-0.0013016
66,0.407654,-0.00699,0.000324755
67,0.395664,0.02724,0.000521566
68,0.402605,-0.00926,-0.00153137
69,0.402164,0.018134,0.00126988
70,0.401893,0.004221,0.000212691
71,0.397798,0.017788,0.000160189
72,0.404878,-0.01282,0.00132514
73,0.404878,-0.01282,0.00132514
74,0.400468,0.022001,-0.00160868
75,0.413856,-0.00743,-0.000570917
76,0.405934,0.016509,-0.000587732
77,0.416698,-0.0108,0.000152166
78,0.382169,0.011871,-0.000231946
79,0.391445,0.00754,0.00137519
80,0.397828,0.009085,-0.00297064
81,0.419674,0.002656,-0.000182448
82,0.419674,0.002656,-0.000182448
83,0.406792,0.010843,-0.00258246
84,0.408124,0.003076,0.000169006
85,0.402319,0.006899,0.00137043
86,0.402621,0.00571,0.00217284
87,0.398388,0.009787,-0.00137878
88,0.423095,0.001292,-0.000117302
89,0.413673,0.016964,-0.00170918
90,0.408596,-0.00283,0.00117602
91,0.394291,0.02868,0.00101255
92,0.416612,-0.02801,-0.000570937
93,0.395558,0.01371,0.000372383
94,0.413807,-0.00473,0.0017786
95,0.410793,0.006772,-0.000497284
96,0.390763,0.019402,-0.000361379
97,0.399803,-0.00986,0.00139331
98,0.384536,0.017671,-0.00289939
99,0.411279,-0.00162,0.00104298
100,0.427176,-0.00185,-0.000434982
101,0.407095,0.015696,-0.000568167
102,0.419189,0.017812,0.000687885
103,0.441789,-0.00619,0.000361101
104,0.422561,0.009688,0.00121506
105,0.443071,0.025872,0.00159751
106,0.464497,-0.01304,0.000491934
107,0.432317,0.014228,-0.000371192
108,0.43215,-0.00913,-0.000331092
109,0.414288,-0.00553,-0.00175706
110,0.392643,0.016854,-0.00207316
111,0.410125,0.002144,-0.00161095
112,0.391773,-0.01086,-0.00212816
113,0.403353,0.001031,-1.69416e-05
114,0.390727,0.012298,0.00170693
115,0.400369,-0.00705,0.00176643
116,0.391323,0.012536,-0.0016559
117,0.405422,-0.00397,0.00101598
118,0.401758,0.004623,-0.00157684
119,0.401758,0.004623,-0.00157684
120,0.401421,0.006572,-0.000207829
121,0.445944,-0.01744,0.000493718
122,0.396228,0.029687,0.00138139
123,0.411563,0.006164,-0.00163398
124,0.436393,-0.00139,-0.00208883
125,0.407342,0.012429,-0.00031049
126,0.439503,-0.02007,0.000660871
127,0.445802,0.01252,-0.00040845
128,0.443722,-0.00174,-0.00128599
129,0.407343,0.049098,7.81555e-05
130,0.42007,-0.01246,0.0008707
131,0.400597,0.004573,0.000412102
132,0.429956,0.007017,-0.00190604
133,0.448881,-0.01988,7.56547e-05
134,0.430054,0.007296,-0.00186181
135,0.420735,0.009402,0.00118002
136,0.448769,-0.01126,0.00133595
137,0.411145,0.013513,-0.00148572
138,0.427127,0.008016,-0.00154877
139,0.444275,-0.00217,-0.000348134
140,0.420865,0.016068,-0.000804665
141,0.421541,0.020106,0.00196369
142,0.420788,0.004055,0.00215255
143,0.436376,0.006146,0.000342195
144,0.449435,-0.01579,-0.0025625
145,0.429944,0.013825,-0.000304024
146,0.429944,0.013825,-0.000304024
147,0.42268,-0.02236,0.000484537
148,0.422056,0.009648,-0.00270504
149,0.422204,-0.00052,0.000760996
150,0.421415,-0.00081,-0.000366002
151,0.421029,0.011479,0.000357428
152,0.423609,0.00177,0.00117429
153,0.446405,-0.01218,0.000539091
154,0.421207,0.008659,-0.0025659
155,0.440629,0.000847,0.00178119
156,0.440714,0.013191,0.000735244
157,0.430633,0.002951,-0.000269445
158,0.430855,-0.003,-0.00161149
159,0.414693,0.016989,-0.0015547
160,0.453776,-0.01196,7.96917e-06
161,0.424138,0.0125,-0.000949351
162,0.424138,0.0125,-0.000949351
163,0.46237,-0.0052,0.000386637
164,0.469315,0.005844,-0.00201411
165,0.451317,0.004161,-0.000933687
166,0.450503,0.003309,-0.00126546
167,0.470359,-0.01363,0.00174347
168,0.438268,0.011611,0.000144552
169,0.43141,0.009317,0.00064891
170,0.454791,-0.0076,-0.000490992
171,0.459118,0.021327,-0.000799956
172,0.472602,-0.01887,-0.00189816
173,0.451876,0.01058,-0.00304465
174,0.490587,-0.01923,0.000951976
175,0.496403,-0.00284,-0.00205335
176,0.458668,0.017216,0.00181219
177,0.467789,-0.01008,0.000942863
178,0.467789,-0.01008,0.000942863
179,0.446053,0.019467,0.0015467
180,0.46213,-0.00599,-0.00102535
181,0.443879,0.010507,0.000634345
182,0.443656,-0.00309,0.000858268
183,0.434616,0.017709,0.000886603
184,0.444348,0.002189,-0.00112034
185,0.429716,0.008517,-0.00297971
186,0.46469,0.000453,3.1133e-05
187,0.440809,0.017058,0.000502256
188,0.472111,-0.0004,-0.00011949
189,0.447382,0.013076,0.000474724
190,0.459344,-0.00098,0.00339446
191,0.433264,0.020003,0.00104665
192,0.444048,0.015496,0.00245471
193,0.448031,-0.00276,-0.000310694
194,0.445405,0.016038,0.00313817
195,0.457176,-0.01364,6.88827e-05
196,0.453543,0.010034,-0.000444534
197,0.44302,0.007209,-0.000480301
198,0.439996,-0.00113,-0.000588172
199,0.465,-0.00703,0.000862472
200,0.438815,0.0032,0.000202994
201,0.438815,0.0032,0.000202994
202,0.454608,-0.00757,-0.00025829
203,0.437691,0.012205,0.00172775
204,0.45702,-0.00439,0.000715041
205,0.447243,0.004197,-0.000675904
206,0.473447,-0.00257,0.0030236
207,0.444386,0.007719,0.00134314
208,0.436825,0.016021,0.000406271
209,0.43302,0.008639,0.000934719
210,0.438254,0.010605,-0.00060798
211,0.446847,0.005707,-0.00271752
212,0.456965,-0.00732,0.00154988
213,0.457278,-0.00498,0.0011093
214,0.459591,0.010764,0.000475516
215,0.471289,0.002299,0.00153216
216,0.47247,0.003679,-0.000535331
217,0.438226,0.000526,0.00155411
218,0.4723,-0.02162,0.00150177
219,0.462026,0.0009,0.00214584
220,0.436085,0.01667,0.00107262
221,0.471988,-0.00127,0.00170014
222,0.47454,-0.01046,0.00199021
223,0.444626,0.00952,-0.000114207
224,0.491466,-0.01058,-0.000862107
225,0.438439,0.0118,0.00176788
226,0.469772,-0.02089,0.000871151
227,0.469772,-0.02089,0.000871151
228,0.442582,0.005119,0.00138328
229,0.442582,0.005119,0.00138328
230,0.458158,-0.01489,-0.00256545
231,0.42328,-0.00168,-0.00336194
232,0.420593,0.016333,0.000879686
233,0.433308,0.007483,-0.00107422
234,0.419168,-0.00903,-0.00128632
235,0.408201,0.014257,0.00244533
236,0.413351,0.000264,0.000702979
237,0.405749,0.016752,0.000716477
238,0.423487,0.003034,0.00112292
239,0.451764,0.000473,0.00144092
240,0.462604,-0.00219,0.00237392
241,0.464203,-0.01592,0.000400412
242,0.447875,-0.00849,-0.000415818
243,0.447875,-0.00849,-0.000415818
244,0.447875,-0.00849,-0.000415818
245,0.429319,0.021325,0.00259305
246,0.447174,0.004598,-7.08468e-05
247,0.444668,0.00461,0.000415339
248,0.468333,-0.01688,-0.00282322
249,0.468333,-0.01688,-0.00282322
250,0.452668,0.014377,0.000785686
251,0.431895,0.015631,3.85062e-05
252,0.47443,-0.01563,0.000517099
253,0.455529,0.028548,0.000328031
254,0.480622,-0.01223,0.000208024
255,0.46175,0.003747,0.00368883
256,0.46584,-0.01081,-0.000698457
257,0.475442,0.006553,0.00117655
258,0.459879,0.009054,-0.000665037
259,0.463003,-0.003,-0.000429752
260,0.442023,0.013612,0.00158696
261,0.451343,-0.00378,0.0013759
262,0.438854,0.021419,-0.000950901
263,0.438854,0.021419,-0.000950901
264,0.470391,-0.00396,-0.000340603
265,0.457744,-0.00745,0.000226927
266,0.428608,0.017963,-0.001213
267,0.450508,0.00379,-0.000284673
268,0.434615,0.004481,7.1059e-06
269,0.459089,-0.01239,-0.00131985
270,0.452329,-0.00162,0.00246437
271,0.423268,0.001364,0.00040976
272,0.442112,-0.01497,0.000559147
273,0.393244,0.033247,0.000764378
274,0.423334,-0.0138,0.00141856
275,0.413476,0.013725,-0.00314721
276,0.428269,0.001897,0.000350945
277,0.446403,-0.01985,-0.000738666
278,0.413865,0.000354,-0.00104114
279,0.429391,-0.01112,0.0012938
280,0.404914,0.013567,-0.00123338
281,0.404914,0.013567,-0.00123338
282,0.422687,-0.00348,-0.00136697
283,0.422687,-0.00348,-0.00136697
284,0.426467,0.008211,0.00102372
285,0.405972,0.002272,-0.00256106
286,0.419971,-0.00852,0.00179439
287,0.393993,0.020424,-0.000280833
288,0.425503,-0.00256,0.000322703
289,0.43591,0.000323,-0.00215982
290,0.412725,-0.00497,0.00181134
291,0.416117,0.008123,0.00190429
292,0.415712,-0.00307,-0.000969173
293,0.437274,0.000373,0.000717031
294,0.430669,-0.00776,-0.000962668
295,0.426643,0.00564,-0.00129599
296,0.44039,-0.00058,-0.00201855
297,0.415544,0.008103,-0.000130146
298,0.414626,0.005289,0.00161964
299,0.404306,0.009784,-9.40054e-05
300,0.405466,0.000559,0.00288467
301,0.405466,0.000559,0.00288467
302,0.41273,0.002012,0.000408067
303,0.414351,0.007779,0.000427398
304,0.398104,-0.00158,-0.000727625
305,0.403214,0.015547,0.00162227
306,0.439055,-0.02517,-0.00203444
307,0.426113,-0.00379,0.000665752
308,0.423101,-0.01332,-2.95699e-05
309,0.423694,-0.00497,-8.52364e-05
310,0.424122,0.000137,-1.8108e-05
311,0.427885,-0.00971,-0.000522761
312,0.396045,0.016736,-0.000415739
313,0.433024,-0.01672,0.00019522
314,0.40557,0.021203,0.000510171
315,0.410576,-0.0095,0.00036889
316,0.410576,-0.0095,0.00036889
317,0.410576,-0.0095,0.00036889
318,0.405097,-0.00592,0.00238718
319,0.391161,0.015487,-0.00108206
320,0.411834,-0.00739,1.88056e-06
