ReTr(Lx),ReTr(Ly),ImTr(Lx),ImTr(Ly)
0.62665,0.0149483,null,null,null
0.609765,null,-0.0139685,null,null
0.544645,0.0290567,null,null,null
0.526515,null,0.0363737,null,null
0.554535,-0.0683625,null,null,null
0.504275,null,-0.03343,null,null
0.486335,-0.052358,null,null,null
0.419381,null,-0.08576,null,null
0.420035,-0.0463878,null,null,null
0.38597,null,-0.198201,null,null
0.449035,-0.0052932,null,null,null
0.365446,null,-0.210225,null,null
0.449131,0.109233,null,null,null
0.410539,null,-0.206307,null,null
0.444422,0.106887,null,null,null
0.425125,null,-0.191406,null,null
0.464587,0.131376,null,null,null
0.375049,null,-0.113892,null,null
0.390752,0.128671,null,null,null
0.373883,null,-0.0489597,null,null
0.448415,0.0432181,null,null,null
0.317319,null,-0.0890705,null,null
0.448415,0.0432181,null,null,null
0.317319,null,-0.0890705,null,null
0.448415,0.0432181,null,null,null
0.317319,null,-0.0890705,null,null
0.385725,0.0817295,null,null,null
0.301059,null,-0.0732365,null,null
0.438495,0.0610985,null,null,null
0.278821,null,0.016813,null,null
0.452595,0.094736,null,null,null
0.398009,null,0.121439,null,null
0.414145,0.00855675,null,null,null
0.367022,null,-0.0247203,null,null
0.387131,0.066454,null,null,null
0.382183,null,-0.0058505,null,null
0.402121,0.0375535,null,null,null
0.403667,null,-0.0862275,null,null
0.452547,0.073758,null,null,null
0.383313,null,-0.149375,null,null
0.389145,0.148117,null,null,null
0.337728,null,-0.22576,null,null
0.386174,0.155687,null,null,null
0.355772,null,-0.170522,null,null
0.39885,0.163699,null,null,null
0.402634,null,-0.217348,null,null
0.343147,0.202847,null,null,null
0.247598,null,-0.370033,null,null
0.35182,0.233239,null,null,null
0.288118,null,-0.316317,null,null
0.387378,0.24714,null,null,null
0.253406,null,-0.293784,null,null
0.378297,0.223401,null,null,null
0.189934,null,-0.342407,null,null
0.38914,0.198291,null,null,null
0.0556735,null,-0.344058,null,null
0.386329,0.222114,null,null,null
0.070912,null,-0.335234,null,null
0.376759,0.136952,null,null,null
0.07819,null,-0.280471,null,null
0.405228,0.110498,null,null,null
0.0712875,null,-0.35078,null,null
0.428252,0.129007,null,null,null
0.075806,null,-0.344589,null,null
0.36377,0.0389864,null,null,null
0.0294116,null,-0.298328,null,null
0.381228,0.120013,null,null,null
0.05371,null,-0.268354,null,null
0.361702,0.214461,null,null,null
0.0117591,null,-0.288052,null,null
0.389001,0.199222,null,null,null
-0.00343025,null,-0.289035,null,null
0.401021,0.149644,null,null,null
-0.0428653,null,-0.337727,null,null
0.436999,0.16183,null,null,null
-0.0756315,null,-0.286042,null,null
0.437787,0.129659,null,null,null
-0.109953,null,-0.303723,null,null
0.422194,0.152303,null,null,null
-0.17885,null,-0.346463,null,null
0.349374,0.229241,null,null,null
-0.214062,null,-0.40283,null,null
0.419729,0.110783,null,null,null
-0.195787,null,-0.322188,null,null
0.455118,0.0667925,null,null,null
-0.0893585,null,-0.296604,null,null
0.425324,0.091623,null,null,null
-0.160749,null,-0.291137,null,null
0.463235,0.103345,null,null,null
-0.11839,null,-0.371748,null,null
0.439968,0.05363,null,null,null
-0.157553,null,-0.418697,null,null
0.409818,0.121477,null,null,null
-0.134281,null,-0.469847,null,null
0.457197,0.13565,null,null,null
-0.105002,null,-0.437723,null,null
0.477467,0.111495,null,null,null
-0.112248,null,-0.390961,null,null
0.413344,0.05238,null,null,null
-0.146096,null,-0.353724,null,null
0.38218,0.099755,null,null,null
-0.173517,null,-0.306914,null,null
0.420283,0.162222,null,null,null
-0.210213,null,-0.334354,null,null
0.402302,0.20104,null,null,null
-0.141066,null,-0.313417,null,null
0.392617,0.121326,null,null,null
-0.187713,null,-0.313739,null,null
0.334415,0.0703345,null,null,null
-0.251233,null,-0.362613,null,null
0.321095,0.0329466,null,null,null
-0.226634,null,-0.41829,null,null
0.351263,0.0051314,null,null,null
-0.19944,null,-0.386651,null,null
0.323462,-0.0313004,null,null,null
-0.218741,null,-0.399435,null,null
0.260454,-0.0403082,null,null,null
-0.226904,null,-0.26798,null,null
0.281506,-0.0228165,null,null,null
-0.226167,null,-0.283474,null,null
0.267394,0.0172784,null,null,null
-0.283585,null,-0.306466,null,null
0.294635,0.0077371,null,null,null
-0.2722,null,-0.234053,null,null
0.256017,-0.0332513,null,null,null
-0.167964,null,-0.151329,null,null
0.264734,-0.0504525,null,null,null
-0.277097,null,-0.227868,null,null
0.221861,0.0023614,null,null,null
-0.216361,null,-0.188113,null,null
0.187643,0.0358632,null,null,null
-0.313402,null,-0.100971,null,null
0.13654,-0.0118752,null,null,null
-0.423554,null,-0.10175,null,null
0.189152,0.0288923,null,null,null
-0.367321,null,-0.0410013,null,null
0.125223,0.0360515,null,null,null
-0.389684,null,-0.146056,null,null
0.138814,0.0132471,null,null,null
-0.367107,null,-0.128812,null,null
0.148187,-0.049036,null,null,null
-0.362718,null,-0.180863,null,null
0.148187,-0.049036,null,null,null
-0.362718,null,-0.180863,null,null
0.213482,-0.0580695,null,null,null
-0.368878,null,-0.183416,null,null
0.272508,-0.0187011,null,null,null
-0.332615,null,-0.157214,null,null
0.245795,0.015502,null,null,null
-0.414515,null,-0.071589,null,null
0.290948,0.0796635,null,null,null
-0.3729,null,0.00307006,null,null
0.246427,0.135271,null,null,null
-0.409069,null,-0.0189182,null,null
0.314106,0.201906,null,null,null
-0.423619,null,-0.090263,null,null
0.31392,0.158563,null,null,null
-0.440495,null,-0.193723,null,null
0.251165,0.105228,null,null,null
-0.342996,null,-0.161991,null,null
0.270885,0.0302755,null,null,null
-0.26502,null,-0.109454,null,null
0.265995,0.078407,null,null,null
-0.228286,null,0.057545,null,null
0.344026,0.124054,null,null,null
-0.121814,null,0.0242983,null,null
0.22783,0.142597,null,null,null
