MDTU,min_min,min_max,max_min,max_max5
1,-0.730035,0.210002,-0.167769,0.441192
2,-0.935008,0.217675,-0.230518,0.44423
3,-1.15267,0.238941,-0.309788,0.465982
4,-1.12656,0.239576,-0.24699,0.495096
5,-1.36321,0.260592,-0.287738,0.479062
6,-1.63177,0.246729,-0.391443,0.530752
7,-1.12492,0.327405,-0.229811,0.552269
8,-2.15207,0.297968,-0.31054,0.510771
9,-1.25389,0.254421,-0.229069,0.510997
10,-1.31636,0.276871,-0.354475,0.527636
11,-1.34962,0.271252,-0.327001,0.526341
12,-1.34962,0.271252,-0.327001,0.526341
13,-1.34962,0.271252,-0.327001,0.526341
14,-1.34676,0.293192,-0.333258,0.50993
15,-1.52587,0.274598,-0.291949,0.585349
16,-1.77017,0.238213,-0.27397,0.522227
17,-1.28153,0.286285,-0.389223,0.54887
18,-1.32618,0.272882,-0.349159,0.506888
19,-1.54978,0.280337,-0.284635,0.564589
20,-1.30355,0.271223,-0.354055,0.506275
21,-1.59861,0.284962,-0.27753,0.564995
22,-1.39406,0.262899,-0.352839,0.546605
23,-1.37262,0.266748,-0.329811,0.517489
24,-1.43925,0.307105,-0.358863,0.560302
25,-1.25914,0.252059,-0.304249,0.534124
26,-2.07292,0.262562,-0.270062,0.516588
27,-1.6902,0.273541,-0.381945,0.499186
28,-1.56879,0.312304,-0.331862,0.526931
29,-1.26572,0.293737,-0.323707,0.523674
30,-1.14603,0.303957,-0.282709,0.540597
31,-1.43041,0.246172,-0.292294,0.537992
32,-1.36058,0.258483,-0.344782,0.495355
33,-1.32546,0.220219,-0.476217,0.540334
34,-1.76604,0.300781,-0.298744,0.561848
35,-1.32205,0.258469,-0.25015,0.550517
36,-1.21653,0.233731,-0.396429,0.584601
37,-1.28827,0.297559,-0.345735,0.515198
38,-1.26321,0.312792,-0.367612,0.603667
39,-1.22811,0.261854,-0.254374,0.509297
40,-1.17006,0.269783,-0.244049,0.508595
41,-1.35333,0.238679,-0.35925,0.523506
42,-1.75786,0.229699,-0.2851,0.518585
43,-1.38104,0.291662,-0.291735,0.503144
44,-1.10015,0.258679,-0.317727,0.524298
45,-1.32047,0.266721,-0.247805,0.530546
46,-1.37485,0.295446,-0.311452,0.495978
47,-1.42456,0.263967,-0.432509,0.493463
48,-1.4579,0.253779,-0.332782,0.515031
49,-1.536,0.265245,-0.27747,0.56099
50,-1.48642,0.291241,-0.378054,0.516262
51,-1.50886,0.301928,-0.25168,0.511925
