t,deltaS
1,-4.795
2,-1.553
3,-0.3106
4,-0.4587
5,-0.3249
6,-0.03275
7,-0.2624
8,-0.01872
9,-0.04245
10,-0.05916
11,-0.2442
12,0.1571
13,0.1219
14,-0.06922
15,0.2272
16,0.06469
17,-0.0231
18,-0.02706
19,-0.05469
20,0.06168
21,0.0308
22,0.06784
23,0.04706
24,0.2211
25,-0.005182
26,-0.1483
27,0.1078
28,0.2012
29,0.2813
30,-0.02827
31,0.3289
32,-0.1319
33,-0.1517
34,-0.04832
35,0.02247
36,0.1225
37,0.04756
38,-0.03618
39,0.01449
40,0.1242
41,-0.1736
42,0.04201
43,-0.05279
44,-0.12
45,0.03133
46,-0.09424
47,-0.1231
48,0.01606
49,-0.03995
50,0.09626
51,0.02613
52,-0.1464
53,0.1065
54,-0.2217
55,-0.1307
56,-0.1093
57,0.02759
58,-0.05015
59,0.0863
60,0.08005
61,-0.04195
62,0.03238
63,-0.2086
64,-0.1638
65,0.1515
66,0.07493
67,0.03729
68,0.06072
69,0.09229
70,-0.07181
71,0.1665
72,-0.08826
73,0.061
74,-0.2116
75,0.2765
76,0.06807
77,-0.03842
78,-0.2968
79,0.1292
80,0.02182
81,0.1686
82,0.0373
83,-0.009221
84,-0.002163
85,0.02713
86,0.04195
87,0.2398
88,-0.1228
89,0.162
90,-0.1195
91,-0.0134
92,0.05705
93,0.141
94,0.1556
95,-0.002988
96,-0.04806
97,-0.1791
98,-0.03558
99,-0.05703
100,0.02887
101,-0.1075
102,0.03316
103,-0.1805
104,0.1251
105,-0.0508
106,-0.08416
107,0.1978
108,0.006551
109,-0.07286
110,-0.0002542
111,-0.07244
112,-0.02848
113,-0.08258
114,-0.02743
115,-0.1304
116,-0.1886
117,0.1106
118,-0.128
119,0.01657
120,0.08019
121,-0.0879
122,0.1699
123,-0.007693
124,0.06493
125,-0.2451
126,0.06615
127,-0.1083
128,0.03347
129,-0.05381
130,0.09976
131,-0.1167
132,-0.06987
133,-0.0956
134,-0.01123
135,0.03166
136,0.06881
137,-0.2327
138,0.1758
139,-0.05271
140,-0.08909
141,0.0466
142,-0.01906
