MDTU,	ReAvg,ImAvg,Sum,Sum-ReAvg
10,	0.771497,0.00133943,0.43656,-0.334938
20,	0.770456,-0.000671509,0.426041,-0.344415
30,	0.770386,0.00174907,0.501957,-0.268429
40,	0.775895,-0.00235048,0.481042,-0.294853
50,	0.767736,-0.00305531,0.461432,-0.306304
60,	0.765969,2.72049e-05,0.522641,-0.243328
70,	0.772294,-0.00137824,0.51062,-0.261674
80,	0.771529,0.000470231,0.511469,-0.26006
90,	0.770476,0.00211618,0.512985,-0.257491
100,	0.766588,-0.00070586,0.538661,-0.227927
110,	0.76236,-0.00327215,0.464906,-0.297454
120,	0.76866,0.00425848,0.458849,-0.30981
130,	0.765853,0.00170747,0.544646,-0.221207
140,	0.771828,0.0040536,0.484296,-0.287532
150,	0.769323,0.00119624,0.564269,-0.205053
160,	0.772407,-0.000176709,0.492704,-0.279702
170,	0.768471,-0.00750744,0.435785,-0.332686
180,	0.770039,-0.0015302,0.481409,-0.28863
190,	0.770112,0.000525979,0.535519,-0.234592
200,	0.76862,0.00245075,0.479877,-0.288744
210,	0.771578,-0.00232313,0.518585,-0.252994
220,	0.768023,-0.00216816,0.466653,-0.30137
230,	0.770171,-0.00328134,0.482343,-0.287828
240,	0.766696,-0.00409727,0.561929,-0.204767
250,	0.770065,-0.00200735,0.459954,-0.31011
260,	0.771682,-0.00116714,0.52953,-0.242152
270,	0.765045,0.00166853,0.464071,-0.300974
280,	0.765343,0.00242337,0.520593,-0.244749
290,	0.771579,0.000174097,0.481062,-0.290518
300,	0.76649,-0.00181404,0.4849,-0.28159
310,	0.772937,0.0059853,0.485365,-0.287572
320,	0.766361,-0.00211512,0.47545,-0.290911
330,	0.763319,-0.00190306,0.51176,-0.251559
340,	0.769535,0.00200855,0.483185,-0.28635
350,	0.766615,0.00067838,0.524184,-0.24243
360,	0.767513,0.00207053,0.493147,-0.274365
370,	0.768062,0.0034595,0.430542,-0.337521
380,	0.769753,0.00168381,0.514509,-0.255244
390,	0.763783,0.00493298,0.58573,-0.178053
400,	0.772357,-0.00045353,0.47221,-0.300147
410,	0.772194,-0.00158134,0.512713,-0.259481
420,	0.768738,0.00415156,0.500452,-0.268286
430,	0.769245,0.0018515,0.494139,-0.275106
440,	0.770626,0.000300244,0.517488,-0.253138
450,	0.766285,0.00123466,0.506396,-0.259889
460,	0.764642,-0.00234592,0.518427,-0.246214
470,	0.764179,7.88247e-05,0.526939,-0.237239
480,	0.771036,-0.000934789,0.547887,-0.223149
490,	0.770493,-0.000630368,0.552919,-0.217574
500,	0.773679,-0.00256188,0.515533,-0.258146
510,	0.766784,0.00174642,0.469666,-0.297118
520,	0.769403,-0.000601901,0.534579,-0.234824
530,	0.766343,0.000658409,0.539382,-0.226961
540,	0.770093,-0.00193526,0.498252,-0.271841
550,	0.768065,-0.0016088,0.517122,-0.250944
560,	0.765899,0.00013473,0.452487,-0.313412
570,	0.768247,-4.85682e-05,0.472623,-0.295624
580,	0.768278,0.000581198,0.484416,-0.283862
590,	0.763884,-0.00050693,0.537023,-0.226861
600,	0.770599,-0.00121143,0.514121,-0.256478
610,	0.768897,0.0020418,0.44789,-0.321007
620,	0.770031,0.00609239,0.532871,-0.23716
630,	0.768336,-0.0020355,0.416694,-0.351642
640,	0.770088,0.00433087,0.568311,-0.201777
650,	0.765148,-0.0021483,0.550247,-0.2149
660,	0.768865,0.00214998,0.590587,-0.178278
670,	0.773241,-0.00030707,0.575903,-0.197338
680,	0.769755,0.0013755,0.488783,-0.280972
690,	0.76681,-0.00336047,0.514095,-0.252715
700,	0.769073,-0.00269593,0.45441,-0.314663
710,	0.771765,-0.00444536,0.398701,-0.373064
720,	0.764911,0.00178819,0.516177,-0.248734
730,	0.766185,0.00260759,0.417653,-0.348532
740,	0.766859,-0.00417088,0.545127,-0.221732
750,	0.764155,-0.00187425,0.528074,-0.236081
760,	0.770721,0.00110722,0.484754,-0.285967
770,	0.773101,0.0014703,0.478652,-0.294449
780,	0.761564,2.05715e-05,0.483971,-0.277594
790,	0.769224,0.00203801,0.488321,-0.280902
800,	0.764008,-0.000724365,0.510887,-0.253122
810,	0.768023,-0.00574604,0.519146,-0.248877
820,	0.76724,-0.000593708,0.545355,-0.221885
830,	0.769358,-0.00377884,0.451574,-0.317785
840,	0.768722,0.00195729,0.453052,-0.31567
850,	0.767256,0.00462097,0.476276,-0.29098
860,	0.771873,0.00219869,0.481578,-0.290295
870,	0.768983,-0.00127223,0.486111,-0.282873
880,	0.770399,0.000551251,0.490913,-0.279486
890,	0.769763,-0.00186933,0.45215,-0.317612
900,	0.767088,-0.00144747,0.454402,-0.312687
910,	0.765298,-0.00155977,0.510147,-0.255151
920,	0.76693,0.00235188,0.464432,-0.302497
930,	0.771478,0.00448599,0.484466,-0.287012
940,	0.771481,-0.00377745,0.54256,-0.22892
950,	0.77169,0.00528083,0.431713,-0.339977
960,	0.771199,-0.00241067,0.544239,-0.22696
970,	0.771209,-0.00275592,0.568798,-0.202411
980,	0.767147,-0.0022725,0.535257,-0.23189
990,	0.771476,0.00253179,0.618279,-0.153197
1000,	0.769127,0.00139149,0.494725,-0.274403
1010,	0.768968,-0.000331205,0.499067,-0.269902
1020,	0.770991,0.00149972,0.504123,-0.266868
1030,	0.769589,0.00301374,0.452259,-0.31733
1040,	0.76993,-0.000509464,0.46419,-0.30574
1050,	0.768632,0.00109597,0.564552,-0.204079
1060,	0.768498,-0.00434595,0.550366,-0.218133
1070,	0.765976,4.39425e-05,0.504031,-0.261945
1080,	0.767347,0.00113967,0.551574,-0.215774
1090,	0.76929,-0.000962214,0.464189,-0.305101
1100,	0.769563,0.00125903,0.55523,-0.214333
1110,	0.768357,0.00129432,0.612385,-0.155972
