t,|deltaS|
1,7.415
2,2.402
3,0.474
4,0.7071
5,0.5003
6,0.02343
7,0.4306
8,0.002084
9,0.07505
10,0.08616
11,0.3771
12,0.2472
13,0.168
14,0.04376
15,0.1777
16,0.1309
17,0.2601
18,0.2948
19,0.1616
20,0.08026
21,0.1285
22,0.1334
23,0.1615
24,0.1864
25,0.2417
26,0.129
27,0.08714
28,0.04199
29,0.1361
30,0.04181
31,0.3573
32,0.1845
33,0.1358
34,0.08038
35,0.03679
36,0.07225
37,0.06945
38,0.1472
39,0.04714
40,0.03261
41,0.1333
42,0.05439
43,0.2666
44,0.02274
45,0.03142
46,0.1065
47,0.2105
48,0.3604
49,0.2653
50,0.2538
51,0.1241
52,0.02409
53,0.2751
54,0.1729
55,0.2363
56,0.2402
57,0.03508
58,0.4875
59,0.1761
60,0.1273
61,0.008424
62,0.07206
63,0.2198
64,0.2756
65,0.01051
66,0.08122
67,0.03402
68,0.2439
69,0.1915
70,0.02121
71,0.1481
72,0.09729
73,0.01853
74,0.1828
75,0.1355
76,0.05014
77,0.1985
78,0.1232
79,0.1361
80,0.2255
81,0.1003
82,0.2189
83,0.01127
84,0.2703
85,0.1086
86,0.2476
87,0.08384
88,0.02082
89,0.05143
90,0.06278
91,0.1308
92,0.1937
93,0.1494
94,0.06634
95,0.01874
96,0.02432
97,0.2595
98,0.2128
99,0.0869
100,0.0505
101,0.2509
102,0.03293
103,0.09069
104,0.27
105,0.1195
106,0.1562
107,0.1245
108,0.3654
109,0.08783
110,0.02173
111,0.1722
112,0.2974
113,0.2651
114,0.108
115,0.01718
116,0.2244
117,0.154
118,0.07717
119,0.2825
120,0.1572
121,0.2071
122,0.3683
123,0.0291
124,0.2612
125,0.08542
126,0.05423
127,0.0345
128,0.001523
129,0.1687
130,0.08407
131,0.02705
132,0.07538
133,0.08031
134,0.06102
135,0.2564
136,0.113
137,0.1139
138,0.02222
139,0.1206
140,0.1388
141,0.001464
142,0.1397
143,0.05746
144,0.2533
145,0.03231
146,0.2303
147,0.03786
148,0.1314
149,0.04208
150,0.2958
151,0.1704
152,0.2352
153,0.02262
154,0.0541
155,0.04392
156,0.05405
157,0.06475
158,0.1245
159,0.06709
160,0.2486
161,0.2481
162,0.1015
163,0.1997
164,0.2103
165,0.2225
166,0.002657
167,0.1821
168,0.2574
169,0.08911
170,0.1399
171,0.02407
172,0.00673
173,0.04124
174,0.02602
175,0.27
176,0.06687
177,0.1596
178,0.2506
179,0.301
180,0.308
181,0.164
182,0.2236
183,0.08878
184,0.05214
185,0.03022
186,0.02385
187,0.2109
188,0.09612
189,0.1677
190,0.1753
191,0.3034
192,0.271
193,0.08204
194,0.02432
195,0.1615
196,0.03569
197,0.2971
198,0.1528
199,0.1916
200,0.1335
201,0.004348
202,0.1756
203,0.1646
204,0.256
205,0.4787
206,0.1897
207,0.0123
208,0.2531
209,0.1339
210,0.03152
211,0.2798
212,0.05676
213,0.03948
214,0.1795
215,0.3701
216,0.2902
217,0.133
218,0.125
219,0.2054
220,0.321
221,0.1125
222,0.2265
223,0.127
224,0.01738
225,0.08217
226,0.03885
227,0.03177
228,0.06681
229,0.08877
230,0.001675
231,0.1126
232,0.03196
233,0.05444
234,0.1582
235,0.1735
236,0.3732
237,0.06786
238,0.2413
239,0.2124
240,0.2005
241,0.3264
242,0.2729
243,0.1549
244,0.3215
245,0.09386
246,0.07945
247,0.1072
248,0.1269
249,0.009418
250,0.008384
251,0.001294
252,0.08802
253,0.01393
254,0.1447
255,0.1186
256,0.08187
257,0.2733
258,0.000941
259,0.1763
260,0.341
261,0.04992
262,0.119
263,0.05747
264,0.04838
265,0.1943
266,0.2161
267,0.1879
268,0.3076
269,0.1653
270,0.222
271,0.2872
272,0.1673
273,0.09856
274,0.06389
275,0.1523
276,0.05161
277,0.0863
278,0.1947
279,0.1518
280,0.1027
281,0.09548
282,0.1048
283,0.3241
284,0.1307
285,0.1512
286,0.04549
287,0.02472
288,0.06496
289,0.09121
290,0.144
291,0.06929
292,0.1456
293,0.1102
294,0.05769
295,0.01856
296,0.2076
297,0.125
298,0.2856
299,0.1938
300,0.01318
301,0.03078
302,0.2227
303,0.1357
304,0.3547
305,0.1122
306,0.04714
307,0.1147
308,0.007744
309,0.08095
310,0.03123
311,0.1897
312,0.03951
313,0.1677
314,0.3719
315,0.2384
316,0.3562
317,0.0564
318,0.0001705
319,0.1197
320,0.1474
321,0.00155
322,0.00288
323,0.02383
324,0.03245
325,0.192
326,0.005334
327,0.1694
328,0.04651
329,0.2611
330,0.1305
331,0.1585
332,0.1651
333,0.0491
334,0.02883
335,0.01019
336,0.08498
337,0.1127
338,0.2656
339,0.08998
340,0.248
341,0.08059
342,0.1019
343,0.2295
344,0.08561
345,0.04896
346,0.2752
347,0.3019
348,0.01873
349,0.3507
350,0.1053
351,0.1329
352,0.07211
353,0.1551
354,0.2088
355,0.3376
356,0.09219
357,0.05351
358,0.1937
359,0.01176
360,0.07704
361,0.08919
362,0.09158
363,0.1655
364,0.03975
365,0.1158
366,0.02872
367,0.06261
368,0.1458
369,0.09056
370,0.1264
371,0.1088
372,0.01791
373,0.0735
374,0.2271
375,0.1115
376,0.01306
377,0.07111
378,0.252
379,0.1157
380,0.04895
381,0.03527
382,0.1357
383,0.07523
384,0.07726
385,0.003313
386,0.07922
387,0.007771
388,0.1106
389,0.05806
390,0.1817
391,0.1902
392,0.02925
393,0.008715
394,0.2376
395,0.07261
396,0.03089
397,0.04975
398,0.2002
399,0.0738
400,0.08934
401,0.07115
402,0.2361
403,0.203
404,0.002132
405,0.245
406,0.04379
407,0.1962
408,0.5104
409,0.033
410,0.1274
411,0.05763
412,0.1924
413,0.2965
414,0.03446
415,0.3392
416,0.1097
417,0.2111
418,0.07322
419,0.2476
420,0.2471
421,0.068
422,0.3086
423,0.1084
424,0.09627
425,0.2637
426,0.2317
427,0.1375
428,0.1775
429,0.003518
430,0.05413
431,0.04581
432,0.082
433,0.00272
434,0.05402
435,0.09197
436,0.09598
437,0.1635
438,0.1375
439,0.08548
440,0.3053
441,0.1937
442,0.09314
443,0.05871
444,0.148
445,0.1989
446,0.1281
447,0.1614
448,0.3565
449,0.1538
450,0.01404
451,0.06297
452,0.0912
453,0.2847
454,0.02606
455,0.2021
456,0.2991
457,0.08518
458,0.005816
459,0.05648
460,0.2211
461,0.4267
462,0.1257
463,0.1019
464,0.01049
465,0.0728
466,0.02958
467,0.1445
468,0.01315
469,0.1174
470,0.2106
471,0.05841
472,0.1101
473,0.1321
474,0.1237
475,0.4443
476,0.376
477,0.227
478,0.08533
479,0.1225
480,0.4245
481,0.2885
482,0.009727
483,0.3331
484,0.04726
485,0.001771
486,0.08303
487,0.1373
488,0.2118
489,0.157
490,0.1444
491,0.008762
492,0.05198
493,0.152
494,0.2201
495,0.1099
496,0.1966
497,0.1647
498,0.3643
499,0.02831
500,0.2292
501,0.03402
502,0.08192
503,0.3044
504,0.2685
505,0.1409
506,0.06885
507,0.1161
508,0.2104
509,0.09423
510,0.01479
511,0.007684
512,0.1196
513,0.1128
514,0.08962
515,0.1047
516,0.1888
517,0.3413
518,0.2194
519,0.06327
520,0.08721
521,0.1673
522,0.2166
523,0.3031
