ReTr(Lx),ReTr(Ly),ImTr(Lx),ImTr(Ly)
1.26015,0.0107751,null,null,null
1.34787,null,-0.129724,null,null
1.44558,0.132618,null,null,null
1.50141,null,0.187121,null,null
1.33283,-0.237439,null,null,null
1.2175,null,-0.090275,null,null
1.15084,-0.107371,null,null,null
1.17421,null,-0.576835,null,null
1.02637,-0.265053,null,null,null
0.87609,null,-0.76772,null,null
0.81644,0.00472631,null,null,null
0.861545,null,-0.60607,null,null
1.03489,0.166411,null,null,null
0.877345,null,-0.494662,null,null
0.779295,0.191829,null,null,null
1.07668,null,-0.61933,null,null
1.03971,0.206434,null,null,null
0.783685,null,-0.300816,null,null
0.96215,0.14085,null,null,null
0.803665,null,-0.111623,null,null
1.00568,-0.070166,null,null,null
0.681735,null,-0.45762,null,null
1.00568,-0.070166,null,null,null
0.681735,null,-0.45762,null,null
1.00568,-0.070166,null,null,null
0.681735,null,-0.45762,null,null
0.91903,0.0414752,null,null,null
0.494742,null,-0.176048,null,null
0.91903,0.0414752,null,null,null
0.494742,null,-0.176048,null,null
1.21998,0.334976,null,null,null
0.680105,null,-0.177959,null,null
0.8012,0.294193,null,null,null
0.52709,null,-0.327773,null,null
0.67592,0.438953,null,null,null
0.574965,null,0.124207,null,null
0.53205,0.0651605,null,null,null
0.61444,null,0.089444,null,null
0.59512,0.0529125,null,null,null
0.485644,null,0.0421614,null,null
0.340371,0.077423,null,null,null
0.402672,null,-0.092314,null,null
0.84065,0.0745205,null,null,null
0.582525,null,-0.0689415,null,null
0.99888,-0.0693705,null,null,null
0.873385,null,-0.347138,null,null
0.725535,-0.0725925,null,null,null
0.583455,null,-0.52613,null,null
0.573415,-0.00233025,null,null,null
0.619535,null,-0.73136,null,null
0.4256,-0.0910315,null,null,null
0.74423,null,-0.557,null,null
0.52707,-0.330773,null,null,null
0.379567,null,-0.653925,null,null
0.70563,0.0273695,null,null,null
0.139014,null,-0.72509,null,null
0.415517,-0.295868,null,null,null
0.107195,null,-1.00553,null,null
0.337895,-0.0111732,null,null,null
0.468551,null,-0.902115,null,null
0.337895,-0.0111732,null,null,null
0.468551,null,-0.902115,null,null
0.0682245,-0.317775,null,null,null
0.65862,null,-0.71563,null,null
-0.0116463,-0.25785,null,null,null
0.767555,null,-0.68318,null,null
0.064976,-0.252863,null,null,null
0.771395,null,-0.515975,null,null
0.0420394,-0.231062,null,null,null
0.5633,null,-0.633485,null,null
0.29898,-0.415109,null,null,null
0.807395,null,-0.620235,null,null
-0.0278801,-0.481092,null,null,null
0.657005,null,-0.490818,null,null
-0.141985,-0.51188,null,null,null
0.90018,null,-0.292422,null,null
-0.112823,-0.391867,null,null,null
0.573005,null,-0.394897,null,null
-0.325087,-0.442675,null,null,null
0.417677,null,-0.258353,null,null
-0.39132,-0.57706,null,null,null
0.72381,null,-0.374036,null,null
-0.300768,-0.261501,null,null,null
0.57371,null,-0.84636,null,null
-0.370926,-0.254312,null,null,null
0.500325,null,-0.591515,null,null
-0.327354,-0.204689,null,null,null
0.396749,null,-0.593815,null,null
-0.414434,-0.075588,null,null,null
0.451757,null,-0.50608,null,null
-0.374092,-0.141293,null,null,null
0.415402,null,-0.460689,null,null
-0.457862,-0.24902,null,null,null
0.51145,null,-0.56226,null,null
-0.46651,-0.089232,null,null,null
0.503485,null,-0.241781,null,null
-0.456981,-0.470158,null,null,null
0.479617,null,-0.0869075,null,null
-0.077758,-0.148168,null,null,null
0.57515,null,-0.116123,null,null
