MDTU,|Tr(Lx)|,|Tr(Ly)|
1,0.62271,0.603019
2,0.543863,0.519835
3,0.556097,0.497396
4,0.489482,0.420927
5,0.418596,0.416037
6,0.439587,0.401628
7,0.45117,0.432639
8,0.447031,0.445159
9,0.455572,0.371034
10,0.390118,0.351327
11,0.436439,0.317617
12,0.436439,0.317617
13,0.436439,0.317617
14,0.399601,0.292223
15,0.399601,0.292223
16,0.444167,0.33914
17,0.390271,0.270614
18,0.341841,0.303441
19,0.323981,0.285588
20,0.345195,0.256541
21,0.241883,0.351431
22,0.386943,0.351497
23,0.406251,0.451012
24,0.327129,0.433417
25,0.289382,0.431559
26,0.243218,0.467379
27,0.282149,0.392021
28,0.246939,0.392974
29,0.274163,0.394864
30,0.122489,0.392911
31,0.122489,0.392911
32,0.170308,0.428521
33,0.180203,0.465916
34,0.132187,0.407987
35,0.0910283,0.408508
36,0.303308,0.379233
37,0.175552,0.37866
38,0.156385,0.441221
39,0.129124,0.325707
40,0.149654,0.322436
41,0.217639,0.395873
42,0.146417,0.373859
43,0.130183,0.294321
44,0.0758381,0.315328
45,0.0878064,0.34505
46,0.0959002,0.372768
47,0.0504834,0.311042
48,0.0271013,0.343611
49,0.169589,0.307567
50,0.0921532,0.308352
51,0.133965,0.288799
52,0.129602,0.289887
53,0.173222,0.251598
54,0.251835,0.25339
55,0.248238,0.195326
56,0.153102,0.218067
57,0.139679,0.273473
58,0.0702625,0.13262
59,0.142136,0.226201
60,0.104485,0.108547
61,0.0397649,0.115789
62,0.0200418,0.0677878
63,0.109351,0.0622097
64,0.0174249,0.187176
65,0.0376766,0.139041
66,0.0903165,0.159907
67,0.0650874,0.195869
68,0.0734555,0.254507
69,0.0243794,0.296113
70,0.0697508,0.287031
71,0.0856446,0.360902
72,0.176196,0.286281
73,0.196855,0.335934
74,0.319762,0.413523
75,0.271534,0.386702
76,0.254684,0.409742
77,0.183378,0.374906
78,0.29567,0.358434
79,0.265793,0.315149
80,0.295361,0.380593
81,0.295361,0.380593
82,0.353496,0.348968
83,0.34896,0.369847
84,0.345257,0.382062
85,0.424628,0.358527
86,0.381094,0.396051
87,0.445434,0.358729
88,0.419559,0.442181
89,0.441543,0.437472
90,0.364447,0.332884
91,0.34244,0.355216
92,0.440147,0.351506
93,0.391648,0.386772
94,0.428389,0.424085
95,0.382209,0.401448
96,0.388204,0.317102
97,0.353108,0.340103
98,0.356144,0.292816
99,0.371349,0.341141
100,0.44359,0.307666
101,0.44359,0.307666
102,0.349902,0.320926
103,0.338541,0.368655
104,0.338541,0.368655
105,0.310535,0.356956
106,0.365676,0.299207
107,0.372154,0.329886
108,0.332757,0.305163
109,0.34225,0.20733
110,0.337247,0.146046
111,0.332325,0.162151
112,0.296923,0.268586
113,0.252723,0.249181
114,0.210234,0.0828509
115,0.234528,0.0993146
116,0.268797,0.131322
117,0.292522,0.111631
118,0.337381,0.0483885
119,0.337381,0.0483885
120,0.336837,0.0364783
