ReTr(L),ImTr(L)
1.37496,0.0764273
1.0496,-0.352181
0.863203,0.104314
0.769628,-0.0784207
0.78078,-0.128327
0.665136,0.301187
0.650853,0.360613
0.782403,0.272369
0.548266,0.402772
0.618111,0.214803
0.737417,0.488446
0.737417,0.488446
0.857488,0.175724
0.806669,-0.117955
0.806669,-0.117955
0.945241,-0.0770744
0.684465,-0.109862
0.705791,-0.024782
0.718698,-0.259401
0.597909,-0.185899
0.675421,-0.14889
0.694087,-0.238015
0.626503,-0.0891993
0.518992,-0.0735579
0.443,0.0648467
0.731743,0.101083
0.750364,0.0856273
0.605793,0.0815456
0.475493,0.146422
0.532537,0.0480769
0.532537,0.0480769
0.532537,0.0480769
0.564888,0.315137
0.645588,0.124295
0.561459,0.211935
0.368964,0.0518035
0.383787,0.0469869
0.567913,-0.0394733
0.380387,0.118948
0.518464,0.00307692
0.648574,0.125313
0.627213,-0.0309197
0.529684,0.137236
0.482494,0.107897
0.676646,-0.117735
0.538787,-0.0529267
0.451322,-0.223584
0.435373,-0.238591
0.455978,-0.25438
0.617159,-0.189668
0.40927,-0.111943
0.435007,-0.235312
0.533894,-0.0773725
0.384163,0.0102747
0.398296,-0.0556907
0.248883,-0.14864
0.359837,0.126433
0.479631,0.0125265
0.396287,-0.0316712
0.419294,-0.106821
0.345216,0.136138
0.487837,0.134851
0.329287,0.247131
0.372428,0.270797
0.509157,0.2759
0.499433,0.0234804
0.519133,0.323373
0.530324,0.223531
0.639362,0.316184
0.508766,0.193084
0.35874,0.103253
0.359265,0.425026
0.665309,0.457112
0.341266,0.460103
0.421211,0.345063
0.22774,0.430209
0.246528,0.242563
0.425054,0.18614
0.127779,0.13701
0.1646,0.192337
0.1646,0.192337
0.286273,-0.0602268
0.242908,0.159733
0.362932,0.0860906
0.498891,0.131146
0.543013,0.0711339
0.35144,0.085245
0.33336,0.161944
0.559426,0.26627
0.544797,0.389237
0.544797,0.389237
0.450636,0.370987
0.232237,0.374304
0.432859,0.134464
0.596293,0.246447
0.57806,0.113558
0.530719,-0.00795359
0.65203,0.253005
0.439935,0.299564
0.501066,0.303988
0.656472,0.633118
0.430208,0.462773
0.364402,0.471899
0.364402,0.471899
0.522328,0.453025
0.561787,0.311793
0.536105,0.412162
0.711235,0.350584
0.675722,0.238201
0.617476,0.200825
0.544913,0.20813
0.233523,0.514087
0.413007,0.504846
-0.00175199,0.539921
0.167267,0.741593
0.133911,0.609813
0.309326,0.617744
0.327906,0.477048
0.325587,0.187919
0.205951,0.253939
0.161641,0.50717
0.104586,0.278549
0.214201,0.458662
0.151678,0.445797
0.319345,0.444164
0.168485,0.509129
